# Subtracting SN=    0.00000e+00.
#        k         Pk_0_HI
   0.03175     6.81325e+06
   0.04446     3.15335e+06
   0.05670     8.72835e+05
   0.06913     4.37610e+05
   0.08163     2.61526e+05
   0.09394     9.93806e+04
   0.10633     9.65221e+04
   0.11897     3.22361e+04
   0.13156     4.18813e+04
   0.14405     1.55092e+04
   0.15655     2.23606e+04
   0.16903     8.90131e+03
   0.18145     1.34278e+04
   0.19391     5.67279e+03
   0.20638     8.36772e+03
   0.21880     3.51674e+03
   0.23135     5.43971e+03
   0.24388     2.44980e+03
   0.25638     3.71760e+03
   0.26888     1.82393e+03
   0.28133     2.75236e+03
   0.29385     1.41315e+03
   0.30628     2.07158e+03
   0.31877     1.11863e+03
   0.33129     1.62073e+03
   0.34378     1.02582e+03
   0.35632     1.37788e+03
   0.36883     7.78047e+02
   0.38133     1.07444e+03
   0.39379     6.55831e+02
   0.40628     8.92153e+02
   0.41878     5.84478e+02
   0.43132     7.28433e+02
   0.44381     5.21191e+02
   0.45630     6.59988e+02
   0.46880     4.65907e+02
   0.48130     5.69960e+02
   0.49379     4.29252e+02
   0.50627     4.99233e+02
   0.51878     3.59815e+02
   0.53128     4.34088e+02
   0.54381     3.45321e+02
   0.55628     4.08954e+02
   0.56880     3.18232e+02
   0.58132     3.56917e+02
   0.59381     2.92629e+02
   0.60631     3.36110e+02
   0.61879     2.78718e+02
   0.63131     3.04987e+02
   0.64381     2.57336e+02
   0.65629     2.82588e+02
   0.66878     2.51837e+02
   0.68130     2.52131e+02
   0.69382     2.49569e+02
   0.70631     2.26110e+02
   0.71877     2.38926e+02
   0.73127     2.13850e+02
   0.74379     2.23204e+02
   0.75629     2.01668e+02
   0.76880     2.08984e+02
   0.78130     1.89005e+02
   0.79378     2.00260e+02
   0.80630     1.81520e+02
   0.81880     1.84257e+02
   0.83127     1.71311e+02
   0.84379     1.78259e+02
   0.85630     1.62651e+02
   0.86879     1.68922e+02
   0.88128     1.55298e+02
   0.89378     1.61533e+02
   0.90628     1.50610e+02
   0.91879     1.52581e+02
   0.93128     1.42420e+02
   0.94378     1.48656e+02
   0.95630     1.41483e+02
   0.96878     1.44802e+02
   0.98127     1.33976e+02
   0.99376     1.37893e+02
   1.00625     1.31625e+02
   1.01876     1.33084e+02
   1.03128     1.24482e+02
   1.04378     1.26427e+02
   1.05626     1.22443e+02
   1.06878     1.22941e+02
   1.08130     1.16303e+02
   1.09378     1.16682e+02
   1.10628     1.13177e+02
   1.11877     1.14789e+02
   1.13126     1.08723e+02
   1.14378     1.11253e+02
   1.15629     1.07455e+02
   1.16880     1.07328e+02
   1.18130     1.02486e+02
   1.19378     1.03474e+02
   1.20627     1.01095e+02
