# Redshift space power spectrum multipoles.
# Subtracting SN=    0.00000e+00 from monopole.
#        k              P0              P2              P4
   0.00920     7.00549e+08    -6.32494e+05     1.21867e+07
   0.01534     2.85311e+08    -1.40411e+06     1.91556e+08
   0.02148     6.44446e+07    -5.36239e+05    -3.82883e+07
   0.02761     3.13704e+06    -1.71107e+04    -7.46172e+06
   0.03375     7.13792e+06    -1.26694e+05     2.14237e+07
   0.03988     7.27983e+06    -1.38635e+05     2.23137e+07
   0.04602     2.23071e+06    -3.44746e+05     6.67108e+06
   0.05216     2.24479e+05    -2.51999e+04    -2.70351e+05
   0.05829     7.93280e+05     5.84181e+04     2.92454e+06
   0.06443     1.02909e+06     1.38671e+04     4.29111e+06
   0.07056     4.23661e+05    -1.72820e+04     1.48712e+06
   0.07670     4.77768e+04    -1.19182e+02     7.89107e+03
   0.08283     1.98452e+05     1.09955e+04     8.42996e+05
   0.08897     3.16477e+05     4.31631e+03     1.39402e+06
   0.09511     1.19981e+05     1.22458e+03     4.79220e+05
   0.10124     1.58629e+04     2.26994e+02     8.07533e+03
   0.10738     6.79143e+04    -1.25773e+04     2.63830e+05
   0.11351     1.05459e+05    -2.16544e+04     4.61139e+05
   0.11965     4.92156e+04    -1.09833e+04     1.90604e+05
   0.12579     6.92660e+03     9.99655e+02     2.45358e+03
   0.13192     3.16983e+04    -3.81196e+02     1.32910e+05
   0.13806     5.00579e+04    -5.08240e+03     2.20510e+05
   0.14419     2.11230e+04    -1.90769e+03     8.21163e+04
   0.15033     3.82912e+03     8.05531e+02     1.49205e+03
   0.15647     1.62999e+04    -2.09255e+03     6.53709e+04
   0.16260     2.59696e+04    -4.26713e+03     1.13397e+05
   0.16874     1.20988e+04    -1.08106e+03     4.79688e+04
   0.17487     2.93826e+03    -5.07485e+01     4.08576e+03
   0.18101     1.00324e+04    -3.56879e+03     3.81521e+04
   0.18715     1.44278e+04    -4.69067e+03     5.98564e+04
   0.19328     7.59987e+03    -1.39413e+03     2.72536e+04
   0.19942     1.82457e+03     1.93435e+02     9.13770e+02
   0.20555     6.11601e+03    -2.89690e+03     2.12244e+04
   0.21169     9.54782e+03    -4.74044e+03     3.75560e+04
   0.21783     5.09933e+03    -1.74406e+03     1.75806e+04
   0.22396     1.48695e+03     1.94010e+02     6.55825e+02
   0.23010     4.07073e+03    -1.94053e+03     1.25963e+04
   0.23623     6.11483e+03    -3.52040e+03     2.25344e+04
   0.24237     3.45745e+03    -1.54785e+03     1.04901e+04
   0.24850     1.33877e+03    -4.93086e+01     8.55190e+02
   0.25464     2.71740e+03    -1.29480e+03     7.44473e+03
   0.26078     4.28169e+03    -2.71909e+03     1.48967e+04
   0.26691     2.34352e+03    -1.14330e+03     6.32937e+03
   0.27305     9.58233e+02    -3.79139e+01     2.73135e+02
   0.27918     2.25201e+03    -1.21875e+03     6.34881e+03
   0.28532     2.94367e+03    -1.88099e+03     9.58043e+03
   0.29146     1.84540e+03    -9.48056e+02     4.84428e+03
   0.29759     8.25745e+02    -3.64322e+01     1.94549e+02
   0.30373     1.59816e+03    -8.96267e+02     3.69897e+03
   0.30986     2.27362e+03    -1.65296e+03     6.91301e+03
   0.31600     1.42660e+03    -8.16221e+02     3.30946e+03
   0.32214     7.55621e+02    -1.75902e+02     4.52130e+02
   0.32827     1.29558e+03    -8.17098e+02     2.76258e+03
   0.33441     1.89446e+03    -1.52481e+03     5.39279e+03
   0.34054     1.22791e+03    -7.57735e+02     2.63969e+03
   0.34668     6.48264e+02    -8.77889e+01     2.46709e+02
   0.35282     1.11983e+03    -6.78296e+02     2.36998e+03
   0.35895     1.37996e+03    -1.04026e+03     3.53247e+03
   0.36509     1.00214e+03    -6.28265e+02     1.98718e+03
   0.37122     5.57190e+02    -1.53612e+02     1.63206e+02
   0.37736     8.59206e+02    -6.56545e+02     1.42410e+03
   0.38350     1.15618e+03    -1.07167e+03     2.63131e+03
   0.38963     8.35225e+02    -5.98635e+02     1.30406e+03
   0.39577     5.49561e+02    -1.78652e+02     1.95190e+02
   0.40190     7.42503e+02    -4.65778e+02     1.04589e+03
   0.40804     9.83215e+02    -8.21241e+02     2.09521e+03
   0.41417     7.27906e+02    -4.49060e+02     1.10370e+03
   0.42031     4.91320e+02    -8.65596e+01     1.95550e+02
   0.42645     6.51959e+02    -3.40829e+02     9.19332e+02
   0.43258     8.08966e+02    -6.23464e+02     1.56057e+03
   0.43872     6.13673e+02    -3.62483e+02     7.88436e+02
   0.44485     4.48309e+02    -9.03609e+01     1.46073e+02
   0.45099     5.97991e+02    -3.21008e+02     8.02541e+02
   0.45713     7.33279e+02    -5.64077e+02     1.39806e+03
   0.46326     5.65145e+02    -3.44414e+02     7.57518e+02
   0.46940     4.14467e+02    -1.17210e+02     1.64280e+02
   0.47553     4.99934e+02    -2.66214e+02     5.15121e+02
   0.48167     6.12647e+02    -4.67277e+02     9.69910e+02
   0.48781     4.98469e+02    -3.00946e+02     5.44072e+02
   0.49394     3.90377e+02    -1.11589e+02     1.32134e+02
   0.50008     4.87528e+02    -2.54279e+02     5.70119e+02
   0.50621     5.38289e+02    -3.45278e+02     8.22292e+02
   0.51235     4.45686e+02    -2.21259e+02     5.09533e+02
   0.51849     3.51040e+02    -9.62307e+01     1.49820e+02
   0.52462     4.25970e+02    -2.33806e+02     4.13499e+02
