# k, P(k), Nmodes
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
8.691056022563805813e-03 6.634109116427608569e+03 2.600000000000000000e+01
1.503254434404273886e-02 7.870595787974817540e+03 7.200000000000000000e+01
2.104537904654678673e-02 7.576488731065409411e+03 1.520000000000000000e+02
2.718418752217394846e-02 6.787762210520870212e+03 2.340000000000000000e+02
3.359305548768203725e-02 5.825795424375651237e+03 4.160000000000000000e+02
3.967812110980351720e-02 4.940555420073053938e+03 4.800000000000000000e+02
4.573133090443888549e-02 4.294668419244811048e+03 7.220000000000000000e+02
5.186912300623527233e-02 3.855311321730641339e+03 8.740000000000000000e+02
5.807971256735403043e-02 3.628360622638268524e+03 1.162000000000000000e+03
6.422094742881356844e-02 3.303874693605310313e+03 1.358000000000000000e+03
7.029194303550849454e-02 3.133601863399089780e+03 1.632000000000000000e+03
7.656976085866129544e-02 2.825112058988948775e+03 2.036000000000000000e+03
8.283279975513359317e-02 2.530354599197007701e+03 2.310000000000000000e+03
8.886264192081894109e-02 2.208401197665629752e+03 2.528000000000000000e+03
9.493524398572131262e-02 1.949159141694261052e+03 3.068000000000000000e+03
1.010510809291368245e-01 1.776379239067780190e+03 3.306000000000000000e+03
1.071918355362574127e-01 1.611734081478963390e+03 3.934000000000000000e+03
1.133640700251744293e-01 1.512426022211358259e+03 4.266000000000000000e+03
1.195184611122857843e-01 1.436414744957478206e+03 4.794000000000000000e+03
1.256657517103361710e-01 1.396316654639990702e+03 5.270000000000000000e+03
1.317871926578333408e-01 1.333430908230804789e+03 5.754000000000000000e+03
1.378887696062481294e-01 1.229111960527094880e+03 6.344000000000000000e+03
1.440612672229828750e-01 1.160627377282699854e+03 7.014000000000000000e+03
1.501845201433902877e-01 1.048757648899254036e+03 7.364000000000000000e+03
1.563418093457785985e-01 9.685165410597785467e+02 8.402000000000000000e+03
1.625438955957596576e-01 8.966364375754176308e+02 8.738000000000000000e+03
1.686940235306336466e-01 8.593356547668486201e+02 9.670000000000000000e+03
1.747987378343396903e-01 8.088040112373041666e+02 9.880000000000000000e+03
1.809057159377772395e-01 7.678897993214237658e+02 1.113000000000000000e+04
1.870079494254630881e-01 7.463713822256723915e+02 1.140000000000000000e+04
1.931644028143169878e-01 7.296168447609170471e+02 1.272200000000000000e+04
1.993257601852206906e-01 6.827006059597691774e+02 1.317000000000000000e+04
2.054762598507901550e-01 6.456914121306214156e+02 1.418600000000000000e+04
2.116257382464896697e-01 6.139130245530884622e+02 1.495800000000000000e+04
2.177578654451892970e-01 5.835141776230707364e+02 1.580200000000000000e+04
2.238991135097555263e-01 5.394627166139252950e+02 1.674600000000000000e+04
2.300081978121491233e-01 5.301505683183216888e+02 1.753400000000000000e+04
2.361454707693454169e-01 5.065555560860656783e+02 1.869000000000000000e+04
2.422857100963227428e-01 4.787135228391729243e+02 1.958600000000000000e+04
2.484099584913142256e-01 4.737641287304506363e+02 2.052400000000000000e+04
2.545441957051269855e-01 4.591649957660454220e+02 2.165200000000000000e+04
2.606917133414053955e-01 4.378442254673438470e+02 2.276000000000000000e+04
2.668580198415695381e-01 4.198528226251711430e+02 2.389200000000000000e+04
2.730019564931540632e-01 4.034678867908955340e+02 2.485400000000000000e+04
2.791389873202678173e-01 3.937075682005637418e+02 2.604000000000000000e+04
2.852424996643880273e-01 3.802850191392208217e+02 2.680400000000000000e+04
2.913531997893986092e-01 3.610405739301278913e+02 2.850000000000000000e+04
2.975143171497069416e-01 3.482878741980364339e+02 2.956400000000000000e+04
3.036544665973567314e-01 3.375836822865280737e+02 3.083400000000000000e+04
3.097883787544665757e-01 3.300531857193139444e+02 3.189000000000000000e+04
3.159486680635095190e-01 3.179401325968265155e+02 3.376600000000000000e+04
3.221066234444813769e-01 3.106042410480329750e+02 3.446400000000000000e+04
3.282572612915165555e-01 2.998267925679841142e+02 3.622000000000000000e+04
3.343544383171894174e-01 2.901544028659726564e+02 3.667000000000000000e+04
3.404813620364756654e-01 2.819123747240560647e+02 3.911400000000000000e+04
3.466259536752008263e-01 2.752372777393757701e+02 3.989800000000000000e+04
3.527314914776840671e-01 2.647384684377610711e+02 4.126400000000000000e+04
3.588700951741782830e-01 2.589480048842238489e+02 4.332000000000000000e+04
3.650083489029407047e-01 2.499871395300725680e+02 4.418400000000000000e+04
3.711704037116136945e-01 2.498058742697929517e+02 4.654800000000000000e+04
3.773137312255384068e-01 2.409624204120833042e+02 4.719800000000000000e+04
3.834202365329835160e-01 2.313597680596863597e+02 4.880200000000000000e+04
3.895813105051545988e-01 2.258649690412656810e+02 5.141800000000000000e+04
3.957247046642990429e-01 2.233717296487468786e+02 5.158800000000000000e+04
4.018641006880244171e-01 2.176422742301486721e+02 5.464400000000000000e+04
4.079986652309439688e-01 2.138789558726931546e+02 5.484200000000000000e+04
4.141066506702003602e-01 2.051275674838200587e+02 5.733800000000000000e+04
4.202576909860619159e-01 2.023655795287449450e+02 5.921400000000000000e+04
4.264066946730206698e-01 1.969327488127728429e+02 6.064200000000000000e+04
4.325254831734640648e-01 1.887463756126145142e+02 6.220200000000000000e+04
4.386395650806790836e-01 1.885685501117988565e+02 6.399000000000000000e+04
4.447681454847935978e-01 1.838433663109128418e+02 6.596200000000000000e+04
4.509437495939586094e-01 1.802200776204036003e+02 6.893000000000000000e+04
4.571038061189046653e-01 1.759611302031532887e+02 6.921800000000000000e+04
4.632394462505528554e-01 1.742220262463936535e+02 7.208600000000000000e+04
4.693790757792539181e-01 1.703518035232372085e+02 7.321600000000000000e+04
4.755007986458400504e-01 1.669853708572034066e+02 7.536400000000000000e+04
4.816148015649592273e-01 1.636829236896671773e+02 7.714200000000000000e+04
4.877448110253904678e-01 1.597444955533449331e+02 7.932200000000000000e+04
4.938644425720450370e-01 1.574676859625074883e+02 8.112200000000000000e+04
4.999990772533337013e-01 1.525377135458221289e+02 8.374000000000000000e+04
5.061739783630568867e-01 1.509092761964047611e+02 8.622800000000000000e+04
5.123176238977423802e-01 1.454966209305896712e+02 8.724200000000000000e+04
5.184419198367248294e-01 1.447420090217653410e+02 8.950400000000000000e+04
5.245811071337125320e-01 1.423805128038494843e+02 9.236600000000000000e+04
5.307339722686617023e-01 1.399553119257729463e+02 9.390800000000000000e+04
5.368662932732624071e-01 1.376241938568284127e+02 9.622600000000000000e+04
5.429628466927283181e-01 1.350412832732109223e+02 9.717200000000000000e+04
5.491073400914713298e-01 1.332510406313061537e+02 1.019960000000000000e+05
5.552762609626447077e-01 1.296715464766172943e+02 1.028340000000000000e+05
