# k, P(k), Nmodes
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
8.691056022563805813e-03 4.568532755249112597e+03 2.600000000000000000e+01
1.503254434404273886e-02 5.403912009116013905e+03 7.200000000000000000e+01
2.104537904654678673e-02 5.249603100714572975e+03 1.520000000000000000e+02
2.718418752217394846e-02 4.692435659827233394e+03 2.340000000000000000e+02
3.359305548768203725e-02 4.003908291230839950e+03 4.160000000000000000e+02
3.967812110980351720e-02 3.395336751799375634e+03 4.800000000000000000e+02
4.573133090443888549e-02 2.966893737345633326e+03 7.220000000000000000e+02
5.186912300623527233e-02 2.668501855787111253e+03 8.740000000000000000e+02
5.807971256735403043e-02 2.483144466808288598e+03 1.162000000000000000e+03
6.422094742881356844e-02 2.292040334003416774e+03 1.358000000000000000e+03
7.029194303550849454e-02 2.147612319694509097e+03 1.632000000000000000e+03
7.656976085866129544e-02 1.944549639025763327e+03 2.036000000000000000e+03
8.283279975513359317e-02 1.733591503601843669e+03 2.310000000000000000e+03
8.886264192081894109e-02 1.524332571791530427e+03 2.528000000000000000e+03
9.493524398572131262e-02 1.339833602302880763e+03 3.068000000000000000e+03
1.010510809291368245e-01 1.211436254856848109e+03 3.306000000000000000e+03
1.071918355362574127e-01 1.102848761353518057e+03 3.934000000000000000e+03
1.133640700251744293e-01 1.036035863521410420e+03 4.266000000000000000e+03
1.195184611122857843e-01 9.849929627459661106e+02 4.794000000000000000e+03
1.256657517103361710e-01 9.518195000895968860e+02 5.270000000000000000e+03
1.317871926578333408e-01 9.061636792630033597e+02 5.754000000000000000e+03
1.378887696062481294e-01 8.400894558113283210e+02 6.344000000000000000e+03
1.440612672229828750e-01 7.784718030564808942e+02 7.014000000000000000e+03
1.501845201433902877e-01 7.091012286643235711e+02 7.364000000000000000e+03
1.563418093457785985e-01 6.471850759201183791e+02 8.402000000000000000e+03
1.625438955957596576e-01 5.978318048288325599e+02 8.738000000000000000e+03
1.686940235306336466e-01 5.658471960978290554e+02 9.670000000000000000e+03
1.747987378343396903e-01 5.335872235340449379e+02 9.880000000000000000e+03
1.809057159377772395e-01 5.098357358982023584e+02 1.113000000000000000e+04
1.870079494254630881e-01 4.955195742993746535e+02 1.140000000000000000e+04
1.931644028143169878e-01 4.798336011484981327e+02 1.272200000000000000e+04
