# k, P(k), Nmodes
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
8.691056022563805813e-03 1.349257211538461661e+03 2.600000000000000000e+01
1.503254434404273886e-02 1.604370117187500000e+03 7.200000000000000000e+01
2.104537904654678673e-02 1.557135485197368325e+03 1.520000000000000000e+02
2.718418752217394846e-02 1.387891159188034408e+03 2.340000000000000000e+02
3.359305548768203725e-02 1.184875525841346189e+03 4.160000000000000000e+02
3.967812110980351720e-02 1.007731184895833280e+03 4.800000000000000000e+02
4.573133090443888549e-02 8.782855782548476782e+02 7.220000000000000000e+02
5.186912300623527233e-02 7.872354834096109926e+02 8.740000000000000000e+02
5.807971256735403043e-02 7.351702345094664679e+02 1.162000000000000000e+03
6.422094742881356844e-02 6.774802558910162134e+02 1.358000000000000000e+03
7.029194303550849454e-02 6.364744561887255259e+02 1.632000000000000000e+03
7.656976085866129544e-02 5.738160609037328186e+02 2.036000000000000000e+03
8.283279975513359317e-02 5.117522186147186289e+02 2.310000000000000000e+03
8.886264192081894109e-02 4.483985858386075734e+02 2.528000000000000000e+03
9.493524398572131262e-02 3.954327737940025713e+02 3.068000000000000000e+03
1.010510809291368245e-01 3.561061705989110919e+02 3.306000000000000000e+03
1.071918355362574127e-01 3.247554651753940220e+02 3.934000000000000000e+03
1.133640700251744293e-01 3.047852203469292363e+02 4.266000000000000000e+03
1.195184611122857843e-01 2.895956925323320661e+02 4.794000000000000000e+03
1.256657517103361710e-01 2.795864800759013065e+02 5.270000000000000000e+03
1.317871926578333408e-01 2.652633602711157437e+02 5.754000000000000000e+03
1.378887696062481294e-01 2.457617433795712429e+02 6.344000000000000000e+03
1.440612672229828750e-01 2.286282435129740804e+02 7.014000000000000000e+03
1.501845201433902877e-01 2.075552009777294700e+02 7.364000000000000000e+03
1.563418093457785985e-01 1.899777285170197558e+02 8.402000000000000000e+03
1.625438955957596576e-01 1.751347848477912521e+02 8.738000000000000000e+03
1.686940235306336466e-01 1.658292528438469446e+02 9.670000000000000000e+03
1.747987378343396903e-01 1.564363866396761011e+02 9.880000000000000000e+03
1.809057159377772395e-01 1.491879941599281096e+02 1.113000000000000000e+04
1.870079494254630881e-01 1.445925109649122646e+02 1.140000000000000000e+04
1.931644028143169878e-01 1.402624390819053701e+02 1.272200000000000000e+04
1.993257601852206906e-01 1.318948652239939179e+02 1.317000000000000000e+04
2.054762598507901550e-01 1.240962656844776575e+02 1.418600000000000000e+04
2.116257382464896697e-01 1.172952767749699206e+02 1.495800000000000000e+04
2.177578654451892970e-01 1.101575117073788164e+02 1.580200000000000000e+04
2.238991135097555263e-01 1.021425265735100822e+02 1.674600000000000000e+04
2.300081978121491233e-01 9.865331641382456951e+01 1.753400000000000000e+04
2.361454707693454169e-01 9.395426698769395557e+01 1.869000000000000000e+04
2.422857100963227428e-01 8.976144312263861025e+01 1.958600000000000000e+04
2.484099584913142256e-01 8.768711630286493630e+01 2.052400000000000000e+04
2.545441957051269855e-01 8.447559116940698232e+01 2.165200000000000000e+04
2.606917133414053955e-01 8.084518892794376654e+01 2.276000000000000000e+04
2.668580198415695381e-01 7.733671312573245871e+01 2.389200000000000000e+04
2.730019564931540632e-01 7.410487245513799337e+01 2.485400000000000000e+04
2.791389873202678173e-01 7.107845622119815232e+01 2.604000000000000000e+04
2.852424996643880273e-01 6.825091404268019346e+01 2.680400000000000000e+04
2.913531997893986092e-01 6.478743421052631390e+01 2.850000000000000000e+04
2.975143171497069416e-01 6.208633811392233781e+01 2.956400000000000000e+04
3.036544665973567314e-01 6.005614338068366465e+01 3.083400000000000000e+04
3.097883787544665757e-01 5.824027516462840737e+01 3.189000000000000000e+04
3.159486680635095190e-01 5.626049132263223385e+01 3.376600000000000000e+04
3.221066234444813769e-01 5.471692200557102836e+01 3.446400000000000000e+04
3.282572612915165555e-01 5.260541827719492147e+01 3.622000000000000000e+04
3.343544383171894174e-01 5.075093741478047349e+01 3.667000000000000000e+04
3.404813620364756654e-01 4.886134120775169976e+01 3.911400000000000000e+04
3.466259536752008263e-01 4.740516441926913416e+01 3.989800000000000000e+04
3.527314914776840671e-01 4.546836225281116839e+01 4.126400000000000000e+04
3.588700951741782830e-01 4.410592105263157947e+01 4.332000000000000000e+04
