# k, P(k), Nmodes
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
8.691056022563805813e-03 3.771963700722864814e+03 2.600000000000000000e+01
1.503254434404273886e-02 4.446746009044598395e+03 7.200000000000000000e+01
2.104537904654678673e-02 4.320626804297613489e+03 1.520000000000000000e+02
2.718418752217394846e-02 3.864429615006384211e+03 2.340000000000000000e+02
3.359305548768203725e-02 3.310122932288292759e+03 4.160000000000000000e+02
3.967812110980351720e-02 2.814241675377045794e+03 4.800000000000000000e+02
4.573133090443888549e-02 2.443861656626477725e+03 7.220000000000000000e+02
5.186912300623527233e-02 2.199108132651507731e+03 8.740000000000000000e+02
5.807971256735403043e-02 2.058790475794050963e+03 1.162000000000000000e+03
6.422094742881356844e-02 1.884645936493141789e+03 1.358000000000000000e+03
7.029194303550849454e-02 1.774618049557412405e+03 1.632000000000000000e+03
7.656976085866129544e-02 1.605888130136773725e+03 2.036000000000000000e+03
8.283279975513359317e-02 1.431753584068321061e+03 2.310000000000000000e+03
8.886264192081894109e-02 1.255037717746638464e+03 2.528000000000000000e+03
9.493524398572131262e-02 1.104973897810946937e+03 3.068000000000000000e+03
1.010510809291368245e-01 1.002217444351738436e+03 3.306000000000000000e+03
1.071918355362574127e-01 9.099500563460652529e+02 3.934000000000000000e+03
1.133640700251744293e-01 8.559475422526459170e+02 4.266000000000000000e+03
1.195184611122857843e-01 8.133604328665388721e+02 4.794000000000000000e+03
1.256657517103361710e-01 7.873117642692902791e+02 5.270000000000000000e+03
1.317871926578333408e-01 7.514894079612299720e+02 5.754000000000000000e+03
1.378887696062481294e-01 6.936555718809404425e+02 6.344000000000000000e+03
1.440612672229828750e-01 6.486454088894037113e+02 7.014000000000000000e+03
1.501845201433902877e-01 5.882914827323982081e+02 7.364000000000000000e+03
1.563418093457785985e-01 5.389131970108887799e+02 8.402000000000000000e+03
1.625438955957596576e-01 4.982642923118229987e+02 8.738000000000000000e+03
1.686940235306336466e-01 4.734971755091586374e+02 9.670000000000000000e+03
1.747987378343396903e-01 4.462633064377412779e+02 9.880000000000000000e+03
1.809057159377772395e-01 4.241762621539457427e+02 1.113000000000000000e+04
1.870079494254630881e-01 4.126315395855212955e+02 1.140000000000000000e+04
1.931644028143169878e-01 4.015735738903976539e+02 1.272200000000000000e+04
1.993257601852206906e-01 3.769154404539323764e+02 1.317000000000000000e+04
2.054762598507901550e-01 3.558175096739359446e+02 1.418600000000000000e+04
2.116257382464896697e-01 3.368213278494559404e+02 1.495800000000000000e+04
2.177578654451892970e-01 3.174685224572532434e+02 1.580200000000000000e+04
2.238991135097555263e-01 2.941340235829928247e+02 1.674600000000000000e+04
2.300081978121491233e-01 2.857068427413593668e+02 1.753400000000000000e+04
2.361454707693454169e-01 2.723833325807826782e+02 1.869000000000000000e+04
2.422857100963227428e-01 2.594114282679678354e+02 1.958600000000000000e+04
2.484099584913142256e-01 2.546691969732615632e+02 2.052400000000000000e+04
2.545441957051269855e-01 2.455098541524216103e+02 2.165200000000000000e+04
2.606917133414053955e-01 2.351439346362612071e+02 2.276000000000000000e+04
2.668580198415695381e-01 2.247821031289898031e+02 2.389200000000000000e+04
2.730019564931540632e-01 2.161960807440737256e+02 2.485400000000000000e+04
2.791389873202678173e-01 2.082357900342934727e+02 2.604000000000000000e+04
