# k, P(k), Nmodes
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
8.691056022563805813e-03 3.615933279678240069e+03 2.600000000000000000e+01
1.503254434404273886e-02 4.347693235862324400e+03 7.200000000000000000e+01
2.104537904654678673e-02 4.186886419198545809e+03 1.520000000000000000e+02
2.718418752217394846e-02 3.719730519227945479e+03 2.340000000000000000e+02
3.359305548768203725e-02 3.167091265251963250e+03 4.160000000000000000e+02
3.967812110980351720e-02 2.688151085385410624e+03 4.800000000000000000e+02
4.573133090443888549e-02 2.363680491741955848e+03 7.220000000000000000e+02
5.186912300623527233e-02 2.107517010532736094e+03 8.740000000000000000e+02
5.807971256735403043e-02 1.964220379945588547e+03 1.162000000000000000e+03
6.422094742881356844e-02 1.820993454505648515e+03 1.358000000000000000e+03
7.029194303550849454e-02 1.711054381805488674e+03 1.632000000000000000e+03
7.656976085866129544e-02 1.539173457255161338e+03 2.036000000000000000e+03
8.283279975513359317e-02 1.379484134083449817e+03 2.310000000000000000e+03
8.886264192081894109e-02 1.204738299550167540e+03 2.528000000000000000e+03
9.493524398572131262e-02 1.066198616172031507e+03 3.068000000000000000e+03
1.010510809291368245e-01 9.576053902403301663e+02 3.306000000000000000e+03
1.071918355362574127e-01 8.770411338956241707e+02 3.934000000000000000e+03
1.133640700251744293e-01 8.210751486994502102e+02 4.266000000000000000e+03
1.195184611122857843e-01 7.806396366451368749e+02 4.794000000000000000e+03
1.256657517103361710e-01 7.536553676557587096e+02 5.270000000000000000e+03
1.317871926578333408e-01 7.119567655088042102e+02 5.754000000000000000e+03
1.378887696062481294e-01 6.631012056853099921e+02 6.344000000000000000e+03
1.440612672229828750e-01 6.148303190920173620e+02 7.014000000000000000e+03
1.501845201433902877e-01 5.590847112576790323e+02 7.364000000000000000e+03
1.563418093457785985e-01 5.124624748353837731e+02 8.402000000000000000e+03
1.625438955957596576e-01 4.726334200971783162e+02 8.738000000000000000e+03
1.686940235306336466e-01 4.473980740654697001e+02 9.670000000000000000e+03
1.747987378343396903e-01 4.222289045505895047e+02 9.880000000000000000e+03
1.809057159377772395e-01 4.040627166569212250e+02 1.113000000000000000e+04
1.870079494254630881e-01 3.910921019543099533e+02 1.140000000000000000e+04
1.931644028143169878e-01 3.791524553833384061e+02 1.272200000000000000e+04
1.993257601852206906e-01 3.564482659020607684e+02 1.317000000000000000e+04
2.054762598507901550e-01 3.345513083892019495e+02 1.418600000000000000e+04
2.116257382464896697e-01 3.168994788188469443e+02 1.495800000000000000e+04
2.177578654451892970e-01 2.978254208910541365e+02 1.580200000000000000e+04
2.238991135097555263e-01 2.757761492060878368e+02 1.674600000000000000e+04
2.300081978121491233e-01 2.662124731425989239e+02 1.753400000000000000e+04
2.361454707693454169e-01 2.545724211313695378e+02 1.869000000000000000e+04
2.422857100963227428e-01 2.424565495815436407e+02 1.958600000000000000e+04
2.484099584913142256e-01 2.368227592411867306e+02 2.052400000000000000e+04
2.545441957051269855e-01 2.284441835087186519e+02 2.165200000000000000e+04
2.606917133414053955e-01 2.182606684676604800e+02 2.276000000000000000e+04
2.668580198415695381e-01 2.089161863782607043e+02 2.389200000000000000e+04
2.730019564931540632e-01 2.004175562442113971e+02 2.485400000000000000e+04
2.791389873202678173e-01 1.912584922048603744e+02 2.604000000000000000e+04
2.852424996643880273e-01 1.838749666260717959e+02 2.680400000000000000e+04
2.913531997893986092e-01 1.743077487001022519e+02 2.850000000000000000e+04
2.975143171497069416e-01 1.672295563734727182e+02 2.956400000000000000e+04
3.036544665973567314e-01 1.616671326555312191e+02 3.083400000000000000e+04
3.097883787544665757e-01 1.567039069387131178e+02 3.189000000000000000e+04
3.159486680635095190e-01 1.518104679349579840e+02 3.376600000000000000e+04
3.221066234444813769e-01 1.470663336611764578e+02 3.446400000000000000e+04
3.282572612915165555e-01 1.417078264236724578e+02 3.622000000000000000e+04
3.343544383171894174e-01 1.365944467462742864e+02 3.667000000000000000e+04
3.404813620364756654e-01 1.315409109639045084e+02 3.911400000000000000e+04
3.466259536752008263e-01 1.273004345297057398e+02 3.989800000000000000e+04
3.527314914776840671e-01 1.220256698668047903e+02 4.126400000000000000e+04
3.588700951741782830e-01 1.184275009456979717e+02 4.332000000000000000e+04
3.650083489029407047e-01 1.147611226859533105e+02 4.418400000000000000e+04
3.711704037116136945e-01 1.127972586988342130e+02 4.654800000000000000e+04
3.773137312255384068e-01 1.084720056928993586e+02 4.719800000000000000e+04
3.834202365329835160e-01 1.039476011365029535e+02 4.880200000000000000e+04
3.895813105051545988e-01 1.015169422932984418e+02 5.141800000000000000e+04
3.957247046642990429e-01 9.937331612519237467e+01 5.158800000000000000e+04
4.018641006880244171e-01 9.614759163100664807e+01 5.464400000000000000e+04
4.079986652309439688e-01 9.396077447287306939e+01 5.484200000000000000e+04
4.141066506702003602e-01 9.007823221034389860e+01 5.733800000000000000e+04
4.202576909860619159e-01 8.812670465675051901e+01 5.921400000000000000e+04
4.264066946730206698e-01 8.501489876901061393e+01 6.064200000000000000e+04
4.325254831734640648e-01 8.179560935522248144e+01 6.220200000000000000e+04
4.386395650806790836e-01 8.091984998766253057e+01 6.399000000000000000e+04
4.447681454847935978e-01 7.853461087577460376e+01 6.596200000000000000e+04
4.509437495939586094e-01 7.667373133951862485e+01 6.893000000000000000e+04
4.571038061189046653e-01 7.441896221919975574e+01 6.921800000000000000e+04
4.632394462505528554e-01 7.287779819592229558e+01 7.208600000000000000e+04
4.693790757792539181e-01 7.138140588469893544e+01 7.321600000000000000e+04
4.755007986458400504e-01 6.921441761711356833e+01 7.536400000000000000e+04
4.816148015649592273e-01 6.725370259598118139e+01 7.714200000000000000e+04
4.877448110253904678e-01 6.588362531271465627e+01 7.932200000000000000e+04
4.938644425720450370e-01 6.422762847900416716e+01 8.112200000000000000e+04
4.999990772533337013e-01 6.218677845806235638e+01 8.374000000000000000e+04
5.061739783630568867e-01 6.110032024401225215e+01 8.622800000000000000e+04
5.123176238977423802e-01 5.906969741873188440e+01 8.724200000000000000e+04
5.184419198367248294e-01 5.806607723695951506e+01 8.950400000000000000e+04
5.245811071337125320e-01 5.698661449011631674e+01 9.236600000000000000e+04
5.307339722686617023e-01 5.562517535446939831e+01 9.390800000000000000e+04
5.368662932732624071e-01 5.414843128447913756e+01 9.622600000000000000e+04
5.429628466927283181e-01 5.312446505830389754e+01 9.717200000000000000e+04
5.491073400914713298e-01 5.187736979467869247e+01 1.019960000000000000e+05
5.552762609626447077e-01 5.056498591917389973e+01 1.028340000000000000e+05
5.614082796802024600e-01 4.971244312292927248e+01 1.049360000000000000e+05
5.675371533509153688e-01 4.828816497307580846e+01 1.076640000000000000e+05
5.736740022558224350e-01 4.743125901772859976e+01 1.097300000000000000e+05
5.798103603643611770e-01 4.653557773928285002e+01 1.122420000000000000e+05
5.859425366486809006e-01 4.553405638883765505e+01 1.145480000000000000e+05
5.920586774162177601e-01 4.474923942284940637e+01 1.162040000000000000e+05
5.981941542880485629e-01 4.371774738370140057e+01 1.202100000000000000e+05
6.043590774859866066e-01 4.311803679784907217e+01 1.222240000000000000e+05
6.104910230252050818e-01 4.192841997839632029e+01 1.240000000000000000e+05
6.166050503334797872e-01 4.142021241297527467e+01 1.264900000000000000e+05
6.227565424953059869e-01 4.030021160078219111e+01 1.302980000000000000e+05
6.288977757446623240e-01 3.945146788498414736e+01 1.315160000000000000e+05
6.350332706002194127e-01 3.878706659155736958e+01 1.350280000000000000e+05
6.411743038514937654e-01 3.807600951669820688e+01 1.370340000000000000e+05
6.473071136295037720e-01 3.739007099956447888e+01 1.399400000000000000e+05
6.534392957951101755e-01 3.652121832834830428e+01 1.420440000000000000e+05
6.595783755518781488e-01 3.598457813705618236e+01 1.460980000000000000e+05
6.657085753353266799e-01 3.521533843007645004e+01 1.466160000000000000e+05
6.718369711955728407e-01 3.447499291218272077e+01 1.516080000000000000e+05
6.779675665423466890e-01 3.398602421088429537e+01 1.521540000000000000e+05
6.841025602423458363e-01 3.338342757385571247e+01 1.573620000000000000e+05
6.902473351098605825e-01 3.266140224067971332e+01 1.585880000000000000e+05
6.963896182979992799e-01 3.216296272623011276e+01 1.622680000000000000e+05
7.025354447064345864e-01 3.150466690797654579e+01 1.650500000000000000e+05
7.086795257259553837e-01 3.095121281256529500e+01 1.677360000000000000e+05
7.148105300560909647e-01 3.036306937236595616e+01 1.702080000000000000e+05
7.209489185367295994e-01 3.011240777340668728e+01 1.739060000000000000e+05
7.270775917581103753e-01 2.944108771740591024e+01 1.755300000000000000e+05
7.331906622449658739e-01 2.882454075863307708e+01 1.792520000000000000e+05
7.393386679216931157e-01 2.836076729297079524e+01 1.830680000000000000e+05
7.454822748005143218e-01 2.797764377227960253e+01 1.854820000000000000e+05
7.516118807450163919e-01 2.766431009743826053e+01 1.880620000000000000e+05
7.577553313207755492e-01 2.708696902096805559e+01 1.926420000000000000e+05
7.639042897236033580e-01 2.652066191529150530e+01 1.947140000000000000e+05
7.700556058884338029e-01 2.611515665609331549e+01 1.988180000000000000e+05
7.761646078124272430e-01 2.571879253642006802e+01 1.985880000000000000e+05
7.822760392858680856e-01 2.547026585345345495e+01 2.049720000000000000e+05
7.884165269731352454e-01 2.498040244198311299e+01 2.070900000000000000e+05
7.945591276009631443e-01 2.441263938039169190e+01 2.116040000000000000e+05
8.007019309919388705e-01 2.411893874235805413e+01 2.135000000000000000e+05
8.068322471611056868e-01 2.369400683227343762e+01 2.174580000000000000e+05
8.129795759107908415e-01 2.341432173991943344e+01 2.211220000000000000e+05
8.191384193203445907e-01 2.300573918976121135e+01 2.251740000000000000e+05
8.252636533623828319e-01 2.270205434421517054e+01 2.254580000000000000e+05
8.313801266770000087e-01 2.225064614089526671e+01 2.307780000000000000e+05
8.375206517277707929e-01 2.196963037555649478e+01 2.346620000000000000e+05
8.436596178727920892e-01 2.160259140516010135e+01 2.370900000000000000e+05
8.497926552975230141e-01 2.125302627649348253e+01 2.414900000000000000e+05
8.559261024612236923e-01 2.088059453298042456e+01 2.436700000000000000e+05
8.620635216668264267e-01 2.066549706292269306e+01 2.489620000000000000e+05
8.681991121454618598e-01 2.037794923663680180e+01 2.509540000000000000e+05
8.743258064632770665e-01 2.000224216518819631e+01 2.546820000000000000e+05
8.804649962982444844e-01 1.977257407733259953e+01 2.597660000000000000e+05
8.866060715851544760e-01 1.942611624090947231e+01 2.614900000000000000e+05
8.927497452568226022e-01 1.915605219030635453e+01 2.677620000000000000e+05
8.989002179133253057e-01 1.891203592491709173e+01 2.692540000000000000e+05
9.050334286265421246e-01 1.857302551808876601e+01 2.734020000000000000e+05
9.111662727418216035e-01 1.840829616887014453e+01 2.769780000000000000e+05
9.173141852908638372e-01 1.815667397358453172e+01 2.819300000000000000e+05
9.234386234055659282e-01 1.778189560827330240e+01 2.827260000000000000e+05
9.295586914769259357e-01 1.759599988785678448e+01 2.886340000000000000e+05
9.356866131768992734e-01 1.733155104427976312e+01 2.911940000000000000e+05
