# k, P(k), Nmodes
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
8.691056022563805813e-03 1.794815491444476493e+03 2.600000000000000000e+01
1.503254434404273886e-02 2.129314884329193774e+03 7.200000000000000000e+01
2.104537904654678673e-02 2.074127567345803072e+03 1.520000000000000000e+02
2.718418752217394846e-02 1.849624397224042468e+03 2.340000000000000000e+02
3.359305548768203725e-02 1.578534530103711859e+03 4.160000000000000000e+02
3.967812110980351720e-02 1.341258474201327772e+03 4.800000000000000000e+02
4.573133090443888549e-02 1.169877980603568858e+03 7.220000000000000000e+02
5.186912300623527233e-02 1.051004098835100876e+03 8.740000000000000000e+02
5.807971256735403043e-02 9.788885927514025980e+02 1.162000000000000000e+03
6.422094742881356844e-02 9.032988447276366060e+02 1.358000000000000000e+03
7.029194303550849454e-02 8.462900392347510206e+02 1.632000000000000000e+03
7.656976085866129544e-02 7.652882001090715676e+02 2.036000000000000000e+03
8.283279975513359317e-02 6.817064305254411920e+02 2.310000000000000000e+03
8.886264192081894109e-02 5.988232077920151823e+02 2.528000000000000000e+03
9.493524398572131262e-02 5.270143759037656537e+02 3.068000000000000000e+03
1.010510809291368245e-01 4.749778915437373712e+02 3.306000000000000000e+03
1.071918355362574127e-01 4.332092259242150476e+02 3.934000000000000000e+03
1.133640700251744293e-01 4.067565684222396385e+02 4.266000000000000000e+03
1.195184611122857843e-01 3.866019238798857600e+02 4.794000000000000000e+03
1.256657517103361710e-01 3.728804995693442947e+02 5.270000000000000000e+03
1.317871926578333408e-01 3.543914491881218964e+02 5.754000000000000000e+03
1.378887696062481294e-01 3.284612343681320681e+02 6.344000000000000000e+03
1.440612672229828750e-01 3.044532132716872184e+02 7.014000000000000000e+03
1.501845201433902877e-01 2.769183136073669402e+02 7.364000000000000000e+03
1.563418093457785985e-01 2.527795647756530570e+02 8.402000000000000000e+03
1.625438955957596576e-01 2.331522231451067171e+02 8.738000000000000000e+03
1.686940235306336466e-01 2.202025200937134457e+02 9.670000000000000000e+03
1.747987378343396903e-01 2.078460338800280169e+02 9.880000000000000000e+03
1.809057159377772395e-01 1.985567312746779294e+02 1.113000000000000000e+04
1.870079494254630881e-01 1.926787171719435889e+02 1.140000000000000000e+04
1.931644028143169878e-01 1.865464674804979950e+02 1.272200000000000000e+04
1.993257601852206906e-01 1.755486235613250585e+02 1.317000000000000000e+04
2.054762598507901550e-01 1.653394061134744675e+02 1.418600000000000000e+04
2.116257382464896697e-01 1.559503772077690655e+02 1.495800000000000000e+04
2.177578654451892970e-01 1.462123269958937897e+02 1.580200000000000000e+04
