# k, P(k), Nmodes
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.476422409025522325e-02 1.613340397218268436e+03 2.600000000000000000e+01
6.013017737617095543e-02 3.110147976218038821e+05 7.200000000000000000e+01
8.418151618618714693e-02 1.684270981786748962e+04 1.520000000000000000e+02
1.087367500886957938e-01 4.925436054277705989e+04 2.340000000000000000e+02
1.343722219507281490e-01 3.263662821173787961e+03 4.160000000000000000e+02
1.587124844392140688e-01 6.965364146418811288e+03 4.800000000000000000e+02
1.829253236177555419e-01 3.309014100257376867e+03 7.220000000000000000e+02
2.074764920249410893e-01 5.708898189428759906e+02 8.740000000000000000e+02
2.323188502694161217e-01 7.205465963943618135e+02 1.162000000000000000e+03
2.568837897152542737e-01 1.271325883185802013e+03 1.358000000000000000e+03
2.811677721420339782e-01 5.016247679456483866e+02 1.632000000000000000e+03
3.062790434346451818e-01 8.035938541672159090e+02 2.036000000000000000e+03
3.313311990205343727e-01 3.975285297808878227e+02 2.310000000000000000e+03
3.554505676832757644e-01 5.135322913710170951e+02 2.528000000000000000e+03
3.797409759428852505e-01 2.509247337401289997e+02 3.068000000000000000e+03
4.042043237165472980e-01 1.831281348783727481e+02 3.306000000000000000e+03
4.287673421450296507e-01 1.706177716658106363e+02 3.934000000000000000e+03
4.534562801006977173e-01 2.130014100358353346e+02 4.266000000000000000e+03
4.780738444491431371e-01 1.441342758208887176e+02 4.794000000000000000e+03
5.026630068413446839e-01 1.733952582571593553e+02 5.270000000000000000e+03
5.271487706313333632e-01 1.214123883011530722e+02 5.754000000000000000e+03
5.515550784249925176e-01 1.377696809215800045e+02 6.344000000000000000e+03
5.762450688919315001e-01 9.883502187780300119e+01 7.014000000000000000e+03
6.007380805735611506e-01 8.421073364285105356e+01 7.364000000000000000e+03
6.253672373831143938e-01 8.259545399524292009e+01 8.402000000000000000e+03
6.501755823830386305e-01 8.549209033173750072e+01 8.738000000000000000e+03
6.747760941225345865e-01 7.222086765811567943e+01 9.670000000000000000e+03
6.991949513373587610e-01 7.346920801773568144e+01 9.880000000000000000e+03
7.236228637511089579e-01 6.456008670758413359e+01 1.113000000000000000e+04
7.480317977018523523e-01 6.547447285652997095e+01 1.140000000000000000e+04
7.726576112572679511e-01 5.461590566165195781e+01 1.272200000000000000e+04
7.973030407408827624e-01 4.902563048638325682e+01 1.317000000000000000e+04
8.219050394031606199e-01 4.622877289283674429e+01 1.418600000000000000e+04
8.465029529859586788e-01 4.664052635681493797e+01 1.495800000000000000e+04
8.710314617807571880e-01 4.151138592601392929e+01 1.580200000000000000e+04
8.955964540390221051e-01 4.040126867674617728e+01 1.674600000000000000e+04
9.200327912485964932e-01 3.791740300108376971e+01 1.753400000000000000e+04
9.445818830773816677e-01 3.749576957727683180e+01 1.869000000000000000e+04
9.691428403852909712e-01 3.349286179242565709e+01 1.958600000000000000e+04
9.936398339652569023e-01 3.181352413063728335e+01 2.052400000000000000e+04
1.018176782820507942e+00 3.039420858047452256e+01 2.165200000000000000e+04
1.042766853365621582e+00 3.005247892585652636e+01 2.276000000000000000e+04
1.067432079366278153e+00 2.810972073710310326e+01 2.389200000000000000e+04
1.092007825972616253e+00 2.642860282286914142e+01 2.485400000000000000e+04
1.116555949281071269e+00 2.559118718167468742e+01 2.604000000000000000e+04
1.140969998657552109e+00 2.495440974164846892e+01 2.680400000000000000e+04
1.165412799157594437e+00 2.386886252813485143e+01 2.850000000000000000e+04
1.190057268598827767e+00 2.196622928101750816e+01 2.956400000000000000e+04
1.214617866389426926e+00 2.153714350760171925e+01 3.083400000000000000e+04
1.239153515017866303e+00 2.089422800566790173e+01 3.189000000000000000e+04
1.263794672254038076e+00 1.977604710781324826e+01 3.376600000000000000e+04
1.288426493777925508e+00 1.882000225682632788e+01 3.446400000000000000e+04
1.313029045166066222e+00 1.855771180893841432e+01 3.622000000000000000e+04
