# k, P(k), Nmodes
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.476422409025522325e-02 7.154201456212582343e+03 2.600000000000000000e+01
6.013017737617095543e-02 4.254073465600820782e+03 7.200000000000000000e+01
8.418151618618714693e-02 2.823340289340244908e+03 1.520000000000000000e+02
1.087367500886957938e-01 1.925160843478759489e+03 2.340000000000000000e+02
1.343722219507281490e-01 1.575089656208760744e+03 4.160000000000000000e+02
1.587124844392140688e-01 1.161774843369102200e+03 4.800000000000000000e+02
1.829253236177555419e-01 9.091794404060517536e+02 7.220000000000000000e+02
2.074764920249410893e-01 7.649939824975057263e+02 8.740000000000000000e+02
2.323188502694161217e-01 6.585323866933808858e+02 1.162000000000000000e+03
2.568837897152542737e-01 5.100541647911657037e+02 1.358000000000000000e+03
2.811677721420339782e-01 4.629007431306735043e+02 1.632000000000000000e+03
3.062790434346451818e-01 3.997391422464099833e+02 2.036000000000000000e+03
3.313311990205343727e-01 3.619296926043799658e+02 2.310000000000000000e+03
3.554505676832757644e-01 3.034854910211649894e+02 2.528000000000000000e+03
3.797409759428852505e-01 2.698896497077099070e+02 3.068000000000000000e+03
4.042043237165472980e-01 2.553678914450903790e+02 3.306000000000000000e+03
4.287673421450296507e-01 2.250394868207303887e+02 3.934000000000000000e+03
4.534562801006977173e-01 2.007477951297703100e+02 4.266000000000000000e+03
4.780738444491431371e-01 1.865904856895969601e+02 4.794000000000000000e+03
5.026630068413446839e-01 1.722583239652139184e+02 5.270000000000000000e+03
5.271487706313333632e-01 1.619696983112609416e+02 5.754000000000000000e+03
5.515550784249925176e-01 1.479219839720836092e+02 6.344000000000000000e+03
5.762450688919315001e-01 1.432700980911063766e+02 7.014000000000000000e+03
6.007380805735611506e-01 1.262553641517568792e+02 7.364000000000000000e+03
6.253672373831143938e-01 1.215562000054093517e+02 8.402000000000000000e+03
6.501755823830386305e-01 1.130508146568769234e+02 8.738000000000000000e+03
6.747760941225345865e-01 1.087425347301450245e+02 9.670000000000000000e+03
6.991949513373587610e-01 1.022969328205073651e+02 9.880000000000000000e+03
7.236228637511089579e-01 9.534186358689262875e+01 1.113000000000000000e+04
7.480317977018523523e-01 9.067273636717096963e+01 1.140000000000000000e+04
7.726576112572679511e-01 8.707037534164702208e+01 1.272200000000000000e+04
7.973030407408827624e-01 8.183260413973572156e+01 1.317000000000000000e+04
8.219050394031606199e-01 7.890329381123920882e+01 1.418600000000000000e+04
8.465029529859586788e-01 7.295071523904454125e+01 1.495800000000000000e+04
8.710314617807571880e-01 7.213377451157188602e+01 1.580200000000000000e+04
8.955964540390221051e-01 6.618312357952284231e+01 1.674600000000000000e+04
9.200327912485964932e-01 6.570116495820974478e+01 1.753400000000000000e+04
9.445818830773816677e-01 6.244142357194245108e+01 1.869000000000000000e+04
9.691428403852909712e-01 5.948059856106308985e+01 1.958600000000000000e+04
9.936398339652569023e-01 5.823291970302406639e+01 2.052400000000000000e+04
1.018176782820507942e+00 5.651358759841014034e+01 2.165200000000000000e+04
1.042766853365621582e+00 5.422311647466871420e+01 2.276000000000000000e+04
1.067432079366278153e+00 5.158640387487888290e+01 2.389200000000000000e+04
1.092007825972616253e+00 4.942028464782011099e+01 2.485400000000000000e+04
1.116555949281071269e+00 4.886110082950786904e+01 2.604000000000000000e+04
1.140969998657552109e+00 4.757292215569898985e+01 2.680400000000000000e+04
1.165412799157594437e+00 4.499996216962252049e+01 2.850000000000000000e+04
1.190057268598827767e+00 4.378729563310695028e+01 2.956400000000000000e+04
1.214617866389426926e+00 4.232365872965830533e+01 3.083400000000000000e+04
1.239153515017866303e+00 4.127629239169579023e+01 3.189000000000000000e+04
1.263794672254038076e+00 3.953176211530445983e+01 3.376600000000000000e+04
1.288426493777925508e+00 3.847362973948533948e+01 3.446400000000000000e+04
1.313029045166066222e+00 3.777243231850217597e+01 3.622000000000000000e+04
1.337417753268757670e+00 3.696732328871460282e+01 3.667000000000000000e+04
1.361925448145902662e+00 3.607368737093847244e+01 3.911400000000000000e+04
1.386503814700803305e+00 3.484138144967518258e+01 3.989800000000000000e+04
1.410925965910736268e+00 3.441233471401252331e+01 4.126400000000000000e+04
1.435480380696713132e+00 3.296907501345697966e+01 4.332000000000000000e+04
1.460033395611762819e+00 3.202977298542504769e+01 4.418400000000000000e+04
1.484681614846454778e+00 3.166784625699377287e+01 4.654800000000000000e+04
1.509254924902153627e+00 3.062102276494651676e+01 4.719800000000000000e+04
1.533680946131934064e+00 2.998004734788838732e+01 4.880200000000000000e+04
1.558325242020618395e+00 2.932486470109391163e+01 5.141800000000000000e+04
1.582898818657196172e+00 2.853447857876155780e+01 5.158800000000000000e+04
1.607456402752097668e+00 2.792231316421749909e+01 5.464400000000000000e+04
1.631994660923775875e+00 2.754965633971695382e+01 5.484200000000000000e+04
1.656426602680801441e+00 2.648285685381892662e+01 5.733800000000000000e+04
1.681030763944247663e+00 2.609868040833802638e+01 5.921400000000000000e+04
1.705626778692082679e+00 2.560779954394343250e+01 6.064200000000000000e+04
1.730101932693856259e+00 2.509209677656784265e+01 6.220200000000000000e+04
1.754558260322716334e+00 2.463645791502561266e+01 6.399000000000000000e+04
1.779072581939174391e+00 2.404017865445258550e+01 6.596200000000000000e+04
1.803774998375834437e+00 2.359208145253911937e+01 6.893000000000000000e+04
1.828415224475618661e+00 2.332562494325324209e+01 6.921800000000000000e+04
1.852957785002211422e+00 2.275389336941465501e+01 7.208600000000000000e+04
1.877516303117015672e+00 2.237069510175986053e+01 7.321600000000000000e+04
1.902003194583360202e+00 2.195822974485856705e+01 7.536400000000000000e+04
1.926459206259836909e+00 2.144221751803921094e+01 7.714200000000000000e+04
1.950979244101561871e+00 2.095120227005025981e+01 7.932200000000000000e+04
1.975457770288180148e+00 2.067491630620242304e+01 8.112200000000000000e+04
1.999996309013334805e+00 2.038716501806754522e+01 8.374000000000000000e+04
2.024695913452227547e+00 2.000784316425782094e+01 8.622800000000000000e+04
2.049270495590969521e+00 1.952507378901763957e+01 8.724200000000000000e+04
2.073767679346899317e+00 1.929934319802551101e+01 8.950400000000000000e+04
2.098324428534850128e+00 1.872408748533130662e+01 9.236600000000000000e+04
2.122935889074646809e+00 1.855444789504954528e+01 9.390800000000000000e+04
2.147465173093049629e+00 1.818725207720019910e+01 9.622600000000000000e+04
2.171851386770913273e+00 1.796980927507941672e+01 9.717200000000000000e+04
2.196429360365885319e+00 1.758611991337352976e+01 1.019960000000000000e+05
2.221105043850578831e+00 1.723513093901282645e+01 1.028340000000000000e+05
2.245633118720809840e+00 1.687491830230764478e+01 1.049360000000000000e+05
2.270148613403661475e+00 1.671659864631871528e+01 1.076640000000000000e+05
2.294696009023289740e+00 1.649326524192658994e+01 1.097300000000000000e+05
2.319241441457444708e+00 1.619403461066883310e+01 1.122420000000000000e+05
2.343770146594723602e+00 1.588797834050703806e+01 1.145480000000000000e+05
2.368234709664871041e+00 1.565858968513755300e+01 1.162040000000000000e+05
