# k, P(k), Nmodes
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.476422409025522325e-02 4.933995326356288388e+03 2.600000000000000000e+01
6.013017737617095543e-02 7.357348506974025440e+03 7.200000000000000000e+01
8.418151618618714693e-02 1.830806404025410529e+03 1.520000000000000000e+02
1.087367500886957938e-01 1.678946537213271540e+03 2.340000000000000000e+02
1.343722219507281490e-01 1.018055308189331413e+03 4.160000000000000000e+02
1.587124844392140688e-01 9.785873079876101883e+02 4.800000000000000000e+02
1.829253236177555419e-01 6.512165211299849261e+02 7.220000000000000000e+02
2.074764920249410893e-01 5.551699211238352518e+02 8.740000000000000000e+02
2.323188502694161217e-01 4.973152788519940941e+02 1.162000000000000000e+03
2.568837897152542737e-01 3.809610425271779377e+02 1.358000000000000000e+03
2.811677721420339782e-01 3.537151337013244188e+02 1.632000000000000000e+03
3.062790434346451818e-01 2.919628602855872259e+02 2.036000000000000000e+03
3.313311990205343727e-01 2.927694804304163085e+02 2.310000000000000000e+03
3.554505676832757644e-01 2.382582774863510622e+02 2.528000000000000000e+03
3.797409759428852505e-01 2.198292629034145591e+02 3.068000000000000000e+03
4.042043237165472980e-01 2.043521425158942009e+02 3.306000000000000000e+03
4.287673421450296507e-01 1.878591509246338092e+02 3.934000000000000000e+03
4.534562801006977173e-01 1.466250491326165957e+02 4.266000000000000000e+03
4.780738444491431371e-01 1.538018807782481190e+02 4.794000000000000000e+03
5.026630068413446839e-01 1.426466878348968237e+02 5.270000000000000000e+03
5.271487706313333632e-01 1.273598042082416697e+02 5.754000000000000000e+03
5.515550784249925176e-01 1.225614240804973036e+02 6.344000000000000000e+03
5.762450688919315001e-01 1.166801610973353576e+02 7.014000000000000000e+03
6.007380805735611506e-01 1.063538414858027181e+02 7.364000000000000000e+03
6.253672373831143938e-01 9.956096789085844989e+01 8.402000000000000000e+03
6.501755823830386305e-01 9.286517568870124251e+01 8.738000000000000000e+03
6.747760941225345865e-01 9.074371977918326593e+01 9.670000000000000000e+03
6.991949513373587610e-01 8.594723503194371972e+01 9.880000000000000000e+03
7.236228637511089579e-01 8.282747966022596131e+01 1.113000000000000000e+04
7.480317977018523523e-01 7.918779985464004767e+01 1.140000000000000000e+04
7.726576112572679511e-01 7.455854047108050509e+01 1.272200000000000000e+04
7.973030407408827624e-01 7.079428725260093813e+01 1.317000000000000000e+04
8.219050394031606199e-01 6.920309299411043469e+01 1.418600000000000000e+04
8.465029529859586788e-01 6.545681554251913781e+01 1.495800000000000000e+04
8.710314617807571880e-01 6.202800007707264740e+01 1.580200000000000000e+04
8.955964540390221051e-01 5.947029916690151197e+01 1.674600000000000000e+04
9.200327912485964932e-01 5.855747751158443037e+01 1.753400000000000000e+04
9.445818830773816677e-01 5.580520987327677318e+01 1.869000000000000000e+04
9.691428403852909712e-01 5.474756589314450395e+01 1.958600000000000000e+04
9.936398339652569023e-01 5.251232878426967687e+01 2.052400000000000000e+04
1.018176782820507942e+00 4.972157875332896282e+01 2.165200000000000000e+04
1.042766853365621582e+00 5.082858459807836482e+01 2.276000000000000000e+04
1.067432079366278153e+00 4.924053651066461867e+01 2.389200000000000000e+04
1.092007825972616253e+00 4.633872507271517804e+01 2.485400000000000000e+04
1.116555949281071269e+00 4.461911899898515799e+01 2.604000000000000000e+04
1.140969998657552109e+00 4.405735668753683854e+01 2.680400000000000000e+04
1.165412799157594437e+00 4.345762637912713444e+01 2.850000000000000000e+04
1.190057268598827767e+00 4.137882850769129561e+01 2.956400000000000000e+04
1.214617866389426926e+00 4.141077826060245570e+01 3.083400000000000000e+04
1.239153515017866303e+00 4.017337037198207383e+01 3.189000000000000000e+04
1.263794672254038076e+00 3.850092695186914682e+01 3.376600000000000000e+04
1.288426493777925508e+00 3.783297636170277656e+01 3.446400000000000000e+04
1.313029045166066222e+00 3.621877750512251026e+01 3.622000000000000000e+04
1.337417753268757670e+00 3.598811180085944983e+01 3.667000000000000000e+04
1.361925448145902662e+00 3.486752931024250302e+01 3.911400000000000000e+04
1.386503814700803305e+00 3.452768064106845713e+01 3.989800000000000000e+04
1.410925965910736268e+00 3.334163365021098002e+01 4.126400000000000000e+04
1.435480380696713132e+00 3.336954298995588175e+01 4.332000000000000000e+04
1.460033395611762819e+00 3.245337579333554601e+01 4.418400000000000000e+04
1.484681614846454778e+00 3.137952429126311671e+01 4.654800000000000000e+04
