# k, P(k), Nmodes
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.476422409025522325e-02 3.123989953283474733e+03 2.600000000000000000e+01
6.013017737617095543e-02 1.997529269101090449e+03 7.200000000000000000e+01
8.418151618618714693e-02 1.321718359687785551e+03 1.520000000000000000e+02
1.087367500886957938e-01 8.533246633178303000e+02 2.340000000000000000e+02
1.343722219507281490e-01 7.032971056757196493e+02 4.160000000000000000e+02
1.587124844392140688e-01 4.985447669532873647e+02 4.800000000000000000e+02
1.829253236177555419e-01 3.944412589283748503e+02 7.220000000000000000e+02
2.074764920249410893e-01 3.175191960533952624e+02 8.740000000000000000e+02
2.323188502694161217e-01 2.690845968902089567e+02 1.162000000000000000e+03
2.568837897152542737e-01 2.203766984791359391e+02 1.358000000000000000e+03
2.811677721420339782e-01 1.938459915050613631e+02 1.632000000000000000e+03
3.062790434346451818e-01 1.583191867030651849e+02 2.036000000000000000e+03
3.313311990205343727e-01 1.456539712067342123e+02 2.310000000000000000e+03
3.554505676832757644e-01 1.204268039621743753e+02 2.528000000000000000e+03
3.797409759428852505e-01 1.083349256650408137e+02 3.068000000000000000e+03
4.042043237165472980e-01 9.732734638953961337e+01 3.306000000000000000e+03
4.287673421450296507e-01 8.654102055485226686e+01 3.934000000000000000e+03
4.534562801006977173e-01 7.556381865519325913e+01 4.266000000000000000e+03
4.780738444491431371e-01 7.054489765680733626e+01 4.794000000000000000e+03
5.026630068413446839e-01 6.380341242009887992e+01 5.270000000000000000e+03
5.271487706313333632e-01 5.778865082214438331e+01 5.754000000000000000e+03
5.515550784249925176e-01 5.377128921525141436e+01 6.344000000000000000e+03
5.762450688919315001e-01 5.062269949338954689e+01 7.014000000000000000e+03
6.007380805735611506e-01 4.549798391860877445e+01 7.364000000000000000e+03
6.253672373831143938e-01 4.221215762898663826e+01 8.402000000000000000e+03
6.501755823830386305e-01 3.892392845407509583e+01 8.738000000000000000e+03
6.747760941225345865e-01 3.716347126742729756e+01 9.670000000000000000e+03
