# k, P(k), Nmodes
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.476422409025522325e-02 1.860391923093532114e+03 2.600000000000000000e+01
6.013017737617095543e-02 4.089422201666900037e+03 7.200000000000000000e+01
8.418151618618714693e-02 5.653421238395967521e+02 1.520000000000000000e+02
1.087367500886957938e-01 5.925220450020948419e+02 2.340000000000000000e+02
1.343722219507281490e-01 3.802261176870868553e+02 4.160000000000000000e+02
1.587124844392140688e-01 3.865939854620476126e+02 4.800000000000000000e+02
1.829253236177555419e-01 2.424443490704571218e+02 7.220000000000000000e+02
2.074764920249410893e-01 2.030474664327304595e+02 8.740000000000000000e+02
2.323188502694161217e-01 1.655628454074706326e+02 1.162000000000000000e+03
2.568837897152542737e-01 1.315403592862958817e+02 1.358000000000000000e+03
2.811677721420339782e-01 1.303556233541869460e+02 1.632000000000000000e+03
3.062790434346451818e-01 9.623408552347156331e+01 2.036000000000000000e+03
3.313311990205343727e-01 9.744194074774091519e+01 2.310000000000000000e+03
3.554505676832757644e-01 7.738481944315167027e+01 2.528000000000000000e+03
3.797409759428852505e-01 7.029556507516672070e+01 3.068000000000000000e+03
4.042043237165472980e-01 6.356713228312033692e+01 3.306000000000000000e+03
4.287673421450296507e-01 5.617073711209494746e+01 3.934000000000000000e+03
4.534562801006977173e-01 4.525733252980263188e+01 4.266000000000000000e+03
4.780738444491431371e-01 4.553197022513352010e+01 4.794000000000000000e+03
5.026630068413446839e-01 3.993222898741559845e+01 5.270000000000000000e+03
5.271487706313333632e-01 3.674422835756853800e+01 5.754000000000000000e+03
5.515550784249925176e-01 3.241881222989650269e+01 6.344000000000000000e+03
5.762450688919315001e-01 3.243031765249235576e+01 7.014000000000000000e+03
6.007380805735611506e-01 2.833497950067999938e+01 7.364000000000000000e+03
6.253672373831143938e-01 2.648499167362265183e+01 8.402000000000000000e+03
6.501755823830386305e-01 2.484381924440060629e+01 8.738000000000000000e+03
6.747760941225345865e-01 2.329536331924052917e+01 9.670000000000000000e+03
6.991949513373587610e-01 2.220657654342237564e+01 9.880000000000000000e+03
7.236228637511089579e-01 2.020786573816213050e+01 1.113000000000000000e+04
7.480317977018523523e-01 1.882489261420429827e+01 1.140000000000000000e+04
7.726576112572679511e-01 1.801448522010169739e+01 1.272200000000000000e+04
7.973030407408827624e-01 1.666973468785623069e+01 1.317000000000000000e+04
8.219050394031606199e-01 1.560180400604488504e+01 1.418600000000000000e+04
8.465029529859586788e-01 1.434114153015840998e+01 1.495800000000000000e+04
8.710314617807571880e-01 1.395591362155066051e+01 1.580200000000000000e+04
8.955964540390221051e-01 1.302394171902222375e+01 1.674600000000000000e+04
9.200327912485964932e-01 1.240778724062816707e+01 1.753400000000000000e+04
9.445818830773816677e-01 1.180418563176255553e+01 1.869000000000000000e+04
9.691428403852909712e-01 1.134604706450388178e+01 1.958600000000000000e+04
9.936398339652569023e-01 1.075000818457787766e+01 2.052400000000000000e+04
1.018176782820507942e+00 1.024832274836755985e+01 2.165200000000000000e+04
1.042766853365621582e+00 9.809207293889670609e+00 2.276000000000000000e+04
1.067432079366278153e+00 9.494677812111362414e+00 2.389200000000000000e+04
1.092007825972616253e+00 8.771543774513659741e+00 2.485400000000000000e+04
1.116555949281071269e+00 8.547817160828731886e+00 2.604000000000000000e+04
1.140969998657552109e+00 8.011602361507707215e+00 2.680400000000000000e+04
1.165412799157594437e+00 7.848583628786080624e+00 2.850000000000000000e+04
1.190057268598827767e+00 7.407571462024009179e+00 2.956400000000000000e+04
1.214617866389426926e+00 7.263902951614146453e+00 3.083400000000000000e+04
1.239153515017866303e+00 6.894198872677150369e+00 3.189000000000000000e+04
1.263794672254038076e+00 6.515506357549866401e+00 3.376600000000000000e+04
1.288426493777925508e+00 6.263178478217477085e+00 3.446400000000000000e+04
1.313029045166066222e+00 6.138390447874994216e+00 3.622000000000000000e+04
1.337417753268757670e+00 5.811816038861377542e+00 3.667000000000000000e+04
1.361925448145902662e+00 5.803069595735332875e+00 3.911400000000000000e+04
1.386503814700803305e+00 5.497526929207507962e+00 3.989800000000000000e+04
1.410925965910736268e+00 5.413453708864227387e+00 4.126400000000000000e+04
1.435480380696713132e+00 5.170738657108064018e+00 4.332000000000000000e+04
1.460033395611762819e+00 4.983340931425719766e+00 4.418400000000000000e+04
1.484681614846454778e+00 4.776050549641571941e+00 4.654800000000000000e+04
1.509254924902153627e+00 4.578746912440086803e+00 4.719800000000000000e+04
1.533680946131934064e+00 4.398678838411230529e+00 4.880200000000000000e+04
1.558325242020618395e+00 4.329653171442034321e+00 5.141800000000000000e+04
1.582898818657196172e+00 4.148100233144345950e+00 5.158800000000000000e+04
1.607456402752097668e+00 3.947083359353587895e+00 5.464400000000000000e+04
1.631994660923775875e+00 3.959688093915457952e+00 5.484200000000000000e+04
1.656426602680801441e+00 3.732117503664459157e+00 5.733800000000000000e+04
1.681030763944247663e+00 3.690367443616906939e+00 5.921400000000000000e+04
1.705626778692082679e+00 3.611395958989349175e+00 6.064200000000000000e+04
1.730101932693856259e+00 3.455928109683439775e+00 6.220200000000000000e+04
1.754558260322716334e+00 3.347398975278691680e+00 6.399000000000000000e+04
1.779072581939174391e+00 3.244313700974256420e+00 6.596200000000000000e+04
1.803774998375834437e+00 3.208056861234646284e+00 6.893000000000000000e+04
1.828415224475618661e+00 3.165153548447213971e+00 6.921800000000000000e+04
1.852957785002211422e+00 3.037999487547504263e+00 7.208600000000000000e+04
1.877516303117015672e+00 2.891071620619613647e+00 7.321600000000000000e+04
1.902003194583360202e+00 2.819956174857919606e+00 7.536400000000000000e+04
1.926459206259836909e+00 2.785825981251214944e+00 7.714200000000000000e+04
1.950979244101561871e+00 2.672801625091848265e+00 7.932200000000000000e+04
1.975457770288180148e+00 2.579978526374053782e+00 8.112200000000000000e+04
1.999996309013334805e+00 2.538283054909201031e+00 8.374000000000000000e+04
2.024695913452227547e+00 2.511517622032663155e+00 8.622800000000000000e+04
2.049270495590969521e+00 2.472832863802338466e+00 8.724200000000000000e+04
2.073767679346899317e+00 2.390896557397615751e+00 8.950400000000000000e+04
2.098324428534850128e+00 2.330588297961597721e+00 9.236600000000000000e+04
2.122935889074646809e+00 2.242040472661263717e+00 9.390800000000000000e+04
2.147465173093049629e+00 2.192149331470322426e+00 9.622600000000000000e+04
2.171851386770913273e+00 2.182869559062058595e+00 9.717200000000000000e+04
2.196429360365885319e+00 2.072422217083003115e+00 1.019960000000000000e+05
2.221105043850578831e+00 2.042628549839962560e+00 1.028340000000000000e+05
2.245633118720809840e+00 1.988678140790242743e+00 1.049360000000000000e+05
2.270148613403661475e+00 1.924076497530839980e+00 1.076640000000000000e+05
2.294696009023289740e+00 1.901634369480019737e+00 1.097300000000000000e+05
2.319241441457444708e+00 1.856071975779539862e+00 1.122420000000000000e+05
2.343770146594723602e+00 1.820642088021779292e+00 1.145480000000000000e+05
2.368234709664871041e+00 1.772740199652147908e+00 1.162040000000000000e+05
2.392776617152194252e+00 1.684157445044812906e+00 1.202100000000000000e+05
