# k, P(k), Nmodes
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.476422409025522325e-02 1.202042110167794362e+03 2.600000000000000000e+01
6.013017737617095543e-02 3.104062638500488829e+05 7.200000000000000000e+01
8.418151618618714693e-02 1.655618914460139058e+04 1.520000000000000000e+02
1.087367500886957938e-01 4.895604243132186821e+04 2.340000000000000000e+02
1.343722219507281490e-01 2.963668968280167974e+03 4.160000000000000000e+02
1.587124844392140688e-01 6.735496633905262570e+03 4.800000000000000000e+02
1.829253236177555419e-01 3.110186860137162512e+03 7.220000000000000000e+02
2.074764920249410893e-01 4.242472575678726798e+02 8.740000000000000000e+02
2.323188502694161217e-01 6.026807846582684078e+02 1.162000000000000000e+03
2.568837897152542737e-01 1.201140317579949169e+03 1.358000000000000000e+03
2.811677721420339782e-01 4.097081191855285738e+02 1.632000000000000000e+03
3.062790434346451818e-01 7.483368549690266036e+02 2.036000000000000000e+03
3.313311990205343727e-01 3.264137858141908168e+02 2.310000000000000000e+03
3.554505676832757644e-01 4.612252178122665214e+02 2.528000000000000000e+03
3.797409759428852505e-01 1.974856650194378176e+02 3.068000000000000000e+03
4.042043237165472980e-01 1.348941336774199442e+02 3.306000000000000000e+03
4.287673421450296507e-01 1.294188884336291778e+02 3.934000000000000000e+03
4.534562801006977173e-01 1.821145951196018586e+02 4.266000000000000000e+03
4.780738444491431371e-01 1.099244724879563933e+02 4.794000000000000000e+03
5.026630068413446839e-01 1.479094729179947763e+02 5.270000000000000000e+03
5.271487706313333632e-01 9.224758116431459598e+01 5.754000000000000000e+03
5.515550784249925176e-01 1.126867282775598653e+02 6.344000000000000000e+03
5.762450688919315001e-01 7.377361748139433928e+01 7.014000000000000000e+03
6.007380805735611506e-01 6.086222757467170652e+01 7.364000000000000000e+03
6.253672373831143938e-01 6.106387563416765119e+01 8.402000000000000000e+03
6.501755823830386305e-01 6.701397707673616821e+01 8.738000000000000000e+03
6.747760941225345865e-01 5.292403213868018952e+01 9.670000000000000000e+03
6.991949513373587610e-01 5.803820052537686536e+01 9.880000000000000000e+03
7.236228637511089579e-01 4.729497199128856977e+01 1.113000000000000000e+04
7.480317977018523523e-01 4.984900855250286611e+01 1.140000000000000000e+04
7.726576112572679511e-01 3.935580601160273062e+01 1.272200000000000000e+04
7.973030407408827624e-01 3.463754892891018500e+01 1.317000000000000000e+04
8.219050394031606199e-01 3.296841922021084770e+01 1.418600000000000000e+04
8.465029529859586788e-01 3.441963180297167924e+01 1.495800000000000000e+04
8.710314617807571880e-01 2.956016132295403054e+01 1.580200000000000000e+04
8.955964540390221051e-01 3.006097683878395443e+01 1.674600000000000000e+04
9.200327912485964932e-01 2.701088910929390963e+01 1.753400000000000000e+04
9.445818830773816677e-01 2.752225907935989824e+01 1.869000000000000000e+04
9.691428403852909712e-01 2.369960541124528319e+01 1.958600000000000000e+04
9.936398339652569023e-01 2.208676560222477292e+01 2.052400000000000000e+04
1.018176782820507942e+00 2.129103370492808622e+01 2.165200000000000000e+04
1.042766853365621582e+00 2.121872209856075031e+01 2.276000000000000000e+04
1.067432079366278153e+00 1.964370517080488199e+01 2.389200000000000000e+04
1.092007825972616253e+00 1.854978328560560641e+01 2.485400000000000000e+04
1.116555949281071269e+00 1.784800321812210555e+01 2.604000000000000000e+04
1.140969998657552109e+00 1.762268725785802559e+01 2.680400000000000000e+04
1.165412799157594437e+00 1.649452110244690317e+01 2.850000000000000000e+04
1.190057268598827767e+00 1.503033526889173643e+01 2.956400000000000000e+04
1.214617866389426926e+00 1.467765995773483745e+01 3.083400000000000000e+04
1.239153515017866303e+00 1.443136934485218426e+01 3.189000000000000000e+04
1.263794672254038076e+00 1.356942608290180097e+01 3.376600000000000000e+04
1.288426493777925508e+00 1.276982422100904380e+01 3.446400000000000000e+04
1.313029045166066222e+00 1.267370252131824060e+01 3.622000000000000000e+04
1.337417753268757670e+00 1.226005102677375547e+01 3.667000000000000000e+04
1.361925448145902662e+00 1.165268096835546352e+01 3.911400000000000000e+04
1.386503814700803305e+00 1.097920915071195402e+01 3.989800000000000000e+04
1.410925965910736268e+00 1.089714752619275551e+01 4.126400000000000000e+04
1.435480380696713132e+00 1.055465790651724944e+01 4.332000000000000000e+04
1.460033395611762819e+00 1.008116964915209302e+01 4.418400000000000000e+04
1.484681614846454778e+00 9.572005325229396178e+00 4.654800000000000000e+04
1.509254924902153627e+00 9.256911295914221682e+00 4.719800000000000000e+04
1.533680946131934064e+00 9.078210699654857052e+00 4.880200000000000000e+04
1.558325242020618395e+00 8.637715729067489079e+00 5.141800000000000000e+04
1.582898818657196172e+00 8.240030075590677683e+00 5.158800000000000000e+04
1.607456402752097668e+00 8.072175047809466264e+00 5.464400000000000000e+04
1.631994660923775875e+00 8.042455210833599821e+00 5.484200000000000000e+04
1.656426602680801441e+00 7.556418620018788168e+00 5.733800000000000000e+04
1.681030763944247663e+00 7.299281519876976709e+00 5.921400000000000000e+04
1.705626778692082679e+00 7.243496610706446681e+00 6.064200000000000000e+04
1.730101932693856259e+00 7.052364082690466773e+00 6.220200000000000000e+04
1.754558260322716334e+00 6.805329070784702949e+00 6.399000000000000000e+04
1.779072581939174391e+00 6.578442579411684754e+00 6.596200000000000000e+04
1.803774998375834437e+00 6.410837909307186777e+00 6.893000000000000000e+04
1.828415224475618661e+00 6.353311445627757514e+00 6.921800000000000000e+04
1.852957785002211422e+00 6.071005054286088054e+00 7.208600000000000000e+04
1.877516303117015672e+00 5.813238004718652263e+00 7.321600000000000000e+04
1.902003194583360202e+00 5.711643176224917795e+00 7.536400000000000000e+04
1.926459206259836909e+00 5.615710016165921914e+00 7.714200000000000000e+04
1.950979244101561871e+00 5.397782406264080457e+00 7.932200000000000000e+04
1.975457770288180148e+00 5.196266246235419217e+00 8.112200000000000000e+04
1.999996309013334805e+00 5.130441058471948423e+00 8.374000000000000000e+04
2.024695913452227547e+00 5.082775548186931225e+00 8.622800000000000000e+04
2.049270495590969521e+00 4.909757712550592679e+00 8.724200000000000000e+04
2.073767679346899317e+00 4.755972017759585668e+00 8.950400000000000000e+04
2.098324428534850128e+00 4.701836504744298928e+00 9.236600000000000000e+04
2.122935889074646809e+00 4.602864377511854066e+00 9.390800000000000000e+04
2.147465173093049629e+00 4.421376321517263008e+00 9.622600000000000000e+04
2.171851386770913273e+00 4.311102998640651052e+00 9.717200000000000000e+04
2.196429360365885319e+00 4.192114426133080052e+00 1.019960000000000000e+05
2.221105043850578831e+00 4.145010751391085435e+00 1.028340000000000000e+05
2.245633118720809840e+00 4.018555199805699196e+00 1.049360000000000000e+05
2.270148613403661475e+00 3.887786488533603535e+00 1.076640000000000000e+05
2.294696009023289740e+00 3.844092957057368309e+00 1.097300000000000000e+05
2.319241441457444708e+00 3.820860079057208480e+00 1.122420000000000000e+05
2.343770146594723602e+00 3.659595593117867196e+00 1.145480000000000000e+05
2.368234709664871041e+00 3.555794957956133651e+00 1.162040000000000000e+05
2.392776617152194252e+00 3.453984812171715824e+00 1.202100000000000000e+05
2.417436309943946426e+00 3.450834292889048083e+00 1.222240000000000000e+05
2.441964092100820327e+00 3.358659049042690636e+00 1.240000000000000000e+05
2.466420201333919149e+00 3.257990721593994277e+00 1.264900000000000000e+05
2.491026169981223948e+00 3.222686174519985514e+00 1.302980000000000000e+05
2.515591102978649296e+00 3.162470865487970073e+00 1.315160000000000000e+05
2.540133082400877651e+00 3.069435577224868261e+00 1.350280000000000000e+05
2.564697215405975061e+00 3.013854441873790257e+00 1.370340000000000000e+05
2.589228454518015088e+00 2.931181319919577533e+00 1.399400000000000000e+05
2.613757183180440702e+00 2.889420150941463650e+00 1.420440000000000000e+05
2.638313502207512595e+00 2.806428640688256149e+00 1.460980000000000000e+05
2.662834301341306720e+00 2.766522065116618467e+00 1.466160000000000000e+05
2.687347884782291363e+00 2.705166242202357019e+00 1.516080000000000000e+05
2.711870266169386756e+00 2.674145782647645575e+00 1.521540000000000000e+05
2.736410240969383345e+00 2.614038525785371547e+00 1.573620000000000000e+05
2.760989340439442330e+00 2.526700763076791034e+00 1.585880000000000000e+05
