# k, P(k), Nmodes
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.476422409025522325e-02 8.266793338321263946e+03 2.600000000000000000e+01
6.013017737617095543e-02 5.010625485859572109e+03 7.200000000000000000e+01
8.418151618618714693e-02 3.270942704079376654e+03 1.520000000000000000e+02
1.087367500886957938e-01 2.234346819630904974e+03 2.340000000000000000e+02
1.343722219507281490e-01 1.851028739392537545e+03 4.160000000000000000e+02
1.587124844392140688e-01 1.353062551941385664e+03 4.800000000000000000e+02
1.829253236177555419e-01 1.061303857073524114e+03 7.220000000000000000e+02
2.074764920249410893e-01 8.862962142569267598e+02 8.740000000000000000e+02
2.323188502694161217e-01 7.807130061192359562e+02 1.162000000000000000e+03
2.568837897152542737e-01 6.109972494951733779e+02 1.358000000000000000e+03
2.811677721420339782e-01 5.558204908821794561e+02 1.632000000000000000e+03
3.062790434346451818e-01 4.779685297296074395e+02 2.036000000000000000e+03
3.313311990205343727e-01 4.455962352705059288e+02 2.310000000000000000e+03
3.554505676832757644e-01 3.720252253241449694e+02 2.528000000000000000e+03
3.797409759428852505e-01 3.321339279220499066e+02 3.068000000000000000e+03
4.042043237165472980e-01 3.139723609944117015e+02 3.306000000000000000e+03
4.287673421450296507e-01 2.833535236201021803e+02 3.934000000000000000e+03
4.534562801006977173e-01 2.489612068559025886e+02 4.266000000000000000e+03
4.780738444491431371e-01 2.385561180569251007e+02 4.794000000000000000e+03
5.026630068413446839e-01 2.184023128471050086e+02 5.270000000000000000e+03
5.271487706313333632e-01 2.049684270144990705e+02 5.754000000000000000e+03
5.515550784249925176e-01 1.893618018233818816e+02 6.344000000000000000e+03
5.762450688919315001e-01 1.843943947245865616e+02 7.014000000000000000e+03
6.007380805735611506e-01 1.644111037446233468e+02 7.364000000000000000e+03
6.253672373831143938e-01 1.593676501667488878e+02 8.402000000000000000e+03
6.501755823830386305e-01 1.494431679774161239e+02 8.738000000000000000e+03
6.747760941225345865e-01 1.434109850693603221e+02 9.670000000000000000e+03
6.991949513373587610e-01 1.355858650889215369e+02 9.880000000000000000e+03
7.236228637511089579e-01 1.299765846890452394e+02 1.113000000000000000e+04
7.480317977018523523e-01 1.231581405245741365e+02 1.140000000000000000e+04
7.726576112572679511e-01 1.192461264143728101e+02 1.272200000000000000e+04
7.973030407408827624e-01 1.138522658894506634e+02 1.317000000000000000e+04
8.219050394031606199e-01 1.082690180488534395e+02 1.418600000000000000e+04
8.465029529859586788e-01 1.019371530638059937e+02 1.495800000000000000e+04
8.710314617807571880e-01 1.014361804562952472e+02 1.580200000000000000e+04
8.955964540390221051e-01 9.572844243903489314e+01 1.674600000000000000e+04
9.200327912485964932e-01 9.309178981253050722e+01 1.753400000000000000e+04
9.445818830773816677e-01 8.911151598358435422e+01 1.869000000000000000e+04
9.691428403852909712e-01 8.649933115547199236e+01 1.958600000000000000e+04
9.936398339652569023e-01 8.499798171076392350e+01 2.052400000000000000e+04
1.018176782820507942e+00 8.183672373282415435e+01 2.165200000000000000e+04
1.042766853365621582e+00 8.118065273759081890e+01 2.276000000000000000e+04
1.067432079366278153e+00 7.793551451291455123e+01 2.389200000000000000e+04
1.092007825972616253e+00 7.428199584899229535e+01 2.485400000000000000e+04
1.116555949281071269e+00 7.341318566314704697e+01 2.604000000000000000e+04
1.140969998657552109e+00 7.080951389957489539e+01 2.680400000000000000e+04
1.165412799157594437e+00 6.985133063366248507e+01 2.850000000000000000e+04
1.190057268598827767e+00 6.659347812905694752e+01 2.956400000000000000e+04
1.214617866389426926e+00 6.527344633763173931e+01 3.083400000000000000e+04
1.239153515017866303e+00 6.383138915495933929e+01 3.189000000000000000e+04
1.263794672254038076e+00 6.143085208943988107e+01 3.376600000000000000e+04
1.288426493777925508e+00 6.057437229175062754e+01 3.446400000000000000e+04
1.313029045166066222e+00 5.917307238587716256e+01 3.622000000000000000e+04
1.337417753268757670e+00 5.836768500350008537e+01 3.667000000000000000e+04
1.361925448145902662e+00 5.756558173356862085e+01 3.911400000000000000e+04
1.386503814700803305e+00 5.558363778909379960e+01 3.989800000000000000e+04
1.410925965910736268e+00 5.488737761976480556e+01 4.126400000000000000e+04
1.435480380696713132e+00 5.402999681383276709e+01 4.332000000000000000e+04
1.460033395611762819e+00 5.300765346616548612e+01 4.418400000000000000e+04
1.484681614846454778e+00 5.181380195306590508e+01 4.654800000000000000e+04
1.509254924902153627e+00 5.058024028454950383e+01 4.719800000000000000e+04
1.533680946131934064e+00 5.007670217293487269e+01 4.880200000000000000e+04
1.558325242020618395e+00 4.916162039553465490e+01 5.141800000000000000e+04
