# k, P(k), Nmodes
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.476422409025522325e-02 3.046384295788280269e+03 2.600000000000000000e+01
6.013017737617095543e-02 5.075812136521786670e+03 7.200000000000000000e+01
8.418151618618714693e-02 1.229735213962562966e+03 1.520000000000000000e+02
1.087367500886957938e-01 1.008483332808654950e+03 2.340000000000000000e+02
1.343722219507281490e-01 6.713798243839455608e+02 4.160000000000000000e+02
1.587124844392140688e-01 5.769684107659891197e+02 4.800000000000000000e+02
1.829253236177555419e-01 4.046726651661549568e+02 7.220000000000000000e+02
2.074764920249410893e-01 3.298810933224344240e+02 8.740000000000000000e+02
2.323188502694161217e-01 2.912234342150912880e+02 1.162000000000000000e+03
2.568837897152542737e-01 2.293529344844856155e+02 1.358000000000000000e+03
2.811677721420339782e-01 2.077915624830219485e+02 1.632000000000000000e+03
3.062790434346451818e-01 1.699643686906635764e+02 2.036000000000000000e+03
3.313311990205343727e-01 1.663159037638603195e+02 2.310000000000000000e+03
3.554505676832757644e-01 1.305383544782091292e+02 2.528000000000000000e+03
3.797409759428852505e-01 1.239096981845223269e+02 3.068000000000000000e+03
4.042043237165472980e-01 1.095224135267484655e+02 3.306000000000000000e+03
4.287673421450296507e-01 9.961739126373348086e+01 3.934000000000000000e+03
4.534562801006977173e-01 7.906502137765070870e+01 4.266000000000000000e+03
4.780738444491431371e-01 8.048665544071849354e+01 4.794000000000000000e+03
5.026630068413446839e-01 7.269483476126480070e+01 5.270000000000000000e+03
5.271487706313333632e-01 6.469369242759603367e+01 5.754000000000000000e+03
5.515550784249925176e-01 6.115144118240426963e+01 6.344000000000000000e+03
5.762450688919315001e-01 5.750041222209558356e+01 7.014000000000000000e+03
6.007380805735611506e-01 5.246319082583739402e+01 7.364000000000000000e+03
6.253672373831143938e-01 4.740577915567015310e+01 8.402000000000000000e+03
6.501755823830386305e-01 4.457305165996745444e+01 8.738000000000000000e+03
6.747760941225345865e-01 4.340349986663650839e+01 9.670000000000000000e+03
6.991949513373587610e-01 4.028576826816166090e+01 9.880000000000000000e+03
7.236228637511089579e-01 3.900658282168042490e+01 1.113000000000000000e+04
7.480317977018523523e-01 3.558481448534958957e+01 1.140000000000000000e+04
7.726576112572679511e-01 3.372973625845381918e+01 1.272200000000000000e+04
7.973030407408827624e-01 3.175918588555077804e+01 1.317000000000000000e+04
8.219050394031606199e-01 3.068289586137127145e+01 1.418600000000000000e+04
8.465029529859586788e-01 2.810963980874958068e+01 1.495800000000000000e+04
8.710314617807571880e-01 2.637220602021254123e+01 1.580200000000000000e+04
8.955964540390221051e-01 2.501278904830534699e+01 1.674600000000000000e+04
9.200327912485964932e-01 2.439238640578369299e+01 1.753400000000000000e+04
9.445818830773816677e-01 2.292358404691593066e+01 1.869000000000000000e+04
9.691428403852909712e-01 2.206022688251351838e+01 1.958600000000000000e+04
9.936398339652569023e-01 2.135338977738007671e+01 2.052400000000000000e+04
1.018176782820507942e+00 2.002559116151807217e+01 2.165200000000000000e+04
1.042766853365621582e+00 1.995332475760898205e+01 2.276000000000000000e+04
1.067432079366278153e+00 1.921266508180679367e+01 2.389200000000000000e+04
1.092007825972616253e+00 1.747537413470692158e+01 2.485400000000000000e+04
1.116555949281071269e+00 1.699352052593793871e+01 2.604000000000000000e+04
1.140969998657552109e+00 1.648397169034386422e+01 2.680400000000000000e+04
1.165412799157594437e+00 1.615838768631026312e+01 2.850000000000000000e+04
1.190057268598827767e+00 1.490900045699914500e+01 2.956400000000000000e+04
1.214617866389426926e+00 1.492054509340599822e+01 3.083400000000000000e+04
1.239153515017866303e+00 1.427400338604097918e+01 3.189000000000000000e+04
1.263794672254038076e+00 1.365035884752651896e+01 3.376600000000000000e+04
1.288426493777925508e+00 1.318069190686409797e+01 3.446400000000000000e+04
1.313029045166066222e+00 1.248042600321674911e+01 3.622000000000000000e+04
1.337417753268757670e+00 1.227164859816708997e+01 3.667000000000000000e+04
1.361925448145902662e+00 1.162689154127052404e+01 3.911400000000000000e+04
1.386503814700803305e+00 1.153842454664551553e+01 3.989800000000000000e+04
1.410925965910736268e+00 1.109524625648532670e+01 4.126400000000000000e+04
1.435480380696713132e+00 1.099995167953121467e+01 4.332000000000000000e+04
1.460033395611762819e+00 1.041403238901445327e+01 4.418400000000000000e+04
1.484681614846454778e+00 9.999631423356227344e+00 4.654800000000000000e+04
1.509254924902153627e+00 1.002417050966973733e+01 4.719800000000000000e+04
1.533680946131934064e+00 9.701095344395467279e+00 4.880200000000000000e+04
1.558325242020618395e+00 9.172617509152052762e+00 5.141800000000000000e+04
1.582898818657196172e+00 8.819196829799928139e+00 5.158800000000000000e+04
1.607456402752097668e+00 8.616421834162027338e+00 5.464400000000000000e+04
1.631994660923775875e+00 8.358147469603112611e+00 5.484200000000000000e+04
1.656426602680801441e+00 8.090767783305645722e+00 5.733800000000000000e+04
1.681030763944247663e+00 7.925273010959760889e+00 5.921400000000000000e+04
1.705626778692082679e+00 7.779771739722381341e+00 6.064200000000000000e+04
1.730101932693856259e+00 7.596405668448738879e+00 6.220200000000000000e+04
1.754558260322716334e+00 7.156340501659342657e+00 6.399000000000000000e+04
1.779072581939174391e+00 7.009226532724070147e+00 6.596200000000000000e+04
1.803774998375834437e+00 6.876941969530299126e+00 6.893000000000000000e+04
1.828415224475618661e+00 6.554111542390799627e+00 6.921800000000000000e+04
1.852957785002211422e+00 6.514586933388820889e+00 7.208600000000000000e+04
1.877516303117015672e+00 6.372833565932451982e+00 7.321600000000000000e+04
1.902003194583360202e+00 6.140561634537254676e+00 7.536400000000000000e+04
1.926459206259836909e+00 6.047518519234051482e+00 7.714200000000000000e+04
1.950979244101561871e+00 5.853320431491936482e+00 7.932200000000000000e+04
1.975457770288180148e+00 5.746493454167606707e+00 8.112200000000000000e+04
1.999996309013334805e+00 5.580980857810404316e+00 8.374000000000000000e+04
2.024695913452227547e+00 5.419080509462833817e+00 8.622800000000000000e+04
2.049270495590969521e+00 5.397120969506673305e+00 8.724200000000000000e+04
2.073767679346899317e+00 5.126767171466737771e+00 8.950400000000000000e+04
2.098324428534850128e+00 5.054149384993771754e+00 9.236600000000000000e+04
2.122935889074646809e+00 4.854362049323228234e+00 9.390800000000000000e+04
2.147465173093049629e+00 4.814842818493790588e+00 9.622600000000000000e+04
2.171851386770913273e+00 4.678784041217594947e+00 9.717200000000000000e+04
2.196429360365885319e+00 4.626460288740720905e+00 1.019960000000000000e+05
2.221105043850578831e+00 4.524247089428531154e+00 1.028340000000000000e+05
2.245633118720809840e+00 4.318600608733724755e+00 1.049360000000000000e+05
2.270148613403661475e+00 4.272408302042436823e+00 1.076640000000000000e+05
