# k, P(k), Nmodes
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.476422409025522325e-02 7.198458155195924519e+03 2.600000000000000000e+01
6.013017737617095543e-02 4.283046242341523794e+03 7.200000000000000000e+01
8.418151618618714693e-02 2.840500225197637064e+03 1.520000000000000000e+02
1.087367500886957938e-01 1.941932236435736968e+03 2.340000000000000000e+02
1.343722219507281490e-01 1.586723124553952402e+03 4.160000000000000000e+02
1.587124844392140688e-01 1.172648345906132818e+03 4.800000000000000000e+02
1.829253236177555419e-01 9.178131805382660104e+02 7.220000000000000000e+02
2.074764920249410893e-01 7.724788883984621179e+02 8.740000000000000000e+02
2.323188502694161217e-01 6.643261546027232498e+02 1.162000000000000000e+03
2.568837897152542737e-01 5.141164124428383957e+02 1.358000000000000000e+03
2.811677721420339782e-01 4.662528136557131688e+02 1.632000000000000000e+03
3.062790434346451818e-01 4.032909229507611144e+02 2.036000000000000000e+03
3.313311990205343727e-01 3.645974636991908824e+02 2.310000000000000000e+03
3.554505676832757644e-01 3.057764773498436739e+02 2.528000000000000000e+03
3.797409759428852505e-01 2.717843885103546882e+02 3.068000000000000000e+03
4.042043237165472980e-01 2.575693004264263095e+02 3.306000000000000000e+03
4.287673421450296507e-01 2.265662816094854577e+02 3.934000000000000000e+03
4.534562801006977173e-01 2.027168218765306449e+02 4.266000000000000000e+03
4.780738444491431371e-01 1.880405195695155669e+02 4.794000000000000000e+03
5.026630068413446839e-01 1.735356216482380773e+02 5.270000000000000000e+03
5.271487706313333632e-01 1.636047412167436903e+02 5.754000000000000000e+03
5.515550784249925176e-01 1.490219467602609029e+02 6.344000000000000000e+03
5.762450688919315001e-01 1.442616648734853584e+02 7.014000000000000000e+03
6.007380805735611506e-01 1.274741000007259686e+02 7.364000000000000000e+03
6.253672373831143938e-01 1.223536258873333082e+02 8.402000000000000000e+03
6.501755823830386305e-01 1.140598711824440556e+02 8.738000000000000000e+03
6.747760941225345865e-01 1.096153669088414517e+02 9.670000000000000000e+03
6.991949513373587610e-01 1.029898695987044022e+02 9.880000000000000000e+03
7.236228637511089579e-01 9.579119635171828406e+01 1.113000000000000000e+04
7.480317977018523523e-01 9.119697238732527467e+01 1.140000000000000000e+04
7.726576112572679511e-01 8.764541007359387947e+01 1.272200000000000000e+04
7.973030407408827624e-01 8.236439131626514154e+01 1.317000000000000000e+04
8.219050394031606199e-01 7.943528341876837828e+01 1.418600000000000000e+04
8.465029529859586788e-01 7.336708688685720858e+01 1.495800000000000000e+04
8.710314617807571880e-01 7.249398037698594521e+01 1.580200000000000000e+04
8.955964540390221051e-01 6.639450693039553641e+01 1.674600000000000000e+04
9.200327912485964932e-01 6.609005561089817604e+01 1.753400000000000000e+04
9.445818830773816677e-01 6.282600180429385972e+01 1.869000000000000000e+04
9.691428403852909712e-01 5.965362369846670276e+01 1.958600000000000000e+04
9.936398339652569023e-01 5.846745195535412876e+01 2.052400000000000000e+04
1.018176782820507942e+00 5.677014698177795538e+01 2.165200000000000000e+04
1.042766853365621582e+00 5.433381362371684276e+01 2.276000000000000000e+04
1.067432079366278153e+00 5.165725993463258447e+01 2.389200000000000000e+04
1.092007825972616253e+00 4.956774720876222062e+01 2.485400000000000000e+04
1.116555949281071269e+00 4.897862777371550891e+01 2.604000000000000000e+04
1.140969998657552109e+00 4.770408091636521419e+01 2.680400000000000000e+04
1.165412799157594437e+00 4.505918125718964262e+01 2.850000000000000000e+04
1.190057268598827767e+00 4.393632986377213712e+01 2.956400000000000000e+04
1.214617866389426926e+00 4.242128555145956881e+01 3.083400000000000000e+04
1.239153515017866303e+00 4.137982604130895226e+01 3.189000000000000000e+04
1.263794672254038076e+00 3.959615131574770430e+01 3.376600000000000000e+04
1.288426493777925508e+00 3.848035527688015378e+01 3.446400000000000000e+04
1.313029045166066222e+00 3.779604209562553052e+01 3.622000000000000000e+04
1.337417753268757670e+00 3.698919899014257595e+01 3.667000000000000000e+04
1.361925448145902662e+00 3.601999281783920992e+01 3.911400000000000000e+04
1.386503814700803305e+00 3.488197032902139938e+01 3.989800000000000000e+04
1.410925965910736268e+00 3.436528508992969222e+01 4.126400000000000000e+04
1.435480380696713132e+00 3.293649667625730615e+01 4.332000000000000000e+04
1.460033395611762819e+00 3.194198428711683846e+01 4.418400000000000000e+04
1.484681614846454778e+00 3.161130742074727351e+01 4.654800000000000000e+04
1.509254924902153627e+00 3.056013759527385432e+01 4.719800000000000000e+04
1.533680946131934064e+00 2.992103297874757217e+01 4.880200000000000000e+04
1.558325242020618395e+00 2.922772613854834844e+01 5.141800000000000000e+04
1.582898818657196172e+00 2.846270236262851228e+01 5.158800000000000000e+04
1.607456402752097668e+00 2.785033530044573169e+01 5.464400000000000000e+04
1.631994660923775875e+00 2.750718147732988683e+01 5.484200000000000000e+04
1.656426602680801441e+00 2.638189234220019586e+01 5.733800000000000000e+04
1.681030763944247663e+00 2.598658763636801794e+01 5.921400000000000000e+04
1.705626778692082679e+00 2.550614079891348496e+01 6.064200000000000000e+04
1.730101932693856259e+00 2.496530499793908575e+01 6.220200000000000000e+04
1.754558260322716334e+00 2.449176038200879901e+01 6.399000000000000000e+04
1.779072581939174391e+00 2.392728211364218183e+01 6.596200000000000000e+04
1.803774998375834437e+00 2.345035344110945985e+01 6.893000000000000000e+04
1.828415224475618661e+00 2.313902001077950388e+01 6.921800000000000000e+04
1.852957785002211422e+00 2.260905844182906321e+01 7.208600000000000000e+04
1.877516303117015672e+00 2.221031109902401468e+01 7.321600000000000000e+04
1.902003194583360202e+00 2.180069981739336171e+01 7.536400000000000000e+04
1.926459206259836909e+00 2.131756451299889932e+01 7.714200000000000000e+04
1.950979244101561871e+00 2.082433012372865733e+01 7.932200000000000000e+04
1.975457770288180148e+00 2.052271990877250474e+01 8.112200000000000000e+04
1.999996309013334805e+00 2.019471639772185156e+01 8.374000000000000000e+04
2.024695913452227547e+00 1.983709113203963170e+01 8.622800000000000000e+04
2.049270495590969521e+00 1.927086189629391555e+01 8.724200000000000000e+04
2.073767679346899317e+00 1.907201750879860214e+01 8.950400000000000000e+04
2.098324428534850128e+00 1.854527256817185688e+01 9.236600000000000000e+04
2.122935889074646809e+00 1.836072273490878359e+01 9.390800000000000000e+04
2.147465173093049629e+00 1.798361609531770355e+01 9.622600000000000000e+04
2.171851386770913273e+00 1.776502494543078470e+01 9.717200000000000000e+04
2.196429360365885319e+00 1.739251848692177660e+01 1.019960000000000000e+05
2.221105043850578831e+00 1.703814419970703753e+01 1.028340000000000000e+05
2.245633118720809840e+00 1.666664117953867574e+01 1.049360000000000000e+05
2.270148613403661475e+00 1.652582874202623842e+01 1.076640000000000000e+05
2.294696009023289740e+00 1.627753273877433315e+01 1.097300000000000000e+05
2.319241441457444708e+00 1.594456996108132252e+01 1.122420000000000000e+05
2.343770146594723602e+00 1.567904740306283529e+01 1.145480000000000000e+05
2.368234709664871041e+00 1.545402422724339786e+01 1.162040000000000000e+05
2.392776617152194252e+00 1.517206912233376492e+01 1.202100000000000000e+05
2.417436309943946426e+00 1.496309012096499025e+01 1.222240000000000000e+05
2.441964092100820327e+00 1.479409014113877419e+01 1.240000000000000000e+05
2.466420201333919149e+00 1.453449782131539259e+01 1.264900000000000000e+05
2.491026169981223948e+00 1.437053310349886104e+01 1.302980000000000000e+05
2.515591102978649296e+00 1.412442905228848922e+01 1.315160000000000000e+05
2.540133082400877651e+00 1.391663875337858158e+01 1.350280000000000000e+05
2.564697215405975061e+00 1.366762619743441221e+01 1.370340000000000000e+05
2.589228454518015088e+00 1.340065893908473349e+01 1.399400000000000000e+05
2.613757183180440702e+00 1.327969348879002176e+01 1.420440000000000000e+05
2.638313502207512595e+00 1.296288393571084185e+01 1.460980000000000000e+05
2.662834301341306720e+00 1.279953147429588611e+01 1.466160000000000000e+05
2.687347884782291363e+00 1.271072016153156881e+01 1.516080000000000000e+05
2.711870266169386756e+00 1.253797483366731313e+01 1.521540000000000000e+05
2.736410240969383345e+00 1.223611535713491882e+01 1.573620000000000000e+05
2.760989340439442330e+00 1.205677925279637641e+01 1.585880000000000000e+05
2.785558473191997120e+00 1.192059863518301732e+01 1.622680000000000000e+05
2.810141778825738346e+00 1.175169136474679910e+01 1.650500000000000000e+05
2.834718102903821535e+00 1.157551057705985897e+01 1.677360000000000000e+05
2.859242120224363859e+00 1.143854101508904186e+01 1.702080000000000000e+05
2.883795674146918397e+00 1.124037873615022320e+01 1.739060000000000000e+05
2.908310367032441501e+00 1.108472603523424205e+01 1.755300000000000000e+05
2.932762648979863496e+00 1.097754128254747030e+01 1.792520000000000000e+05
2.957354671686772463e+00 1.081108647802471445e+01 1.830680000000000000e+05
2.981929099202057287e+00 1.065453433950234441e+01 1.854820000000000000e+05
3.006447522980065568e+00 1.051650059054630226e+01 1.880620000000000000e+05
3.031021325283102197e+00 1.045216173401702342e+01 1.926420000000000000e+05
3.055617158894413432e+00 1.025067321321242986e+01 1.947140000000000000e+05
3.080222423553735211e+00 1.013076801070415023e+01 1.988180000000000000e+05
3.104658431249708972e+00 9.936498092813609517e+00 1.985880000000000000e+05
3.129104157143472342e+00 9.798708858495436047e+00 2.049720000000000000e+05
3.153666107892540982e+00 9.690898083157813758e+00 2.070900000000000000e+05
3.178236510403852577e+00 9.535804740099813159e+00 2.116040000000000000e+05
3.202807723967755482e+00 9.486761250223725739e+00 2.135000000000000000e+05
3.227328988644422747e+00 9.322989919715761076e+00 2.174580000000000000e+05
3.251918303643163366e+00 9.206369476589479461e+00 2.211220000000000000e+05
3.276553677281378363e+00 9.075867679332915827e+00 2.251740000000000000e+05
3.301054613449531328e+00 8.905134544855652479e+00 2.254580000000000000e+05
3.325520506708000035e+00 8.898443858744505164e+00 2.307780000000000000e+05
