# k, P(k), Nmodes
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.476422409025522325e-02 6.965778780223872673e+02 2.600000000000000000e+01
6.013017737617095543e-02 4.316611656780863768e+02 7.200000000000000000e+01
8.418151618618714693e-02 2.899247886166278931e+02 1.520000000000000000e+02
1.087367500886957938e-01 1.902096568162772883e+02 2.340000000000000000e+02
1.343722219507281490e-01 1.537183257439131410e+02 4.160000000000000000e+02
1.587124844392140688e-01 1.101858592259632559e+02 4.800000000000000000e+02
1.829253236177555419e-01 8.712462499791470805e+01 7.220000000000000000e+02
2.074764920249410893e-01 7.097805160128508817e+01 8.740000000000000000e+02
2.323188502694161217e-01 5.857061788892814036e+01 1.162000000000000000e+03
2.568837897152542737e-01 4.761597624045618460e+01 1.358000000000000000e+03
2.811677721420339782e-01 4.167858674556076437e+01 1.632000000000000000e+03
3.062790434346451818e-01 3.449988887221215350e+01 2.036000000000000000e+03
3.313311990205343727e-01 3.090487403678836742e+01 2.310000000000000000e+03
3.554505676832757644e-01 2.580133272310589376e+01 2.528000000000000000e+03
3.797409759428852505e-01 2.279424362478267341e+01 3.068000000000000000e+03
4.042043237165472980e-01 2.064068520744936563e+01 3.306000000000000000e+03
4.287673421450296507e-01 1.814999959807621366e+01 3.934000000000000000e+03
4.534562801006977173e-01 1.603841687655112125e+01 4.266000000000000000e+03
4.780738444491431371e-01 1.457411232302393778e+01 4.794000000000000000e+03
5.026630068413446839e-01 1.334700645428281618e+01 5.270000000000000000e+03
5.271487706313333632e-01 1.213150586285145849e+01 5.754000000000000000e+03
5.515550784249925176e-01 1.102450794520151689e+01 6.344000000000000000e+03
5.762450688919315001e-01 1.043910964564620869e+01 7.014000000000000000e+03
6.007380805735611506e-01 9.247682111929325544e+00 7.364000000000000000e+03
6.253672373831143938e-01 8.692783789545185158e+00 8.402000000000000000e+03
6.501755823830386305e-01 7.916942022507936549e+00 8.738000000000000000e+03
6.747760941225345865e-01 7.544576658545313563e+00 9.670000000000000000e+03
6.991949513373587610e-01 7.001961560222584424e+00 9.880000000000000000e+03
7.236228637511089579e-01 6.451374734078980211e+00 1.113000000000000000e+04
7.480317977018523523e-01 6.041979150781593866e+00 1.140000000000000000e+04
7.726576112572679511e-01 5.751834247034625314e+00 1.272200000000000000e+04
7.973030407408827624e-01 5.306209210323108216e+00 1.317000000000000000e+04
8.219050394031606199e-01 4.970258774989173567e+00 1.418600000000000000e+04
8.465029529859586788e-01 4.641461450645071984e+00 1.495800000000000000e+04
8.710314617807571880e-01 4.543504727242289931e+00 1.580200000000000000e+04
8.955964540390221051e-01 4.107266489580553070e+00 1.674600000000000000e+04
9.200327912485964932e-01 4.007368509667979417e+00 1.753400000000000000e+04
9.445818830773816677e-01 3.783648828771993156e+00 1.869000000000000000e+04
9.691428403852909712e-01 3.529981446570000347e+00 1.958600000000000000e+04
9.936398339652569023e-01 3.431195506576383725e+00 2.052400000000000000e+04
1.018176782820507942e+00 3.289859771048320614e+00 2.165200000000000000e+04
