# k, P(k), Nmodes
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.476422409025522325e-02 2.017509338121105611e+04 2.600000000000000000e+01
6.013017737617095543e-02 1.276922408817643372e+04 7.200000000000000000e+01
8.418151618618714693e-02 7.957940059230742008e+03 1.520000000000000000e+02
1.087367500886957938e-01 5.840416993401056061e+03 2.340000000000000000e+02
1.343722219507281490e-01 4.929158190046786331e+03 4.160000000000000000e+02
1.587124844392140688e-01 3.798602847661504256e+03 4.800000000000000000e+02
1.829253236177555419e-01 2.971922842243041941e+03 7.220000000000000000e+02
2.074764920249410893e-01 2.545946587677635307e+03 8.740000000000000000e+02
2.323188502694161217e-01 2.411114408041512888e+03 1.162000000000000000e+03
2.568837897152542737e-01 1.861956915626392856e+03 1.358000000000000000e+03
2.811677721420339782e-01 1.747156475311992835e+03 1.632000000000000000e+03
3.062790434346451818e-01 1.574172323939948910e+03 2.036000000000000000e+03
3.313311990205343727e-01 1.519793116953384697e+03 2.310000000000000000e+03
3.554505676832757644e-01 1.295883316250918142e+03 2.528000000000000000e+03
3.797409759428852505e-01 1.171626108893019364e+03 3.068000000000000000e+03
4.042043237165472980e-01 1.145159280006935660e+03 3.306000000000000000e+03
4.287673421450296507e-01 1.063361318127266031e+03 3.934000000000000000e+03
4.534562801006977173e-01 9.434369472363586056e+02 4.266000000000000000e+03
4.780738444491431371e-01 9.480231458197532675e+02 4.794000000000000000e+03
5.026630068413446839e-01 8.703560793235436677e+02 5.270000000000000000e+03
5.271487706313333632e-01 8.299181594288546648e+02 5.754000000000000000e+03
5.515550784249925176e-01 7.797450996959714757e+02 6.344000000000000000e+03
5.762450688919315001e-01 7.696040897532299141e+02 7.014000000000000000e+03
6.007380805735611506e-01 7.198085401237340193e+02 7.364000000000000000e+03
6.253672373831143938e-01 6.990989068349214222e+02 8.402000000000000000e+03
6.501755823830386305e-01 6.830364544608897859e+02 8.738000000000000000e+03
6.747760941225345865e-01 6.476405759471676902e+02 9.670000000000000000e+03
6.991949513373587610e-01 6.292918239389987320e+02 9.880000000000000000e+03
7.236228637511089579e-01 6.054954184998814526e+02 1.113000000000000000e+04
7.480317977018523523e-01 5.866185124571926508e+02 1.140000000000000000e+04
7.726576112572679511e-01 5.819068152423342326e+02 1.272200000000000000e+04
7.973030407408827624e-01 5.621307338586711921e+02 1.317000000000000000e+04
8.219050394031606199e-01 5.386180304684494331e+02 1.418600000000000000e+04
8.465029529859586788e-01 5.176674275290594096e+02 1.495800000000000000e+04
8.710314617807571880e-01 5.130597138161909925e+02 1.580200000000000000e+04
8.955964540390221051e-01 5.016795410654785314e+02 1.674600000000000000e+04
9.200327912485964932e-01 4.907197771043314560e+02 1.753400000000000000e+04
9.445818830773816677e-01 4.761604878225290349e+02 1.869000000000000000e+04
9.691428403852909712e-01 4.632301306162905234e+02 1.958600000000000000e+04
9.936398339652569023e-01 4.605093384250315580e+02 2.052400000000000000e+04
1.018176782820507942e+00 4.433701137042032201e+02 2.165200000000000000e+04
1.042766853365621582e+00 4.432247466209020672e+02 2.276000000000000000e+04
1.067432079366278153e+00 4.270845332084566053e+02 2.389200000000000000e+04
1.092007825972616253e+00 4.126541151985544502e+02 2.485400000000000000e+04
1.116555949281071269e+00 4.131325427721051256e+02 2.604000000000000000e+04
1.140969998657552109e+00 4.002555304259641957e+02 2.680400000000000000e+04
1.165412799157594437e+00 3.994733883131618768e+02 2.850000000000000000e+04
1.190057268598827767e+00 3.818542058350504362e+02 2.956400000000000000e+04
1.214617866389426926e+00 3.793828888729179312e+02 3.083400000000000000e+04
1.239153515017866303e+00 3.717106089463799208e+02 3.189000000000000000e+04
1.263794672254038076e+00 3.599960595989427361e+02 3.376600000000000000e+04
1.288426493777925508e+00 3.559747154509007601e+02 3.446400000000000000e+04
1.313029045166066222e+00 3.467116848342595858e+02 3.622000000000000000e+04
1.337417753268757670e+00 3.400432148279742819e+02 3.667000000000000000e+04
1.361925448145902662e+00 3.328426297165563597e+02 3.911400000000000000e+04
1.386503814700803305e+00 3.330582290097657392e+02 3.989800000000000000e+04
1.410925965910736268e+00 3.224992808238982889e+02 4.126400000000000000e+04
1.435480380696713132e+00 3.189283884475162267e+02 4.332000000000000000e+04
1.460033395611762819e+00 3.118851615703902098e+02 4.418400000000000000e+04
1.484681614846454778e+00 3.066203722299348442e+02 4.654800000000000000e+04
1.509254924902153627e+00 3.014574507301298354e+02 4.719800000000000000e+04
1.533680946131934064e+00 2.948067946030677149e+02 4.880200000000000000e+04
1.558325242020618395e+00 2.900640050178027991e+02 5.141800000000000000e+04
1.582898818657196172e+00 2.835313371408249168e+02 5.158800000000000000e+04
1.607456402752097668e+00 2.798758793404430776e+02 5.464400000000000000e+04
1.631994660923775875e+00 2.756118170312717552e+02 5.484200000000000000e+04
1.656426602680801441e+00 2.686131357252004932e+02 5.733800000000000000e+04
1.681030763944247663e+00 2.628161829091164918e+02 5.921400000000000000e+04
1.705626778692082679e+00 2.604511097611269861e+02 6.064200000000000000e+04
1.730101932693856259e+00 2.565965978027736014e+02 6.220200000000000000e+04
1.754558260322716334e+00 2.511036269698444130e+02 6.399000000000000000e+04
1.779072581939174391e+00 2.476771915094957137e+02 6.596200000000000000e+04
1.803774998375834437e+00 2.452891337195232211e+02 6.893000000000000000e+04
1.828415224475618661e+00 2.364180254491058122e+02 6.921800000000000000e+04
1.852957785002211422e+00 2.345177179547460753e+02 7.208600000000000000e+04
1.877516303117015672e+00 2.314464678213783202e+02 7.321600000000000000e+04
1.902003194583360202e+00 2.279198430266351352e+02 7.536400000000000000e+04
1.926459206259836909e+00 2.197505155028475201e+02 7.714200000000000000e+04
1.950979244101561871e+00 2.158362282892002781e+02 7.932200000000000000e+04
1.975457770288180148e+00 2.138461255071032667e+02 8.112200000000000000e+04
1.999996309013334805e+00 2.097165257624115782e+02 8.374000000000000000e+04
2.024695913452227547e+00 2.078689765614497276e+02 8.622800000000000000e+04
2.049270495590969521e+00 2.024403432996219294e+02 8.724200000000000000e+04
2.073767679346899317e+00 1.987663914632994704e+02 8.950400000000000000e+04
2.098324428534850128e+00 1.975985932458812897e+02 9.236600000000000000e+04
2.122935889074646809e+00 1.908083061264210016e+02 9.390800000000000000e+04
2.147465173093049629e+00 1.882423388576677610e+02 9.622600000000000000e+04
2.171851386770913273e+00 1.872914348523465264e+02 9.717200000000000000e+04
2.196429360365885319e+00 1.825923798560667990e+02 1.019960000000000000e+05
2.221105043850578831e+00 1.798481551994892129e+02 1.028340000000000000e+05
2.245633118720809840e+00 1.770817963739447691e+02 1.049360000000000000e+05
2.270148613403661475e+00 1.721818229327280108e+02 1.076640000000000000e+05
2.294696009023289740e+00 1.689567013867124672e+02 1.097300000000000000e+05
2.319241441457444708e+00 1.654676987746720442e+02 1.122420000000000000e+05
2.343770146594723602e+00 1.640919123738918870e+02 1.145480000000000000e+05
2.368234709664871041e+00 1.607112669855002309e+02 1.162040000000000000e+05
2.392776617152194252e+00 1.579887785652332184e+02 1.202100000000000000e+05
2.417436309943946426e+00 1.540452131315161637e+02 1.222240000000000000e+05
2.441964092100820327e+00 1.515902463471620365e+02 1.240000000000000000e+05
2.466420201333919149e+00 1.479928566169394060e+02 1.264900000000000000e+05
2.491026169981223948e+00 1.460682866353722602e+02 1.302980000000000000e+05
2.515591102978649296e+00 1.429501033691026066e+02 1.315160000000000000e+05
2.540133082400877651e+00 1.405483557714918845e+02 1.350280000000000000e+05
2.564697215405975061e+00 1.374316012957534667e+02 1.370340000000000000e+05
2.589228454518015088e+00 1.350607769204747228e+02 1.399400000000000000e+05
2.613757183180440702e+00 1.334152310251608355e+02 1.420440000000000000e+05
2.638313502207512595e+00 1.312052152612508564e+02 1.460980000000000000e+05
2.662834301341306720e+00 1.287985896018366248e+02 1.466160000000000000e+05
2.687347884782291363e+00 1.257489866436060026e+02 1.516080000000000000e+05
2.711870266169386756e+00 1.238958786377288419e+02 1.521540000000000000e+05
2.736410240969383345e+00 1.217239085862929358e+02 1.573620000000000000e+05
2.760989340439442330e+00 1.194444178246898502e+02 1.585880000000000000e+05
2.785558473191997120e+00 1.174124038986441008e+02 1.622680000000000000e+05
2.810141778825738346e+00 1.152509093890636223e+02 1.650500000000000000e+05
2.834718102903821535e+00 1.132222431853874838e+02 1.677360000000000000e+05
2.859242120224363859e+00 1.118563303059622882e+02 1.702080000000000000e+05
2.883795674146918397e+00 1.097023104493775634e+02 1.739060000000000000e+05
2.908310367032441501e+00 1.084520757926138828e+02 1.755300000000000000e+05
2.932762648979863496e+00 1.061163053501214932e+02 1.792520000000000000e+05
2.957354671686772463e+00 1.047179422665928712e+02 1.830680000000000000e+05
2.981929099202057287e+00 1.022859157913405284e+02 1.854820000000000000e+05
3.006447522980065568e+00 1.011271324394770517e+02 1.880620000000000000e+05
3.031021325283102197e+00 9.985490589111739723e+01 1.926420000000000000e+05
3.055617158894413432e+00 9.820596727989729402e+01 1.947140000000000000e+05
3.080222423553735211e+00 9.682409473983388182e+01 1.988180000000000000e+05
3.104658431249708972e+00 9.541996320388354036e+01 1.985880000000000000e+05
3.129104157143472342e+00 9.441218347778286102e+01 2.049720000000000000e+05
