# k, P(k), Nmodes
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.476422409025522325e-02 4.358716157942669270e+03 2.600000000000000000e+01
6.013017737617095543e-02 3.029888036675610238e+03 7.200000000000000000e+01
8.418151618618714693e-02 1.850435333869841998e+03 1.520000000000000000e+02
1.087367500886957938e-01 1.275400142700618062e+03 2.340000000000000000e+02
1.343722219507281490e-01 1.021855155299281023e+03 4.160000000000000000e+02
1.587124844392140688e-01 7.686623722253477808e+02 4.800000000000000000e+02
1.829253236177555419e-01 5.878456900336265107e+02 7.220000000000000000e+02
2.074764920249410893e-01 4.849410844760155896e+02 8.740000000000000000e+02
2.323188502694161217e-01 4.318068493586318368e+02 1.162000000000000000e+03
2.568837897152542737e-01 3.166728289778497469e+02 1.358000000000000000e+03
2.811677721420339782e-01 2.942903977326772633e+02 1.632000000000000000e+03
3.062790434346451818e-01 2.575651567955197834e+02 2.036000000000000000e+03
3.313311990205343727e-01 2.325272379870612554e+02 2.310000000000000000e+03
3.554505676832757644e-01 1.911544521746477585e+02 2.528000000000000000e+03
3.797409759428852505e-01 1.707612728502866162e+02 3.068000000000000000e+03
4.042043237165472980e-01 1.614799574409331342e+02 3.306000000000000000e+03
4.287673421450296507e-01 1.419191936514765757e+02 3.934000000000000000e+03
4.534562801006977173e-01 1.269475494659373993e+02 4.266000000000000000e+03
4.780738444491431371e-01 1.181447763719529007e+02 4.794000000000000000e+03
5.026630068413446839e-01 1.093738922688552293e+02 5.270000000000000000e+03
5.271487706313333632e-01 1.037333330105849001e+02 5.754000000000000000e+03
5.515550784249925176e-01 9.210348298689727642e+01 6.344000000000000000e+03
5.762450688919315001e-01 9.009248464610111284e+01 7.014000000000000000e+03
6.007380805735611506e-01 8.001332967902892790e+01 7.364000000000000000e+03
6.253672373831143938e-01 7.700645335007924075e+01 8.402000000000000000e+03
6.501755823830386305e-01 7.132564655232636142e+01 8.738000000000000000e+03
6.747760941225345865e-01 6.866909010254460100e+01 9.670000000000000000e+03
6.991949513373587610e-01 6.411187135820675564e+01 9.880000000000000000e+03
7.236228637511089579e-01 6.005946636082653356e+01 1.113000000000000000e+04
7.480317977018523523e-01 5.686374902388165964e+01 1.140000000000000000e+04
7.726576112572679511e-01 5.475343070146384861e+01 1.272200000000000000e+04
7.973030407408827624e-01 5.131974114373030460e+01 1.317000000000000000e+04
8.219050394031606199e-01 4.983906576352224249e+01 1.418600000000000000e+04
8.465029529859586788e-01 4.463567737995522577e+01 1.495800000000000000e+04
8.710314617807571880e-01 4.456732039605850559e+01 1.580200000000000000e+04
8.955964540390221051e-01 4.047576792017442671e+01 1.674600000000000000e+04
9.200327912485964932e-01 4.044110179958507700e+01 1.753400000000000000e+04
9.445818830773816677e-01 3.823079637926142027e+01 1.869000000000000000e+04
9.691428403852909712e-01 3.709672645331747987e+01 1.958600000000000000e+04
9.936398339652569023e-01 3.600175307785048062e+01 2.052400000000000000e+04
1.018176782820507942e+00 3.512611318637126345e+01 2.165200000000000000e+04
1.042766853365621582e+00 3.363193330893068378e+01 2.276000000000000000e+04
1.067432079366278153e+00 3.174115794935104162e+01 2.389200000000000000e+04
1.092007825972616253e+00 3.022336238723686108e+01 2.485400000000000000e+04
1.116555949281071269e+00 3.008840155179115428e+01 2.604000000000000000e+04
1.140969998657552109e+00 2.893889197837171068e+01 2.680400000000000000e+04
1.165412799157594437e+00 2.764806008421814809e+01 2.850000000000000000e+04
1.190057268598827767e+00 2.653998783126535344e+01 2.956400000000000000e+04
1.214617866389426926e+00 2.503444603981005656e+01 3.083400000000000000e+04
1.239153515017866303e+00 2.493730885416789533e+01 3.189000000000000000e+04
1.263794672254038076e+00 2.360168217949665248e+01 3.376600000000000000e+04
1.288426493777925508e+00 2.326027533734789898e+01 3.446400000000000000e+04
1.313029045166066222e+00 2.232461123219558274e+01 3.622000000000000000e+04
1.337417753268757670e+00 2.194706014909395009e+01 3.667000000000000000e+04
1.361925448145902662e+00 2.137353678580066685e+01 3.911400000000000000e+04
1.386503814700803305e+00 2.056416371570861301e+01 3.989800000000000000e+04
1.410925965910736268e+00 2.008482525838407184e+01 4.126400000000000000e+04
1.435480380696713132e+00 1.897683969527511039e+01 4.332000000000000000e+04
1.460033395611762819e+00 1.859661900064753226e+01 4.418400000000000000e+04
1.484681614846454778e+00 1.814194442279712405e+01 4.654800000000000000e+04
1.509254924902153627e+00 1.749015961362779947e+01 4.719800000000000000e+04
1.533680946131934064e+00 1.717050226856241935e+01 4.880200000000000000e+04
1.558325242020618395e+00 1.641329565052031114e+01 5.141800000000000000e+04
1.582898818657196172e+00 1.604678560297347900e+01 5.158800000000000000e+04
1.607456402752097668e+00 1.576886046811229392e+01 5.464400000000000000e+04
1.631994660923775875e+00 1.536267918989944903e+01 5.484200000000000000e+04
1.656426602680801441e+00 1.460409437289406576e+01 5.733800000000000000e+04
1.681030763944247663e+00 1.406341440391460473e+01 5.921400000000000000e+04
1.705626778692082679e+00 1.392919030583096429e+01 6.064200000000000000e+04
1.730101932693856259e+00 1.354371015558541380e+01 6.220200000000000000e+04
1.754558260322716334e+00 1.340395493963497842e+01 6.399000000000000000e+04
1.779072581939174391e+00 1.302800626631456105e+01 6.596200000000000000e+04
1.803774998375834437e+00 1.252261353935609556e+01 6.893000000000000000e+04
1.828415224475618661e+00 1.235046777797935746e+01 6.921800000000000000e+04
1.852957785002211422e+00 1.184618360639187351e+01 7.208600000000000000e+04
1.877516303117015672e+00 1.161413622753956609e+01 7.321600000000000000e+04
1.902003194583360202e+00 1.146702614935226094e+01 7.536400000000000000e+04
1.926459206259836909e+00 1.094331239206779571e+01 7.714200000000000000e+04
1.950979244101561871e+00 1.053447310188277264e+01 7.932200000000000000e+04
1.975457770288180148e+00 1.036545623870547139e+01 8.112200000000000000e+04
1.999996309013334805e+00 1.014834142270513695e+01 8.374000000000000000e+04
