# k, P(k), Nmodes
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.476422409025522325e-02 2.542525180369972441e+04 2.600000000000000000e+01
6.013017737617095543e-02 2.239475238399964655e+04 7.200000000000000000e+01
8.418151618618714693e-02 1.432972962689845735e+04 1.520000000000000000e+02
1.087367500886957938e-01 1.115540938337496846e+04 2.340000000000000000e+02
1.343722219507281490e-01 1.056681488528362024e+04 4.160000000000000000e+02
1.587124844392140688e-01 9.254311106468287107e+03 4.800000000000000000e+02
1.829253236177555419e-01 7.807980346860147620e+03 7.220000000000000000e+02
2.074764920249410893e-01 6.688015172497424828e+03 8.740000000000000000e+02
2.323188502694161217e-01 6.747978525650901247e+03 1.162000000000000000e+03
2.568837897152542737e-01 6.070345950046180405e+03 1.358000000000000000e+03
2.811677721420339782e-01 5.523358818320277351e+03 1.632000000000000000e+03
3.062790434346451818e-01 5.647210912312292749e+03 2.036000000000000000e+03
3.313311990205343727e-01 5.156633732805298678e+03 2.310000000000000000e+03
3.554505676832757644e-01 5.071746727208063021e+03 2.528000000000000000e+03
3.797409759428852505e-01 4.397760853412631150e+03 3.068000000000000000e+03
4.042043237165472980e-01 4.779287972219575749e+03 3.306000000000000000e+03
4.287673421450296507e-01 4.485643040657968413e+03 3.934000000000000000e+03
4.534562801006977173e-01 4.252734242723827265e+03 4.266000000000000000e+03
4.780738444491431371e-01 4.132263440758471006e+03 4.794000000000000000e+03
5.026630068413446839e-01 4.119524908868095736e+03 5.270000000000000000e+03
5.271487706313333632e-01 4.047900010811389620e+03 5.754000000000000000e+03
5.515550784249925176e-01 3.810859214880483705e+03 6.344000000000000000e+03
5.762450688919315001e-01 3.837313884947465340e+03 7.014000000000000000e+03
6.007380805735611506e-01 3.709961040444406535e+03 7.364000000000000000e+03
6.253672373831143938e-01 3.724515494568419399e+03 8.402000000000000000e+03
6.501755823830386305e-01 3.461612642376656368e+03 8.738000000000000000e+03
6.747760941225345865e-01 3.486233021927728259e+03 9.670000000000000000e+03
6.991949513373587610e-01 3.414525855168433736e+03 9.880000000000000000e+03
7.236228637511089579e-01 3.391708630795281351e+03 1.113000000000000000e+04
7.480317977018523523e-01 3.250285795242043150e+03 1.140000000000000000e+04
7.726576112572679511e-01 3.259983852565902453e+03 1.272200000000000000e+04
7.973030407408827624e-01 3.286450285970551249e+03 1.317000000000000000e+04
8.219050394031606199e-01 3.267459641984045902e+03 1.418600000000000000e+04
8.465029529859586788e-01 3.078441262838377952e+03 1.495800000000000000e+04
8.710314617807571880e-01 3.077276517280654843e+03 1.580200000000000000e+04
8.955964540390221051e-01 3.010188488658211099e+03 1.674600000000000000e+04
9.200327912485964932e-01 3.043219607743681991e+03 1.753400000000000000e+04
9.445818830773816677e-01 2.911976168603242513e+03 1.869000000000000000e+04
9.691428403852909712e-01 2.878658295632297722e+03 1.958600000000000000e+04
9.936398339652569023e-01 2.848890184543393843e+03 2.052400000000000000e+04
1.018176782820507942e+00 2.839299360362092557e+03 2.165200000000000000e+04
1.042766853365621582e+00 2.784648436214340109e+03 2.276000000000000000e+04
1.067432079366278153e+00 2.739596575342325195e+03 2.389200000000000000e+04
1.092007825972616253e+00 2.708722763438353923e+03 2.485400000000000000e+04
1.116555949281071269e+00 2.675154615904598359e+03 2.604000000000000000e+04
1.140969998657552109e+00 2.608900190933149133e+03 2.680400000000000000e+04
1.165412799157594437e+00 2.591615198404857892e+03 2.850000000000000000e+04
1.190057268598827767e+00 2.538872448105002150e+03 2.956400000000000000e+04
1.214617866389426926e+00 2.500529367917309173e+03 3.083400000000000000e+04
1.239153515017866303e+00 2.473243540092081275e+03 3.189000000000000000e+04
1.263794672254038076e+00 2.444401075411081820e+03 3.376600000000000000e+04
1.288426493777925508e+00 2.421345085455911885e+03 3.446400000000000000e+04
1.313029045166066222e+00 2.371670068023428939e+03 3.622000000000000000e+04
1.337417753268757670e+00 2.329624842378207632e+03 3.667000000000000000e+04
1.361925448145902662e+00 2.311452209988175582e+03 3.911400000000000000e+04
1.386503814700803305e+00 2.286599014072055070e+03 3.989800000000000000e+04
1.410925965910736268e+00 2.267279209676623395e+03 4.126400000000000000e+04
1.435480380696713132e+00 2.197834123717175771e+03 4.332000000000000000e+04
1.460033395611762819e+00 2.184391829544239954e+03 4.418400000000000000e+04
1.484681614846454778e+00 2.145211727114316545e+03 4.654800000000000000e+04
1.509254924902153627e+00 2.123490076834790671e+03 4.719800000000000000e+04
1.533680946131934064e+00 2.110469712436136888e+03 4.880200000000000000e+04
1.558325242020618395e+00 2.058999387494923667e+03 5.141800000000000000e+04
1.582898818657196172e+00 2.073441318117324954e+03 5.158800000000000000e+04
1.607456402752097668e+00 2.005607068631195034e+03 5.464400000000000000e+04
1.631994660923775875e+00 1.994395978621093263e+03 5.484200000000000000e+04
1.656426602680801441e+00 1.932740443369769082e+03 5.733800000000000000e+04
1.681030763944247663e+00 1.913351419773927319e+03 5.921400000000000000e+04
1.705626778692082679e+00 1.904887170191918585e+03 6.064200000000000000e+04
1.730101932693856259e+00 1.867976137028450012e+03 6.220200000000000000e+04
1.754558260322716334e+00 1.863335241439186120e+03 6.399000000000000000e+04
1.779072581939174391e+00 1.842899811751445213e+03 6.596200000000000000e+04
1.803774998375834437e+00 1.795460570640712149e+03 6.893000000000000000e+04
1.828415224475618661e+00 1.780095570624107950e+03 6.921800000000000000e+04
1.852957785002211422e+00 1.735153495063949549e+03 7.208600000000000000e+04
1.877516303117015672e+00 1.710451378074943932e+03 7.321600000000000000e+04
1.902003194583360202e+00 1.692009796559670804e+03 7.536400000000000000e+04
1.926459206259836909e+00 1.679693070191467996e+03 7.714200000000000000e+04
1.950979244101561871e+00 1.638704972306258924e+03 7.932200000000000000e+04
1.975457770288180148e+00 1.619767054454414620e+03 8.112200000000000000e+04
1.999996309013334805e+00 1.594525236086037694e+03 8.374000000000000000e+04
2.024695913452227547e+00 1.568414668107755233e+03 8.622800000000000000e+04
2.049270495590969521e+00 1.557846676857816192e+03 8.724200000000000000e+04
2.073767679346899317e+00 1.529171161561039526e+03 8.950400000000000000e+04
2.098324428534850128e+00 1.482843518401972005e+03 9.236600000000000000e+04
2.122935889074646809e+00 1.477916148555340442e+03 9.390800000000000000e+04
2.147465173093049629e+00 1.455472455161263269e+03 9.622600000000000000e+04
2.171851386770913273e+00 1.423230554491241264e+03 9.717200000000000000e+04
2.196429360365885319e+00 1.407932134441987955e+03 1.019960000000000000e+05
2.221105043850578831e+00 1.382568600352017484e+03 1.028340000000000000e+05
2.245633118720809840e+00 1.368757514090732457e+03 1.049360000000000000e+05
2.270148613403661475e+00 1.338581297109498792e+03 1.076640000000000000e+05
2.294696009023289740e+00 1.319474882264671123e+03 1.097300000000000000e+05
2.319241441457444708e+00 1.300861030318530993e+03 1.122420000000000000e+05
2.343770146594723602e+00 1.281158749691936009e+03 1.145480000000000000e+05
2.368234709664871041e+00 1.253993444651751588e+03 1.162040000000000000e+05
2.392776617152194252e+00 1.243086559258674470e+03 1.202100000000000000e+05
2.417436309943946426e+00 1.221382143639618107e+03 1.222240000000000000e+05
2.441964092100820327e+00 1.202617074753293309e+03 1.240000000000000000e+05
2.466420201333919149e+00 1.191170606516854605e+03 1.264900000000000000e+05
2.491026169981223948e+00 1.165880866915130582e+03 1.302980000000000000e+05
2.515591102978649296e+00 1.153671704946205864e+03 1.315160000000000000e+05
2.540133082400877651e+00 1.135276369947776857e+03 1.350280000000000000e+05
2.564697215405975061e+00 1.111222263843464816e+03 1.370340000000000000e+05
2.589228454518015088e+00 1.099061826739091430e+03 1.399400000000000000e+05
2.613757183180440702e+00 1.075896886430612767e+03 1.420440000000000000e+05
2.638313502207512595e+00 1.058444349980945162e+03 1.460980000000000000e+05
2.662834301341306720e+00 1.047344730278411816e+03 1.466160000000000000e+05
2.687347884782291363e+00 1.037118368404401963e+03 1.516080000000000000e+05
2.711870266169386756e+00 1.018504825429267839e+03 1.521540000000000000e+05
2.736410240969383345e+00 1.001804479582153817e+03 1.573620000000000000e+05
2.760989340439442330e+00 9.935869930119916944e+02 1.585880000000000000e+05
2.785558473191997120e+00 9.756133699638558028e+02 1.622680000000000000e+05
2.810141778825738346e+00 9.640899525543513846e+02 1.650500000000000000e+05
2.834718102903821535e+00 9.487561092053277889e+02 1.677360000000000000e+05
2.859242120224363859e+00 9.327737675735374978e+02 1.702080000000000000e+05
2.883795674146918397e+00 9.192581997917066019e+02 1.739060000000000000e+05
2.908310367032441501e+00 9.120888385656990067e+02 1.755300000000000000e+05
2.932762648979863496e+00 8.996307171576805786e+02 1.792520000000000000e+05
2.957354671686772463e+00 8.892979188721991477e+02 1.830680000000000000e+05
2.981929099202057287e+00 8.723660076253836451e+02 1.854820000000000000e+05
3.006447522980065568e+00 8.659358496128533034e+02 1.880620000000000000e+05
3.031021325283102197e+00 8.569278495667039124e+02 1.926420000000000000e+05
3.055617158894413432e+00 8.474613200626067737e+02 1.947140000000000000e+05
3.080222423553735211e+00 8.341384775204562629e+02 1.988180000000000000e+05
3.104658431249708972e+00 8.239885266451193502e+02 1.985880000000000000e+05
3.129104157143472342e+00 8.160343182094190979e+02 2.049720000000000000e+05
