# k, P(k), Nmodes
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
3.476422409025522325e-02 5.756736870970816199e+03 2.600000000000000000e+01
6.013017737617095543e-02 3.670964015905789438e+03 7.200000000000000000e+01
8.418151618618714693e-02 2.345834302289441439e+03 1.520000000000000000e+02
1.087367500886957938e-01 1.579001111430557103e+03 2.340000000000000000e+02
1.343722219507281490e-01 1.337546068359721630e+03 4.160000000000000000e+02
1.587124844392140688e-01 9.726600493934311089e+02 4.800000000000000000e+02
1.829253236177555419e-01 7.531210055234208767e+02 7.220000000000000000e+02
2.074764920249410893e-01 6.296331656008917435e+02 8.740000000000000000e+02
2.323188502694161217e-01 5.400957243905494352e+02 1.162000000000000000e+03
2.568837897152542737e-01 4.326917859607708579e+02 1.358000000000000000e+03
2.811677721420339782e-01 3.894884693970741409e+02 1.632000000000000000e+03
3.062790434346451818e-01 3.289960245941902599e+02 2.036000000000000000e+03
3.313311990205343727e-01 3.078379669141189652e+02 2.310000000000000000e+03
3.554505676832757644e-01 2.577778191419640166e+02 2.528000000000000000e+03
3.797409759428852505e-01 2.293208507737466562e+02 3.068000000000000000e+03
4.042043237165472980e-01 2.132016497257651224e+02 3.306000000000000000e+03
4.287673421450296507e-01 1.897186740004011369e+02 3.934000000000000000e+03
4.534562801006977173e-01 1.676446796770644028e+02 4.266000000000000000e+03
4.780738444491431371e-01 1.611821489886439451e+02 4.794000000000000000e+03
5.026630068413446839e-01 1.448211975209052582e+02 5.270000000000000000e+03
5.271487706313333632e-01 1.335700022365808479e+02 5.754000000000000000e+03
5.515550784249925176e-01 1.244190530122529452e+02 6.344000000000000000e+03
5.762450688919315001e-01 1.176314352718897140e+02 7.014000000000000000e+03
6.007380805735611506e-01 1.084088103183110547e+02 7.364000000000000000e+03
6.253672373831143938e-01 1.022347843788348030e+02 8.402000000000000000e+03
6.501755823830386305e-01 9.615919720225213041e+01 8.738000000000000000e+03
6.747760941225345865e-01 9.058750172465808248e+01 9.670000000000000000e+03
6.991949513373587610e-01 8.581600363578439783e+01 9.880000000000000000e+03
7.236228637511089579e-01 8.102307648133542273e+01 1.113000000000000000e+04
7.480317977018523523e-01 7.592856302183012929e+01 1.140000000000000000e+04
7.726576112572679511e-01 7.287416600043545145e+01 1.272200000000000000e+04
7.973030407408827624e-01 6.924119223123015843e+01 1.317000000000000000e+04
8.219050394031606199e-01 6.522212742288969878e+01 1.418600000000000000e+04
8.465029529859586788e-01 6.202557599186813064e+01 1.495800000000000000e+04
8.710314617807571880e-01 5.864749906514110478e+01 1.580200000000000000e+04
8.955964540390221051e-01 5.592297749888022906e+01 1.674600000000000000e+04
9.200327912485964932e-01 5.480679017547439713e+01 1.753400000000000000e+04
9.445818830773816677e-01 5.139681377358275682e+01 1.869000000000000000e+04
9.691428403852909712e-01 4.985582782674391211e+01 1.958600000000000000e+04
9.936398339652569023e-01 4.839171589752216107e+01 2.052400000000000000e+04
1.018176782820507942e+00 4.598273847274713688e+01 2.165200000000000000e+04
1.042766853365621582e+00 4.541395351587599549e+01 2.276000000000000000e+04
1.067432079366278153e+00 4.350672588679304198e+01 2.389200000000000000e+04
1.092007825972616253e+00 4.093013621517397382e+01 2.485400000000000000e+04
1.116555949281071269e+00 3.944914222387593838e+01 2.604000000000000000e+04
1.140969998657552109e+00 3.806501672321154928e+01 2.680400000000000000e+04
1.165412799157594437e+00 3.759130130926797619e+01 2.850000000000000000e+04
1.190057268598827767e+00 3.515298767796794266e+01 2.956400000000000000e+04
