# Mcut=  1.8308e+09Msun/h.
#        k       b1_x       b1_a            Pkmm
   0.00869    3.38321    3.39255     8.00550e+02
   0.01503    3.33284    3.34260     9.51521e+02
   0.02105    3.35080    3.36143     9.26082e+02
   0.02718    3.36826    3.38089     8.24539e+02
   0.03359    3.38070    3.39210     7.03112e+02
   0.03968    3.38314    3.39884     5.98613e+02
   0.04573    3.35788    3.37592     5.21806e+02
   0.05187    3.38463    3.40467     4.68024e+02
   0.05808    3.39008    3.41149     4.36195e+02
   0.06422    3.36126    3.38187     4.03073e+02
   0.07029    3.36293    3.38816     3.77626e+02
   0.07657    3.38492    3.41243     3.40821e+02
   0.08283    3.37363    3.40525     3.03590e+02
   0.08886    3.38173    3.41734     2.66550e+02
   0.09494    3.36966    3.40731     2.34924e+02
   0.10105    3.39700    3.44016     2.11206e+02
   0.10719    3.37228    3.41699     1.92821e+02
   0.11336    3.38877    3.43534     1.81054e+02
   0.11952    3.39055    3.43952     1.72114e+02
   0.12567    3.39450    3.44434     1.65826e+02
   0.13179    3.42332    3.47529     1.57242e+02
   0.13789    3.40399    3.46016     1.45858e+02
   0.14406    3.41942    3.47953     1.35232e+02
   0.15018    3.41491    3.47901     1.22906e+02
   0.15634    3.40870    3.47888     1.12327e+02
   0.16254    3.42059    3.49495     1.03501e+02
   0.16869    3.42744    3.50418     9.76833e+01
   0.17480    3.42427    3.50555     9.23164e+01
   0.18091    3.40677    3.48945     8.81729e+01
   0.18701    3.42027    3.50480     8.54025e+01
   0.19316    3.42878    3.51589     8.26405e+01
   0.19933    3.42698    3.51823     7.78945e+01
   0.20548    3.43692    3.53172     7.32730e+01
   0.21163    3.43911    3.53652     6.90730e+01
   0.21776    3.44685    3.54875     6.47530e+01
   0.22390    3.44569    3.55105     6.01663e+01
   0.23001    3.45649    3.56695     5.78124e+01
   0.23615    3.45680    3.57255     5.50677e+01
   0.24229    3.44864    3.56596     5.27613e+01
   0.24841    3.46142    3.57857     5.13756e+01
   0.25454    3.45956    3.58008     4.94721e+01
   0.26069    3.46678    3.59262     4.74147e+01
   0.26686    3.45564    3.58296     4.53431e+01
   0.27300    3.47394    3.60461     4.33940e+01
   0.27914    3.48157    3.61295     4.14799e+01
   0.28524    3.48514    3.61776     3.97510e+01
   0.29135    3.49229    3.63467     3.77565e+01
   0.29751    3.48520    3.63127     3.61696e+01
   0.30365    3.49894    3.64639     3.49531e+01
   0.30979    3.50112    3.65270     3.38469e+01
   0.31595    3.49559    3.64704     3.27328e+01
   0.32211    3.50649    3.65683     3.17818e+01
   0.32826    3.49256    3.64993     3.05654e+01
   0.33435    3.50788    3.66832     2.94757e+01
   0.34048    3.50644    3.66991     2.83503e+01
   0.34663    3.51813    3.68858     2.74423e+01
   0.35273    3.52018    3.68801     2.63332e+01
   0.35887    3.52716    3.69946     2.54819e+01
   0.36501    3.52492    3.69985     2.46821e+01
   0.37117    3.53469    3.70981     2.41741e+01
   0.37731    3.54756    3.72497     2.33047e+01
   0.38342    3.54359    3.72840     2.23970e+01
   0.38958    3.53792    3.72366     2.18882e+01
   0.39572    3.54860    3.73303     2.13400e+01
   0.40186    3.54909    3.74095     2.06417e+01
   0.40800    3.55665    3.74945     2.00956e+01
   0.41411    3.54242    3.74143     1.93083e+01
   0.42026    3.56022    3.75690     1.88899e+01
   0.42641    3.56365    3.76348     1.82403e+01
   0.43253    3.55150    3.75903     1.75504e+01
   0.43864    3.55948    3.76308     1.73265e+01
   0.44477    3.55992    3.76646     1.68167e+01
   0.45094    3.57076    3.77712     1.64043e+01
   0.45710    3.56469    3.77926     1.59155e+01
   0.46324    3.57059    3.78276     1.55897e+01
   0.46938    3.58196    3.79342     1.52690e+01
   0.47550    3.57914    3.79599     1.47714e+01
   0.48161    3.58403    3.80253     1.43599e+01
