# Redshift space power spectrum multipoles.
# Subtracting SN=    0.00000e+00 from monopole.
#        k              P0              P2              P4
   0.00920     7.03453e+08    -2.48774e+05     1.24348e+07
   0.01534     2.86135e+08    -4.49320e+05     1.92132e+08
   0.02148     6.44311e+07    -7.53373e+04    -3.84746e+07
   0.02761     3.11907e+06     1.33747e+04    -7.45764e+06
   0.03375     7.27392e+06    -2.38098e+05     2.18032e+07
   0.03988     7.39615e+06    -1.83697e+05     2.26727e+07
   0.04602     2.26889e+06    -3.33389e+05     6.77012e+06
   0.05216     2.26587e+05    -1.15093e+04    -2.98271e+05
   0.05829     8.04585e+05     7.25043e+04     2.96226e+06
   0.06443     1.04872e+06     2.71163e+04     4.38240e+06
   0.07056     4.35149e+05    -1.89587e+04     1.52895e+06
   0.07670     5.06445e+04    -5.27411e+03     8.22949e+03
   0.08283     2.03105e+05     2.02904e+04     8.62983e+05
   0.08897     3.23512e+05     2.13942e+04     1.43192e+06
   0.09511     1.22010e+05     8.03051e+03     4.88348e+05
   0.10124     1.61464e+04     1.60260e+03     4.67809e+03
   0.10738     7.14958e+04    -4.80388e+03     2.79491e+05
   0.11351     1.11034e+05    -1.14970e+04     4.91863e+05
   0.11965     5.20815e+04    -8.49926e+03     2.04788e+05
   0.12579     7.23011e+03     9.82922e+02     2.49783e+03
   0.13192     3.27013e+04     7.09282e+03     1.42171e+05
   0.13806     5.21640e+04     6.61959e+03     2.38717e+05
   0.14419     2.21737e+04     3.22481e+03     9.02394e+04
   0.15033     4.09267e+03     1.08607e+03     2.16355e+03
   0.15647     1.74099e+04     7.61068e+01     7.13215e+04
   0.16260     2.78591e+04    -6.27073e+01     1.24482e+05
   0.16874     1.30975e+04     4.53614e+02     5.31776e+04
   0.17487     3.19775e+03     8.45109e+01     4.74212e+03
   0.18101     1.08854e+04    -1.17777e+03     4.31981e+04
   0.18715     1.57944e+04    -1.14379e+03     6.82513e+04
   0.19328     8.49288e+03     7.87850e+01     3.19473e+04
   0.19942     1.99596e+03     3.20494e+02     1.11969e+03
   0.20555     6.37038e+03    -9.61914e+02     2.34655e+04
   0.21169     1.01256e+04    -1.63903e+03     4.23445e+04
   0.21783     5.43580e+03    -3.67387e+02     1.99060e+04
   0.22396     1.50932e+03     4.80846e+02     5.34266e+02
   0.23010     4.28693e+03    -2.43248e+02     1.46284e+04
   0.23623     6.57234e+03    -9.51688e+02     2.65518e+04
   0.24237     3.72990e+03    -4.05130e+02     1.25707e+04
   0.24850     1.34856e+03     2.01390e+02     1.07304e+03
   0.25464     2.82932e+03    -1.24868e+02     8.90166e+03
   0.26078     4.62367e+03    -5.64864e+02     1.80662e+04
   0.26691     2.54128e+03    -6.78616e+01     7.80838e+03
   0.27305     9.95085e+02     2.28073e+02     2.52535e+02
   0.27918     2.39710e+03    -2.04973e+02     7.38612e+03
   0.28532     3.17964e+03    -4.10202e+02     1.14483e+04
   0.29146     1.99104e+03    -9.93948e+01     5.85394e+03
   0.29759     8.44123e+02     1.11926e+02     1.37674e+02
   0.30373     1.68675e+03    -3.23108e+02     4.38728e+03
   0.30986     2.46327e+03    -5.86978e+02     8.44769e+03
   0.31600     1.54368e+03    -1.71001e+02     4.06509e+03
   0.32214     7.51919e+02     8.81345e+01     3.74338e+02
   0.32827     1.28356e+03    -1.61045e+02     3.00742e+03
   0.33441     1.89951e+03    -3.95299e+02     6.16423e+03
