#        k       b1_x       b1_a            Pkmm
   0.00920    1.95725    1.95428     3.48597e+03
   0.01534    1.94559    1.94302     4.14665e+03
   0.02148    1.95250    1.94975     3.99962e+03
   0.02761    1.95390    1.95114     3.57237e+03
   0.03375    1.95934    1.95612     3.05953e+03
   0.03988    1.95499    1.95133     2.59608e+03
   0.04602    1.95621    1.95209     2.26050e+03
   0.05216    1.96091    1.95622     2.02239e+03
   0.05829    1.96280    1.95817     1.89911e+03
   0.06443    1.96014    1.95500     1.73738e+03
   0.07056    1.96175    1.95653     1.64351e+03
   0.07670    1.96536    1.95968     1.47765e+03
   0.08283    1.96781    1.96160     1.32235e+03
   0.08897    1.97118    1.96402     1.15309e+03
   0.09511    1.97051    1.96255     1.01891e+03
   0.10124    1.97793    1.96893     9.22349e+02
   0.10738    1.97519    1.96546     8.39221e+02
   0.11351    1.97890    1.96857     7.85918e+02
   0.11965    1.98043    1.96980     7.46025e+02
   0.12579    1.98414    1.97304     7.23660e+02
   0.13192    1.99247    1.98085     6.87563e+02
   0.13806    1.99026    1.97777     6.35084e+02
   0.14419    1.99628    1.98311     5.96803e+02
   0.15033    1.99411    1.97925     5.39765e+02
   0.15647    1.99791    1.98213     4.97203e+02
   0.16260    2.00247    1.98509     4.58875e+02
   0.16874    2.00654    1.98831     4.38383e+02
   0.17487    2.00911    1.98992     4.12385e+02
   0.18101    2.00817    1.98774     3.92096e+02
   0.18715    2.01437    1.99349     3.80114e+02
   0.19328    2.01570    1.99404     3.70606e+02
   0.19942    2.01434    1.99130     3.46890e+02
   0.20555    2.02095    1.99646     3.26905e+02
   0.21169    2.02337    1.99705     3.10688e+02
   0.21783    2.02838    2.00061     2.93926e+02
   0.22396    2.03145    2.00130     2.71643e+02
   0.23010    2.03698    2.00607     2.65637e+02
   0.23623    2.04009    2.00789     2.53395e+02
   0.24237    2.03760    2.00312     2.39870e+02
   0.24850    2.04445    2.00984     2.36359e+02
   0.25464    2.04670    2.01017     2.28642e+02
   0.26078    2.04848    2.01022     2.17947e+02
   0.26691    2.05056    2.01063     2.08678e+02
   0.27305    2.05574    2.01376     2.00223e+02
   0.27918    2.06017    2.01657     1.94459e+02
   0.28532    2.06003    2.01461     1.87516e+02
   0.29146    2.06412    2.01616     1.77750e+02
   0.29759    2.06861    2.01864     1.71017e+02
   0.30373    2.07235    2.02092     1.65599e+02
   0.30986    2.07506    2.02184     1.61453e+02
   0.31600    2.07515    2.01919     1.55570e+02
   0.32214    2.07964    2.02236     1.51612e+02
   0.32827    2.07950    2.01980     1.46210e+02
   0.33441    2.08646    2.02513     1.41052e+02
   0.34054    2.08856    2.02455     1.36719e+02
   0.34668    2.09292    2.02781     1.33207e+02
   0.35282    2.09605    2.02717     1.27775e+02
   0.35895    2.09821    2.02762     1.24787e+02
   0.36509    2.09948    2.02566     1.20447e+02
   0.37122    2.10249    2.02787     1.19956e+02
   0.37736    2.10792    2.03037     1.15427e+02
   0.38350    2.11188    2.03104     1.10550e+02
   0.38963    2.11111    2.02811     1.07946e+02
   0.39577    2.11564    2.03098     1.06525e+02
   0.40190    2.11770    2.03052     1.03497e+02
   0.40804    2.12221    2.03297     1.01484e+02
   0.41417    2.12312    2.02988     9.72904e+01
   0.42031    2.12612    2.03091     9.57993e+01
   0.42645    2.13259    2.03421     9.28738e+01
   0.43258    2.13292    2.03020     8.89097e+01
   0.43872    2.13361    2.03029     8.87288e+01
   0.44485    2.13533    2.02829     8.63699e+01
   0.45099    2.13804    2.02867     8.45651e+01
   0.45713    2.14199    2.03011     8.23718e+01
   0.46326    2.14455    2.03044     8.13149e+01
   0.46940    2.14751    2.03085     7.94835e+01
   0.47553    2.15066    2.03072     7.76869e+01
   0.48167    2.15263    2.02944     7.59996e+01
   0.48781    2.15474    2.02818     7.41752e+01
   0.49394    2.15772    2.02866     7.29520e+01
   0.50008    2.16108    2.02776     7.05326e+01
   0.50621    2.16209    2.02687     6.97058e+01
   0.51235    2.16289    2.02189     6.71487e+01
   0.51849    2.16758    2.02510     6.65967e+01
   0.52462    2.16652    2.02114     6.55271e+01
   0.53076    2.17060    2.02205     6.42268e+01
   0.53689    2.17105    2.01955     6.30667e+01
   0.54303    2.17288    2.01812     6.18660e+01
   0.54917    2.17705    2.01958     6.08374e+01
   0.55530    2.17766    2.01504     5.91861e+01
   0.56144    2.18225    2.01770     5.85126e+01
   0.56757    2.18333    2.01403     5.69976e+01
   0.57371    2.18539    2.01291     5.61329e+01
   0.57984    2.18460    2.00941     5.54359e+01
   0.58598    2.18887    2.01072     5.45132e+01
   0.59212    2.19112    2.00893     5.34391e+01
   0.59825    2.19428    2.00829     5.24654e+01
   0.60439    2.19656    2.00872     5.19620e+01
   0.61052    2.19699    2.00402     5.08597e+01
   0.61666    2.20070    2.00583     5.02258e+01
   0.62280    2.20188    2.00269     4.93709e+01
   0.62893    2.20404    2.00059     4.83748e+01
   0.63507    2.20598    1.99990     4.78449e+01
   0.64120    2.20719    1.99721     4.71974e+01
   0.64734    2.21149    1.99793     4.63230e+01
   0.65348    2.21261    1.99405     4.53762e+01
   0.65961    2.21190    1.99035     4.48393e+01
   0.66575    2.21517    1.98904     4.40958e+01
   0.67188    2.21695    1.98867     4.36541e+01
   0.67802    2.21983    1.98762     4.30444e+01
   0.68416    2.22066    1.98343     4.22175e+01
   0.69029    2.22347    1.98255     4.15303e+01
   0.69643    2.22359    1.97922     4.11090e+01
   0.70256    2.22589    1.97740     4.05005e+01
   0.70870    2.22622    1.97270     3.97822e+01
   0.71484    2.23043    1.97479     3.94754e+01
   0.72097    2.23124    1.97196     3.89833e+01
   0.72711    2.23312    1.96938     3.84143e+01
   0.73324    2.23491    1.96537     3.76427e+01
   0.73938    2.23904    1.96701     3.73018e+01
   0.74551    2.23348    1.95752     3.69347e+01
   0.75165    2.23791    1.95803     3.64231e+01
   0.75779    2.23944    1.95365     3.57600e+01
   0.76392    2.24160    1.95261     3.53986e+01
   0.77006    2.24201    1.94840     3.49677e+01
   0.77619    2.24356    1.94674     3.45744e+01
   0.78233    2.24526    1.94686     3.44513e+01
   0.78847    2.24795    1.94436     3.38982e+01
   0.79460    2.24932    1.94001     3.33412e+01
   0.80074    2.25074    1.93943     3.31720e+01
   0.80687    2.25180    1.93381     3.25625e+01
   0.81301    2.25104    1.92764     3.21062e+01
   0.81915    2.25171    1.92434     3.17764e+01
   0.82528    2.25463    1.92417     3.15141e+01
   0.83142    2.25385    1.91746     3.10349e+01
   0.83755    2.25696    1.91670     3.07284e+01
   0.84369    2.25748    1.91257     3.03392e+01
   0.84983    2.25868    1.90950     3.00148e+01
   0.85596    2.26159    1.90880     2.97070e+01
   0.86210    2.26273    1.90608     2.94482e+01
   0.86823    2.26301    1.90251     2.91760e+01
   0.87437    2.26388    1.89666     2.87067e+01
   0.88050    2.26437    1.89547     2.86501e+01
   0.88664    2.26689    1.88926     2.80531e+01
   0.89278    2.26609    1.88505     2.78558e+01
   0.89891    2.26562    1.87907     2.74782e+01
   0.90505    2.26867    1.87861     2.72563e+01
   0.91118    2.26906    1.87567     2.70621e+01
   0.91732    2.26999    1.87104     2.67815e+01
   0.92346    2.26974    1.86387     2.63643e+01
   0.92959    2.27173    1.86218     2.61517e+01
   0.93573    2.27088    1.85538     2.58674e+01
   0.94186    2.27378    1.85736     2.57840e+01
   0.94800    2.27462    1.85149     2.54221e+01
   0.95414    2.27622    1.84822     2.51720e+01
   0.96027    2.27572    1.84328     2.49499e+01
   0.96641    2.27671    1.84111     2.48204e+01
   0.97254    2.27671    1.83340     2.44550e+01
   0.97868    2.27728    1.83065     2.43036e+01
   0.98482    2.27923    1.82661     2.40176e+01
   0.99095    2.27926    1.82371     2.38919e+01
   0.99709    2.28112    1.81866     2.35659e+01
   1.00322    2.28078    1.81166     2.33060e+01
   1.00936    2.28089    1.81006     2.32593e+01
   1.01550    2.28134    1.80073     2.28285e+01
   1.02163    2.28297    1.79803     2.26715e+01
   1.02777    2.28326    1.79414     2.25030e+01
   1.03390    2.28304    1.79069     2.23865e+01
   1.04004    2.28459    1.78718     2.21881e+01
   1.04617    2.28597    1.78339     2.19898e+01
   1.05231    2.28419    1.77566     2.18071e+01
   1.05845    2.28564    1.77207     2.16240e+01
   1.06458    2.28568    1.76706     2.14489e+01
   1.07072    2.28638    1.76017     2.11785e+01
   1.07685    2.28817    1.75595     2.09747e+01
   1.08299    2.28704    1.75483     2.09813e+01
   1.08913    2.28669    1.74398     2.06481e+01
   1.09526    2.28522    1.73849     2.05618e+01
   1.10140    2.28660    1.73294     2.03384e+01
   1.10753    2.28861    1.73169     2.02190e+01
   1.11367    2.28824    1.72509     2.00386e+01
   1.11981    2.28759    1.71734     1.98466e+01
   1.12594    2.28760    1.71406     1.97745e+01
   1.13208    2.28890    1.70902     1.95743e+01
   1.13821    2.28838    1.70220     1.94166e+01
   1.14435    2.28793    1.69534     1.92513e+01
   1.15049    2.28919    1.69301     1.91602e+01
   1.15662    2.28799    1.68651     1.90290e+01
   1.16276    2.28964    1.68196     1.88688e+01
   1.16889    2.28803    1.67359     1.87132e+01
   1.17503    2.28959    1.66967     1.85664e+01
   1.18117    2.28828    1.66174     1.84265e+01
   1.18730    2.28881    1.65840     1.83292e+01
   1.19344    2.28705    1.64885     1.81669e+01
   1.19957    2.28863    1.64150     1.79559e+01
   1.20571    2.28639    1.63279     1.78367e+01
   1.21184    2.28889    1.63218     1.77521e+01
   1.21798    2.28859    1.62598     1.76414e+01
   1.22412    2.28722    1.61989     1.75529e+01
   1.23025    2.28858    1.61331     1.73799e+01
   1.23639    2.28845    1.60506     1.72130e+01
   1.24252    2.28770    1.60078     1.71531e+01
   1.24866    2.28758    1.59615     1.70745e+01
   1.25480    2.28824    1.58922     1.69241e+01
   1.26093    2.28805    1.58107     1.67747e+01
   1.26707    2.28591    1.56965     1.66234e+01
   1.27320    2.28527    1.56353     1.65265e+01
   1.27934    2.28648    1.55715     1.63921e+01
   1.28548    2.28533    1.55094     1.63241e+01
   1.29161    2.28655    1.54571     1.61971e+01
   1.29775    2.28520    1.54090     1.61549e+01
   1.30388    2.28603    1.53502     1.60413e+01
   1.31002    2.28440    1.52729     1.59479e+01
   1.31616    2.28421    1.51621     1.57833e+01
   1.32229    2.28478    1.50961     1.56669e+01
   1.32843    2.28426    1.50318     1.55823e+01
   1.33456    2.28346    1.49641     1.55038e+01
   1.34070    2.28178    1.48805     1.54084e+01
   1.34684    2.28204    1.48682     1.53944e+01
   1.35297    2.27978    1.46834     1.51735e+01
   1.35911    2.28014    1.46323     1.51032e+01
   1.36524    2.27940    1.45781     1.50486e+01
   1.37138    2.27966    1.44717     1.48961e+01
   1.37751    2.27921    1.44001     1.48107e+01
   1.38365    2.27824    1.43546     1.47740e+01
   1.38979    2.27655    1.42645     1.46916e+01
   1.39592    2.27594    1.41928     1.46140e+01
   1.40206    2.27666    1.40823     1.44640e+01
   1.40819    2.27485    1.39730     1.43726e+01
   1.41433    2.27467    1.39202     1.43095e+01
   1.42047    2.27462    1.38496     1.42243e+01
   1.42660    2.27233    1.37327     1.41351e+01
   1.43274    2.27236    1.37058     1.41144e+01
