# Subtracting SN=    8.92430e+00.
#        k         Pk_0_HI
   0.03175     1.04191e+04
   0.04446     7.60809e+03
   0.05670     6.30834e+03
   0.06913     5.38797e+03
   0.08163     4.43735e+03
   0.09394     3.47564e+03
   0.10633     2.80938e+03
   0.11897     2.51712e+03
   0.13156     2.32296e+03
   0.14405     2.00208e+03
   0.15655     1.68023e+03
   0.16903     1.48193e+03
   0.18145     1.33882e+03
   0.19391     1.24623e+03
   0.20638     1.13033e+03
   0.21880     9.93903e+02
   0.23135     9.13099e+02
   0.24388     8.39237e+02
   0.25638     7.86004e+02
   0.26888     7.24144e+02
   0.28133     6.72225e+02
   0.29385     6.19693e+02
   0.30628     5.83474e+02
   0.31877     5.43885e+02
   0.33129     5.10539e+02
   0.34378     4.81264e+02
   0.35632     4.50130e+02
   0.36883     4.26707e+02
   0.38133     4.04879e+02
   0.39379     3.83989e+02
   0.40628     3.66419e+02
   0.41878     3.45958e+02
   0.43132     3.25970e+02
   0.44381     3.11431e+02
   0.45630     2.98948e+02
   0.46880     2.86890e+02
   0.48130     2.72203e+02
   0.49379     2.62251e+02
   0.50627     2.50320e+02
   0.51878     2.38226e+02
   0.53128     2.31213e+02
   0.54381     2.21272e+02
   0.55628     2.13448e+02
   0.56880     2.04237e+02
   0.58132     1.96895e+02
   0.59381     1.90483e+02
   0.60631     1.84020e+02
   0.61879     1.77644e+02
   0.63131     1.71648e+02
   0.64381     1.66256e+02
   0.65629     1.59893e+02
   0.66878     1.54960e+02
   0.68130     1.50105e+02
   0.69382     1.44875e+02
   0.70631     1.40379e+02
   0.71877     1.36353e+02
   0.73127     1.32516e+02
   0.74379     1.28271e+02
   0.75629     1.24234e+02
   0.76880     1.20639e+02
   0.78130     1.17716e+02
   0.79378     1.14048e+02
   0.80630     1.10741e+02
   0.81880     1.07902e+02
   0.83127     1.04695e+02
   0.84379     1.01584e+02
   0.85630     9.88960e+01
   0.86879     9.67411e+01
   0.88128     9.39419e+01
   0.89378     9.12209e+01
   0.90628     8.87732e+01
   0.91879     8.63650e+01
   0.93128     8.41717e+01
   0.94378     8.21691e+01
   0.95630     8.01102e+01
   0.96878     7.83466e+01
   0.98127     7.60358e+01
   0.99376     7.42213e+01
   1.00625     7.23903e+01
   1.01876     7.02854e+01
   1.03128     6.88726e+01
   1.04378     6.75077e+01
   1.05626     6.54868e+01
   1.06878     6.37209e+01
   1.08130     6.21688e+01
   1.09378     6.08276e+01
   1.10628     5.93896e+01
   1.11877     5.81062e+01
   1.13126     5.64696e+01
   1.14378     5.50524e+01
   1.15629     5.38786e+01
   1.16880     5.26630e+01
   1.18130     5.13707e+01
   1.19378     5.01757e+01
   1.20627     4.89580e+01
   1.21876     4.78091e+01
   1.23127     4.67578e+01
   1.24378     4.57877e+01
   1.25626     4.45896e+01
   1.26874     4.34937e+01
   1.28126     4.25497e+01
   1.29376     4.15846e+01
   1.30627     4.06972e+01
   1.31878     3.95026e+01
   1.33127     3.87153e+01
   1.34376     3.78539e+01
   1.35626     3.69906e+01
   1.36877     3.61191e+01
   1.38126     3.53660e+01
   1.39377     3.44684e+01
   1.40626     3.36466e+01
   1.41876     3.28044e+01
   1.43128     3.20534e+01
   1.44376     3.13532e+01
   1.45626     3.06026e+01
   1.46878     2.99379e+01
   1.48127     2.91838e+01
   1.49375     2.84875e+01
   1.50627     2.78885e+01
   1.51879     2.71392e+01
   1.53128     2.65959e+01
   1.54377     2.59444e+01
   1.55627     2.52649e+01
   1.56876     2.46422e+01
   1.58126     2.41196e+01
   1.59377     2.34511e+01
   1.60627     2.29301e+01
   1.61877     2.22903e+01
   1.63126     2.18477e+01
   1.64377     2.12638e+01
   1.65627     2.07318e+01
   1.66875     2.01762e+01
   1.68125     1.97329e+01
   1.69375     1.91970e+01
   1.70626     1.87209e+01
   1.71876     1.82385e+01
   1.73127     1.77594e+01
   1.74377     1.73093e+01
   1.75628     1.68237e+01
   1.76876     1.63801e+01
   1.78125     1.60114e+01
   1.79375     1.55788e+01
   1.80627     1.51562e+01
   1.81877     1.47241e+01
   1.83126     1.43074e+01
   1.84377     1.38958e+01
   1.85627     1.35346e+01
   1.86877     1.31409e+01
   1.88127     1.27605e+01
   1.89376     1.24047e+01
   1.90627     1.20010e+01
   1.91877     1.16814e+01
   1.93127     1.13501e+01
   1.94377     1.10033e+01
   1.95627     1.06741e+01
   1.96877     1.03212e+01
   1.98126     9.96826e+00
   1.99375     9.67610e+00
   2.00625     9.40135e+00
   2.01875     9.04500e+00
   2.03126     8.73783e+00
   2.04377     8.43261e+00
   2.05627     8.18028e+00
   2.06876     7.88932e+00
   2.08126     7.62595e+00
   2.09376     7.32062e+00
   2.10626     7.05724e+00
   2.11877     6.78218e+00
   2.13126     6.53003e+00
   2.14377     6.25926e+00
   2.15626     5.99818e+00
   2.16875     5.77207e+00
   2.18126     5.53680e+00
   2.19376     5.28887e+00
   2.20626     5.07363e+00
   2.21876     4.81404e+00
   2.23126     4.60705e+00
   2.24376     4.37958e+00
   2.25626     4.16071e+00
   2.26876     3.94940e+00
   2.28127     3.72756e+00
   2.29377     3.51402e+00
   2.30626     3.31003e+00
   2.31876     3.11919e+00
   2.33127     2.92237e+00
   2.34377     2.71539e+00
   2.35626     2.53147e+00
   2.36877     2.36166e+00
   2.38126     2.16534e+00
   2.39375     1.97498e+00
   2.40626     1.81850e+00
   2.41875     1.62506e+00
   2.43125     1.47368e+00
   2.44376     1.29415e+00
   2.45626     1.14146e+00
   2.46877     9.62504e-01
   2.48127     8.11334e-01
   2.49376     6.68080e-01
   2.50625     5.03439e-01
   2.51875     3.51525e-01
   2.53126     2.08757e-01
   2.54376     6.11736e-02
   2.55626    -6.13493e-02
   2.56876    -2.11775e-01
   2.58126    -3.49649e-01
   2.59377    -4.73825e-01
   2.60626    -6.09963e-01
   2.61876    -7.44038e-01
   2.63126    -8.61293e-01
   2.64376    -9.91627e-01
   2.65626    -1.10854e+00
   2.66876    -1.22866e+00
   2.68126    -1.34661e+00
   2.69376    -1.46005e+00
   2.70626    -1.56944e+00
   2.71876    -1.68519e+00
   2.73126    -1.79577e+00
   2.74376    -1.88973e+00
   2.75626    -2.00009e+00
   2.76877    -2.10791e+00
   2.78127    -2.19482e+00
   2.79377    -2.30195e+00
   2.80626    -2.39132e+00
   2.81875    -2.48273e+00
   2.83126    -2.58060e+00
   2.84377    -2.66769e+00
   2.85627    -2.75579e+00
   2.86876    -2.83822e+00
   2.88127    -2.92543e+00
   2.89377    -3.00951e+00
   2.90626    -3.08654e+00
   2.91876    -3.16751e+00
   2.93126    -3.24291e+00
   2.94376    -3.32054e+00
   2.95626    -3.39100e+00
   2.96876    -3.47124e+00
   2.98126    -3.53487e+00
   2.99376    -3.59899e+00
   3.00625    -3.67551e+00
   3.01875    -3.73444e+00
   3.03125    -3.80382e+00
   3.04376    -3.86374e+00
   3.05626    -3.92837e+00
   3.06876    -3.98533e+00
   3.08126    -4.03932e+00
   3.09376    -4.09500e+00
   3.10626    -4.15409e+00
   3.11876    -4.20416e+00
   3.13126    -4.25892e+00
