# Redshift space power spectrum multipoles.
# Subtracting SN=    9.14337e+00 from monopole.
#        k              P0              P2              P4
   0.05000     6.81193e+03     2.79452e+03     3.71231e+01
   0.07000     5.27698e+03     2.14280e+03    -7.17021e+01
   0.09000     3.72675e+03     1.55644e+03     2.94029e+02
   0.11000     2.69384e+03     1.04706e+03    -3.13471e+01
   0.13000     2.31504e+03     9.61069e+02     2.81702e+01
   0.15000     1.83173e+03     7.57646e+02     3.99320e+01
   0.17000     1.45894e+03     6.39079e+02     9.13105e+01
   0.19000     1.26209e+03     5.33459e+02     4.43643e+01
   0.21000     1.07842e+03     4.70962e+02     1.03793e+01
   0.23000     9.10516e+02     4.20133e+02     4.90960e+01
   0.25000     8.06524e+02     3.69775e+02     4.23510e+01
   0.27000     7.11744e+02     3.19142e+02     1.77937e+01
   0.29000     6.29212e+02     2.93909e+02     2.39863e+01
   0.31000     5.64520e+02     2.66789e+02     2.49382e+01
   0.33000     5.07676e+02     2.40919e+02     2.43182e+01
   0.35000     4.60056e+02     2.21787e+02     2.19873e+01
   0.37000     4.21127e+02     2.01049e+02     1.69343e+01
   0.39000     3.84142e+02     1.86531e+02     2.96105e+01
   0.41000     3.54155e+02     1.80523e+02     2.73236e+01
   0.43000     3.25323e+02     1.65967e+02     1.92921e+01
   0.45000     3.00420e+02     1.55151e+02     1.62958e+01
   0.47000     2.81078e+02     1.45189e+02     2.20330e+01
   0.49000     2.60927e+02     1.38678e+02     1.68912e+01
   0.51000     2.42267e+02     1.30613e+02     1.97245e+01
   0.53000     2.27484e+02     1.22034e+02     1.57383e+01
   0.55000     2.13832e+02     1.17219e+02     1.73058e+01
   0.57000     2.00091e+02     1.10308e+02     1.80274e+01
   0.59000     1.88547e+02     1.03648e+02     1.40443e+01
   0.61000     1.78710e+02     9.92032e+01     1.35662e+01
   0.63000     1.68636e+02     9.42202e+01     1.53706e+01
   0.65000     1.59361e+02     8.94649e+01     1.57820e+01
   0.67000     1.51210e+02     8.69902e+01     1.43190e+01
   0.69000     1.43113e+02     8.10255e+01     1.16425e+01
   0.71000     1.35702e+02     7.75567e+01     1.28032e+01
   0.73000     1.29693e+02     7.54042e+01     1.33879e+01
   0.75000     1.23093e+02     7.02063e+01     9.73822e+00
   0.77000     1.17122e+02     6.76585e+01     1.07944e+01
   0.79000     1.12206e+02     6.63112e+01     1.25918e+01
   0.81000     1.06957e+02     6.17762e+01     1.14503e+01
   0.83000     1.01923e+02     6.01024e+01     1.02069e+01
   0.85000     9.73074e+01     5.75687e+01     1.04782e+01
   0.87000     9.33418e+01     5.48081e+01     1.08714e+01
   0.89000     8.91414e+01     5.23736e+01     1.02478e+01
   0.91000     8.52309e+01     5.08965e+01     9.39344e+00
   0.93000     8.14612e+01     4.81566e+01     9.67777e+00
   0.95000     7.84224e+01     4.72818e+01     1.03163e+01
   0.97000     7.51424e+01     4.49512e+01     9.52498e+00
   0.99000     7.21244e+01     4.28855e+01     8.75934e+00
   1.01000     6.90428e+01     4.13326e+01     8.21382e+00
   1.03000     6.62597e+01     3.94326e+01     8.06659e+00
   1.05000     6.39372e+01     3.86859e+01     8.37657e+00
   1.07000     6.09554e+01     3.64269e+01     8.13668e+00
   1.09000     5.86399e+01     3.52415e+01     8.24564e+00
   1.11000     5.63943e+01     3.36636e+01     7.80612e+00
   1.13000     5.41485e+01     3.26753e+01     7.26687e+00
   1.15000     5.19887e+01     3.10931e+01     6.60523e+00
   1.17000     5.01291e+01     3.02681e+01     7.27290e+00
   1.19000     4.80399e+01     2.89050e+01     6.60079e+00
   1.21000     4.62386e+01     2.77943e+01     6.35632e+00
   1.23000     4.44733e+01     2.69224e+01     6.43305e+00
   1.25000     4.28215e+01     2.60260e+01     6.42359e+00
