#        k       b1_x       b1_a            Pkmm
   0.00920    1.84947    1.84456     3.48597e+03
   0.01534    1.84278    1.83864     4.14665e+03
   0.02148    1.84476    1.84046     3.99962e+03
   0.02761    1.84706    1.84245     3.57237e+03
   0.03375    1.85133    1.84593     3.05953e+03
   0.03988    1.84858    1.84237     2.59608e+03
   0.04602    1.84893    1.84184     2.26050e+03
   0.05216    1.85333    1.84543     2.02239e+03
   0.05829    1.85535    1.84715     1.89911e+03
   0.06443    1.85195    1.84296     1.73738e+03
   0.07056    1.85357    1.84424     1.64351e+03
   0.07670    1.85764    1.84738     1.47765e+03
   0.08283    1.85916    1.84783     1.32235e+03
   0.08897    1.86203    1.84902     1.15309e+03
   0.09511    1.86100    1.84641     1.01890e+03
   0.10124    1.86858    1.85235     9.22349e+02
   0.10738    1.86561    1.84787     8.39221e+02
   0.11351    1.86914    1.85024     7.85918e+02
   0.11965    1.87027    1.85056     7.46025e+02
   0.12579    1.87358    1.85316     7.23660e+02
   0.13192    1.88102    1.85965     6.87562e+02
   0.13806    1.87902    1.85598     6.35084e+02
   0.14419    1.88407    1.85969     5.96803e+02
   0.15033    1.88297    1.85577     5.39765e+02
   0.15647    1.88602    1.85673     4.97203e+02
   0.16260    1.89031    1.85843     4.58875e+02
   0.16874    1.89373    1.86035     4.38383e+02
   0.17487    1.89566    1.86031     4.12385e+02
   0.18101    1.89468    1.85728     3.92096e+02
   0.18715    1.89962    1.86122     3.80114e+02
   0.19328    1.90177    1.86228     3.70605e+02
   0.19942    1.90113    1.85898     3.46890e+02
   0.20555    1.90655    1.86186     3.26905e+02
   0.21169    1.90808    1.86071     3.10688e+02
   0.21783    1.91307    1.86301     2.93926e+02
   0.22396    1.91503    1.86072     2.71643e+02
   0.23010    1.92016    1.86471     2.65637e+02
   0.23623    1.92290    1.86496     2.53395e+02
   0.24237    1.92092    1.85929     2.39870e+02
   0.24850    1.92703    1.86476     2.36359e+02
   0.25464    1.92895    1.86410     2.28642e+02
   0.26078    1.93031    1.86232     2.17947e+02
   0.26691    1.93235    1.86139     2.08678e+02
   0.27305    1.93645    1.86224     2.00223e+02
   0.27918    1.94034    1.86367     1.94459e+02
   0.28532    1.94137    1.86166     1.87516e+02
   0.29146    1.94440    1.86033     1.77750e+02
   0.29759    1.94826    1.86094     1.71017e+02
   0.30373    1.95094    1.86072     1.65599e+02
   0.30986    1.95386    1.86106     1.61453e+02
   0.31600    1.95379    1.85693     1.55570e+02
   0.32214    1.95769    1.85842     1.51612e+02
   0.32827    1.95793    1.85481     1.46210e+02
   0.33441    1.96352    1.85700     1.41052e+02
   0.34054    1.96559    1.85522     1.36719e+02
   0.34668    1.96885    1.85600     1.33207e+02
   0.35282    1.97212    1.85360     1.27775e+02
   0.35895    1.97426    1.85294     1.24787e+02
   0.36509    1.97529    1.84906     1.20447e+02
   0.37122    1.97842    1.85140     1.19956e+02
   0.37736    1.98298    1.85100     1.15427e+02
   0.38350    1.98603    1.84834     1.10550e+02
   0.38963    1.98565    1.84430     1.07946e+02
   0.39577    1.98941    1.84591     1.06525e+02
   0.40190    1.99184    1.84408     1.03497e+02
   0.40804    1.99559    1.84467     1.01484e+02
   0.41417    1.99592    1.83828     9.72904e+01
   0.42031    1.99865    1.83816     9.57993e+01
   0.42645    2.00403    1.83840     9.28738e+01
   0.43258    2.00484    1.83161     8.89097e+01
   0.43872    2.00569    1.83187     8.87288e+01
   0.44485    2.00708    1.82775     8.63699e+01
   0.45099    2.00972    1.82655     8.45651e+01
   0.45713    2.01297    1.82513     8.23717e+01
   0.46326    2.01580    1.82507     8.13149e+01
   0.46940    2.01793    1.82279     7.94835e+01
   0.47553    2.02077    1.82069     7.76869e+01
   0.48167    2.02281    1.81773     7.59996e+01
   0.48781    2.02422    1.81373     7.41752e+01
   0.49394    2.02688    1.81260     7.29520e+01
   0.50008    2.02953    1.80782     7.05326e+01
   0.50621    2.03052    1.80591     6.97058e+01
   0.51235    2.03152    1.79748     6.71487e+01
   0.51849    2.03553    1.79947     6.65967e+01
   0.52462    2.03475    1.79418     6.55271e+01
   0.53076    2.03843    1.79290     6.42268e+01
   0.53689    2.03944    1.78906     6.30667e+01
   0.54303    2.04027    1.78456     6.18660e+01
   0.54917    2.04461    1.78458     6.08374e+01
   0.55530    2.04514    1.77700     5.91860e+01
   0.56144    2.04887    1.77763     5.85126e+01
   0.56757    2.05005    1.77102     5.69975e+01
   0.57371    2.05253    1.76897     5.61329e+01
   0.57984    2.05136    1.76334     5.54359e+01
   0.58598    2.05532    1.76251     5.45132e+01
   0.59212    2.05710    1.75780     5.34391e+01
   0.59825    2.05968    1.75423     5.24654e+01
   0.60439    2.06208    1.75377     5.19620e+01
   0.61052    2.06223    1.74609     5.08597e+01
   0.61666    2.06506    1.74517     5.02258e+01
   0.62280    2.06665    1.74040     4.93709e+01
   0.62893    2.06870    1.73528     4.83748e+01
   0.63507    2.07022    1.73271     4.78449e+01
   0.64120    2.07162    1.72855     4.71974e+01
   0.64734    2.07495    1.72555     4.63230e+01
   0.65348    2.07602    1.71839     4.53762e+01
   0.65961    2.07543    1.71279     4.48393e+01
   0.66575    2.07800    1.70848     4.40958e+01
   0.67188    2.08036    1.70718     4.36541e+01
   0.67802    2.08259    1.70346     4.30444e+01
   0.68416    2.08314    1.69563     4.22175e+01
   0.69029    2.08619    1.69229     4.15303e+01
   0.69643    2.08597    1.68684     4.11090e+01
   0.70256    2.08831    1.68264     4.05005e+01
   0.70870    2.08826    1.67408     3.97822e+01
   0.71484    2.09229    1.67514     3.94754e+01
   0.72097    2.09267    1.66947     3.89833e+01
   0.72711    2.09460    1.66443     3.84143e+01
   0.73324    2.09625    1.65627     3.76427e+01
   0.73938    2.09991    1.65593     3.73018e+01
   0.74551    2.09560    1.64533     3.69346e+01
   0.75165    2.09883    1.64194     3.64231e+01
   0.75779    2.10023    1.63356     3.57600e+01
   0.76392    2.10257    1.63087     3.53986e+01
   0.77006    2.10293    1.62397     3.49676e+01
   0.77619    2.10463    1.62003     3.45744e+01
   0.78233    2.10564    1.61876     3.44513e+01
   0.78847    2.10829    1.61300     3.38982e+01
   0.79460    2.11003    1.60531     3.33412e+01
   0.80074    2.11014    1.60210     3.31720e+01
   0.80687    2.11145    1.59226     3.25625e+01
   0.81301    2.11116    1.58316     3.21062e+01
   0.81915    2.11172    1.57704     3.17764e+01
   0.82528    2.11467    1.57525     3.15141e+01
   0.83142    2.11353    1.56383     3.10349e+01
   0.83755    2.11639    1.56065     3.07284e+01
   0.84369    2.11739    1.55364     3.03392e+01
   0.84983    2.11821    1.54713     3.00148e+01
   0.85596    2.12121    1.54415     2.97070e+01
   0.86210    2.12191    1.53851     2.94482e+01
   0.86823    2.12226    1.53234     2.91760e+01
   0.87437    2.12302    1.52161     2.87067e+01
   0.88050    2.12373    1.52041     2.86501e+01
   0.88664    2.12517    1.50648     2.80531e+01
   0.89278    2.12491    1.50066     2.78558e+01
   0.89891    2.12460    1.49014     2.74782e+01
   0.90505    2.12749    1.48747     2.72563e+01
