# Subtracting SN=    2.84260e+01.
#        k         Pk_0_HI
   0.03175     1.35673e+04
   0.04446     9.93398e+03
   0.05670     8.27014e+03
   0.06913     7.05544e+03
   0.08163     5.82847e+03
   0.09394     4.59127e+03
   0.10633     3.71965e+03
   0.11897     3.34562e+03
   0.13156     3.10591e+03
   0.14405     2.68378e+03
   0.15655     2.26163e+03
   0.16903     2.00127e+03
   0.18145     1.80755e+03
   0.19391     1.69124e+03
   0.20638     1.54470e+03
   0.21880     1.35812e+03
   0.23135     1.25505e+03
   0.24388     1.15516e+03
   0.25638     1.08676e+03
   0.26888     1.00297e+03
   0.28133     9.34747e+02
   0.29385     8.65892e+02
   0.30628     8.17793e+02
   0.31877     7.63956e+02
   0.33129     7.18347e+02
   0.34378     6.79946e+02
   0.35632     6.38302e+02
   0.36883     6.06939e+02
   0.38133     5.78663e+02
   0.39379     5.49416e+02
   0.40628     5.26047e+02
   0.41878     4.97622e+02
   0.43132     4.69725e+02
   0.44381     4.49670e+02
   0.45630     4.32734e+02
   0.46880     4.16334e+02
   0.48130     3.96270e+02
   0.49379     3.81956e+02
   0.50627     3.65467e+02
   0.51878     3.48517e+02
   0.53128     3.38995e+02
   0.54381     3.25367e+02
   0.55628     3.15004e+02
   0.56880     3.01567e+02
   0.58132     2.91241e+02
   0.59381     2.81837e+02
   0.60631     2.73248e+02
   0.61879     2.64292e+02
   0.63131     2.55720e+02
   0.64381     2.48182e+02
   0.65629     2.38931e+02
   0.66878     2.31982e+02
   0.68130     2.25112e+02
   0.69382     2.17605e+02
   0.70631     2.11127e+02
   0.71877     2.05024e+02
   0.73127     1.99984e+02
   0.74379     1.93656e+02
   0.75629     1.87767e+02
   0.76880     1.82384e+02
   0.78130     1.78355e+02
   0.79378     1.72848e+02
   0.80630     1.68079e+02
   0.81880     1.63873e+02
   0.83127     1.59084e+02
   0.84379     1.54491e+02
   0.85630     1.50698e+02
   0.86879     1.47558e+02
   0.88128     1.43368e+02
   0.89378     1.39346e+02
   0.90628     1.35646e+02
   0.91879     1.31896e+02
   0.93128     1.28855e+02
   0.94378     1.25691e+02
   0.95630     1.22548e+02
   0.96878     1.20069e+02
   0.98127     1.16391e+02
   0.99376     1.13783e+02
   1.00625     1.11175e+02
   1.01876     1.07615e+02
   1.03128     1.05807e+02
   1.04378     1.03495e+02
   1.05626     1.00589e+02
   1.06878     9.77859e+01
   1.08130     9.54349e+01
   1.09378     9.35576e+01
   1.10628     9.11470e+01
   1.11877     8.91418e+01
   1.13126     8.65771e+01
   1.14378     8.45731e+01
   1.15629     8.25778e+01
   1.16880     8.08324e+01
   1.18130     7.87120e+01
   1.19378     7.69165e+01
   1.20627     7.49809e+01
   1.21876     7.30653e+01
   1.23127     7.13860e+01
   1.24378     6.99633e+01
   1.25626     6.80018e+01
   1.26874     6.62279e+01
   1.28126     6.47325e+01
   1.29376     6.31840e+01
   1.30627     6.18066e+01
   1.31878     5.98619e+01
   1.33127     5.85645e+01
   1.34376     5.72073e+01
   1.35626     5.57774e+01
   1.36877     5.43788e+01
   1.38126     5.31128e+01
   1.39377     5.17250e+01
   1.40626     5.03909e+01
   1.41876     4.89568e+01
   1.43128     4.77785e+01
   1.44376     4.66637e+01
   1.45626     4.53874e+01
   1.46878     4.43509e+01
   1.48127     4.30886e+01
   1.49375     4.18921e+01
   1.50627     4.08810e+01
   1.51879     3.96683e+01
   1.53128     3.87576e+01
   1.54377     3.76613e+01
   1.55627     3.65486e+01
   1.56876     3.54152e+01
   1.58126     3.46598e+01
   1.59377     3.34435e+01
   1.60627     3.25817e+01
   1.61877     3.14646e+01
   1.63126     3.07164e+01
   1.64377     2.96918e+01
   1.65627     2.88467e+01
   1.66875     2.78869e+01
   1.68125     2.70978e+01
   1.69375     2.61813e+01
   1.70626     2.53609e+01
   1.71876     2.45973e+01
   1.73127     2.36921e+01
   1.74377     2.29495e+01
   1.75628     2.20881e+01
   1.76876     2.13167e+01
   1.78125     2.07003e+01
   1.79375     1.99315e+01
   1.80627     1.90885e+01
   1.81877     1.83821e+01
   1.83126     1.76495e+01
   1.84377     1.69233e+01
   1.85627     1.63015e+01
   1.86877     1.55619e+01
   1.88127     1.49136e+01
   1.89376     1.42654e+01
   1.90627     1.35606e+01
   1.91877     1.29965e+01
   1.93127     1.24096e+01
   1.94377     1.17733e+01
   1.95627     1.11474e+01
   1.96877     1.05513e+01
   1.98126     9.92164e+00
   1.99375     9.38287e+00
   2.00625     8.88078e+00
   2.01875     8.22716e+00
   2.03126     7.64873e+00
   2.04377     7.08408e+00
   2.05627     6.64916e+00
   2.06876     6.11844e+00
   2.08126     5.61625e+00
   2.09376     5.03223e+00
   2.10626     4.59983e+00
   2.11877     4.05965e+00
   2.13126     3.59784e+00
   2.14377     3.09948e+00
   2.15626     2.60417e+00
   2.16875     2.14575e+00
   2.18126     1.74040e+00
   2.19376     1.26972e+00
   2.20626     8.54774e-01
   2.21876     3.87341e-01
   2.23126     2.28131e-03
   2.24376    -4.66726e-01
   2.25626    -8.62509e-01
   2.26876    -1.25684e+00
   2.28127    -1.65838e+00
   2.29377    -2.08548e+00
   2.30626    -2.47290e+00
   2.31876    -2.83924e+00
   2.33127    -3.22214e+00
   2.34377    -3.63738e+00
   2.35626    -3.97877e+00
   2.36877    -4.30626e+00
   2.38126    -4.67247e+00
   2.39375    -5.03750e+00
   2.40626    -5.35304e+00
   2.41875    -5.70925e+00
   2.43125    -6.01280e+00
   2.44376    -6.35840e+00
   2.45626    -6.67392e+00
   2.46877    -7.01330e+00
   2.48127    -7.30710e+00
   2.49376    -7.58451e+00
   2.50625    -7.91894e+00
   2.51875    -8.20649e+00
   2.53126    -8.49407e+00
   2.54376    -8.77468e+00
   2.55626    -9.02400e+00
   2.56876    -9.32484e+00
   2.58126    -9.59150e+00
   2.59377    -9.85309e+00
   2.60626    -1.01150e+01
   2.61876    -1.03828e+01
   2.63126    -1.06252e+01
   2.64376    -1.08707e+01
   2.65626    -1.11169e+01
   2.66876    -1.13386e+01
   2.68126    -1.16017e+01
   2.69376    -1.18150e+01
   2.70626    -1.20593e+01
   2.71876    -1.22826e+01
   2.73126    -1.24872e+01
   2.74376    -1.26869e+01
   2.75626    -1.29250e+01
   2.76877    -1.31265e+01
   2.78127    -1.33136e+01
   2.79377    -1.35281e+01
   2.80626    -1.37098e+01
   2.81875    -1.38881e+01
   2.83126    -1.40945e+01
   2.84377    -1.42808e+01
   2.85627    -1.44616e+01
   2.86876    -1.46166e+01
   2.88127    -1.47974e+01
   2.89377    -1.49746e+01
   2.90626    -1.51382e+01
   2.91876    -1.53060e+01
   2.93126    -1.54582e+01
   2.94376    -1.56179e+01
   2.95626    -1.57603e+01
   2.96876    -1.59322e+01
   2.98126    -1.60610e+01
   2.99376    -1.62050e+01
   3.00625    -1.63553e+01
   3.01875    -1.64722e+01
   3.03125    -1.66301e+01
   3.04376    -1.67540e+01
   3.05626    -1.68907e+01
   3.06876    -1.70002e+01
