# Redshift space power spectrum multipoles.
# Subtracting SN=    4.88353e+01 from monopole.
#        k              P0              P2              P4
   0.05000     9.14075e+03     4.99469e+03     1.36852e+02
   0.07000     7.05785e+03     3.75393e+03    -1.00208e+00
   0.09000     4.98370e+03     2.75914e+03     5.17975e+02
   0.11000     3.57853e+03     1.83258e+03     1.44431e+01
   0.13000     3.06708e+03     1.66911e+03     8.09670e+01
   0.15000     2.43554e+03     1.32205e+03     1.03245e+02
   0.17000     1.95222e+03     1.14287e+03     1.77860e+02
   0.19000     1.67948e+03     9.37975e+02     9.75527e+01
   0.21000     1.42680e+03     8.09399e+02     4.53148e+01
   0.23000     1.21580e+03     7.38842e+02     1.00944e+02
   0.25000     1.07380e+03     6.49069e+02     8.68043e+01
   0.27000     9.44899e+02     5.66366e+02     5.67643e+01
   0.29000     8.37330e+02     5.13622e+02     5.63419e+01
   0.31000     7.50243e+02     4.69773e+02     5.22165e+01
   0.33000     6.71337e+02     4.12681e+02     5.08618e+01
   0.35000     6.10445e+02     3.92047e+02     5.22995e+01
   0.37000     5.56786e+02     3.53735e+02     4.86973e+01
   0.39000     5.03289e+02     3.16012e+02     5.23656e+01
   0.41000     4.64678e+02     3.05694e+02     5.00118e+01
   0.43000     4.27043e+02     2.86684e+02     4.53060e+01
   0.45000     3.92455e+02     2.62973e+02     3.57348e+01
   0.47000     3.65667e+02     2.43411e+02     4.59986e+01
   0.49000     3.38662e+02     2.33169e+02     3.98789e+01
   0.51000     3.11966e+02     2.13822e+02     3.66279e+01
   0.53000     2.91667e+02     1.98913e+02     2.87140e+01
   0.55000     2.71691e+02     1.91558e+02     3.51165e+01
   0.57000     2.53765e+02     1.78356e+02     3.25162e+01
   0.59000     2.37288e+02     1.67458e+02     2.95047e+01
   0.61000     2.22917e+02     1.56928e+02     2.65932e+01
   0.63000     2.09606e+02     1.49241e+02     2.86524e+01
   0.65000     1.96014e+02     1.38858e+02     2.91959e+01
   0.67000     1.84803e+02     1.33201e+02     2.55372e+01
   0.69000     1.73059e+02     1.23245e+02     2.34053e+01
   0.71000     1.63913e+02     1.18020e+02     2.22540e+01
   0.73000     1.54162e+02     1.10048e+02     2.16851e+01
