#        k       b1_x       b1_a            Pkmm
   0.00920    3.90180    3.91910     7.60466e+02
   0.01534    3.82794    3.84638     9.03833e+02
   0.02148    3.85517    3.87425     8.79894e+02
   0.02761    3.88145    3.90520     7.83335e+02
   0.03375    3.89920    3.91990     6.67915e+02
   0.03988    3.90640    3.93481     5.68703e+02
   0.04602    3.86549    3.89827     4.95737e+02
   0.05216    3.90482    3.94140     4.44665e+02
   0.05829    3.91402    3.95217     4.14358e+02
   0.06443    3.87274    3.90950     3.82980e+02
   0.07056    3.87566    3.92087     3.58716e+02
   0.07670    3.90730    3.95605     3.23785e+02
   0.08283    3.88906    3.94523     2.88385e+02
   0.08897    3.89990    3.96339     2.53248e+02
   0.09511    3.88382    3.94943     2.23189e+02
   0.10124    3.92379    3.99980     2.00630e+02
   0.10738    3.88650    3.96462     1.83183e+02
   0.11351    3.91289    3.99371     1.72010e+02
   0.11965    3.91657    4.00142     1.63523e+02
   0.12579    3.92035    4.00669     1.57521e+02
   0.13192    3.96204    4.05191     1.49361e+02
   0.13806    3.93508    4.03167     1.38562e+02
   0.14419    3.95788    4.06154     1.28432e+02
   0.15033    3.95184    4.06177     1.16736e+02
   0.15647    3.94286    4.06278     1.06678e+02
   0.16260    3.95982    4.08660     9.82909e+01
   0.16874    3.96884    4.09988     9.27410e+01
   0.17487    3.96695    4.10624     8.76610e+01
   0.18101    3.93948    4.08040     8.37378e+01
   0.18715    3.95918    4.10240     8.11015e+01
   0.19328    3.97319    4.12121     7.84612e+01
   0.19942    3.97242    4.12725     7.39713e+01
   0.20555    3.98789    4.14798     6.95820e+01
   0.21169    3.98969    4.15422     6.55780e+01
   0.21783    4.00117    4.17306     6.14690e+01
   0.22396    3.99820    4.17513     5.71261e+01
   0.23010    4.01789    4.20258     5.48673e+01
   0.23623    4.01606    4.20990     5.22640e+01
   0.24237    4.00749    4.20447     5.00860e+01
   0.24850    4.02552    4.22102     4.87579e+01
   0.25464    4.02417    4.22558     4.69511e+01
   0.26078    4.03644    4.24643     4.50038e+01
   0.26691    4.01880    4.23086     4.30362e+01
   0.27305    4.04609    4.26246     4.11814e+01
   0.27918    4.06140    4.27871     3.93551e+01
   0.28532    4.06518    4.28421     3.77082e+01
   0.29146    4.07725    4.31272     3.58184e+01
   0.29759    4.06536    4.30639     3.43129e+01
   0.30373    4.08969    4.33245     3.31560e+01
   0.30986    4.09272    4.34261     3.21034e+01
   0.31600    4.08524    4.33438     3.10495e+01
   0.32214    4.10320    4.34857     3.01426e+01
   0.32827    4.08347    4.34159     2.89908e+01
   0.33441    4.10331    4.36507     2.79559e+01
   0.34054    4.10493    4.37239     2.68874e+01
   0.34668    4.12455    4.40269     2.60210e+01
   0.35282    4.12948    4.40267     2.49703e+01
   0.35895    4.13772    4.41847     2.41586e+01
   0.36509    4.13752    4.42118     2.34007e+01
   0.37122    4.15278    4.43778     2.29102e+01
   0.37736    4.17228    4.45958     2.20886e+01
   0.38350    4.16911    4.46829     2.12334e+01
   0.38963    4.16217    4.46288     2.07494e+01
   0.39577    4.17797    4.47576     2.02232e+01
   0.40190    4.18333    4.49308     1.95610e+01
   0.40804    4.19277    4.50410     1.90399e+01
   0.41417    4.17392    4.49499     1.82966e+01
   0.42031    4.20184    4.51853     1.78965e+01
   0.42645    4.20714    4.52779     1.72820e+01
   0.43258    4.19343    4.52654     1.66322e+01
   0.43872    4.20568    4.53054     1.64132e+01
