# Subtracting SN=    2.22672e+01.
#        k         Pk_0_HI
   0.03175     1.26740e+04
   0.04446     9.27486e+03
   0.05670     7.71324e+03
   0.06913     6.58221e+03
   0.08163     5.43228e+03
   0.09394     4.27390e+03
   0.10633     3.46051e+03
   0.11897     3.10960e+03
   0.13156     2.88273e+03
   0.14405     2.48889e+03
   0.15655     2.09498e+03
   0.16903     1.85168e+03
   0.18145     1.67255e+03
   0.19391     1.56293e+03
   0.20638     1.42529e+03
   0.21880     1.25280e+03
   0.23135     1.15567e+03
   0.24388     1.06332e+03
   0.25638     9.99292e+02
   0.26888     9.21879e+02
   0.28133     8.58113e+02
   0.29385     7.93903e+02
   0.30628     7.49150e+02
   0.31877     6.99576e+02
   0.33129     6.57400e+02
   0.34378     6.21521e+02
   0.35632     5.82875e+02
   0.36883     5.53823e+02
   0.38133     5.27431e+02
   0.39379     5.00581e+02
   0.40628     4.78781e+02
   0.41878     4.52716e+02
   0.43132     4.27084e+02
   0.44381     4.08626e+02
   0.45630     3.92957e+02
   0.46880     3.77810e+02
   0.48130     3.59273e+02
   0.49379     3.46283e+02
   0.50627     3.31110e+02
   0.51878     3.15622e+02
   0.53128     3.06798e+02
   0.54381     2.94213e+02
   0.55628     2.84659e+02
   0.56880     2.72408e+02
   0.58132     2.62957e+02
   0.59381     2.54394e+02
   0.60631     2.46503e+02
   0.61879     2.38275e+02
   0.63131     2.30464e+02
   0.64381     2.23551e+02
   0.65629     2.15178e+02
   0.66878     2.08797e+02
   0.68130     2.02555e+02
   0.69382     1.95729e+02
   0.70631     1.89820e+02
   0.71877     1.84313e+02
   0.73127     1.79652e+02
   0.74379     1.73944e+02
   0.75629     1.68635e+02
   0.76880     1.63762e+02
   0.78130     1.60070e+02
   0.79378     1.55089e+02
   0.80630     1.50774e+02
   0.81880     1.46992e+02
   0.83127     1.42661e+02
   0.84379     1.38515e+02
   0.85630     1.35058e+02
   0.86879     1.32228e+02
   0.88128     1.28446e+02
   0.89378     1.24823e+02
   0.90628     1.21496e+02
   0.91879     1.18156e+02
   0.93128     1.15381e+02
   0.94378     1.12559e+02
   0.95630     1.09729e+02
   0.96878     1.07488e+02
   0.98127     1.04208e+02
   0.99376     1.01845e+02
   1.00625     9.94903e+01
   1.01876     9.63436e+01
   1.03128     9.46721e+01
   1.04378     9.26395e+01
   1.05626     9.00207e+01
   1.06878     8.75233e+01
   1.08130     8.54168e+01
   1.09378     8.37301e+01
   1.10628     8.15954e+01
   1.11877     7.98123e+01
   1.13126     7.75266e+01
   1.14378     7.57167e+01
   1.15629     7.39633e+01
   1.16880     7.23980e+01
   1.18130     7.05246e+01
   1.19378     6.89017e+01
   1.20627     6.71862e+01
   1.21876     6.55029e+01
   1.23127     6.40244e+01
   1.24378     6.27541e+01
   1.25626     6.10191e+01
   1.26874     5.94391e+01
   1.28126     5.81304e+01
   1.29376     5.67528e+01
   1.30627     5.55215e+01
   1.31878     5.38153e+01
   1.33127     5.26622e+01
   1.34376     5.14713e+01
   1.35626     5.02071e+01
   1.36877     4.89748e+01
   1.38126     4.78564e+01
   1.39377     4.66290e+01
   1.40626     4.54581e+01
   1.41876     4.41917e+01
   1.43128     4.31594e+01
   1.44376     4.21720e+01
   1.45626     4.10573e+01
   1.46878     4.01318e+01
   1.48127     3.90304e+01
   1.49375     3.79783e+01
   1.50627     3.70927e+01
   1.51879     3.60278e+01
   1.53128     3.52335e+01
   1.54377     3.42743e+01
   1.55627     3.32866e+01
   1.56876     3.23127e+01
   1.58126     3.16354e+01
   1.59377     3.05771e+01
   1.60627     2.98275e+01
   1.61877     2.88520e+01
   1.63126     2.81984e+01
   1.64377     2.73044e+01
   1.65627     2.65592e+01
   1.66875     2.57273e+01
   1.68125     2.50400e+01
   1.69375     2.42400e+01
   1.70626     2.35260e+01
   1.71876     2.28543e+01
   1.73127     2.20709e+01
   1.74377     2.14184e+01
   1.75628     2.06761e+01
   1.76876     2.00054e+01
   1.78125     1.94695e+01
   1.79375     1.88041e+01
   1.80627     1.80769e+01
   1.81877     1.74600e+01
   1.83126     1.68211e+01
   1.84377     1.61949e+01
   1.85627     1.56522e+01
   1.86877     1.50158e+01
   1.88127     1.44531e+01
   1.89376     1.38944e+01
   1.90627     1.32810e+01
   1.91877     1.27921e+01
   1.93127     1.22865e+01
   1.94377     1.17344e+01
   1.95627     1.11977e+01
   1.96877     1.06783e+01
   1.98126     1.01360e+01
   1.99375     9.66931e+00
   2.00625     9.23690e+00
   2.01875     8.67791e+00
   2.03126     8.17639e+00
   2.04377     7.69408e+00
   2.05627     7.31570e+00
   2.06876     6.85841e+00
   2.08126     6.42442e+00
   2.09376     5.92115e+00
   2.10626     5.54961e+00
   2.11877     5.08551e+00
   2.13126     4.68933e+00
   2.14377     4.26073e+00
   2.15626     3.83521e+00
   2.16875     3.44471e+00
   2.18126     3.09529e+00
   2.19376     2.69009e+00
   2.20626     2.33581e+00
   2.21876     1.93416e+00
   2.23126     1.60241e+00
   2.24376     1.20401e+00
   2.25626     8.63010e-01
   2.26876     5.25438e-01
   2.28127     1.79293e-01
   2.29377    -1.83423e-01
   2.30626    -5.15810e-01
   2.31876    -8.30446e-01
   2.33127    -1.15686e+00
   2.34377    -1.50914e+00
   2.35626    -1.80234e+00
   2.36877    -2.08374e+00
   2.38126    -2.39403e+00
   2.39375    -2.70737e+00
   2.40626    -2.97529e+00
   2.41875    -3.27960e+00
   2.43125    -3.53707e+00
   2.44376    -3.83304e+00
   2.45626    -4.10218e+00
   2.46877    -4.39089e+00
   2.48127    -4.64178e+00
   2.49376    -4.87780e+00
   2.50625    -5.16091e+00
   2.51875    -5.40617e+00
   2.53126    -5.65214e+00
   2.54376    -5.88971e+00
   2.55626    -6.10150e+00
   2.56876    -6.35720e+00
   2.58126    -6.58339e+00
   2.59377    -6.80654e+00
   2.60626    -7.02977e+00
   2.61876    -7.25666e+00
   2.63126    -7.46184e+00
   2.64376    -7.67047e+00
   2.65626    -7.87918e+00
   2.66876    -8.06734e+00
   2.68126    -8.28958e+00
   2.69376    -8.47088e+00
   2.70626    -8.67818e+00
   2.71876    -8.86626e+00
   2.73126    -9.04108e+00
   2.74376    -9.20949e+00
   2.75626    -9.41055e+00
   2.76877    -9.58199e+00
   2.78127    -9.73938e+00
   2.79377    -9.92051e+00
   2.80626    -1.00750e+01
   2.81875    -1.02266e+01
   2.83126    -1.03999e+01
   2.84377    -1.05558e+01
   2.85627    -1.07091e+01
   2.86876    -1.08416e+01
   2.88127    -1.09938e+01
   2.89377    -1.11430e+01
   2.90626    -1.12811e+01
   2.91876    -1.14228e+01
   2.93126    -1.15509e+01
   2.94376    -1.16857e+01
   2.95626    -1.18054e+01
   2.96876    -1.19498e+01
   2.98126    -1.20582e+01
   2.99376    -1.21794e+01
   3.00625    -1.23064e+01
   3.01875    -1.24045e+01
   3.03125    -1.25368e+01
   3.04376    -1.26420e+01
   3.05626    -1.27568e+01
   3.06876    -1.28486e+01
   3.08126    -1.29551e+01
   3.09376    -1.30555e+01
   3.10626    -1.31508e+01
   3.11876    -1.32519e+01
   3.13126    -1.33354e+01
