# Redshift space power spectrum multipoles.
# Subtracting SN=    2.34847e+01 from monopole.
#        k              P0              P2              P4
   0.05000     8.53418e+03     2.39425e+03     3.10106e+01
   0.07000     6.63122e+03     1.88696e+03    -1.60401e+02
   0.09000     4.71339e+03     1.35342e+03     2.87387e+02
   0.11000     3.43803e+03     9.19213e+02    -8.81545e+01
   0.13000     2.97358e+03     8.63241e+02    -7.30765e-01
   0.15000     2.36988e+03     6.86279e+02     2.54651e+01
   0.17000     1.89638e+03     5.73393e+02     9.33725e+01
   0.19000     1.64772e+03     4.96273e+02     3.78386e+01
   0.21000     1.42321e+03     4.49003e+02    -8.89876e+00
   0.23000     1.20382e+03     4.02098e+02     3.60319e+01
   0.25000     1.07481e+03     3.56727e+02     4.18932e+01
   0.27000     9.52746e+02     3.05988e+02     7.95600e+00
   0.29000     8.46954e+02     2.84537e+02     1.40467e+01
   0.31000     7.65022e+02     2.62673e+02     2.13512e+01
   0.33000     6.90789e+02     2.42030e+02     1.99163e+01
   0.35000     6.29680e+02     2.19554e+02     1.78334e+01
   0.37000     5.80106e+02     2.01322e+02     7.22882e+00
   0.39000     5.33537e+02     1.94388e+02     2.93520e+01
   0.41000     4.93132e+02     1.88288e+02     2.70545e+01
   0.43000     4.54315e+02     1.71645e+02     1.45396e+01
   0.45000     4.21752e+02     1.64817e+02     1.29346e+01
   0.47000     3.95930e+02     1.54633e+02     1.94466e+01
   0.49000     3.69096e+02     1.49065e+02     1.20364e+01
   0.51000     3.44438e+02     1.42514e+02     1.96998e+01
   0.53000     3.24552e+02     1.33899e+02     1.41243e+01
   0.55000     3.07122e+02     1.29224e+02     1.62905e+01
   0.57000     2.88158e+02     1.22936e+02     1.57617e+01
   0.59000     2.72454e+02     1.14966e+02     1.18277e+01
   0.61000     2.59589e+02     1.13620e+02     1.32111e+01
   0.63000     2.45909e+02     1.08303e+02     1.52852e+01
   0.65000     2.33289e+02     1.05498e+02     1.76047e+01
   0.67000     2.21875e+02     1.02191e+02     1.28107e+01
   0.69000     2.11097e+02     9.65195e+01     1.00403e+01
   0.71000     2.00603e+02     9.28296e+01     1.36367e+01
   0.73000     1.92533e+02     9.16853e+01     1.29998e+01
   0.75000     1.83490e+02     8.58374e+01     8.88001e+00
   0.77000     1.75001e+02     8.37130e+01     1.09660e+01
   0.79000     1.68076e+02     8.24455e+01     1.36671e+01
   0.81000     1.60670e+02     7.76726e+01     1.29444e+01
   0.83000     1.53649e+02     7.67588e+01     1.08455e+01
   0.85000     1.47269e+02     7.42080e+01     1.26469e+01
   0.87000     1.41711e+02     7.04592e+01     1.17395e+01
   0.89000     1.35668e+02     6.88362e+01     1.21793e+01
   0.91000     1.30056e+02     6.71932e+01     1.09585e+01
   0.93000     1.24797e+02     6.47010e+01     1.11061e+01
   0.95000     1.20268e+02     6.37390e+01     1.28772e+01
   0.97000     1.15582e+02     6.10922e+01     1.07780e+01
   0.99000     1.11117e+02     5.87839e+01     1.10944e+01
   1.01000     1.06838e+02     5.71308e+01     9.79628e+00
   1.03000     1.02862e+02     5.57245e+01     9.90438e+00
   1.05000     9.93517e+01     5.51702e+01     9.92138e+00
   1.07000     9.49908e+01     5.21170e+01     1.00930e+01
   1.09000     9.18409e+01     5.13820e+01     1.01939e+01
   1.11000     8.83814e+01     4.94832e+01     9.90880e+00
   1.13000     8.49920e+01     4.82341e+01     8.65112e+00
   1.15000     8.18389e+01     4.69138e+01     8.54676e+00
   1.17000     7.91678e+01     4.58516e+01     9.12601e+00
   1.19000     7.59642e+01     4.46278e+01     8.85315e+00
   1.21000     7.31702e+01     4.31334e+01     8.23066e+00
   1.23000     7.05034e+01     4.20739e+01     8.69224e+00
   1.25000     6.81127e+01     4.19037e+01     9.04800e+00
   1.27000     6.53752e+01     3.98244e+01     8.11426e+00
   1.29000     6.31109e+01     3.89232e+01     7.71050e+00
   1.31000     6.06946e+01     3.75029e+01     7.73959e+00
   1.33000     5.84158e+01     3.60929e+01     7.33769e+00
   1.35000     5.63103e+01     3.51724e+01     7.24756e+00
   1.37000     5.42653e+01     3.47172e+01     6.67757e+00
   1.39000     5.21797e+01     3.34243e+01     7.21273e+00
   1.41000     5.01871e+01     3.27673e+01     6.91865e+00
   1.43000     4.82849e+01     3.14370e+01     6.62853e+00
   1.45000     4.64309e+01     3.09258e+01     6.63212e+00
   1.47000     4.48350e+01     3.02148e+01     6.67673e+00
