#        k       b1_x       b1_a            Pkmm
   0.00920    2.10672    2.10585     2.20194e+03
   0.01534    2.09219    2.09150     2.61895e+03
   0.02148    2.09900    2.09826     2.53433e+03
   0.02761    2.10225    2.10171     2.26124e+03
   0.03375    2.10768    2.10686     1.93327e+03
   0.03988    2.10451    2.10385     1.64243e+03
   0.04602    2.10205    2.10135     1.43094e+03
   0.05216    2.10929    2.10854     1.28152e+03
   0.05829    2.11053    2.10992     1.19977e+03
   0.06443    2.10423    2.10347     1.10194e+03
   0.07056    2.10628    2.10577     1.03861e+03
   0.07670    2.11134    2.11087     9.35154e+02
   0.08283    2.11242    2.11203     8.35280e+02
   0.08897    2.11442    2.11398     7.30209e+02
   0.09511    2.11283    2.11241     6.44486e+02
   0.10124    2.12267    2.12208     5.81700e+02
   0.10738    2.11716    2.11650     5.29874e+02
   0.11351    2.12084    2.12018     4.96881e+02
   0.11965    2.12148    2.12100     4.71879e+02
   0.12579    2.12572    2.12500     4.56619e+02
   0.13192    2.13468    2.13395     4.33513e+02
   0.13806    2.13093    2.13029     4.01064e+02
   0.14419    2.13657    2.13593     3.74769e+02
   0.15033    2.13557    2.13464     3.39681e+02
   0.15647    2.13700    2.13629     3.11694e+02
   0.16260    2.14164    2.14050     2.87505e+02
   0.16874    2.14577    2.14438     2.73332e+02
   0.17487    2.14622    2.14485     2.57433e+02
   0.18101    2.14383    2.14212     2.45111e+02
   0.18715    2.15016    2.14854     2.37657e+02
   0.19328    2.15286    2.15097     2.31143e+02
   0.19942    2.15047    2.14845     2.16820e+02
   0.20555    2.15644    2.15419     2.04114e+02
   0.21169    2.15844    2.15561     1.93471e+02
   0.21783    2.16273    2.15950     1.82233e+02
   0.22396    2.16511    2.16139     1.68651e+02
   0.23010    2.17024    2.16631     1.63878e+02
   0.23623    2.17298    2.16902     1.56124e+02
   0.24237    2.17007    2.16544     1.48558e+02
   0.24850    2.17623    2.17142     1.45713e+02
   0.25464    2.17757    2.17198     1.40568e+02
   0.26078    2.18002    2.17429     1.34276e+02
   0.26691    2.18023    2.17420     1.28496e+02
   0.27305    2.18608    2.17927     1.23252e+02
   0.27918    2.18982    2.18216     1.18836e+02
   0.28532    2.19052    2.18208     1.14353e+02
   0.29146    2.19434    2.18564     1.08480e+02
   0.29759    2.19658    2.18745     1.04094e+02
   0.30373    2.20068    2.19097     1.00771e+02
   0.30986    2.20284    2.19251     9.79491e+01
   0.31600    2.20269    2.19126     9.44888e+01
   0.32214    2.20669    2.19459     9.20257e+01
   0.32827    2.20513    2.19257     8.85370e+01
   0.33441    2.21203    2.19915     8.54246e+01
   0.34054    2.21312    2.19907     8.24479e+01
   0.34668    2.21759    2.20357     8.01743e+01
   0.35282    2.21936    2.20319     7.68741e+01
   0.35895    2.22318    2.20663     7.48129e+01
   0.36509    2.22368    2.20595     7.23394e+01
   0.37122    2.22706    2.20851     7.16255e+01
   0.37736    2.23286    2.21340     6.89285e+01
   0.38350    2.23435    2.21409     6.59759e+01
   0.38963    2.23305    2.21199     6.44903e+01
   0.39577    2.23819    2.21596     6.34077e+01
   0.40190    2.23910    2.21628     6.14366e+01
   0.40804    2.24456    2.22070     6.01083e+01
   0.41417    2.24222    2.21719     5.76121e+01
   0.42031    2.24785    2.22164     5.66167e+01
   0.42645    2.25227    2.22470     5.47204e+01
   0.43258    2.25063    2.22180     5.24226e+01
   0.43872    2.25284    2.22326     5.21817e+01
   0.44485    2.25425    2.22297     5.06763e+01
   0.45099    2.25700    2.22475     4.96055e+01
   0.45713    2.25933    2.22642     4.82076e+01
   0.46326    2.26176    2.22753     4.74444e+01
   0.46940    2.26509    2.22988     4.64758e+01
   0.47553    2.26754    2.23069     4.51822e+01
   0.48167    2.27006    2.23151     4.40970e+01
   0.48781    2.27054    2.23066     4.31240e+01
   0.49394    2.27492    2.23376     4.22301e+01
   0.50008    2.27621    2.23363     4.08048e+01
   0.50621    2.27711    2.23365     4.02426e+01
   0.51235    2.27830    2.23243     3.88325e+01
   0.51849    2.28157    2.23465     3.83413e+01
   0.52462    2.28059    2.23224     3.77142e+01
