# Subtracting SN=    9.09581e+00.
#        k         Pk_0_HI
   0.03175     1.04393e+04
   0.04446     7.62126e+03
   0.05670     6.31745e+03
   0.06913     5.39444e+03
   0.08163     4.44275e+03
   0.09394     3.47803e+03
   0.10633     2.81025e+03
   0.11897     2.51694e+03
   0.13156     2.32113e+03
   0.14405     2.00050e+03
   0.15655     1.67858e+03
   0.16903     1.48125e+03
   0.18145     1.33810e+03
   0.19391     1.24477e+03
   0.20638     1.12786e+03
   0.21880     9.92494e+02
   0.23135     9.11882e+02
   0.24388     8.37918e+02
   0.25638     7.84211e+02
   0.26888     7.22248e+02
   0.28133     6.70866e+02
   0.29385     6.18164e+02
   0.30628     5.82095e+02
   0.31877     5.42259e+02
   0.33129     5.09047e+02
   0.34378     4.79835e+02
   0.35632     4.48594e+02
   0.36883     4.25229e+02
   0.38133     4.03146e+02
   0.39379     3.82386e+02
   0.40628     3.64945e+02
   0.41878     3.44487e+02
   0.43132     3.24636e+02
   0.44381     3.10038e+02
   0.45630     2.97580e+02
   0.46880     2.85536e+02
   0.48130     2.70911e+02
   0.49379     2.60923e+02
   0.50627     2.48939e+02
   0.51878     2.36851e+02
   0.53128     2.29877e+02
   0.54381     2.19937e+02
   0.55628     2.12026e+02
   0.56880     2.02929e+02
   0.58132     1.95511e+02
   0.59381     1.89230e+02
   0.60631     1.82703e+02
   0.61879     1.76332e+02
   0.63131     1.70361e+02
   0.64381     1.64920e+02
   0.65629     1.58551e+02
   0.66878     1.53688e+02
   0.68130     1.48783e+02
   0.69382     1.43597e+02
   0.70631     1.39077e+02
   0.71877     1.35142e+02
   0.73127     1.31190e+02
   0.74379     1.26943e+02
   0.75629     1.22914e+02
   0.76880     1.19391e+02
   0.78130     1.16433e+02
   0.79378     1.12820e+02
   0.80630     1.09468e+02
   0.81880     1.06643e+02
   0.83127     1.03447e+02
   0.84379     1.00333e+02
   0.85630     9.76458e+01
   0.86879     9.55021e+01
   0.88128     9.26946e+01
   0.89378     8.99780e+01
   0.90628     8.75478e+01
   0.91879     8.51309e+01
   0.93128     8.29279e+01
   0.94378     8.09543e+01
   0.95630     7.89173e+01
   0.96878     7.71193e+01
   0.98127     7.48281e+01
   0.99376     7.30436e+01
   1.00625     7.11620e+01
   1.01876     6.91264e+01
   1.03128     6.76645e+01
   1.04378     6.63166e+01
   1.05626     6.42911e+01
   1.06878     6.25759e+01
   1.08130     6.10039e+01
   1.09378     5.96107e+01
   1.10628     5.82164e+01
   1.11877     5.69208e+01
   1.13126     5.53220e+01
   1.14378     5.38801e+01
   1.15629     5.27487e+01
   1.16880     5.15096e+01
   1.18130     5.02038e+01
   1.19378     4.90262e+01
   1.20627     4.78273e+01
   1.21876     4.67067e+01
   1.23127     4.56435e+01
   1.24378     4.46144e+01
   1.25626     4.34725e+01
   1.26874     4.24078e+01
   1.28126     4.14208e+01
