# Redshift space power spectrum multipoles.
# Subtracting SN=    1.21584e+01 from monopole.
#        k              P0              P2              P4
   0.05000     7.29519e+03     3.71645e+03     9.24905e+01
   0.07000     5.63996e+03     2.81337e+03    -2.07093e+01
   0.09000     3.98257e+03     2.05914e+03     3.84140e+02
   0.11000     2.86620e+03     1.37249e+03     6.92136e-01
   0.13000     2.45668e+03     1.24888e+03     5.52999e+01
   0.15000     1.94563e+03     9.84007e+02     6.69192e+01
   0.17000     1.55348e+03     8.38126e+02     1.23593e+02
   0.19000     1.34014e+03     6.89179e+02     6.31203e+01
   0.21000     1.14037e+03     5.99242e+02     2.77793e+01
   0.23000     9.66828e+02     5.39742e+02     7.05104e+01
   0.25000     8.54374e+02     4.72282e+02     5.84680e+01
   0.27000     7.52901e+02     4.09320e+02     3.24283e+01
   0.29000     6.66297e+02     3.73558e+02     3.73196e+01
   0.31000     5.97061e+02     3.38667e+02     3.52867e+01
   0.33000     5.35580e+02     3.00704e+02     3.44165e+01
   0.35000     4.85964e+02     2.80587e+02     3.28605e+01
   0.37000     4.43944e+02     2.52641e+02     2.94528e+01
   0.39000     4.03047e+02     2.28810e+02     3.73572e+01
   0.41000     3.71870e+02     2.20394e+02     3.43022e+01
   0.43000     3.42033e+02     2.04952e+02     2.89080e+01
   0.45000     3.14995e+02     1.88202e+02     2.30701e+01
   0.47000     2.94293e+02     1.75078e+02     3.07993e+01
   0.49000     2.72979e+02     1.66447e+02     2.47132e+01
   0.51000     2.52688e+02     1.54385e+02     2.49970e+01
   0.53000     2.36849e+02     1.43252e+02     2.00837e+01
   0.55000     2.21875e+02     1.37746e+02     2.31749e+01
   0.57000     2.07526e+02     1.28171e+02     2.33830e+01
   0.59000     1.95223e+02     1.20400e+02     1.96583e+01
   0.61000     1.84175e+02     1.12582e+02     1.72913e+01
   0.63000     1.73711e+02     1.07073e+02     1.92893e+01
   0.65000     1.63524e+02     9.95865e+01     1.90362e+01
   0.67000     1.54938e+02     9.65940e+01     1.80968e+01
   0.69000     1.46027e+02     8.89182e+01     1.56234e+01
   0.71000     1.38487e+02     8.42566e+01     1.45275e+01
   0.73000     1.31564e+02     8.02203e+01     1.56700e+01
   0.75000     1.24619e+02     7.50833e+01     1.25262e+01
   0.77000     1.18201e+02     7.12585e+01     1.37046e+01
   0.79000     1.12832e+02     6.86065e+01     1.42393e+01
   0.81000     1.07292e+02     6.36397e+01     1.27338e+01
   0.83000     1.01785e+02     6.07627e+01     1.10607e+01
   0.85000     9.68011e+01     5.75410e+01     1.16396e+01
   0.87000     9.27419e+01     5.47537e+01     1.26013e+01
   0.89000     8.81415e+01     5.13297e+01     1.08796e+01
   0.91000     8.38837e+01     4.89854e+01     1.02648e+01
   0.93000     7.99584e+01     4.57626e+01     9.56471e+00
   0.95000     7.65422e+01     4.40212e+01     1.01219e+01
   0.97000     7.32823e+01     4.22442e+01     1.00281e+01
   0.99000     7.00095e+01     3.91656e+01     8.96750e+00
   1.01000     6.67406e+01     3.78505e+01     9.04031e+00
   1.03000     6.37121e+01     3.51609e+01     8.07320e+00
   1.05000     6.12737e+01     3.39880e+01     8.84124e+00
   1.07000     5.83277e+01     3.19549e+01     8.17169e+00
   1.09000     5.58357e+01     3.04709e+01     8.63514e+00
   1.11000     5.33231e+01     2.85391e+01     8.10601e+00
   1.13000     5.09738e+01     2.73321e+01     7.65313e+00
   1.15000     4.88896e+01     2.57169e+01     7.01464e+00
   1.17000     4.67607e+01     2.45979e+01     7.64158e+00
   1.19000     4.46434e+01     2.30974e+01     6.54440e+00
   1.21000     4.27701e+01     2.18674e+01     6.42086e+00
   1.23000     4.09924e+01     2.11164e+01     6.43353e+00
   1.25000     3.91131e+01     1.95707e+01     5.99477e+00
   1.27000     3.75312e+01     1.89202e+01     6.10385e+00
   1.29000     3.56959e+01     1.75203e+01     5.68273e+00
   1.31000     3.43036e+01     1.66638e+01     5.38289e+00
   1.33000     3.28494e+01     1.56296e+01     5.74514e+00
   1.35000     3.13954e+01     1.47851e+01     5.20460e+00
   1.37000     3.00256e+01     1.41929e+01     4.86094e+00
   1.39000     2.87168e+01     1.32466e+01     5.02597e+00
   1.41000     2.74101e+01     1.26005e+01     5.01870e+00
   1.43000     2.61742e+01     1.15966e+01     4.66379e+00
   1.45000     2.49486e+01     1.10471e+01     4.60045e+00
   1.47000     2.38545e+01     1.05536e+01     4.41424e+00
   1.49000     2.27776e+01     9.79634e+00     4.16945e+00
   1.51000     2.17755e+01     9.29457e+00     4.26378e+00
   1.53000     2.07169e+01     8.66449e+00     4.07661e+00
   1.55000     1.97043e+01     8.16126e+00     4.13880e+00
   1.57000     1.87597e+01     7.66957e+00     4.13166e+00
   1.59000     1.78497e+01     7.22636e+00     3.68933e+00
   1.61000     1.70123e+01     6.76249e+00     3.73742e+00
   1.63000     1.61424e+01     6.30220e+00     3.61198e+00
   1.65000     1.53167e+01     5.95191e+00     3.79132e+00
   1.67000     1.45750e+01     5.55058e+00     3.53586e+00
   1.69000     1.37688e+01     5.21548e+00     3.46192e+00
   1.71000     1.30670e+01     4.77989e+00     3.37065e+00
   1.73000     1.23229e+01     4.59432e+00     3.29579e+00
   1.75000     1.15859e+01     4.22459e+00     3.17809e+00
   1.77000     1.09509e+01     3.92817e+00     3.10267e+00
   1.79000     1.02935e+01     3.57636e+00     3.17243e+00
   1.81000     9.71415e+00     3.39176e+00     3.05237e+00
   1.83000     9.09230e+00     3.06907e+00     2.94952e+00
   1.85000     8.50850e+00     2.85738e+00     2.85198e+00
   1.87000     7.94226e+00     2.65790e+00     2.93088e+00
   1.89000     7.37440e+00     2.43408e+00     2.89619e+00
   1.91000     6.86281e+00     2.17760e+00     2.70221e+00
   1.93000     6.33771e+00     2.09189e+00     2.70474e+00
   1.95000     5.84410e+00     1.79833e+00     2.72313e+00
   1.97000     5.35523e+00     1.70228e+00     2.64957e+00
   1.99000     4.87354e+00     1.52948e+00     2.53614e+00
   2.01000     4.43022e+00     1.35902e+00     2.56180e+00
   2.03000     3.98215e+00     1.27014e+00     2.56420e+00
   2.05000     3.55300e+00     1.09711e+00     2.49581e+00
   2.07000     3.15113e+00     9.68837e-01     2.50679e+00
   2.09000     2.74404e+00     7.92793e-01     2.43174e+00
   2.11000     2.35980e+00     7.26651e-01     2.33309e+00
   2.13000     1.98148e+00     5.99409e-01     2.38206e+00
   2.15000     1.59845e+00     5.26282e-01     2.30029e+00
   2.17000     1.26326e+00     4.23834e-01     2.28573e+00
   2.19000     9.04631e-01     3.44792e-01     2.22416e+00
   2.21000     5.88445e-01     2.22149e-01     2.23345e+00
   2.23000     2.64511e-01     1.66813e-01     2.22322e+00
   2.25000    -5.92883e-02     8.41741e-02     2.20851e+00
   2.27000    -3.72914e-01     3.01972e-02     2.14473e+00
   2.29000    -6.67692e-01    -4.09111e-02     2.15811e+00
   2.31000    -9.45591e-01    -1.23038e-01     2.14597e+00
   2.33000    -1.22646e+00    -1.55183e-01     2.14058e+00
   2.35000    -1.50731e+00    -2.29471e-01     2.09863e+00
   2.37000    -1.75580e+00    -2.69274e-01     2.04902e+00
   2.39000    -2.00571e+00    -3.23119e-01     2.06274e+00
   2.41000    -2.25933e+00    -3.60258e-01     2.07685e+00
   2.43000    -2.49970e+00    -3.81347e-01     2.04226e+00
   2.45000    -2.73649e+00    -4.46428e-01     1.98224e+00
   2.47000    -2.96985e+00    -4.65145e-01     2.00180e+00
   2.49000    -3.18927e+00    -4.99992e-01     1.99795e+00
   2.51000    -3.38750e+00    -5.51169e-01     1.97935e+00
   2.53000    -3.59793e+00    -5.53795e-01     1.98710e+00
   2.55000    -3.80536e+00    -5.93778e-01     1.98183e+00
   2.57000    -3.99864e+00    -6.01040e-01     1.98372e+00
   2.59000    -4.18090e+00    -6.41550e-01     1.97257e+00
   2.61000    -4.36165e+00    -6.69425e-01     1.96315e+00
   2.63000    -4.54146e+00    -6.56543e-01     1.97358e+00
   2.65000    -4.71606e+00    -6.89979e-01     1.97811e+00
   2.67000    -4.88537e+00    -7.05718e-01     1.95485e+00
   2.69000    -5.03907e+00    -7.14340e-01     1.98611e+00
   2.71000    -5.20442e+00    -7.33190e-01     1.98273e+00
   2.73000    -5.35232e+00    -7.49981e-01     1.96740e+00
   2.75000    -5.49950e+00    -7.42652e-01     1.97613e+00
   2.77000    -5.64448e+00    -7.54736e-01     1.98494e+00
   2.79000    -5.78546e+00    -7.57600e-01     2.01474e+00
   2.81000    -5.90887e+00    -7.76416e-01     2.03161e+00
   2.83000    -6.04193e+00    -7.72931e-01     2.02674e+00
   2.85000    -6.16798e+00    -7.91578e-01     2.05741e+00
   2.87000    -6.28684e+00    -7.78893e-01     2.08632e+00
   2.89000    -6.40622e+00    -7.91477e-01     2.09368e+00
   2.91000    -6.51818e+00    -7.85906e-01     2.11324e+00
   2.93000    -6.62575e+00    -7.96055e-01     2.13015e+00
   2.95000    -6.72875e+00    -7.89727e-01     2.17550e+00
   2.97000    -6.83217e+00    -7.90119e-01     2.17715e+00
   2.99000    -6.93103e+00    -7.84288e-01     2.21081e+00
   3.01000    -7.02501e+00    -7.86252e-01     2.23462e+00
   3.03000    -7.11681e+00    -7.81577e-01     2.26753e+00
   3.05000    -7.20241e+00    -7.89610e-01     2.30669e+00
   3.07000    -7.28909e+00    -7.88667e-01     2.32991e+00
   3.09000    -7.36926e+00    -7.82731e-01     2.37165e+00
   3.11000    -7.44721e+00    -7.78363e-01     2.40551e+00
   3.13000    -7.52485e+00    -7.74200e-01     2.44452e+00
