#        k       b1_x       b1_a            Pkmm
   0.00920    2.00737    2.00336     2.85989e+03
   0.01534    1.99266    1.98936     3.40180e+03
   0.02148    1.99846    1.99503     3.28602e+03
   0.02761    2.00203    1.99847     2.93364e+03
   0.03375    2.00691    2.00261     2.51050e+03
   0.03988    2.00428    1.99947     2.13139e+03
   0.04602    2.00271    1.99727     1.85640e+03
   0.05216    2.00937    2.00335     1.66163e+03
   0.05829    2.01092    2.00472     1.55818e+03
   0.06443    2.00577    1.99889     1.42807e+03
   0.07056    2.00737    2.00041     1.34868e+03
   0.07670    2.01280    2.00518     1.21337e+03
   0.08283    2.01388    2.00552     1.08489e+03
   0.08897    2.01687    2.00729     9.47102e+02
   0.09511    2.01495    2.00419     8.36420e+02
   0.10124    2.02472    2.01272     7.56110e+02
   0.10738    2.01985    2.00670     6.88299e+02
   0.11351    2.02418    2.01019     6.45006e+02
   0.11965    2.02559    2.01111     6.12385e+02
   0.12579    2.02951    2.01439     5.93387e+02
   0.13192    2.03868    2.02289     5.63592e+02
   0.13806    2.03522    2.01822     5.20948e+02
   0.14419    2.04152    2.02353     4.88261e+02
   0.15033    2.04060    2.02047     4.42044e+02
   0.15647    2.04289    2.02125     4.06423e+02
   0.16260    2.04742    2.02366     3.75004e+02
   0.16874    2.05217    2.02718     3.57456e+02
   0.17487    2.05374    2.02733     3.36413e+02
   0.18101    2.05139    2.02330     3.20044e+02
   0.18715    2.05794    2.02918     3.10310e+02
   0.19328    2.06017    2.03047     3.02235e+02
   0.19942    2.05869    2.02702     2.83142e+02
   0.20555    2.06539    2.03173     2.66688e+02
   0.21169    2.06703    2.03108     2.53171e+02
   0.21783    2.07233    2.03415     2.39006e+02
   0.22396    2.07471    2.03318     2.21000e+02
   0.23010    2.08072    2.03819     2.15516e+02
   0.23623    2.08362    2.03920     2.05437e+02
   0.24237    2.08142    2.03410     1.94937e+02
   0.24850    2.08803    2.04003     1.91688e+02
   0.25464    2.08967    2.03931     1.85170e+02
   0.26078    2.09196    2.03937     1.76672e+02
   0.26691    2.09314    2.03813     1.69113e+02
   0.27305    2.09882    2.04108     1.62259e+02
   0.27918    2.10329    2.04315     1.57046e+02
   0.28532    2.10425    2.04138     1.51301e+02
   0.29146    2.10858    2.04254     1.43472e+02
   0.29759    2.11167    2.04287     1.37851e+02
   0.30373    2.11534    2.04416     1.33482e+02
   0.30986    2.11845    2.04497     1.29956e+02
   0.31600    2.11839    2.04143     1.25273e+02
   0.32214    2.12279    2.04379     1.22067e+02
   0.32827    2.12236    2.04014     1.17567e+02
   0.33441    2.12900    2.04419     1.13426e+02
   0.34054    2.13137    2.04296     1.09713e+02
   0.34668    2.13545    2.04524     1.06810e+02
   0.35282    2.13862    2.04311     1.02420e+02
   0.35895    2.14173    2.04391     9.98733e+01
   0.36509    2.14237    2.04037     9.64798e+01
   0.37122    2.14643    2.04333     9.58492e+01
   0.37736    2.15219    2.04493     9.22274e+01
   0.38350    2.15511    2.04322     8.82747e+01
   0.38963    2.15414    2.03922     8.62407e+01
   0.39577    2.15916    2.04197     8.49867e+01
   0.40190    2.16140    2.04064     8.24520e+01
   0.40804    2.16641    2.04274     8.07771e+01
   0.41417    2.16553    2.03624     7.74171e+01
   0.42031    2.17001    2.03805     7.61679e+01
   0.42645    2.17603    2.03940     7.37219e+01
   0.43258    2.17548    2.03261     7.05806e+01
   0.43872    2.17681    2.03298     7.03729e+01
   0.44485    2.17885    2.02998     6.84172e+01
   0.45099    2.18200    2.02989     6.69954e+01
   0.45713    2.18540    2.02943     6.51852e+01
   0.46326    2.18844    2.02951     6.42603e+01
   0.46940    2.19151    2.02893     6.28813e+01
   0.47553    2.19461    2.02734     6.13058e+01
   0.48167    2.19747    2.02563     5.99144e+01
   0.48781    2.19813    2.02157     5.85255e+01
   0.49394    2.20203    2.02188     5.74557e+01
   0.50008    2.20434    2.01796     5.55132e+01
   0.50621    2.20584    2.01666     5.48089e+01
   0.51235    2.20746    2.01022     5.28322e+01
   0.51849    2.21176    2.01223     5.22941e+01
   0.52462    2.21051    2.00700     5.14577e+01
   0.53076    2.21514    2.00710     5.03902e+01
   0.53689    2.21661    2.00410     4.94107e+01
   0.54303    2.21726    2.00009     4.84686e+01
   0.54917    2.22207    2.00081     4.76069e+01
   0.55530    2.22292    1.99475     4.63201e+01
   0.56144    2.22733    1.99624     4.57477e+01
   0.56757    2.22854    1.99042     4.45280e+01
   0.57371    2.23121    1.98886     4.38171e+01
   0.57984    2.22977    1.98282     4.31831e+01
   0.58598    2.23483    1.98379     4.24656e+01
   0.59212    2.23684    1.98002     4.16317e+01
   0.59825    2.23952    1.97708     4.08687e+01
   0.60439    2.24263    1.97784     4.04805e+01
   0.61052    2.24225    1.96971     3.95228e+01
   0.61666    2.24647    1.97119     3.90526e+01
   0.62280    2.24765    1.96559     3.82654e+01
   0.62893    2.25028    1.96207     3.75098e+01
   0.63507    2.25314    1.96119     3.70806e+01
   0.64120    2.25435    1.95695     3.65477e+01
   0.64734    2.25823    1.95585     3.58990e+01
   0.65348    2.25920    1.94891     3.51091e+01
   0.65961    2.25769    1.94263     3.46671e+01
   0.66575    2.26152    1.94025     3.40860e+01
   0.67188    2.26437    1.93917     3.36559e+01
   0.67802    2.26634    1.93556     3.31731e+01
   0.68416    2.26790    1.93019     3.25632e+01
   0.69029    2.27113    1.92771     3.20143e+01
