# Subtracting SN=    2.89436e+01.
#        k         Pk_0_HI
   0.03175     1.36856e+04
   0.04446     1.00188e+04
   0.05670     8.34439e+03
   0.06913     7.11825e+03
   0.08163     5.88244e+03
   0.09394     4.63754e+03
   0.10633     3.75912e+03
   0.11897     3.38234e+03
   0.13156     3.14100e+03
   0.14405     2.71459e+03
   0.15655     2.28884e+03
   0.16903     2.02525e+03
   0.18145     1.82923e+03
   0.19391     1.71258e+03
   0.20638     1.56531e+03
   0.21880     1.37643e+03
   0.23135     1.27185e+03
   0.24388     1.17082e+03
   0.25638     1.10209e+03
   0.26888     1.01745e+03
   0.28133     9.48086e+02
   0.29385     8.78934e+02
   0.30628     8.30217e+02
   0.31877     7.76070e+02
   0.33129     7.29593e+02
   0.34378     6.90752e+02
   0.35632     6.48860e+02
   0.36883     6.17023e+02
   0.38133     5.88676e+02
   0.39379     5.58794e+02
   0.40628     5.35196e+02
   0.41878     5.06435e+02
   0.43132     4.78174e+02
   0.44381     4.57810e+02
   0.45630     4.40700e+02
   0.46880     4.24007e+02
   0.48130     4.03657e+02
   0.49379     3.89230e+02
   0.50627     3.72521e+02
   0.51878     3.55365e+02
   0.53128     3.45700e+02
   0.54381     3.31893e+02
   0.55628     3.21427e+02
   0.56880     3.07781e+02
   0.58132     2.97339e+02
   0.59381     2.87711e+02
   0.60631     2.79069e+02
   0.61879     2.69934e+02
   0.63131     2.61271e+02
   0.64381     2.53590e+02
   0.65629     2.44204e+02
   0.66878     2.37150e+02
   0.68130     2.30168e+02
   0.69382     2.22557e+02
   0.70631     2.16004e+02
   0.71877     2.09714e+02
   0.73127     2.04674e+02
   0.74379     1.98215e+02
   0.75629     1.92286e+02
   0.76880     1.86759e+02
   0.78130     1.82685e+02
   0.79378     1.77076e+02
   0.80630     1.72216e+02
   0.81880     1.67930e+02
   0.83127     1.63098e+02
   0.84379     1.58407e+02
   0.85630     1.54571e+02
   0.86879     1.51385e+02
   0.88128     1.47096e+02
   0.89378     1.43016e+02
   0.90628     1.39238e+02
   0.91879     1.35435e+02
   0.93128     1.32352e+02
   0.94378     1.29096e+02
   0.95630     1.25900e+02
   0.96878     1.23389e+02
   0.98127     1.19619e+02
   0.99376     1.16979e+02
   1.00625     1.14362e+02
   1.01876     1.10695e+02
   1.03128     1.08849e+02
   1.04378     1.06495e+02
   1.05626     1.03558e+02
   1.06878     1.00682e+02
   1.08130     9.83289e+01
   1.09378     9.64194e+01
   1.10628     9.39199e+01
   1.11877     9.18705e+01
   1.13126     8.92474e+01
   1.14378     8.72430e+01
   1.15629     8.51715e+01
   1.16880     8.34213e+01
   1.18130     8.12382e+01
   1.19378     7.93885e+01
