# Redshift space power spectrum multipoles.
# Subtracting SN=    4.16012e+01 from monopole.
#        k              P0              P2              P4
   0.05000     8.88270e+03     4.58568e+03     1.12636e+02
   0.07000     6.86188e+03     3.45704e+03    -2.29587e+01
   0.09000     4.84815e+03     2.53794e+03     4.77521e+02
   0.11000     3.48734e+03     1.68940e+03    -4.69930e-01
   0.13000     2.99209e+03     1.54350e+03     6.96735e+01
   0.15000     2.37537e+03     1.22306e+03     8.82089e+01
   0.17000     1.90195e+03     1.05424e+03     1.61181e+02
   0.19000     1.63889e+03     8.67411e+02     8.59081e+01
   0.21000     1.39458e+03     7.52625e+02     3.64082e+01
   0.23000     1.18711e+03     6.87400e+02     9.35566e+01
   0.25000     1.04938e+03     6.03484e+02     7.87705e+01
   0.27000     9.24342e+02     5.25725e+02     4.83226e+01
   0.29000     8.19382e+02     4.79553e+02     5.04738e+01
   0.31000     7.34717e+02     4.38384e+02     4.68986e+01
   0.33000     6.58359e+02     3.87685e+02     4.60192e+01
   0.35000     5.98695e+02     3.66690e+02     4.69803e+01
   0.37000     5.46716e+02     3.31237e+02     4.29929e+01
   0.39000     4.95442e+02     2.98672e+02     4.92532e+01
   0.41000     4.57589e+02     2.89529e+02     4.63126e+01
   0.43000     4.20824e+02     2.71475e+02     4.16629e+01
   0.45000     3.87094e+02     2.49554e+02     3.24126e+01
   0.47000     3.61452e+02     2.32415e+02     4.29452e+01
   0.49000     3.34969e+02     2.22243e+02     3.59142e+01
   0.51000     3.09150e+02     2.05576e+02     3.46882e+01
   0.53000     2.89443e+02     1.91463e+02     2.74186e+01
   0.55000     2.70416e+02     1.85024e+02     3.28424e+01
   0.57000     2.52667e+02     1.72564e+02     3.17111e+01
   0.59000     2.37003e+02     1.62878e+02     2.80182e+01
   0.61000     2.23041e+02     1.52717e+02     2.50319e+01
   0.63000     2.10007e+02     1.45907e+02     2.75217e+01
   0.65000     1.96874e+02     1.35894e+02     2.76562e+01
   0.67000     1.86106e+02     1.31735e+02     2.51944e+01
   0.69000     1.74662e+02     1.21803e+02     2.27716e+01
   0.71000     1.65522e+02     1.16498e+02     2.09248e+01
   0.73000     1.56289e+02     1.09939e+02     2.16102e+01
   0.75000     1.47561e+02     1.04669e+02     1.86844e+01
   0.77000     1.39180e+02     9.90531e+01     2.02198e+01
   0.79000     1.32356e+02     9.50782e+01     2.00015e+01
   0.81000     1.25204e+02     8.87452e+01     1.82266e+01
   0.83000     1.17901e+02     8.44094e+01     1.50561e+01
   0.85000     1.11690e+02     8.09738e+01     1.71320e+01
   0.87000     1.06397e+02     7.65979e+01     1.73955e+01
   0.89000     1.00420e+02     7.25218e+01     1.50361e+01
   0.91000     9.48079e+01     6.89728e+01     1.45516e+01
   0.93000     8.98611e+01     6.52229e+01     1.33032e+01
   0.95000     8.51631e+01     6.16474e+01     1.33641e+01
   0.97000     8.11190e+01     6.02637e+01     1.34073e+01
   0.99000     7.67542e+01     5.56957e+01     1.23129e+01
   1.01000     7.25025e+01     5.42461e+01     1.26403e+01
   1.03000     6.85970e+01     5.06470e+01     1.08949e+01
   1.05000     6.53771e+01     4.89070e+01     1.18280e+01
   1.07000     6.14867e+01     4.60849e+01     1.08146e+01
   1.09000     5.82953e+01     4.44943e+01     1.19031e+01
   1.11000     5.48931e+01     4.17759e+01     1.09757e+01
   1.13000     5.17965e+01     4.01403e+01     1.05101e+01
   1.15000     4.92157e+01     3.80895e+01     9.74760e+00
   1.17000     4.62586e+01     3.61694e+01     1.00582e+01
   1.19000     4.35670e+01     3.48476e+01     9.01061e+00
   1.21000     4.09224e+01     3.27519e+01     8.82196e+00
   1.23000     3.86001e+01     3.17141e+01     8.62627e+00
   1.25000     3.61108e+01     2.98853e+01     8.08277e+00
   1.27000     3.39769e+01     2.88707e+01     8.24477e+00
   1.29000     3.15203e+01     2.69712e+01     7.60668e+00
   1.31000     2.96520e+01     2.57991e+01     7.29798e+00
   1.33000     2.77284e+01     2.45988e+01     7.82568e+00
   1.35000     2.57648e+01     2.32234e+01     6.92479e+00
   1.37000     2.39123e+01     2.25051e+01     6.44500e+00
   1.39000     2.21892e+01     2.12944e+01     6.74359e+00
   1.41000     2.03923e+01     2.04377e+01     6.55188e+00
   1.43000     1.87494e+01     1.91516e+01     6.37580e+00
   1.45000     1.70942e+01     1.82267e+01     5.99428e+00
   1.47000     1.56042e+01     1.76329e+01     5.81121e+00
   1.49000     1.41015e+01     1.64863e+01     5.28979e+00
   1.51000     1.27890e+01     1.58053e+01     5.28225e+00
   1.53000     1.13207e+01     1.49661e+01     5.22463e+00
   1.55000     9.95957e+00     1.44013e+01     5.14798e+00
   1.57000     8.60790e+00     1.35825e+01     5.22157e+00
   1.59000     7.41593e+00     1.29800e+01     4.48755e+00
   1.61000     6.28432e+00     1.24432e+01     4.60099e+00
   1.63000     5.05210e+00     1.17620e+01     4.49906e+00
   1.65000     3.93215e+00     1.12513e+01     4.49418e+00
