#        k       b1_x       b1_a            Pkmm
   0.00920    3.22030    3.22728     1.17247e+03
   0.01534    3.16999    3.17784     1.39402e+03
   0.02148    3.19176    3.19994     1.35402e+03
   0.02761    3.20600    3.21659     1.20651e+03
   0.03375    3.22537    3.23409     1.02967e+03
   0.03988    3.22329    3.23613     8.75979e+02
   0.04602    3.19872    3.21325     7.63503e+02
   0.05216    3.22843    3.24464     6.84491e+02
   0.05829    3.23333    3.25085     6.38835e+02
   0.06443    3.20530    3.22137     5.89184e+02
   0.07056    3.20794    3.22845     5.53072e+02
   0.07670    3.22925    3.25156     4.98782e+02
   0.08283    3.22019    3.24615     4.44676e+02
   0.08897    3.22837    3.25771     3.89852e+02
   0.09511    3.21464    3.24485     3.43740e+02
   0.10124    3.24685    3.28208     3.09394e+02
   0.10738    3.22233    3.25785     2.82242e+02
   0.11351    3.23910    3.27605     2.64929e+02
   0.11965    3.24067    3.28014     2.51760e+02
   0.12579    3.24752    3.28734     2.42914e+02
   0.13192    3.27616    3.31732     2.30432e+02
   0.13806    3.25793    3.30262     2.13568e+02
   0.14419    3.27535    3.32266     1.98473e+02
   0.15033    3.27170    3.32193     1.80243e+02
   0.15647    3.26795    3.32302     1.64896e+02
   0.16260    3.28159    3.33938     1.51991e+02
   0.16874    3.29025    3.34926     1.43775e+02
   0.17487    3.28842    3.35134     1.35697e+02
   0.18101    3.27226    3.33545     1.29466e+02
   0.18715    3.28732    3.35186     1.25458e+02
   0.19328    3.29868    3.36475     1.21615e+02
   0.19942    3.29494    3.36402     1.14437e+02
   0.20555    3.31020    3.38149     1.07660e+02
   0.21169    3.31250    3.38489     1.01683e+02
   0.21783    3.32168    3.39643     9.54382e+01
   0.22396    3.32186    3.39843     8.85446e+01
   0.23010    3.33850    3.41789     8.53898e+01
   0.23623    3.33993    3.42351     8.13229e+01
   0.24237    3.33235    3.41667     7.77636e+01
   0.24850    3.34608    3.42934     7.58930e+01
   0.25464    3.34725    3.43203     7.30991e+01
   0.26078    3.35658    3.44551     6.99881e+01
   0.26691    3.34777    3.43657     6.69449e+01
   0.27305    3.36545    3.45523     6.41255e+01
   0.27918    3.37813    3.46625     6.14390e+01
   0.28532    3.38144    3.46896     5.89612e+01
   0.29146    3.39374    3.48930     5.59785e+01
   0.29759    3.38778    3.48481     5.36354e+01
   0.30373    3.40378    3.50066     5.18677e+01
   0.30986    3.40802    3.50732     5.02752e+01
   0.31600    3.40328    3.50029     4.85829e+01
   0.32214    3.41846    3.51251     4.72283e+01
   0.32827    3.40451    3.50385     4.54065e+01
   0.33441    3.42325    3.52347     4.38017e+01
   0.34054    3.42465    3.52579     4.21543e+01
   0.34668    3.43881    3.54480     4.08714e+01
   0.35282    3.44319    3.54346     3.92064e+01
   0.35895    3.45260    3.55556     3.80025e+01
   0.36509    3.45094    3.55284     3.67983e+01
   0.37122    3.46318    3.56433     3.61661e+01
   0.37736    3.47861    3.57952     3.48375e+01
   0.38350    3.47915    3.58477     3.34206e+01
   0.38963    3.47507    3.57996     3.26756e+01
   0.39577    3.48703    3.58833     3.19449e+01
   0.40190    3.49122    3.59691     3.09077e+01
   0.40804    3.50077    3.60507     3.01403e+01
   0.41417    3.48939    3.59684     2.89274e+01
   0.42031    3.51047    3.61349     2.83460e+01
   0.42645    3.51836    3.62093     2.73657e+01
   0.43258    3.50770    3.61462     2.62853e+01
   0.43872    3.51807    3.61935     2.60322e+01
   0.44485    3.52038    3.62110     2.52608e+01
   0.45099    3.53180    3.63072     2.46749e+01
   0.45713    3.53220    3.63606     2.39438e+01
   0.46326    3.54149    3.64013     2.34878e+01
   0.46940    3.55226    3.64817     2.30209e+01
   0.47553    3.55408    3.65179     2.22881e+01
   0.48167    3.56317    3.65999     2.16914e+01
   0.48781    3.56355    3.65680     2.12476e+01
   0.49394    3.57554    3.66791     2.07066e+01
   0.50008    3.57167    3.66610     2.00491e+01
   0.50621    3.57721    3.67114     1.97328e+01
   0.51235    3.58082    3.66985     1.90897e+01
   0.51849    3.58561    3.67467     1.87614e+01
   0.52462    3.58939    3.67421     1.84119e+01
   0.53076    3.59968    3.68295     1.80063e+01
   0.53689    3.60764    3.69135     1.75380e+01
   0.54303    3.60184    3.68438     1.72239e+01
   0.54917    3.62013    3.70060     1.68528e+01
   0.55530    3.62160    3.70153     1.64350e+01
   0.56144    3.62911    3.70792     1.61357e+01
   0.56757    3.62583    3.70135     1.56770e+01
   0.57371    3.63654    3.70890     1.54354e+01
   0.57984    3.62299    3.69392     1.50954e+01
   0.58598    3.64086    3.71103     1.47916e+01
   0.59212    3.65049    3.71565     1.45359e+01
   0.59825    3.65452    3.71736     1.42583e+01
   0.60439    3.66604    3.72615     1.40826e+01
   0.61052    3.65688    3.71485     1.36779e+01
   0.61666    3.66826    3.72628     1.35061e+01
   0.62280    3.67103    3.72551     1.31294e+01
   0.62893    3.67873    3.73050     1.28792e+01
   0.63507    3.69159    3.74045     1.27083e+01
   0.64120    3.69243    3.73695     1.24836e+01
   0.64734    3.69752    3.73981     1.22514e+01
   0.65348    3.70025    3.74225     1.19809e+01
   0.65961    3.69164    3.72927     1.17920e+01
   0.66575    3.70562    3.73768     1.15746e+01
   0.67188    3.71090    3.74305     1.13496e+01
   0.67802    3.71686    3.74478     1.11850e+01
   0.68416    3.72123    3.74666     1.09755e+01
   0.69029    3.72890    3.75298     1.07689e+01
   0.69643    3.72329    3.73895     1.05925e+01
   0.70256    3.72827    3.74236     1.04116e+01
   0.70870    3.73436    3.74814     1.02214e+01
   0.71484    3.74196    3.74808     1.00375e+01
   0.72097    3.74258    3.74456     9.94956e+00
   0.72711    3.75477    3.75888     9.75372e+00
   0.73324    3.75344    3.74586     9.55459e+00
   0.73938    3.76268    3.75473     9.42478e+00
   0.74551    3.76380    3.75312     9.30382e+00
   0.75165    3.76414    3.74720     9.19149e+00
   0.75779    3.76531    3.74495     9.00800e+00
   0.76392    3.77092    3.74727     8.82608e+00
   0.77006    3.77715    3.74810     8.70317e+00
   0.77619    3.77993    3.74375     8.58615e+00
   0.78233    3.78673    3.74881     8.51129e+00
   0.78847    3.79017    3.74827     8.36326e+00
   0.79460    3.79254    3.74292     8.18355e+00
   0.80074    3.79818    3.74711     8.08442e+00
   0.80687    3.79745    3.74177     7.95226e+00
   0.81301    3.80388    3.74291     7.86842e+00
   0.81915    3.81179    3.74611     7.74235e+00
   0.82528    3.80733    3.73538     7.63969e+00
   0.83142    3.80725    3.72868     7.50886e+00
   0.83755    3.81563    3.73374     7.40256e+00
   0.84369    3.82019    3.72996     7.30240e+00
   0.84983    3.82789    3.73447     7.18963e+00
   0.85596    3.83296    3.73655     7.08664e+00
   0.86210    3.83726    3.73529     7.01876e+00
   0.86823    3.83980    3.73074     6.92098e+00
   0.87437    3.84724    3.73235     6.81660e+00
   0.88050    3.84794    3.73113     6.73606e+00
   0.88664    3.84788    3.72118     6.61943e+00
   0.89278    3.85088    3.71612     6.54935e+00
   0.89891    3.84709    3.71058     6.45832e+00
   0.90505    3.85550    3.71132     6.35402e+00
   0.91118    3.85469    3.70562     6.30964e+00
   0.91732    3.86024    3.70418     6.22559e+00
   0.92346    3.85988    3.69571     6.11693e+00
   0.92959    3.86839    3.70011     6.06122e+00
   0.93573    3.86680    3.69065     5.97434e+00
   0.94186    3.87007    3.69140     5.90873e+00
   0.94800    3.87036    3.68394     5.82811e+00
   0.95414    3.87753    3.68309     5.76328e+00
   0.96027    3.88502    3.68302     5.68167e+00
   0.96641    3.88519    3.67825     5.63469e+00
   0.97254    3.88612    3.67360     5.56151e+00
   0.97868    3.89136    3.66922     5.48808e+00
   0.98482    3.89132    3.66402     5.41621e+00
   0.99095    3.89549    3.66446     5.36939e+00
   0.99709    3.89110    3.65306     5.28825e+00
   1.00322    3.90194    3.65348     5.21403e+00
   1.00936    3.90067    3.64189     5.16618e+00
   1.01550    3.89941    3.63684     5.09868e+00
   1.02163    3.90427    3.62964     5.04694e+00
   1.02777    3.91123    3.63687     5.00420e+00
   1.03390    3.90977    3.62531     4.94554e+00
   1.04004    3.91714    3.62408     4.89417e+00
   1.04617    3.91878    3.61658     4.83362e+00
   1.05231    3.91269    3.60676     4.78208e+00
   1.05845    3.92327    3.60748     4.72157e+00
   1.06458    3.92351    3.59793     4.66472e+00
   1.07072    3.92785    3.59300     4.59498e+00
   1.07685    3.92674    3.58531     4.56148e+00
   1.08299    3.92872    3.57895     4.51557e+00
   1.08913    3.92985    3.57351     4.45635e+00
   1.09526    3.93015    3.56384     4.43364e+00
   1.10140    3.93961    3.56529     4.38083e+00
   1.10753    3.93700    3.55422     4.33425e+00
   1.11367    3.93390    3.54326     4.29475e+00
   1.11981    3.93701    3.53446     4.25112e+00
   1.12594    3.94560    3.53455     4.18945e+00
   1.13208    3.94056    3.52169     4.15133e+00
   1.13821    3.94363    3.51473     4.11017e+00
   1.14435    3.94568    3.50826     4.05330e+00
   1.15049    3.94426    3.49538     4.01540e+00
   1.15662    3.95372    3.49667     3.99254e+00
   1.16276    3.94932    3.48344     3.94083e+00
