# Subtracting SN=    3.54427e+01.
#        k         Pk_0_HI
   0.03175     1.37150e+04
   0.04446     1.00110e+04
   0.05670     8.30749e+03
   0.06913     7.07668e+03
   0.08163     5.84299e+03
   0.09394     4.57601e+03
   0.10633     3.69627e+03
   0.11897     3.31153e+03
   0.13156     3.06049e+03
   0.14405     2.64322e+03
   0.15655     2.22240e+03
   0.16903     1.96971e+03
   0.18145     1.77746e+03
   0.19391     1.65444e+03
   0.20638     1.50007e+03
   0.21880     1.32276e+03
   0.23135     1.22176e+03
   0.24388     1.12255e+03
   0.25638     1.05107e+03
   0.26888     9.68168e+02
   0.28133     9.03342e+02
   0.29385     8.32808e+02
   0.30628     7.86562e+02
   0.31877     7.30830e+02
   0.33129     6.87148e+02
   0.34378     6.49943e+02
   0.35632     6.08118e+02
   0.36883     5.76854e+02
   0.38133     5.46672e+02
   0.39379     5.18742e+02
   0.40628     4.96481e+02
   0.41878     4.68448e+02
   0.43132     4.42309e+02
   0.44381     4.22285e+02
   0.45630     4.05314e+02
   0.46880     3.89612e+02
   0.48130     3.69886e+02
   0.49379     3.55820e+02
   0.50627     3.39193e+02
   0.51878     3.22674e+02
   0.53128     3.13339e+02
   0.54381     2.99841e+02
   0.55628     2.88755e+02
   0.56880     2.76640e+02
   0.58132     2.65775e+02
   0.59381     2.57917e+02
   0.60631     2.48489e+02
   0.61879     2.39699e+02
   0.63131     2.31405e+02
   0.64381     2.24011e+02
   0.65629     2.14864e+02
   0.66878     2.08414e+02
   0.68130     2.01443e+02
   0.69382     1.94225e+02
   0.70631     1.87748e+02
   0.71877     1.82865e+02
   0.73127     1.76655e+02
   0.74379     1.70670e+02
   0.75629     1.65055e+02
   0.76880     1.60096e+02
   0.78130     1.56042e+02
   0.79378     1.50881e+02
   0.80630     1.46092e+02
   0.81880     1.41806e+02
   0.83127     1.37341e+02
   0.84379     1.33050e+02
   0.85630     1.29159e+02
   0.86879     1.26195e+02
   0.88128     1.22131e+02
   0.89378     1.18196e+02
   0.90628     1.14571e+02
   0.91879     1.11074e+02
   0.93128     1.07762e+02
   0.94378     1.05080e+02
   0.95630     1.02168e+02
   0.96878     9.95787e+01
   0.98127     9.63533e+01
   0.99376     9.37851e+01
   1.00625     9.07984e+01
   1.01876     8.81280e+01
   1.03128     8.57629e+01
   1.04378     8.38738e+01
   1.05626     8.09265e+01
   1.06878     7.86143e+01
   1.08130     7.62623e+01
   1.09378     7.39793e+01
   1.10628     7.19672e+01
   1.11877     6.99391e+01
   1.13126     6.78316e+01
   1.14378     6.55908e+01
   1.15629     6.40392e+01
   1.16880     6.21372e+01
   1.18130     6.00526e+01
   1.19378     5.83585e+01
   1.20627     5.67550e+01
   1.21876     5.50090e+01
   1.23127     5.34890e+01
   1.24378     5.16231e+01
   1.25626     5.00163e+01
   1.26874     4.86678e+01
   1.28126     4.67992e+01
   1.29376     4.55005e+01
   1.30627     4.42282e+01
   1.31878     4.27078e+01
   1.33127     4.15147e+01
   1.34376     4.00780e+01
   1.35626     3.87988e+01
   1.36877     3.74931e+01
   1.38126     3.63831e+01
   1.39377     3.49612e+01
   1.40626     3.37101e+01
   1.41876     3.26926e+01
   1.43128     3.13309e+01
   1.44376     3.02342e+01
   1.45626     2.90854e+01
   1.46878     2.81870e+01
   1.48127     2.70223e+01
   1.49375     2.60226e+01
   1.50627     2.52375e+01
   1.51879     2.38859e+01
   1.53128     2.30560e+01
   1.54377     2.20752e+01
   1.55627     2.10887e+01
   1.56876     2.02119e+01
   1.58126     1.93378e+01
   1.59377     1.84060e+01
   1.60627     1.75856e+01
   1.61877     1.66694e+01
   1.63126     1.59639e+01
   1.64377     1.50971e+01
   1.65627     1.42819e+01
   1.66875     1.34646e+01
   1.68125     1.27154e+01
   1.69375     1.19555e+01
   1.70626     1.12908e+01
   1.71876     1.05115e+01
   1.73127     9.75566e+00
   1.74377     8.98124e+00
   1.75628     8.28570e+00
   1.76876     7.63115e+00
   1.78125     6.99180e+00
