# Redshift space power spectrum multipoles.
# Subtracting SN=    8.57785e+01 from monopole.
#        k              P0              P2              P4
   0.05000     1.05725e+04     6.44274e+03     2.09983e+02
   0.07000     8.14427e+03     4.78258e+03     5.87740e+01
   0.09000     5.74906e+03     3.52993e+03     6.67099e+02
   0.11000     4.11422e+03     2.33462e+03     5.77023e+01
   0.13000     3.51128e+03     2.10384e+03     1.12550e+02
   0.15000     2.79384e+03     1.66649e+03     1.49448e+02
   0.17000     2.24789e+03     1.45797e+03     2.34785e+02
   0.19000     1.92577e+03     1.19066e+03     1.39446e+02
   0.21000     1.63064e+03     1.01399e+03     7.18016e+01
   0.23000     1.39257e+03     9.22771e+02     1.25806e+02
   0.25000     1.22801e+03     8.13202e+02     1.16044e+02
   0.27000     1.07849e+03     7.12863e+02     8.70654e+01
   0.29000     9.54007e+02     6.34180e+02     7.43969e+01
   0.31000     8.52980e+02     5.83395e+02     7.07182e+01
   0.33000     7.61063e+02     5.04550e+02     6.95075e+01
   0.35000     6.91355e+02     4.81109e+02     7.21940e+01
   0.37000     6.28163e+02     4.32815e+02     6.59633e+01
   0.39000     5.64685e+02     3.78918e+02     6.32506e+01
   0.41000     5.20044e+02     3.64056e+02     6.40232e+01
   0.43000     4.75912e+02     3.38098e+02     5.53735e+01
   0.45000     4.36440e+02     3.09424e+02     4.76060e+01
   0.47000     4.04158e+02     2.81740e+02     5.47746e+01
   0.49000     3.73142e+02     2.70796e+02     5.28121e+01
   0.51000     3.41957e+02     2.42998e+02     4.40013e+01
   0.53000     3.17891e+02     2.23721e+02     3.24258e+01
   0.55000     2.93450e+02     2.13579e+02     4.35530e+01
   0.57000     2.73670e+02     1.98232e+02     3.58175e+01
   0.59000     2.52941e+02     1.82054e+02     3.37984e+01
   0.61000     2.36046e+02     1.70220e+02     3.25685e+01
   0.63000     2.21327e+02     1.60526e+02     3.41192e+01
   0.65000     2.05243e+02     1.48750e+02     3.42433e+01
   0.67000     1.91692e+02     1.37948e+02     2.83338e+01
   0.69000     1.77702e+02     1.26227e+02     2.39891e+01
   0.71000     1.67713e+02     1.21725e+02     2.63041e+01
   0.73000     1.55849e+02     1.10140e+02     2.31385e+01
   0.75000     1.46109e+02     1.07458e+02     2.35831e+01
   0.77000     1.35813e+02     9.92679e+01     2.34200e+01
   0.79000     1.27443e+02     9.17240e+01     2.22677e+01
   0.81000     1.18986e+02     8.52685e+01     2.00185e+01
   0.83000     1.10610e+02     7.96197e+01     1.76466e+01
   0.85000     1.03474e+02     7.72756e+01     2.08428e+01
   0.87000     9.66396e+01     6.94490e+01     1.92957e+01
   0.89000     8.96809e+01     6.63830e+01     1.77789e+01
   0.91000     8.34980e+01     6.16899e+01     1.68382e+01
   0.93000     7.81846e+01     5.93717e+01     1.56494e+01
   0.95000     7.22314e+01     5.24645e+01     1.44531e+01
   0.97000     6.73900e+01     5.14039e+01     1.33599e+01
   0.99000     6.24156e+01     4.65700e+01     1.38394e+01
   1.01000     5.76215e+01     4.47179e+01     1.40860e+01
   1.03000     5.33648e+01     4.20191e+01     1.22400e+01
   1.05000     4.94811e+01     3.97318e+01     1.26084e+01
   1.07000     4.49603e+01     3.66113e+01     1.14746e+01
   1.09000     4.13827e+01     3.41969e+01     1.14287e+01
   1.11000     3.77036e+01     3.24937e+01     1.17408e+01
   1.13000     3.41502e+01     3.00813e+01     1.07196e+01
   1.15000     3.11742e+01     2.81696e+01     9.54316e+00
   1.17000     2.79758e+01     2.63389e+01     1.05901e+01
   1.19000     2.48801e+01     2.51470e+01     9.56915e+00
   1.21000     2.21775e+01     2.33889e+01     9.00294e+00
   1.23000     1.94078e+01     2.24496e+01     9.37039e+00
   1.25000     1.68265e+01     2.07760e+01     8.80663e+00
   1.27000     1.41929e+01     1.99520e+01     8.23250e+00
   1.29000     1.19349e+01     1.87606e+01     7.97331e+00
   1.31000     9.63669e+00     1.67804e+01     7.64904e+00
   1.33000     7.26658e+00     1.64429e+01     8.26913e+00
   1.35000     5.33098e+00     1.52591e+01     7.74469e+00
   1.37000     3.18409e+00     1.48519e+01     6.35570e+00
   1.39000     1.24479e+00     1.32259e+01     6.91203e+00
