#        k       b1_x       b1_a            Pkmm
   0.00920    2.59232    3.38063     6.90522e+02
   0.01534    2.16485    2.89787     8.20625e+02
   0.02148    2.36155    2.91160     7.99283e+02
   0.02761    2.58488    3.02995     7.11425e+02
   0.03375    2.78955    3.07539     6.06497e+02
   0.03988    2.84510    3.09967     5.16500e+02
   0.04602    2.82482    3.06296     4.50237e+02
   0.05216    2.93615    3.12971     4.03892e+02
   0.05829    2.95793    3.13953     3.76252e+02
   0.06443    3.04122    3.20133     3.47908e+02
   0.07056    3.09259    3.22064     3.25725e+02
   0.07670    3.13736    3.26081     2.94055e+02
   0.08283    3.20408    3.32155     2.61858e+02
   0.08897    3.19512    3.30752     2.30030e+02
   0.09511    3.23382    3.34371     2.02709e+02
   0.10124    3.25801    3.37346     1.82176e+02
   0.10738    3.29588    3.40439     1.66364e+02
   0.11351    3.31534    3.41582     1.56227e+02
   0.11965    3.33795    3.44265     1.48531e+02
   0.12579    3.38086    3.48391     1.43033e+02
   0.13192    3.39753    3.49449     1.35610e+02
   0.13806    3.41428    3.51594     1.25828e+02
   0.14419    3.41791    3.52125     1.16573e+02
   0.15033    3.43406    3.54137     1.05973e+02
   0.15647    3.44174    3.55631     9.68252e+01
   0.16260    3.45972    3.57834     8.92065e+01
   0.16874    3.47770    3.59873     8.41284e+01
   0.17487    3.48430    3.60793     7.95460e+01
   0.18101    3.48188    3.60713     7.60045e+01
   0.18715    3.49360    3.62111     7.36029e+01
   0.19328    3.51700    3.64429     7.11780e+01
   0.19942    3.51787    3.64919     6.71307e+01
   0.20555    3.54126    3.67575     6.31471e+01
   0.21169    3.55312    3.69226     5.94870e+01
   0.21783    3.56127    3.70745     5.57482e+01
   0.22396    3.56512    3.71344     5.18283e+01
   0.23010    3.58250    3.73907     4.97399e+01
   0.23623    3.58447    3.74515     4.73826e+01
   0.24237    3.58384    3.74459     4.54258e+01
   0.24850    3.60394    3.76907     4.42002e+01
   0.25464    3.60530    3.77371     4.25619e+01
   0.26078    3.62026    3.79262     4.08052e+01
   0.26691    3.61056    3.78627     3.90193e+01
   0.27305    3.63290    3.81223     3.73296e+01
   0.27918    3.64421    3.82767     3.56587e+01
   0.28532    3.64667    3.83315     3.41557e+01
   0.29146    3.66682    3.86518     3.24472e+01
   0.29759    3.65758    3.86127     3.10839e+01
   0.30373    3.67981    3.88586     3.00309e+01
   0.30986    3.68838    3.90047     2.90727e+01
   0.31600    3.68280    3.89775     2.81224e+01
   0.32214    3.70538    3.91870     2.72933e+01
   0.32827    3.69050    3.91212     2.62536e+01
   0.33441    3.70272    3.92958     2.53140e+01
   0.34054    3.71019    3.94038     2.43454e+01
   0.34668    3.72709    3.96651     2.35519e+01
   0.35282    3.73144    3.97157     2.26027e+01
   0.35895    3.73838    3.98758     2.18610e+01
   0.36509    3.74253    3.99481     2.11755e+01
   0.37122    3.75082    4.00645     2.07167e+01
   0.37736    3.76370    4.02364     1.99782e+01
   0.38350    3.76318    4.03159     1.92128e+01
   0.38963    3.76363    4.03671     1.87719e+01
   0.39577    3.77312    4.04368     1.82856e+01
   0.40190    3.77937    4.06223     1.76864e+01
   0.40804    3.79541    4.08001     1.72090e+01
   0.41417    3.78167    4.07506     1.65420e+01
   0.42031    3.80463    4.09860     1.61741e+01
   0.42645    3.80457    4.10422     1.56204e+01
   0.43258    3.79385    4.10630     1.50393e+01
   0.43872    3.80853    4.11715     1.48302e+01
   0.44485    3.80738    4.12044     1.43960e+01
   0.45099    3.82695    4.14022     1.40362e+01
   0.45713    3.82078    4.14862     1.36184e+01
   0.46326    3.82600    4.15345     1.33334e+01
   0.46940    3.83921    4.16900     1.30540e+01
   0.47553    3.83697    4.17328     1.26278e+01
   0.48167    3.85023    4.19267     1.22722e+01
   0.48781    3.84958    4.19374     1.20212e+01
   0.49394    3.86655    4.21837     1.16882e+01
   0.50008    3.86015    4.21880     1.13403e+01
   0.50621    3.86312    4.22520     1.11457e+01
   0.51235    3.87152    4.23737     1.08020e+01
   0.51849    3.87242    4.24354     1.05892e+01
   0.52462    3.87783    4.24957     1.03696e+01
   0.53076    3.88887    4.26436     1.01391e+01
   0.53689    3.89004    4.27546     9.85827e+00
   0.54303    3.88924    4.27851     9.67875e+00
   0.54917    3.90465    4.29725     9.45861e+00
   0.55530    3.90563    4.30475     9.23513e+00
   0.56144    3.91573    4.31890     9.04140e+00
   0.56757    3.91124    4.32337     8.78808e+00
   0.57371    3.91589    4.32424     8.65300e+00
   0.57984    3.90814    4.32413     8.44834e+00
   0.58598    3.92314    4.34603     8.25746e+00
   0.59212    3.93331    4.35600     8.12058e+00
   0.59825    3.93743    4.36465     7.95474e+00
   0.60439    3.94545    4.37417     7.84065e+00
   0.61052    3.93684    4.37222     7.61941e+00
   0.61666    3.95106    4.39261     7.50946e+00
   0.62280    3.95801    4.40426     7.29321e+00
   0.62893    3.96020    4.41288     7.15399e+00
   0.63507    3.96597    4.42067     7.05197e+00
   0.64120    3.96616    4.42337     6.92132e+00
   0.64734    3.97187    4.43123     6.77963e+00
   0.65348    3.97579    4.44627     6.63672e+00
   0.65961    3.96687    4.44123     6.52420e+00
   0.66575    3.98023    4.45403     6.39890e+00
   0.67188    3.98207    4.46392     6.27109e+00
   0.67802    3.98964    4.47500     6.17365e+00
   0.68416    3.98807    4.47899     6.05145e+00
   0.69029    3.99855    4.49357     5.93739e+00
   0.69643    3.99609    4.49317     5.83074e+00
   0.70256    3.99639    4.49736     5.72989e+00
   0.70870    4.00072    4.51308     5.61432e+00
   0.71484    4.00935    4.52036     5.51049e+00
   0.72097    4.00834    4.51965     5.45234e+00
   0.72711    4.01925    4.54345     5.33696e+00
   0.73324    4.02232    4.54235     5.24004e+00
   0.73938    4.02378    4.54999     5.16291e+00
   0.74551    4.03064    4.56238     5.08492e+00
   0.75165    4.03625    4.56815     5.01865e+00
   0.75779    4.02753    4.56723     4.91958e+00
   0.76392    4.03366    4.58009     4.81457e+00
   0.77006    4.03207    4.58149     4.73569e+00
   0.77619    4.03623    4.58571     4.67109e+00
   0.78233    4.04506    4.59704     4.62654e+00
   0.78847    4.04765    4.60218     4.54717e+00
   0.79460    4.04797    4.61070     4.44749e+00
   0.80074    4.05759    4.62361     4.37999e+00
   0.80687    4.05053    4.62181     4.31603e+00
   0.81301    4.06097    4.63497     4.26329e+00
   0.81915    4.06857    4.64624     4.19097e+00
   0.82528    4.06019    4.63978     4.12957e+00
   0.83142    4.06003    4.64595     4.05898e+00
   0.83755    4.07005    4.66145     3.99053e+00
   0.84369    4.07192    4.66180     3.93882e+00
   0.84983    4.07960    4.67644     3.87530e+00
   0.85596    4.07972    4.68136     3.82202e+00
   0.86210    4.08489    4.68750     3.77816e+00
   0.86823    4.08661    4.69366     3.71942e+00
   0.87437    4.09056    4.70153     3.66175e+00
   0.88050    4.09255    4.70803     3.61677e+00
   0.88664    4.09134    4.71230     3.54616e+00
   0.89278    4.09261    4.71381     3.50590e+00
   0.89891    4.09274    4.72032     3.45911e+00
   0.90505    4.09581    4.72788     3.39853e+00
   0.91118    4.09467    4.72527     3.37248e+00
   0.91732    4.09602    4.73167     3.32559e+00
   0.92346    4.09916    4.74001     3.26525e+00
   0.92959    4.10399    4.74938     3.23575e+00
   0.93573    4.10157    4.74923     3.18615e+00
   0.94186    4.10454    4.75868     3.14346e+00
   0.94800    4.10706    4.76261     3.10258e+00
   0.95414    4.10989    4.76803     3.06593e+00
   0.96027    4.11995    4.78137     3.01967e+00
   0.96641    4.11932    4.78433     2.98760e+00
   0.97254    4.11813    4.78616     2.95212e+00
   0.97868    4.12581    4.79667     2.90733e+00
   0.98482    4.11713    4.79420     2.86637e+00
   0.99095    4.12325    4.80454     2.83540e+00
   0.99709    4.11936    4.80490     2.80027e+00
   1.00322    4.12787    4.81598     2.75690e+00
   1.00936    4.12796    4.81564     2.72534e+00
   1.01550    4.12452    4.81778     2.69706e+00
   1.02163    4.13184    4.82352     2.66335e+00
   1.02777    4.13116    4.83033     2.63487e+00
   1.03390    4.13032    4.83226     2.60393e+00
   1.04004    4.13477    4.83804     2.56966e+00
   1.04617    4.14104    4.84498     2.54081e+00
   1.05231    4.13266    4.84713     2.51040e+00
   1.05845    4.13824    4.85305     2.47338e+00
   1.06458    4.13887    4.85647     2.44570e+00
   1.07072    4.14496    4.87093     2.40468e+00
   1.07685    4.13840    4.86524     2.38747e+00
   1.08299    4.14341    4.87203     2.36066e+00
   1.08913    4.14033    4.87531     2.33193e+00
   1.09526    4.14549    4.87808     2.31576e+00
   1.10140    4.15120    4.88784     2.28187e+00
   1.10753    4.14762    4.88683     2.26270e+00
   1.11367    4.14567    4.88494     2.23747e+00
