#        k       b1_x       b1_a            Pkmm
   0.00920    2.99142    2.99626     9.39010e+02
   0.01534    2.95646    2.96123     1.11625e+03
   0.02148    2.97183    2.97690     1.08551e+03
   0.02761    2.98324    2.98967     9.66807e+02
   0.03375    2.99500    3.00071     8.24689e+02
   0.03988    2.99261    3.00069     7.01905e+02
   0.04602    2.97661    2.98596     6.11826e+02
   0.05216    2.99634    3.00676     5.48666e+02
   0.05829    2.99941    3.01066     5.11632e+02
   0.06443    2.98019    2.99102     4.72421e+02
   0.07056    2.98190    2.99528     4.42941e+02
   0.07670    2.99741    3.01208     3.99648e+02
   0.08283    2.99147    3.00842     3.56110e+02
   0.08897    2.99674    3.01589     3.12478e+02
   0.09511    2.98708    3.00750     2.75447e+02
   0.10124    3.00900    3.03228     2.47748e+02
   0.10738    2.99177    3.01594     2.26111e+02
   0.11351    3.00318    3.02850     2.12286e+02
   0.11965    3.00441    3.03122     2.01776e+02
   0.12579    3.00904    3.03625     1.94517e+02
   0.13192    3.02978    3.05816     1.84477e+02
   0.13806    3.01707    3.04789     1.71064e+02
   0.14419    3.02828    3.06132     1.58745e+02
   0.15033    3.02577    3.06098     1.44233e+02
   0.15647    3.02231    3.06100     1.31868e+02
   0.16260    3.03175    3.07255     1.21522e+02
   0.16874    3.03801    3.08016     1.14794e+02
   0.17487    3.03580    3.08049     1.08428e+02
   0.18101    3.02419    3.06966     1.03516e+02
   0.18715    3.03520    3.08191     1.00283e+02
   0.19328    3.04267    3.09051     9.71092e+01
   0.19942    3.03932    3.08946     9.14698e+01
   0.20555    3.04877    3.10102     8.60457e+01
   0.21169    3.05131    3.10497     8.11761e+01
   0.21783    3.05740    3.11337     7.61321e+01
   0.22396    3.05752    3.11566     7.06956e+01
   0.23010    3.06729    3.12776     6.80269e+01
   0.23623    3.06927    3.13296     6.47919e+01
   0.24237    3.06270    3.12717     6.20319e+01
   0.24850    3.07263    3.13703     6.04557e+01
   0.25464    3.07302    3.13877     5.82194e+01
   0.26078    3.07942    3.14832     5.57764e+01
   0.26691    3.07179    3.14189     5.33442e+01
   0.27305    3.08626    3.15775     5.10701e+01
   0.27918    3.09252    3.16404     4.88594e+01
   0.28532    3.09459    3.16676     4.68494e+01
   0.29146    3.10122    3.17908     4.44908e+01
   0.29759    3.09785    3.17757     4.26221e+01
   0.30373    3.10890    3.18947     4.12003e+01
   0.30986    3.11140    3.19399     3.99105e+01
   0.31600    3.10774    3.19007     3.85855e+01
   0.32214    3.11695    3.19846     3.74830e+01
   0.32827    3.10761    3.19314     3.60424e+01
   0.33441    3.12016    3.20750     3.47624e+01
   0.34054    3.12048    3.20934     3.34409e+01
   0.34668    3.12972    3.22244     3.23915e+01
   0.35282    3.13166    3.22224     3.10780e+01
   0.35895    3.13863    3.23195     3.00924e+01
   0.36509    3.13853    3.23248     2.91453e+01
   0.37122    3.14579    3.23977     2.85838e+01
   0.37736    3.15592    3.25114     2.75463e+01
   0.38350    3.15375    3.25319     2.64536e+01
   0.38963    3.15130    3.25094     2.58584e+01
   0.39577    3.16076    3.25945     2.52377e+01
   0.40190    3.16115    3.26395     2.44137e+01
   0.40804    3.16896    3.27201     2.37835e+01
   0.41417    3.15899    3.26537     2.28408e+01
   0.42031    3.17412    3.27904     2.23605e+01
   0.42645    3.17751    3.28375     2.15887e+01
   0.43258    3.16934    3.27984     2.07574e+01
   0.43872    3.17722    3.28511     2.05192e+01
   0.44485    3.17850    3.28768     1.99129e+01
   0.45099    3.18598    3.29492     1.94352e+01
   0.45713    3.18399    3.29740     1.88566e+01
   0.46326    3.18961    3.30154     1.84810e+01
   0.46940    3.19864    3.31021     1.81073e+01
   0.47553    3.19807    3.31192     1.75208e+01
   0.48167    3.20290    3.31748     1.70396e+01
   0.48781    3.20344    3.31764     1.66931e+01
   0.49394    3.21244    3.32761     1.62493e+01
   0.50008    3.20967    3.32802     1.57473e+01
   0.50621    3.21157    3.33059     1.54896e+01
   0.51235    3.21376    3.33221     1.49968e+01
   0.51849    3.21594    3.33571     1.47213e+01
   0.52462    3.21852    3.33681     1.44334e+01
   0.53076    3.22488    3.34383     1.41144e+01
   0.53689    3.22901    3.35014     1.37340e+01
   0.54303    3.22462    3.34626     1.34878e+01
   0.54917    3.23570    3.35811     1.31892e+01
   0.55530    3.23623    3.35997     1.28696e+01
   0.56144    3.24261    3.36637     1.26183e+01
   0.56757    3.23794    3.36296     1.22607e+01
   0.57371    3.24470    3.36863     1.20737e+01
   0.57984    3.23576    3.36079     1.17966e+01
   0.58598    3.24778    3.37387     1.15457e+01
   0.59212    3.25515    3.37996     1.13508e+01
   0.59825    3.25497    3.38021     1.11281e+01
   0.60439    3.26266    3.38691     1.09811e+01
