# Subtracting SN=    9.24640e+00.
#        k         Pk_0_HI
   0.03175     1.06394e+04
   0.04446     7.77951e+03
   0.05670     6.45678e+03
   0.06913     5.51389e+03
   0.08163     4.54306e+03
   0.09394     3.56873e+03
   0.10633     2.88712e+03
   0.11897     2.59035e+03
   0.13156     2.39509e+03
   0.14405     2.06491e+03
   0.15655     1.73451e+03
   0.16903     1.52909e+03
   0.18145     1.38152e+03
   0.19391     1.28856e+03
   0.20638     1.17214e+03
   0.21880     1.02969e+03
   0.23135     9.45951e+02
   0.24388     8.69871e+02
   0.25638     8.16131e+02
   0.26888     7.52709e+02
   0.28133     6.98542e+02
   0.29385     6.45039e+02
   0.30628     6.07484e+02
   0.31877     5.67538e+02
   0.33129     5.32443e+02
   0.34378     5.02150e+02
   0.35632     4.70237e+02
   0.36883     4.46294e+02
   0.38133     4.24360e+02
   0.39379     4.02382e+02
   0.40628     3.83968e+02
   0.41878     3.62915e+02
   0.43132     3.42069e+02
   0.44381     3.27041e+02
   0.45630     3.14104e+02
   0.46880     3.01547e+02
   0.48130     2.86296e+02
   0.49379     2.75984e+02
   0.50627     2.63715e+02
   0.51878     2.51307e+02
   0.53128     2.43905e+02
   0.54381     2.33628e+02
   0.55628     2.25854e+02
   0.56880     2.16015e+02
   0.58132     2.08466e+02
   0.59381     2.01550e+02
   0.60631     1.95151e+02
   0.61879     1.88471e+02
   0.63131     1.82236e+02
   0.64381     1.76584e+02
   0.65629     1.70029e+02
   0.66878     1.64800e+02
   0.68130     1.59926e+02
   0.69382     1.54452e+02
   0.70631     1.49751e+02
   0.71877     1.45369e+02
   0.73127     1.41557e+02
   0.74379     1.37131e+02
   0.75629     1.33017e+02
   0.76880     1.29098e+02
   0.78130     1.26140e+02
   0.79378     1.22219e+02
   0.80630     1.18781e+02
   0.81880     1.15849e+02
   0.83127     1.12474e+02
   0.84379     1.09203e+02
   0.85630     1.06458e+02
   0.86879     1.04239e+02
   0.88128     1.01277e+02
   0.89378     9.84632e+01
   0.90628     9.58721e+01
   0.91879     9.33363e+01
   0.93128     9.11479e+01
   0.94378     8.89417e+01
   0.95630     8.67308e+01
   0.96878     8.49734e+01
   0.98127     8.24869e+01
   0.99376     8.06019e+01
   1.00625     7.87999e+01
   1.01876     7.64169e+01
   1.03128     7.50459e+01
   1.04378     7.35273e+01
   1.05626     7.15180e+01
   1.06878     6.96015e+01
   1.08130     6.80008e+01
   1.09378     6.67126e+01
   1.10628     6.50816e+01
   1.11877     6.37023e+01
   1.13126     6.19806e+01
   1.14378     6.05866e+01
   1.15629     5.92565e+01
   1.16880     5.80755e+01
   1.18130     5.66608e+01
   1.19378     5.53728e+01
   1.20627     5.40869e+01
   1.21876     5.28501e+01
   1.23127     5.17667e+01
   1.24378     5.07724e+01
   1.25626     4.94898e+01
   1.26874     4.82804e+01
   1.28126     4.73268e+01
   1.29376     4.62856e+01
   1.30627     4.53208e+01
   1.31878     4.41026e+01
   1.33127     4.31882e+01
   1.34376     4.23440e+01
   1.35626     4.13798e+01
   1.36877     4.04651e+01
   1.38126     3.96027e+01
   1.39377     3.87256e+01
   1.40626     3.78483e+01
   1.41876     3.69127e+01
   1.43128     3.61717e+01
   1.44376     3.54255e+01
   1.45626     3.46112e+01
   1.46878     3.39025e+01
   1.48127     3.31191e+01
   1.49375     3.23169e+01
   1.50627     3.16607e+01
   1.51879     3.08827e+01
   1.53128     3.03174e+01
   1.54377     2.96117e+01
   1.55627     2.88619e+01
   1.56876     2.81758e+01
   1.58126     2.76680e+01
   1.59377     2.69023e+01
   1.60627     2.63556e+01
   1.61877     2.56549e+01
   1.63126     2.51687e+01
   1.64377     2.45194e+01
   1.65627     2.39654e+01
   1.66875     2.33803e+01
   1.68125     2.28848e+01
   1.69375     2.23040e+01
   1.70626     2.17775e+01
   1.71876     2.12971e+01
   1.73127     2.07277e+01
   1.74377     2.02497e+01
   1.75628     1.97306e+01
   1.76876     1.92488e+01
   1.78125     1.88575e+01
   1.79375     1.83893e+01
   1.80627     1.78635e+01
   1.81877     1.74269e+01
   1.83126     1.69607e+01
   1.84377     1.65136e+01
   1.85627     1.61299e+01
   1.86877     1.56764e+01
   1.88127     1.52775e+01
   1.89376     1.48791e+01
   1.90627     1.44538e+01
   1.91877     1.40908e+01
   1.93127     1.37416e+01
   1.94377     1.33431e+01
   1.95627     1.29618e+01
   1.96877     1.26017e+01
   1.98126     1.22253e+01
   1.99375     1.18895e+01
   2.00625     1.15795e+01
   2.01875     1.11950e+01
   2.03126     1.08428e+01
   2.04377     1.05094e+01
   2.05627     1.02360e+01
   2.06876     9.91445e+00
   2.08126     9.59810e+00
   2.09376     9.24779e+00
   2.10626     9.00063e+00
   2.11877     8.67068e+00
   2.13126     8.39477e+00
   2.14377     8.09573e+00
   2.15626     7.80288e+00
   2.16875     7.52631e+00
   2.18126     7.28549e+00
   2.19376     6.99444e+00
   2.20626     6.75113e+00
   2.21876     6.48124e+00
   2.23126     6.24229e+00
   2.24376     5.97844e+00
   2.25626     5.73187e+00
   2.26876     5.49808e+00
   2.28127     5.26041e+00
   2.29377     5.01158e+00
   2.30626     4.77840e+00
   2.31876     4.55984e+00
   2.33127     4.33696e+00
   2.34377     4.10170e+00
   2.35626     3.89966e+00
   2.36877     3.69887e+00
   2.38126     3.49741e+00
   2.39375     3.28314e+00
   2.40626     3.08924e+00
   2.41875     2.88867e+00
   2.43125     2.70937e+00
   2.44376     2.51196e+00
   2.45626     2.32228e+00
   2.46877     2.13116e+00
   2.48127     1.95724e+00
   2.49376     1.79455e+00
   2.50625     1.60677e+00
   2.51875     1.44192e+00
   2.53126     1.27276e+00
   2.54376     1.11201e+00
   2.55626     9.68937e-01
   2.56876     7.93398e-01
   2.58126     6.41711e-01
   2.59377     4.85706e-01
   2.60626     3.35753e-01
   2.61876     1.84769e-01
   2.63126     4.97032e-02
   2.64376    -9.48821e-02
   2.65626    -2.34408e-01
   2.66876    -3.61230e-01
   2.68126    -5.08730e-01
   2.69376    -6.28517e-01
   2.70626    -7.73246e-01
   2.71876    -8.92914e-01
   2.73126    -1.00857e+00
   2.74376    -1.12914e+00
   2.75626    -1.26090e+00
   2.76877    -1.37428e+00
   2.78127    -1.47981e+00
   2.79377    -1.59928e+00
   2.80626    -1.70439e+00
   2.81875    -1.80727e+00
   2.83126    -1.91918e+00
   2.84377    -2.02024e+00
   2.85627    -2.12038e+00
   2.86876    -2.21665e+00
   2.88127    -2.31300e+00
   2.89377    -2.41171e+00
   2.90626    -2.50712e+00
   2.91876    -2.59792e+00
   2.93126    -2.68455e+00
   2.94376    -2.77188e+00
   2.95626    -2.84982e+00
   2.96876    -2.94548e+00
   2.98126    -3.01501e+00
   2.99376    -3.09659e+00
   3.00625    -3.17902e+00
   3.01875    -3.24577e+00
   3.03125    -3.32901e+00
   3.04376    -3.40122e+00
   3.05626    -3.47528e+00
   3.06876    -3.53379e+00
   3.08126    -3.60693e+00
   3.09376    -3.67041e+00
   3.10626    -3.73448e+00
   3.11876    -3.79991e+00
   3.13126    -3.85145e+00
