# Redshift space power spectrum multipoles.
# Subtracting SN=    9.00166e+00 from monopole.
#        k              P0              P2              P4
   0.05000     6.81863e+03     2.62734e+03     3.12974e+01
   0.07000     5.28453e+03     2.02098e+03    -8.34241e+01
   0.09000     3.73417e+03     1.46440e+03     2.80631e+02
   0.11000     2.70234e+03     9.87722e+02    -3.86618e+01
   0.13000     2.32431e+03     9.08152e+02     2.26607e+01
   0.15000     1.83961e+03     7.16761e+02     3.50349e+01
   0.17000     1.46531e+03     6.03586e+02     8.74920e+01
   0.19000     1.26847e+03     5.05379e+02     4.08558e+01
   0.21000     1.08528e+03     4.48276e+02     6.39396e+00
   0.23000     9.15684e+02     3.99061e+02     4.45230e+01
   0.25000     8.11899e+02     3.51606e+02     3.95969e+01
   0.27000     7.16912e+02     3.03326e+02     1.54075e+01
   0.29000     6.33717e+02     2.79551e+02     2.10970e+01
   0.31000     5.68895e+02     2.53990e+02     2.30122e+01
   0.33000     5.11920e+02     2.30096e+02     2.21441e+01
   0.35000     4.64049e+02     2.11221e+02     1.99213e+01
   0.37000     4.25072e+02     1.91811e+02     1.44093e+01
   0.39000     3.88250e+02     1.78985e+02     2.79902e+01
   0.41000     3.57845e+02     1.73265e+02     2.59615e+01
   0.43000     3.28723e+02     1.58913e+02     1.73768e+01
   0.45000     3.03832e+02     1.49276e+02     1.48741e+01
   0.47000     2.84313e+02     1.39520e+02     2.02853e+01
   0.49000     2.64014e+02     1.33414e+02     1.52561e+01
   0.51000     2.45341e+02     1.26110e+02     1.87076e+01
   0.53000     2.30452e+02     1.17929e+02     1.47207e+01
   0.55000     2.16831e+02     1.13235e+02     1.61095e+01
   0.57000     2.02931e+02     1.06674e+02     1.66773e+01
   0.59000     1.91328e+02     1.00153e+02     1.27542e+01
   0.61000     1.81511e+02     9.65024e+01     1.27861e+01
   0.63000     1.71346e+02     9.15931e+01     1.44572e+01
   0.65000     1.62059e+02     8.73387e+01     1.51433e+01
   0.67000     1.53804e+02     8.49411e+01     1.33778e+01
   0.69000     1.45729e+02     7.93074e+01     1.07328e+01
   0.71000     1.38202e+02     7.60117e+01     1.22820e+01
   0.73000     1.32202e+02     7.40798e+01     1.26988e+01
   0.75000     1.25588e+02     6.90325e+01     9.09216e+00
   0.77000     1.19550e+02     6.67220e+01     1.01117e+01
   0.79000     1.14564e+02     6.53886e+01     1.20306e+01
   0.81000     1.09296e+02     6.10925e+01     1.11787e+01
   0.83000     1.04246e+02     5.96146e+01     9.81117e+00
   0.85000     9.95836e+01     5.71939e+01     1.02610e+01
   0.87000     9.55846e+01     5.43629e+01     1.03375e+01
   0.89000     9.13585e+01     5.22052e+01     9.99393e+00
   0.91000     8.74165e+01     5.08181e+01     9.15978e+00
   0.93000     8.36375e+01     4.82647e+01     9.50751e+00
   0.95000     8.05588e+01     4.74690e+01     1.02064e+01
   0.97000     7.72365e+01     4.51227e+01     9.20089e+00
   0.99000     7.41650e+01     4.31265e+01     8.64103e+00
   1.01000     7.10849e+01     4.16099e+01     8.00041e+00
   1.03000     6.82928e+01     3.98616e+01     7.89597e+00
   1.05000     6.59379e+01     3.92350e+01     8.16595e+00
   1.07000     6.28885e+01     3.69105e+01     7.99956e+00
   1.09000     6.05814e+01     3.58514e+01     8.11522e+00
   1.11000     5.83180e+01     3.43350e+01     7.70527e+00
   1.13000     5.60432e+01     3.33819e+01     7.12015e+00
   1.15000     5.38486e+01     3.18622e+01     6.52509e+00
   1.17000     5.19866e+01     3.10256e+01     7.09949e+00
   1.19000     4.98731e+01     2.98234e+01     6.63956e+00
   1.21000     4.80130e+01     2.86465e+01     6.31601e+00
   1.23000     4.62286e+01     2.77975e+01     6.48207e+00
   1.25000     4.45964e+01     2.71183e+01     6.54948e+00
   1.27000     4.28317e+01     2.57872e+01     5.91382e+00
   1.29000     4.12915e+01     2.49449e+01     5.62057e+00
   1.31000     3.97150e+01     2.38247e+01     5.51780e+00
   1.33000     3.82414e+01     2.26887e+01     5.38624e+00
   1.35000     3.68599e+01     2.20260e+01     5.16526e+00
   1.37000     3.54819e+01     2.14480e+01     4.82528e+00
   1.39000     3.41968e+01     2.05475e+01     5.04369e+00
   1.41000     3.28479e+01     1.98788e+01     4.95915e+00
   1.43000     3.15995e+01     1.87937e+01     4.43652e+00
   1.45000     3.03882e+01     1.83968e+01     4.68432e+00
   1.47000     2.93469e+01     1.78218e+01     4.55843e+00
   1.49000     2.81570e+01     1.69316e+01     4.43287e+00
   1.51000     2.71263e+01     1.64316e+01     4.29411e+00
   1.53000     2.61039e+01     1.58562e+01     4.16280e+00
   1.55000     2.51271e+01     1.51964e+01     4.26796e+00
   1.57000     2.40917e+01     1.46473e+01     3.98878e+00
   1.59000     2.31598e+01     1.42058e+01     3.81027e+00
   1.61000     2.22506e+01     1.36519e+01     3.62323e+00
   1.63000     2.13962e+01     1.30856e+01     3.74443e+00
   1.65000     2.05097e+01     1.26184e+01     3.61594e+00
   1.67000     1.96942e+01     1.20872e+01     3.39171e+00
   1.69000     1.88861e+01     1.16765e+01     3.47906e+00
   1.71000     1.81292e+01     1.11316e+01     3.29272e+00
   1.73000     1.73504e+01     1.07832e+01     3.23691e+00
   1.75000     1.66236e+01     1.03498e+01     3.06039e+00
   1.77000     1.59185e+01     9.97963e+00     2.94806e+00
   1.79000     1.52739e+01     9.63407e+00     3.02228e+00
   1.81000     1.46022e+01     9.20860e+00     2.88109e+00
   1.83000     1.39270e+01     8.84490e+00     2.75174e+00
   1.85000     1.33086e+01     8.57773e+00     2.83696e+00
   1.87000     1.27117e+01     8.16050e+00     2.68472e+00
   1.89000     1.21147e+01     7.84555e+00     2.57220e+00
   1.91000     1.15135e+01     7.48160e+00     2.45285e+00
   1.93000     1.09922e+01     7.29926e+00     2.48613e+00
   1.95000     1.04671e+01     6.97329e+00     2.48699e+00
   1.97000     9.90916e+00     6.71409e+00     2.40969e+00
   1.99000     9.38924e+00     6.37000e+00     2.29736e+00
   2.01000     8.93255e+00     6.22076e+00     2.31379e+00
   2.03000     8.40872e+00     5.91516e+00     2.22700e+00
   2.05000     7.94925e+00     5.65770e+00     2.16756e+00
   2.07000     7.51985e+00     5.42769e+00     2.17166e+00
   2.09000     7.08137e+00     5.19657e+00     2.10941e+00
   2.11000     6.63415e+00     4.98140e+00     1.97941e+00
   2.13000     6.23053e+00     4.79978e+00     2.00731e+00
   2.15000     5.80070e+00     4.55483e+00     1.90992e+00
   2.17000     5.44533e+00     4.40220e+00     1.97379e+00
   2.19000     5.04346e+00     4.20662e+00     1.89759e+00
   2.21000     4.69225e+00     4.02397e+00     1.84320e+00
   2.23000     4.31974e+00     3.84213e+00     1.87594e+00
   2.25000     3.97237e+00     3.65813e+00     1.76242e+00
   2.27000     3.63162e+00     3.51489e+00     1.75448e+00
   2.29000     3.29581e+00     3.36990e+00     1.73803e+00
   2.31000     2.97556e+00     3.23837e+00     1.76225e+00
   2.33000     2.66800e+00     3.09664e+00     1.68634e+00
   2.35000     2.34905e+00     2.93773e+00     1.67347e+00
   2.37000     2.07467e+00     2.81149e+00     1.70065e+00
   2.39000     1.77158e+00     2.66512e+00     1.64709e+00
   2.41000     1.49954e+00     2.57424e+00     1.61588e+00
   2.43000     1.23882e+00     2.46854e+00     1.66150e+00
   2.45000     9.66521e-01     2.32109e+00     1.61000e+00
   2.47000     7.12030e-01     2.25178e+00     1.61203e+00
   2.49000     4.67098e-01     2.13827e+00     1.60356e+00
   2.51000     2.22173e-01     2.02219e+00     1.56786e+00
   2.53000    -9.78712e-03     1.91668e+00     1.59874e+00
   2.55000    -2.33278e-01     1.84734e+00     1.58916e+00
   2.57000    -4.49311e-01     1.78073e+00     1.57217e+00
   2.59000    -6.58689e-01     1.68404e+00     1.60229e+00
   2.61000    -8.70856e-01     1.59814e+00     1.60253e+00
   2.63000    -1.06531e+00     1.51399e+00     1.61054e+00
   2.65000    -1.26015e+00     1.46011e+00     1.61494e+00
   2.67000    -1.44686e+00     1.38374e+00     1.59095e+00
   2.69000    -1.63214e+00     1.31864e+00     1.62370e+00
   2.71000    -1.80216e+00     1.26079e+00     1.64034e+00
   2.73000    -1.98362e+00     1.17760e+00     1.61315e+00
   2.75000    -2.13702e+00     1.12308e+00     1.63895e+00
   2.77000    -2.30529e+00     1.07883e+00     1.66299e+00
   2.79000    -2.45815e+00     1.03539e+00     1.69673e+00
   2.81000    -2.60463e+00     9.72519e-01     1.72082e+00
   2.83000    -2.75123e+00     9.36193e-01     1.72131e+00
   2.85000    -2.89387e+00     8.85663e-01     1.74493e+00
   2.87000    -3.02650e+00     8.25471e-01     1.78706e+00
   2.89000    -3.16077e+00     7.98626e-01     1.81537e+00
   2.91000    -3.28644e+00     7.59799e-01     1.81601e+00
   2.93000    -3.40606e+00     7.16850e-01     1.87322e+00
   2.95000    -3.52513e+00     6.92753e-01     1.90132e+00
   2.97000    -3.64272e+00     6.66398e-01     1.93991e+00
   2.99000    -3.74412e+00     6.41491e-01     1.96193e+00
   3.01000    -3.85760e+00     6.06262e-01     2.00249e+00
   3.03000    -3.95580e+00     5.84122e-01     2.04420e+00
   3.05000    -4.05529e+00     5.46380e-01     2.07796e+00
   3.07000    -4.14735e+00     5.20481e-01     2.12948e+00
   3.09000    -4.23418e+00     5.05996e-01     2.18927e+00
   3.11000    -4.32179e+00     4.93293e-01     2.23480e+00
   3.13000    -4.40489e+00     4.69691e-01     2.27306e+00
