#        k    p_h_pos  p_h1_mass   p_hp_h1m   p_hp_h1m
   0.00920     3.90519e+05     6.09681e+07     2.67555e+06     1.64033e+06
   0.01534     4.29702e+06     2.50107e+07     5.03126e+04    -3.92169e+05
   0.02148     7.07113e+05     3.12061e+06    -5.44669e+04    -2.03179e+04
   0.02761     1.08487e+06     3.16005e+06     1.67420e+05     6.03846e+04
   0.03375     8.15463e+05     1.81625e+06     3.84954e+04    -4.44447e+04
   0.03988     4.59908e+05     6.50008e+05     8.69343e+04     2.33203e+04
   0.04602     3.39715e+05     4.31964e+05     4.40450e+04     9.45830e+03
   0.05216     1.83051e+05     2.68497e+05     3.96262e+04     1.52743e+04
   0.05829     1.32149e+05     1.92660e+05     2.60063e+04     8.57667e+03
   0.06443     8.08991e+04     1.62923e+05     1.34412e+04     5.55082e+03
   0.07056     6.90661e+04     1.65721e+05     1.60693e+04     8.34135e+03
   0.07670     3.86597e+04     1.09200e+05     1.31363e+04     5.96659e+03
   0.08283     1.97926e+04     9.15297e+04     3.74349e+03     4.96930e+03
   0.08897     1.48386e+04     6.62712e+04     4.70272e+03     4.89517e+03
   0.09511     1.10753e+04     4.94606e+04     5.93592e+03     5.62172e+03
   0.10124     7.89153e+03     4.14287e+04     4.38776e+03     4.46494e+03
   0.10738     7.04271e+03     4.01077e+04     3.14666e+03     3.18401e+03
   0.11351     6.90557e+03     3.83281e+04     3.11810e+03     3.56501e+03
   0.11965     6.89734e+03     3.94184e+04     3.07869e+03     3.23792e+03
   0.12579     6.61518e+03     4.08192e+04     3.59509e+03     3.87697e+03
   0.13192     8.83852e+03     3.59294e+04     3.02174e+03     3.70628e+03
   0.13806     5.86878e+03     3.25608e+04     2.64213e+03     2.66258e+03
   0.14419     6.30590e+03     3.10563e+04     3.01804e+03     2.92696e+03
   0.15033     3.54383e+03     3.05415e+04     2.15706e+03     2.76984e+03
   0.15647     5.00438e+03     2.96100e+04     2.45069e+03     2.75943e+03
   0.16260     3.54885e+03     2.87887e+04     1.97785e+03     1.98420e+03
   0.16874     4.02358e+03     2.85993e+04     2.10123e+03     2.32877e+03
   0.17487     3.18393e+03     2.68791e+04     2.05315e+03     2.26997e+03
   0.18101     2.51835e+03     2.36553e+04     1.41699e+03     1.49793e+03
   0.18715     2.18005e+03     2.17366e+04     1.72777e+03     2.08660e+03
   0.19328     1.87040e+03     1.98738e+04     1.57651e+03     2.02187e+03
   0.19942     1.70973e+03     1.88127e+04     1.42416e+03     1.64678e+03
   0.20555     1.54693e+03     1.82371e+04     1.33237e+03     1.57901e+03
   0.21169     1.57072e+03     1.77312e+04     1.25023e+03     1.59209e+03
   0.21783     1.51427e+03     1.72338e+04     1.14068e+03     1.48851e+03
   0.22396     1.58398e+03     1.67765e+04     1.23078e+03     1.37957e+03
   0.23010     1.80919e+03     1.58908e+04     1.12227e+03     1.23033e+03
   0.23623     1.56848e+03     1.57062e+04     1.15366e+03     1.28769e+03
   0.24237     1.65045e+03     1.48860e+04     1.12828e+03     1.30267e+03
   0.24850     1.32664e+03     1.41595e+04     9.92238e+02     1.26180e+03
   0.25464     1.39392e+03     1.35415e+04     9.75924e+02     1.01347e+03
   0.26078     1.24568e+03     1.35559e+04     9.92204e+02     1.17471e+03
   0.26691     1.24131e+03     1.32070e+04     9.62238e+02     1.13307e+03
   0.27305     1.06544e+03     1.27364e+04     8.71050e+02     9.28000e+02
   0.27918     9.81638e+02     1.25032e+04     8.48304e+02     1.00034e+03
   0.28532     9.46297e+02     1.23595e+04     8.26981e+02     9.10308e+02
   0.29146     8.88220e+02     1.18976e+04     8.32557e+02     9.87307e+02
   0.29759     8.35483e+02     1.12220e+04     7.55477e+02     1.01722e+03
   0.30373     8.01707e+02     1.08471e+04     7.64497e+02     9.59082e+02
   0.30986     8.06153e+02     1.03838e+04     7.36951e+02     7.91225e+02
   0.31600     7.75949e+02     1.00413e+04     6.89539e+02     7.48705e+02
   0.32214     7.79043e+02     9.94347e+03     6.97510e+02     8.14450e+02
   0.32827     8.12089e+02     9.49212e+03     6.70263e+02     7.03453e+02
   0.33441     7.52646e+02     9.34794e+03     6.46766e+02     8.05078e+02
   0.34054     7.79489e+02     8.99189e+03     6.15836e+02     6.80699e+02
   0.34668     6.75084e+02     8.72853e+03     5.96562e+02     6.67371e+02
   0.35282     7.26132e+02     8.74377e+03     6.33097e+02     7.25666e+02
   0.35895     6.53414e+02     8.48285e+03     6.06654e+02     7.21525e+02
   0.36509     6.72304e+02     8.24299e+03     5.54187e+02     6.08822e+02
   0.37122     6.00748e+02     7.97725e+03     5.58712e+02     6.63881e+02
   0.37736     5.74173e+02     7.85116e+03     5.22611e+02     5.66696e+02
   0.38350     5.52695e+02     7.69723e+03     5.32812e+02     6.23180e+02
   0.38963     5.28045e+02     7.53712e+03     5.27243e+02     5.97404e+02
   0.39577     5.17838e+02     7.31576e+03     5.03336e+02     5.73252e+02
   0.40190     5.02367e+02     7.19383e+03     4.96035e+02     5.85157e+02
   0.40804     5.06958e+02     7.07308e+03     4.81091e+02     5.23517e+02
   0.41417     4.84866e+02     6.90796e+03     4.71514e+02     5.59688e+02
   0.42031     4.92733e+02     6.84273e+03     4.77142e+02     5.41303e+02
   0.42645     5.05245e+02     6.91392e+03     4.68952e+02     5.07433e+02
   0.43258     4.80891e+02     6.82808e+03     4.63820e+02     4.95363e+02
   0.43872     4.80763e+02     6.53380e+03     4.40795e+02     4.95946e+02
   0.44485     4.46269e+02     6.44798e+03     4.30306e+02     5.04365e+02
   0.45099     4.66109e+02     6.37698e+03     4.37148e+02     5.32996e+02
   0.45713     4.46062e+02     6.25187e+03     4.10815e+02     4.61823e+02
   0.46326     4.42073e+02     6.20400e+03     4.16328e+02     4.81515e+02
   0.46940     4.18096e+02     6.16365e+03     4.20596e+02     4.50142e+02
   0.47553     3.98958e+02     6.03487e+03     4.17386e+02     4.50243e+02
   0.48167     3.88802e+02     5.94611e+03     3.91095e+02     4.38576e+02
   0.48781     3.77858e+02     5.74909e+03     3.70829e+02     4.37544e+02
   0.49394     3.68855e+02     5.73240e+03     3.69048e+02     3.99353e+02
   0.50008     3.64788e+02     5.73724e+03     3.87080e+02     4.10027e+02
