#        k       b1_x       b1_a            Pkmm
   0.00920    2.30099   11.69647     6.90522e+02
   0.01534    5.65394   14.71148     8.20625e+02
   0.02148    5.45337   15.19816     7.99283e+02
   0.02761    4.36356   15.42044     7.11425e+02
   0.03375    3.58037   15.67209     6.06497e+02
   0.03988    5.09721   17.04444     5.16500e+02
   0.04602    5.60183   18.82896     4.50237e+02
   0.05216    4.53365   19.69943     4.03892e+02
   0.05829    6.43151   21.22315     3.76252e+02
   0.06443    6.17097   21.73271     3.47908e+02
   0.07056    4.87403   21.80024     3.25725e+02
   0.07670    5.67228   23.31876     2.94055e+02
   0.08283    4.92325   24.47750     2.61858e+02
   0.08897    5.31097   25.25028     2.30030e+02
   0.09511    5.59776   27.79137     2.02709e+02
   0.10124    5.68418   28.92728     1.82176e+02
   0.10738    5.46200   30.40510     1.66364e+02
   0.11351    5.40581   31.27604     1.56227e+02
   0.11965    5.62168   32.22704     1.48531e+02
   0.12579    4.62614   32.45364     1.43033e+02
   0.13192    5.79513   33.73520     1.35610e+02
   0.13806    5.07775   34.73519     1.25828e+02
   0.14419    6.19744   36.47517     1.16573e+02
   0.15033    5.07073   37.41280     1.05973e+02
   0.15647    4.59542   39.76407     9.68252e+01
   0.16260    5.33270   41.16692     8.92065e+01
   0.16874    5.62020   42.67929     8.41284e+01
   0.17487    4.98320   43.24766     7.95460e+01
   0.18101    4.91495   44.45853     7.60045e+01
   0.18715    5.48516   45.20509     7.36029e+01
   0.19328    5.99066   46.13610     7.11780e+01
   0.19942    5.49348   46.75258     6.71307e+01
   0.20555    4.97504   48.63481     6.31471e+01
   0.21169    4.84913   50.07259     5.94870e+01
   0.21783    5.65305   51.73739     5.57482e+01
   0.22396    6.12470   53.71696     5.18283e+01
   0.23010    5.42513   54.42809     4.97399e+01
   0.23623    5.57832   56.11047     4.73826e+01
   0.24237    5.45269   57.16471     4.54258e+01
   0.24850    5.70713   57.80309     4.42002e+01
   0.25464    5.75446   58.70148     4.25619e+01
   0.26078    5.91861   60.38719     4.08052e+01
   0.26691    5.84493   61.34602     3.90193e+01
   0.27305    5.08086   63.08732     3.73296e+01
   0.27918    5.35680   64.33958     3.56587e+01
   0.28532    6.09051   65.78818     3.41557e+01
   0.29146    5.14308   67.23170     3.24472e+01
   0.29759    4.99563   68.53072     3.10839e+01
   0.30373    5.34401   70.07275     3.00309e+01
   0.30986    5.44799   71.01607     2.90727e+01
   0.31600    5.07656   72.10955     2.81224e+01
   0.32214    5.69193   73.49202     2.72933e+01
   0.32827    5.18770   74.42003     2.62536e+01
   0.33441    5.95561   76.26812     2.53140e+01
   0.34054    5.96363   77.13158     2.43454e+01
   0.34668    6.04038   79.29588     2.35519e+01
   0.35282    5.94367   80.45008     2.26027e+01
   0.35895    5.20508   81.43835     2.18610e+01
   0.36509    5.67194   83.31532     2.11755e+01
   0.37122    4.98899   84.10812     2.07167e+01
   0.37736    5.61900   85.14492     1.99782e+01
   0.38350    5.75329   86.84193     1.92128e+01
   0.38963    5.49889   87.91853     1.87719e+01
   0.39577    5.69416   89.15997     1.82856e+01
   0.40190    6.06914   91.01113     1.76864e+01
   0.40804    5.91074   91.91801     1.72090e+01
   0.41417    5.93986   93.32865     1.65420e+01
   0.42031    5.62144   94.84410     1.61741e+01
   0.42645    4.84767   96.11144     1.56204e+01
   0.43258    5.71764   97.54448     1.50393e+01
   0.43872    5.09686   98.51686     1.48302e+01
   0.44485    6.30476  100.11712     1.43960e+01
   0.45099    6.18083  101.02674     1.40362e+01
   0.45713    6.10269  102.88619     1.36184e+01
   0.46326    5.72055  103.81309     1.33334e+01
   0.46940    5.81436  105.11353     1.30540e+01
   0.47553    5.86596  106.64909     1.26278e+01
   0.48167    5.38864  108.00912     1.22722e+01
   0.48781    5.75016  109.00528     1.20212e+01
   0.49394    5.99512  110.94347     1.16882e+01
   0.50008    6.32523  112.34751     1.13403e+01
   0.50621    5.61802  113.35723     1.11457e+01
   0.51235    5.78392  114.67278     1.08020e+01
   0.51849    6.47379  116.07998     1.05892e+01
   0.52462    5.90955  116.96622     1.03696e+01
   0.53076    5.15439  118.44353     1.01391e+01
   0.53689    6.40366  119.56938     9.85827e+00
   0.54303    6.15489  120.63428     9.67875e+00
   0.54917    5.92340  122.40574     9.45861e+00
   0.55530    6.10680  123.67907     9.23513e+00
   0.56144    6.53374  124.42045     9.04140e+00
