#        k       b1_x       b1_a            Pkmm
   0.00920    3.40176    4.28694     9.39010e+02
   0.01534    2.27698    2.80986     1.11625e+03
   0.02148    1.98297    2.50034     1.08551e+03
   0.02761    1.61793    2.14601     9.66807e+02
   0.03375    1.57428    1.97448     8.24689e+02
   0.03988    1.34188    1.77448     7.01905e+02
   0.04602    1.11105    1.60379     6.11826e+02
   0.05216    1.10858    1.55022     5.48666e+02
   0.05829    0.97967    1.45315     5.11632e+02
   0.06443    0.87331    1.33889     4.72421e+02
   0.07056    0.82498    1.25776     4.42941e+02
   0.07670    0.75021    1.17458     3.99648e+02
   0.08283    0.71536    1.16622     3.56110e+02
   0.08897    0.67324    1.15528     3.12478e+02
   0.09511    0.58542    1.11165     2.75447e+02
   0.10124    0.56236    1.08065     2.47748e+02
   0.10738    0.54977    1.07839     2.26111e+02
   0.11351    0.53493    1.05176     2.12286e+02
   0.11965    0.48924    0.99060     2.01776e+02
   0.12579    0.49130    0.97374     1.94517e+02
   0.13192    0.46616    0.95474     1.84477e+02
   0.13806    0.43899    0.93354     1.71064e+02
   0.14419    0.43058    0.94460     1.58745e+02
   0.15033    0.42712    0.92518     1.44233e+02
   0.15647    0.38971    0.92058     1.31868e+02
   0.16260    0.37107    0.92036     1.21522e+02
   0.16874    0.36742    0.91252     1.14794e+02
   0.17487    0.35574    0.91528     1.08428e+02
   0.18101    0.34716    0.89553     1.03516e+02
   0.18715    0.34235    0.88661     1.00283e+02
   0.19328    0.33525    0.86778     9.71092e+01
   0.19942    0.31986    0.85798     9.14698e+01
   0.20555    0.30516    0.85990     8.60457e+01
   0.21169    0.31829    0.86174     8.11760e+01
   0.21783    0.28033    0.85044     7.61322e+01
   0.22396    0.29964    0.86376     7.06956e+01
   0.23010    0.28028    0.85348     6.80269e+01
   0.23623    0.27423    0.84868     6.47919e+01
   0.24237    0.27565    0.84559     6.20319e+01
   0.24850    0.25728    0.82668     6.04557e+01
   0.25464    0.25845    0.83405     5.82194e+01
   0.26078    0.24835    0.82137     5.57764e+01
   0.26691    0.23552    0.81549     5.33442e+01
   0.27305    0.25226    0.82251     5.10701e+01
   0.27918    0.23513    0.81479     4.88595e+01
   0.28532    0.23225    0.81673     4.68494e+01
   0.29146    0.23176    0.81917     4.44908e+01
   0.29759    0.21956    0.81806     4.26221e+01
   0.30373    0.20912    0.81410     4.12003e+01
   0.30986    0.21477    0.80887     3.99105e+01
   0.31600    0.20672    0.80923     3.85855e+01
