#        k       b1_x       b1_a            Pkmm
   0.00920    2.01781    3.38319     6.90521e+02
   0.01534    2.53516    3.29001     8.20625e+02
   0.02148    2.31526    2.79719     7.99284e+02
   0.02761    2.61559    2.93853     7.11425e+02
   0.03375    2.63225    2.99376     6.06497e+02
   0.03988    2.74018    3.00940     5.16500e+02
   0.04602    2.80409    3.04202     4.50237e+02
   0.05216    2.96643    3.16267     4.03892e+02
   0.05829    3.02219    3.19819     3.76252e+02
   0.06443    3.03031    3.18776     3.47908e+02
   0.07056    3.09837    3.22642     3.25725e+02
   0.07670    3.15400    3.26841     2.94055e+02
   0.08283    3.21482    3.32638     2.61858e+02
   0.08897    3.24180    3.35112     2.30030e+02
   0.09511    3.24969    3.36165     2.02709e+02
   0.10124    3.26917    3.38287     1.82176e+02
   0.10738    3.31794    3.42453     1.66364e+02
   0.11351    3.32889    3.43446     1.56227e+02
   0.11965    3.35180    3.45631     1.48531e+02
   0.12579    3.36983    3.46872     1.43033e+02
   0.13192    3.40630    3.50708     1.35610e+02
   0.13806    3.41501    3.51718     1.25828e+02
   0.14419    3.41652    3.52221     1.16573e+02
   0.15033    3.44104    3.54991     1.05973e+02
   0.15647    3.47266    3.58590     9.68253e+01
   0.16260    3.46661    3.58290     8.92065e+01
   0.16874    3.49258    3.61428     8.41285e+01
   0.17487    3.49545    3.62306     7.95460e+01
   0.18101    3.48835    3.61201     7.60045e+01
   0.18715    3.49795    3.62328     7.36029e+01
   0.19328    3.52046    3.64783     7.11780e+01
   0.19942    3.53254    3.66564     6.71307e+01
   0.20555    3.53962    3.67598     6.31471e+01
   0.21169    3.55384    3.69226     5.94870e+01
   0.21783    3.56635    3.71244     5.57483e+01
   0.22396    3.57599    3.72859     5.18283e+01
   0.23010    3.59187    3.74943     4.97400e+01
   0.23623    3.59017    3.75074     4.73827e+01
   0.24237    3.58691    3.75338     4.54258e+01
   0.24850    3.60775    3.77551     4.42002e+01
   0.25464    3.60733    3.77597     4.25619e+01
   0.26078    3.62557    3.79788     4.08052e+01
   0.26691    3.61030    3.78672     3.90193e+01
   0.27305    3.64027    3.82169     3.73296e+01
   0.27918    3.65276    3.83720     3.56587e+01
   0.28532    3.65148    3.83879     3.41557e+01
   0.29146    3.66711    3.86515     3.24472e+01
   0.29759    3.66265    3.86729     3.10839e+01
   0.30373    3.68775    3.89368     3.00309e+01
   0.30986    3.68845    3.90142     2.90727e+01
   0.31600    3.68619    3.90219     2.81224e+01
   0.32214    3.70227    3.91555     2.72933e+01
   0.32827    3.68789    3.90976     2.62536e+01
