#        k       b1_x       b1_a            Pkmm
   0.00920    3.00863    3.01506     9.39010e+02
   0.01534    3.00728    3.01567     1.11625e+03
   0.02148    3.03387    3.04193     1.08551e+03
   0.02761    3.05913    3.06799     9.66807e+02
   0.03375    3.07060    3.07906     8.24689e+02
   0.03988    3.07595    3.08784     7.01905e+02
   0.04602    3.06494    3.07887     6.11826e+02
   0.05216    3.08652    3.10169     5.48666e+02
   0.05829    3.09268    3.10883     5.11632e+02
   0.06443    3.07625    3.09199     4.72421e+02
   0.07056    3.07961    3.09861     4.42941e+02
   0.07670    3.09910    3.12005     3.99648e+02
   0.08283    3.09099    3.11495     3.56110e+02
   0.08897    3.10029    3.12746     3.12478e+02
   0.09511    3.09234    3.12147     2.75447e+02
   0.10124    3.11703    3.15024     2.47748e+02
   0.10738    3.09735    3.13199     2.26111e+02
   0.11351    3.11030    3.14686     2.12286e+02
   0.11965    3.11457    3.15340     2.01776e+02
   0.12579    3.11860    3.15832     1.94517e+02
   0.13192    3.14279    3.18381     1.84477e+02
   0.13806    3.12969    3.17427     1.71064e+02
   0.14419    3.14256    3.19016     1.58745e+02
   0.15033    3.13928    3.19064     1.44233e+02
   0.15647    3.13657    3.19286     1.31868e+02
   0.16260    3.14811    3.20781     1.21522e+02
   0.16874    3.15458    3.21636     1.14794e+02
   0.17487    3.15411    3.21967     1.08428e+02
   0.18101    3.14017    3.20723     1.03516e+02
   0.18715    3.15228    3.22132     1.00283e+02
   0.19328    3.16119    3.23204     9.71092e+01
   0.19942    3.15832    3.23260     9.14698e+01
   0.20555    3.16998    3.24781     8.60457e+01
   0.21169    3.17088    3.25113     8.11760e+01
   0.21783    3.18060    3.26490     7.61322e+01
   0.22396    3.17872    3.26691     7.06956e+01
   0.23010    3.19047    3.28197     6.80269e+01
   0.23623    3.19214    3.28813     6.47919e+01
   0.24237    3.18560    3.28384     6.20319e+01
   0.24850    3.19758    3.29635     6.04557e+01
   0.25464    3.19775    3.29878     5.82194e+01
   0.26078    3.20546    3.31133     5.57764e+01
   0.26691    3.19730    3.30569     5.33442e+01
   0.27305    3.21220    3.32299     5.10701e+01
   0.27918    3.22075    3.33290     4.88595e+01
   0.28532    3.22262    3.33656     4.68494e+01
   0.29146    3.23003    3.35210     4.44908e+01
   0.29759    3.22780    3.35334     4.26221e+01
   0.30373    3.24098    3.36850     4.12003e+01
   0.30986    3.24274    3.37342     3.99105e+01
   0.31600    3.23929    3.37131     3.85855e+01
   0.32214    3.24923    3.38059     3.74830e+01
   0.32827    3.23997    3.37801     3.60424e+01
   0.33441    3.25319    3.39452     3.47624e+01
   0.34054    3.25341    3.39771     3.34409e+01
   0.34668    3.26552    3.41545     3.23915e+01
   0.35282    3.26751    3.41689     3.10780e+01
   0.35895    3.27504    3.42879     3.00924e+01
   0.36509    3.27416    3.43014     2.91453e+01
   0.37122    3.28355    3.44026     2.85838e+01
   0.37736    3.29393    3.45383     2.75463e+01
   0.38350    3.29251    3.45890     2.64536e+01
   0.38963    3.29032    3.45813     2.58584e+01
   0.39577    3.30063    3.46864     2.52377e+01
   0.40190    3.30107    3.47544     2.44137e+01
   0.40804    3.31044    3.48633     2.37835e+01
   0.41417    3.30023    3.48251     2.28408e+01
   0.42031    3.31629    3.49773     2.23605e+01
   0.42645    3.32095    3.50551     2.15887e+01
   0.43258    3.31184    3.50398     2.07574e+01
   0.43872    3.32036    3.50984     2.05192e+01
   0.44485    3.32115    3.51417     1.99129e+01
   0.45099    3.33107    3.52501     1.94352e+01
   0.45713    3.32979    3.53117     1.88566e+01
   0.46326    3.33473    3.53530     1.84810e+01
