#        k       b1_x       b1_a            Pkmm
   0.00920    1.83030    1.83848     1.66233e+03
   0.01534    1.97564    1.97751     1.97689e+03
   0.02148    2.05666    2.05724     1.91637e+03
   0.02761    2.10074    2.10216     1.70883e+03
   0.03375    2.14563    2.14600     1.45970e+03
   0.03988    2.16926    2.16616     1.24091e+03
   0.04602    2.18016    2.18115     1.08138e+03
   0.05216    2.19766    2.19919     9.68953e+02
   0.05829    2.20161    2.20508     9.05765e+02
   0.06443    2.21206    2.21479     8.33585e+02
   0.07056    2.21742    2.22028     7.84152e+02
   0.07670    2.23179    2.23385     7.06591e+02
   0.08283    2.23910    2.24173     6.30540e+02
   0.08897    2.24373    2.24788     5.51972e+02
   0.09511    2.24378    2.24861     4.86923e+02
   0.10124    2.25094    2.25810     4.38877e+02
   0.10738    2.25544    2.26089     4.00048e+02
   0.11351    2.25743    2.26521     3.75337e+02
   0.11965    2.26423    2.27128     3.56556e+02
   0.12579    2.26604    2.27476     3.44555e+02
   0.13192    2.27974    2.28742     3.26990e+02
   0.13806    2.27775    2.28658     3.02775e+02
   0.14419    2.28612    2.29556     2.82153e+02
   0.15033    2.28302    2.29451     2.55991e+02
   0.15647    2.28680    2.29861     2.34525e+02
   0.16260    2.29459    2.30603     2.16251e+02
   0.16874    2.29613    2.30958     2.05087e+02
   0.17487    2.29812    2.31229     1.93333e+02
   0.18101    2.29904    2.31339     1.84251e+02
   0.18715    2.30427    2.31966     1.78613e+02
   0.19328    2.30985    2.32522     1.73453e+02
   0.19942    2.30741    2.32402     1.62937e+02
   0.20555    2.31409    2.33111     1.53331e+02
   0.21169    2.31678    2.33543     1.45098e+02
   0.21783    2.31974    2.33884     1.36415e+02
   0.22396    2.32470    2.34501     1.26383e+02
   0.23010    2.32936    2.35041     1.22364e+02
   0.23623    2.33429    2.35594     1.16543e+02
   0.24237    2.33021    2.35295     1.11171e+02
   0.24850    2.33642    2.35946     1.08776e+02
   0.25464    2.33797    2.36200     1.04837e+02
   0.26078    2.34511    2.36873     1.00258e+02
   0.26691    2.34249    2.36834     9.59210e+01
   0.27305    2.34901    2.37563     9.19566e+01
   0.27918    2.35463    2.38110     8.83718e+01
