#        k       b1_x       b1_a            Pkmm
   0.00920    2.34448    2.35609     1.34926e+03
   0.01534    2.35525    2.36221     1.60437e+03
   0.02148    2.42320    2.42866     1.55714e+03
   0.02761    2.45939    2.46573     1.38789e+03
   0.03375    2.49547    2.49968     1.18488e+03
   0.03988    2.51259    2.51314     1.00773e+03
   0.04602    2.50114    2.50690     8.78286e+02
   0.05216    2.52869    2.53509     7.87235e+02
   0.05829    2.53088    2.53949     7.35170e+02
   0.06443    2.52912    2.53660     6.77480e+02
   0.07056    2.52872    2.53736     6.36474e+02
   0.07670    2.54965    2.55748     5.73816e+02
   0.08283    2.54786    2.55725     5.11752e+02
   0.08897    2.55359    2.56539     4.48399e+02
   0.09511    2.54896    2.56197     3.95433e+02
   0.10124    2.56104    2.57753     3.56106e+02
   0.10738    2.56120    2.57613     3.24755e+02
   0.11351    2.56281    2.58088     3.04785e+02
   0.11965    2.56861    2.58608     2.89596e+02
   0.12579    2.57194    2.59108     2.79586e+02
   0.13192    2.58595    2.60468     2.65263e+02
   0.13806    2.58173    2.60254     2.45762e+02
   0.14419    2.59233    2.61453     2.28628e+02
   0.15033    2.58836    2.61330     2.07555e+02
   0.15647    2.59051    2.61710     1.89978e+02
   0.16260    2.60091    2.62772     1.75135e+02
   0.16874    2.60330    2.63260     1.65829e+02
   0.17487    2.60390    2.63487     1.56436e+02
   0.18101    2.59931    2.63092     1.49188e+02
   0.18715    2.60554    2.63833     1.44593e+02
   0.19328    2.61305    2.64620     1.40262e+02
   0.19942    2.60950    2.64495     1.31895e+02
   0.20555    2.62160    2.65822     1.24096e+02
   0.21169    2.62108    2.65992     1.17295e+02
   0.21783    2.62819    2.66826     1.10158e+02
   0.22396    2.62998    2.67203     1.02143e+02
   0.23010    2.63775    2.68146     9.86533e+01
   0.23623    2.64238    2.68779     9.39543e+01
   0.24237    2.63639    2.68336     8.97614e+01
   0.24850    2.64503    2.69231     8.76871e+01
   0.25464    2.64584    2.69473     8.44756e+01
   0.26078    2.65392    2.70341     8.08452e+01
   0.26691    2.64805    2.70022     7.73367e+01
   0.27305    2.65723    2.71118     7.41049e+01
   0.27918    2.66435    2.71790     7.10785e+01
   0.28532    2.66576    2.72046     6.82509e+01
   0.29146    2.67176    2.73089     6.47874e+01
   0.29759    2.67177    2.73233     6.20863e+01
   0.30373    2.67931    2.74037     6.00561e+01
   0.30986    2.68181    2.74528     5.82403e+01
   0.31600    2.68064    2.74389     5.62605e+01
   0.32214    2.68933    2.75216     5.47169e+01
   0.32827    2.68163    2.74897     5.26054e+01
   0.33441    2.69230    2.76097     5.07509e+01
   0.34054    2.69514    2.76462     4.88613e+01
   0.34668    2.70099    2.77354     4.74052e+01
   0.35282    2.70294    2.77522     4.54684e+01
   0.35895    2.70945    2.78383     4.41059e+01
   0.36509    2.71009    2.78508     4.26993e+01
   0.37122    2.71381    2.78970     4.20282e+01
   0.37736    2.72489    2.80120     4.04736e+01
   0.38350    2.72576    2.80543     3.88023e+01
   0.38963    2.71999    2.80225     3.79404e+01
   0.39577    2.73046    2.81087     3.71356e+01
   0.40190    2.73105    2.81507     3.59365e+01
