#        k       b1_x       b1_a            Pkmm
   0.00920    3.16752    3.17563     6.90521e+02
   0.01534    3.14170    3.14725     8.20625e+02
   0.02148    3.19857    3.20396     7.99284e+02
   0.02761    3.24557    3.25454     7.11425e+02
   0.03375    3.30332    3.30998     6.06497e+02
   0.03988    3.34282    3.34716     5.16500e+02
   0.04602    3.33531    3.34754     4.50237e+02
   0.05216    3.38072    3.39643     4.03892e+02
   0.05829    3.40534    3.42369     3.76252e+02
   0.06443    3.40743    3.42459     3.47908e+02
   0.07056    3.42273    3.44320     3.25725e+02
   0.07670    3.45466    3.47613     2.94055e+02
   0.08283    3.46093    3.48562     2.61858e+02
   0.08897    3.47355    3.50393     2.30030e+02
   0.09511    3.47294    3.50589     2.02709e+02
   0.10124    3.50097    3.54141     1.82176e+02
   0.10738    3.49492    3.53499     1.66364e+02
   0.11351    3.51288    3.55707     1.56227e+02
   0.11965    3.52622    3.57199     1.48531e+02
   0.12579    3.53245    3.58145     1.43033e+02
   0.13192    3.56833    3.61812     1.35610e+02
   0.13806    3.55679    3.61133     1.25828e+02
   0.14419    3.57490    3.63318     1.16573e+02
   0.15033    3.57216    3.63704     1.05973e+02
   0.15647    3.57338    3.64400     9.68253e+01
   0.16260    3.59314    3.66687     8.92065e+01
   0.16874    3.59916    3.67714     8.41285e+01
   0.17487    3.60155    3.68471     7.95460e+01
   0.18101    3.58994    3.67490     7.60045e+01
   0.18715    3.60668    3.69450     7.36029e+01
   0.19328    3.61825    3.70912     7.11780e+01
   0.19942    3.61557    3.71177     6.71307e+01
   0.20555    3.63351    3.73355     6.31471e+01
   0.21169    3.63802    3.74299     5.94870e+01
   0.21783    3.64577    3.75563     5.57483e+01
   0.22396    3.65035    3.76533     5.18283e+01
   0.23010    3.66304    3.78377     4.97400e+01
   0.23623    3.66706    3.79335     4.73827e+01
   0.24237    3.66203    3.79187     4.54258e+01
   0.24850    3.67592    3.80697     4.42002e+01
   0.25464    3.67622    3.81136     4.25619e+01
   0.26078    3.69098    3.83092     4.08052e+01
   0.26691    3.67687    3.82161     3.90193e+01
   0.27305    3.69906    3.84843     3.73296e+01
   0.27918    3.71136    3.86257     3.56587e+01
   0.28532    3.71203    3.86645     3.41557e+01
   0.29146    3.72238    3.88900     3.24472e+01
   0.29759    3.71820    3.88905     3.10839e+01
   0.30373    3.73770    3.91085     3.00309e+01
   0.30986    3.74151    3.92133     2.90727e+01
   0.31600    3.73641    3.91775     2.81224e+01
   0.32214    3.75374    3.93255     2.72933e+01
   0.32827    3.73606    3.92674     2.62536e+01
   0.33441    3.75333    3.94817     2.53140e+01
   0.34054    3.75648    3.95617     2.43454e+01
   0.34668    3.77163    3.97934     2.35519e+01
   0.35282    3.77421    3.98174     2.26027e+01
   0.35895    3.78335    3.99793     2.18610e+01
   0.36509    3.78428    4.00219     2.11755e+01
   0.37122    3.79317    4.01418     2.07167e+01
   0.37736    3.81279    4.03650     1.99782e+01
   0.38350    3.80875    4.04173     1.92128e+01
   0.38963    3.80195    4.03993     1.87719e+01
   0.39577    3.81959    4.05571     1.82856e+01
   0.40190    3.81837    4.06578     1.76864e+01
   0.40804    3.82779    4.07850     1.72090e+01
   0.41417    3.81657    4.07547     1.65420e+01
   0.42031    3.83826    4.09715     1.61741e+01
   0.42645    3.84278    4.10645     1.56204e+01
   0.43258    3.83076    4.10602     1.50393e+01
   0.43872    3.84507    4.11547     1.48302e+01
   0.44485    3.84577    4.12264     1.43960e+01
   0.45099    3.85842    4.13796     1.40362e+01
   0.45713    3.85488    4.14444     1.36184e+01
   0.46326    3.86178    4.15132     1.33334e+01
   0.46940    3.87483    4.16607     1.30540e+01
   0.47553    3.87513    4.17375     1.26278e+01
   0.48167    3.87915    4.18462     1.22722e+01
   0.48781    3.88521    4.19078     1.20212e+01
   0.49394    3.89758    4.20843     1.16882e+01
   0.50008    3.89401    4.21376     1.13403e+01
   0.50621    3.89667    4.21964     1.11457e+01
   0.51235    3.89961    4.22611     1.08020e+01
   0.51849    3.90174    4.23316     1.05892e+01
   0.52462    3.90758    4.23964     1.03697e+01
   0.53076    3.91678    4.25266     1.01392e+01
   0.53689    3.92483    4.26812     9.85828e+00
   0.54303    3.91988    4.26735     9.67875e+00
   0.54917    3.93360    4.28572     9.45861e+00
   0.55530    3.93420    4.29178     9.23513e+00
   0.56144    3.94286    4.30460     9.04140e+00
   0.56757    3.93548    4.30384     8.78808e+00
   0.57371    3.94713    4.31473     8.65300e+00
   0.57984    3.93589    4.31047     8.44835e+00
   0.58598    3.95221    4.33257     8.25746e+00
   0.59212    3.96128    4.34187     8.12059e+00
   0.59825    3.96171    4.34795     7.95474e+00
   0.60439    3.97536    4.36139     7.84065e+00
   0.61052    3.96143    4.35630     7.61941e+00
   0.61666    3.97586    4.37395     7.50946e+00
   0.62280    3.97820    4.38243     7.29321e+00
   0.62893    3.98317    4.39174     7.15399e+00
   0.63507    3.99375    4.40499     7.05198e+00
   0.64120    3.99337    4.40714     6.92132e+00
   0.64734    4.00036    4.41562     6.77963e+00
   0.65348    4.00019    4.42640     6.63672e+00
   0.65961    3.99378    4.42185     6.52420e+00
   0.66575    4.00474    4.43504     6.39890e+00
   0.67188    4.00574    4.44212     6.27109e+00
   0.67802    4.01259    4.45301     6.17365e+00
   0.68416    4.01663    4.46062     6.05145e+00
   0.69029    4.02218    4.47123     5.93739e+00
