#        k       b1_x       b1_a            Pkmm
   0.00920    7.57946   12.63986     6.90521e+02
   0.01534    4.68220   11.78921     8.20625e+02
   0.02148    5.35148   10.60705     7.99284e+02
   0.02761    5.19703   10.90641     7.11425e+02
   0.03375    5.36528   12.98982     6.06497e+02
   0.03988    6.08554   12.71400     5.16500e+02
   0.04602    5.10316   13.56316     4.50237e+02
   0.05216    5.22220   13.63461     4.03892e+02
   0.05829    4.68786   14.43520     3.76252e+02
   0.06443    5.06483   15.17399     3.47908e+02
   0.07056    5.20276   15.35380     3.25725e+02
   0.07670    5.28904   15.94963     2.94055e+02
   0.08283    4.57266   17.10062     2.61858e+02
   0.08897    4.86908   18.30648     2.30030e+02
   0.09511    4.88037   19.07700     2.02709e+02
   0.10124    5.11998   20.38032     1.82176e+02
   0.10738    4.52782   21.07410     1.66364e+02
   0.11351    5.18906   21.70346     1.56227e+02
   0.11965    5.11178   22.51770     1.48531e+02
   0.12579    5.00301   22.61995     1.43033e+02
   0.13192    5.03133   23.40755     1.35610e+02
   0.13806    4.81038   23.82783     1.25828e+02
   0.14419    5.42085   25.16050     1.16573e+02
   0.15033    5.30090   26.09633     1.05973e+02
   0.15647    4.57271   27.05968     9.68253e+01
   0.16260    5.44929   28.48632     8.92065e+01
   0.16874    4.83814   29.05585     8.41285e+01
   0.17487    4.83886   30.32716     7.95460e+01
   0.18101    5.12566   31.08336     7.60045e+01
   0.18715    5.35601   31.50197     7.36029e+01
   0.19328    4.82644   31.62977     7.11780e+01
   0.19942    5.34594   32.44798     6.71307e+01
   0.20555    5.42211   33.81041     6.31471e+01
   0.21169    5.36378   34.55521     5.94870e+01
   0.21783    5.30265   35.50513     5.57483e+01
   0.22396    5.34908   36.59085     5.18283e+01
   0.23010    5.36849   37.93972     4.97400e+01
   0.23623    5.29772   38.61316     4.73827e+01
   0.24237    5.55223   39.39012     4.54258e+01
   0.24850    5.35335   39.70161     4.42002e+01
   0.25464    4.91312   40.92130     4.25619e+01
   0.26078    5.08053   41.09730     4.08052e+01
   0.26691    5.78566   42.43184     3.90193e+01
   0.27305    5.30147   43.60593     3.73296e+01
   0.27918    5.47613   44.49682     3.56587e+01
   0.28532    5.73490   45.16371     3.41557e+01
   0.29146    5.51145   46.30799     3.24472e+01
   0.29759    5.34685   47.06660     3.10839e+01
   0.30373    5.46881   48.15821     3.00309e+01
   0.30986    5.31850   48.82553     2.90727e+01
   0.31600    5.32156   49.64526     2.81224e+01
   0.32214    5.46696   50.70945     2.72933e+01
   0.32827    5.83372   51.28964     2.62536e+01
   0.33441    4.94092   52.48291     2.53140e+01
   0.34054    5.71715   53.50111     2.43454e+01
   0.34668    5.62054   53.71205     2.35519e+01
   0.35282    5.50612   55.19569     2.26027e+01
   0.35895    5.31209   56.35518     2.18610e+01
   0.36509    5.67476   57.04821     2.11755e+01
   0.37122    5.85919   57.51050     2.07167e+01
   0.37736    5.84354   58.81290     1.99782e+01
   0.38350    5.88244   59.88998     1.92128e+01
   0.38963    5.56902   60.74426     1.87719e+01
   0.39577    5.54832   61.18444     1.82856e+01
   0.40190    5.44396   62.24854     1.76864e+01
   0.40804    5.86054   63.25252     1.72090e+01
   0.41417    5.98483   64.02530     1.65420e+01
   0.42031    5.61568   64.85422     1.61741e+01
   0.42645    5.87352   65.58753     1.56204e+01
   0.43258    5.80071   67.63365     1.50393e+01
   0.43872    6.01566   67.79387     1.48302e+01
   0.44485    6.03648   68.52318     1.43960e+01
   0.45099    5.59575   69.45454     1.40362e+01
   0.45713    5.91922   70.46429     1.36184e+01
   0.46326    6.04533   71.45965     1.33334e+01
   0.46940    5.97471   71.75974     1.30540e+01
   0.47553    5.76560   73.02035     1.26278e+01
   0.48167    6.09054   74.30608     1.22722e+01
   0.48781    5.22625   74.62397     1.20212e+01
   0.49394    5.84405   75.76846     1.16882e+01
   0.50008    6.53375   77.09365     1.13403e+01
   0.50621    5.40103   77.81654     1.11457e+01
   0.51235    6.25531   78.49876     1.08020e+01
   0.51849    5.73361   79.33770     1.05892e+01
   0.52462    5.79615   80.54442     1.03697e+01
   0.53076    6.47347   81.13186     1.01392e+01
   0.53689    5.98375   82.14257     9.85828e+00
   0.54303    5.67061   82.90023     9.67875e+00
   0.54917    5.97018   83.76146     9.45861e+00
   0.55530    6.10186   84.70774     9.23513e+00
   0.56144    5.66933   85.61776     9.04140e+00
   0.56757    6.12723   86.58219     8.78808e+00
   0.57371    6.09277   87.56293     8.65300e+00
   0.57984    6.33100   88.33064     8.44835e+00
   0.58598    6.25583   89.18902     8.25746e+00
   0.59212    5.72247   89.84040     8.12059e+00
   0.59825    5.90971   90.97286     7.95474e+00
   0.60439    6.03547   91.78657     7.84065e+00
   0.61052    5.84063   92.59535     7.61941e+00
   0.61666    6.17856   93.16669     7.50946e+00
   0.62280    6.49931   94.77092     7.29321e+00
   0.62893    5.92629   95.30763     7.15399e+00
   0.63507    6.85319   96.19519     7.05198e+00
   0.64120    6.50864   96.86970     6.92132e+00
   0.64734    6.00159   98.27917     6.77963e+00
   0.65348    5.98658   99.04814     6.63672e+00
   0.65961    5.98917   99.55095     6.52420e+00
   0.66575    6.09782  100.70097     6.39890e+00
   0.67188    6.11548  101.44303     6.27109e+00
   0.67802    6.08391  102.06966     6.17365e+00
   0.68416    6.07612  103.18429     6.05145e+00
   0.69029    5.89937  103.95817     5.93739e+00
   0.69643    6.18435  104.72458     5.83075e+00
   0.70256    6.24750  105.79193     5.72989e+00
   0.70870    6.07685  106.64255     5.61432e+00
   0.71484    5.93005  107.42473     5.51049e+00
   0.72097    6.15922  108.22332     5.45234e+00
   0.72711    6.48956  109.03627     5.33697e+00
   0.73324    6.14514  110.01167     5.24004e+00
   0.73938    6.74005  110.83726     5.16291e+00
   0.74551    6.60701  111.28750     5.08492e+00
   0.75165    6.61054  112.42997     5.01865e+00
   0.75779    6.77482  113.27602     4.91958e+00
   0.76392    6.61384  114.31159     4.81457e+00
   0.77006    7.02739  115.26473     4.73569e+00
   0.77619    6.47766  115.62191     4.67109e+00
   0.78233    6.30624  116.63238     4.62654e+00
   0.78847    6.44568  117.14467     4.54717e+00
   0.79460    6.81254  118.23530     4.44749e+00
   0.80074    6.53080  119.35679     4.37999e+00
   0.80687    6.50062  120.16376     4.31603e+00
   0.81301    6.83601  120.57581     4.26329e+00
   0.81915    6.94640  121.29500     4.19097e+00
   0.82528    6.50606  122.68353     4.12957e+00
   0.83142    6.52489  123.39344     4.05898e+00
   0.83755    6.56810  124.23657     3.99053e+00
   0.84369    6.20942  125.12716     3.93882e+00
   0.84983    6.86266  125.87737     3.87530e+00
   0.85596    6.73475  126.82550     3.82202e+00
   0.86210    6.77804  127.25632     3.77816e+00
   0.86823    6.53320  128.14830     3.71942e+00
   0.87437    6.56617  128.76040     3.66175e+00
   0.88050    6.73497  129.39229     3.61677e+00
   0.88664    6.58477  130.39749     3.54616e+00
   0.89278    6.96501  131.50664     3.50590e+00
   0.89891    6.16787  132.13703     3.45911e+00
   0.90505    7.03788  132.88648     3.39853e+00
   0.91118    6.55564  133.60585     3.37248e+00
   0.91732    6.63057  133.99914     3.32559e+00
   0.92346    6.57591  135.41297     3.26525e+00
   0.92959    6.67240  135.93726     3.23575e+00
   0.93573    6.93605  136.91171     3.18615e+00
   0.94186    6.80922  137.73435     3.14346e+00
   0.94800    6.77792  138.59129     3.10258e+00
   0.95414    6.20057  139.06080     3.06593e+00
   0.96027    6.67252  139.89421     3.01967e+00
   0.96641    6.84702  140.31094     2.98760e+00
   0.97254    6.87470  140.89047     2.95212e+00
   0.97868    7.14844  141.96131     2.90733e+00
   0.98482    7.10708  142.97649     2.86637e+00
   0.99095    6.73132  143.59785     2.83540e+00
   0.99709    7.12338  144.46950     2.80027e+00
   1.00322    6.48688  145.09843     2.75690e+00
   1.00936    6.41297  145.95037     2.72534e+00
   1.01550    7.36444  146.64458     2.69706e+00
   1.02163    6.64583  147.21643     2.66335e+00
   1.02777    6.81763  147.92316     2.63487e+00
   1.03390    7.15337  148.64097     2.60393e+00
   1.04004    7.38192  149.58802     2.56966e+00
   1.04617    6.22510  149.89535     2.54081e+00
   1.05231    6.94011  150.67170     2.51040e+00
   1.05845    6.83195  151.52435     2.47339e+00
   1.06458    6.87066  152.49048     2.44570e+00
   1.07072    6.94535  153.55457     2.40468e+00
   1.07685    6.87572  154.21632     2.38747e+00
   1.08299    6.71285  154.39563     2.36066e+00
   1.08913    6.78414  155.34384     2.33193e+00
   1.09526    7.02821  155.58613     2.31576e+00
   1.10140    7.38268  156.94759     2.28187e+00
   1.10753    6.74004  156.94718     2.26270e+00
   1.11367    6.75377  158.12614     2.23747e+00
   1.11981    6.46102  158.40806     2.21289e+00
   1.12594    7.00779  159.22714     2.17979e+00
   1.13208    7.21141  160.16162     2.15873e+00
   1.13821    7.11968  160.82542     2.13328e+00
   1.14435    7.10988  161.73635     2.10761e+00
   1.15049    6.72420  162.18140     2.08289e+00
   1.15662    6.99683  162.66762     2.06794e+00
   1.16276    7.10792  163.60214     2.04236e+00
   1.16889    7.38564  163.99596     2.02360e+00
   1.17503    6.91565  164.92307     1.99862e+00
   1.18117    6.63510  165.51465     1.97777e+00
   1.18730    6.89039  166.57548     1.94742e+00
   1.19344    6.85480  166.93670     1.93257e+00
   1.19957    7.71455  167.36170     1.92002e+00
   1.20571    7.14113  167.76806     1.89847e+00
   1.21184    7.01283  169.12821     1.87108e+00
   1.21798    7.43620  169.05548     1.86695e+00
   1.22412    7.19742  169.93311     1.84099e+00
   1.23025    7.06383  170.92376     1.81969e+00
   1.23639    7.31250  171.03288     1.79929e+00
   1.24252    6.94271  171.68969     1.78812e+00
   1.24866    7.06904  171.81378     1.77171e+00
   1.25480    7.02481  173.21652     1.74763e+00
   1.26093    7.02480  173.50788     1.73375e+00
   1.26707    6.98075  174.17489     1.71458e+00
   1.27320    7.28882  174.66992     1.70323e+00
   1.27934    7.09658  175.19366     1.68383e+00
   1.28548    7.22858  175.72718     1.67149e+00
   1.29161    7.21146  176.30433     1.65578e+00
   1.29775    7.20732  177.17765     1.63250e+00
   1.30388    6.86876  177.57932     1.62061e+00
   1.31002    7.36337  178.39136     1.60177e+00
   1.31616    7.33817  179.11686     1.58739e+00
   1.32229    6.96970  179.32803     1.57355e+00
   1.32843    7.54444  179.63767     1.56544e+00
   1.33456    7.41948  180.73498     1.54278e+00
   1.34070    7.82550  181.01024     1.53503e+00
   1.34684    7.09053  181.69553     1.51843e+00
   1.35297    7.16446  182.24945     1.50410e+00
   1.35911    6.97369  182.87986     1.48469e+00
   1.36524    7.55150  183.47502     1.47404e+00
   1.37138    7.06602  183.49461     1.46636e+00
   1.37751    7.31778  184.42420     1.44807e+00
   1.38365    7.21700  185.22599     1.43363e+00
   1.38979    6.99954  185.70862     1.42243e+00
   1.39592    7.47457  186.02040     1.41338e+00
   1.40206    7.55411  186.64708     1.40039e+00
   1.40819    7.10975  187.12631     1.38555e+00
   1.41433    7.55798  187.68553     1.37597e+00
   1.42047    7.06126  188.11591     1.36311e+00
   1.42660    7.30422  188.65969     1.35198e+00
   1.43274    7.21571  189.29152     1.33817e+00
   1.43887    7.03333  189.36786     1.32813e+00
   1.44501    7.44908  189.62691     1.32208e+00
   1.45115    7.49960  190.62026     1.30582e+00
   1.45728    7.27936  191.14175     1.29190e+00
   1.46342    7.73351  191.76925     1.28446e+00
   1.46955    7.35647  192.03561     1.27277e+00
   1.47569    7.42178  192.48757     1.26126e+00
   1.48183    7.27162  192.97042     1.25308e+00
   1.48796    7.47533  193.32834     1.24257e+00
   1.49410    7.24954  194.11502     1.22956e+00
   1.50023    6.93695  194.55821     1.22256e+00
   1.50637    7.44899  194.71973     1.21386e+00
   1.51251    7.05854  195.42766     1.20337e+00
   1.51864    7.45428  195.35437     1.19324e+00
   1.52478    7.74466  196.14029     1.18272e+00
   1.53091    7.48753  196.44969     1.17649e+00
   1.53705    7.22011  197.42685     1.16328e+00
   1.54318    7.04191  196.91056     1.15695e+00
   1.54932    6.96535  197.94057     1.14459e+00
   1.55546    7.66033  198.60203     1.13576e+00
   1.56159    7.15761  198.83613     1.12462e+00
   1.56773    7.95331  199.56929     1.11676e+00
   1.57386    7.15085  199.83012     1.11061e+00
   1.58000    7.69768  199.94770     1.10417e+00
   1.58614    7.45969  200.71884     1.09233e+00
   1.59227    7.56276  200.86258     1.08415e+00
   1.59841    7.58306  201.46133     1.07665e+00
   1.60454    7.23401  201.94319     1.06649e+00
   1.61068    7.60448  202.08836     1.06170e+00
   1.61682    7.04656  202.75144     1.05014e+00
   1.62295    7.71413  202.87235     1.04350e+00
   1.62909    7.73082  203.14021     1.03798e+00
   1.63522    7.29866  203.82526     1.02860e+00
   1.64136    7.58878  204.12672     1.01901e+00
   1.64750    7.23574  204.33937     1.01570e+00
   1.65363    7.13397  204.70211     1.00652e+00
   1.65977    7.28175  204.97827     9.98382e-01
   1.66590    7.15648  205.69853     9.91977e-01
   1.67204    7.22339  205.49610     9.85818e-01
   1.67817    7.48149  206.19109     9.77381e-01
   1.68431    7.50694  206.29887     9.69361e-01
