#        k       b1_x       b1_a            Pkmm
   0.00920    2.43575    2.85439     1.66233e+03
   0.01534    2.49156    3.18620     1.97689e+03
   0.02148    2.44022    3.08387     1.91637e+03
   0.02761    2.60407    3.40077     1.70883e+03
   0.03375    2.64560    3.47142     1.45970e+03
   0.03988    2.49804    3.56731     1.24091e+03
   0.04602    2.43309    3.56959     1.08138e+03
   0.05216    2.69980    3.91870     9.68953e+02
   0.05829    2.61813    3.94573     9.05765e+02
   0.06443    2.55450    3.87145     8.33585e+02
   0.07056    2.45604    3.91563     7.84152e+02
   0.07670    2.59610    4.19396     7.06591e+02
   0.08283    2.61441    4.23665     6.30540e+02
   0.08897    2.55812    4.45286     5.51972e+02
   0.09511    2.48402    4.53347     4.86923e+02
   0.10124    2.49906    4.70958     4.38877e+02
   0.10738    2.55623    4.95113     4.00048e+02
   0.11351    2.53986    5.08256     3.75337e+02
   0.11965    2.57801    5.18496     3.56556e+02
   0.12579    2.55317    5.20853     3.44555e+02
   0.13192    2.64326    5.32454     3.26990e+02
   0.13806    2.49076    5.46305     3.02775e+02
   0.14419    2.61657    5.72820     2.82153e+02
   0.15033    2.44832    5.82327     2.55991e+02
   0.15647    2.60854    6.04808     2.34525e+02
   0.16260    2.62583    6.34130     2.16251e+02
   0.16874    2.66814    6.38254     2.05087e+02
   0.17487    2.59883    6.58490     1.93333e+02
   0.18101    2.54254    6.70411     1.84251e+02
   0.18715    2.56072    6.83189     1.78613e+02
   0.19328    2.58590    6.94916     1.73453e+02
   0.19942    2.60816    7.13092     1.62937e+02
   0.20555    2.65436    7.32469     1.53331e+02
   0.21169    2.60406    7.45605     1.45098e+02
   0.21783    2.68346    7.66355     1.36415e+02
   0.22396    2.52115    7.92083     1.26383e+02
   0.23010    2.69632    8.08506     1.22364e+02
   0.23623    2.64200    8.25917     1.16543e+02
   0.24237    2.61200    8.40881     1.11171e+02
   0.24850    2.67896    8.52747     1.08776e+02
   0.25464    2.66375    8.65990     1.04837e+02
   0.26078    2.64523    8.81045     1.00258e+02
   0.26691    2.70122    9.00079     9.59210e+01
   0.27305    2.67420    9.11659     9.19566e+01
   0.27918    2.63901    9.33180     8.83718e+01
   0.28532    2.69484    9.54408     8.49314e+01
   0.29146    2.60221    9.70475     8.06006e+01
   0.29759    2.65583    9.90405     7.72716e+01
   0.30373    2.76516   10.16441     7.47731e+01
   0.30986    2.75226   10.27322     7.25743e+01
   0.31600    2.67664   10.42847     7.00677e+01
   0.32214    2.59941   10.48058     6.81895e+01
   0.32827    2.77233   10.69356     6.55668e+01
   0.33441    2.67273   10.82127     6.32609e+01
   0.34054    2.79466   11.05539     6.09556e+01
   0.34668    2.75183   11.24400     5.91969e+01
   0.35282    2.65601   11.44580     5.67687e+01
   0.35895    2.80326   11.54999     5.51379e+01
   0.36509    2.72073   11.73496     5.33568e+01
   0.37122    2.71536   11.83401     5.26447e+01
   0.37736    2.71359   12.03784     5.06798e+01
   0.38350    2.88924   12.40039     4.85457e+01
   0.38963    2.75942   12.41735     4.74665e+01
   0.39577    2.72719   12.55197     4.65468e+01
   0.40190    2.74389   12.74036     4.50613e+01
   0.40804    2.76623   12.91243     4.40206e+01
   0.41417    2.80339   13.17138     4.22118e+01
   0.42031    2.78468   13.26390     4.14290e+01
   0.42645    2.81193   13.40173     4.00084e+01
   0.43258    2.81358   13.76408     3.83692e+01
   0.43872    2.79786   13.70389     3.81106e+01
   0.44485    2.76166   13.95721     3.69885e+01
   0.45099    2.84492   14.16720     3.61769e+01
   0.45713    2.81789   14.30893     3.51261e+01
   0.46326    2.78164   14.40742     3.45151e+01
   0.46940    2.78552   14.55053     3.38299e+01
   0.47553    2.80585   14.74755     3.28114e+01
   0.48167    2.81396   14.98669     3.19790e+01
   0.48781    2.87183   15.11809     3.13039e+01
   0.49394    2.88535   15.29521     3.05804e+01
   0.50008    2.77882   15.53574     2.95702e+01
   0.50621    2.76788   15.59123     2.91338e+01
   0.51235    2.83450   15.87347     2.81460e+01
   0.51849    2.84632   15.99200     2.77258e+01
   0.52462    2.91400   16.05049     2.72484e+01
   0.53076    2.90607   16.30634     2.66532e+01
   0.53689    2.79092   16.50365     2.60183e+01
   0.54303    2.86510   16.57699     2.55440e+01
   0.54917    2.87718   16.75425     2.50240e+01
   0.55530    2.89525   16.99912     2.43791e+01
   0.56144    2.76588   17.03778     2.39928e+01
   0.56757    2.82571   17.32776     2.33169e+01
   0.57371    2.86402   17.46863     2.29453e+01
   0.57984    2.87101   17.59243     2.24925e+01
   0.58598    3.00289   17.73105     2.20810e+01
   0.59212    2.92572   17.86478     2.16792e+01
   0.59825    2.87796   18.02669     2.12777e+01
   0.60439    2.94204   18.15874     2.10449e+01
   0.61052    2.86467   18.36821     2.04578e+01
   0.61666    2.91288   18.41981     2.02183e+01
   0.62280    2.90315   18.64321     1.96918e+01
   0.62893    2.91473   18.84525     1.93149e+01
   0.63507    3.01255   18.89338     1.90713e+01
   0.64120    2.99505   19.08943     1.87547e+01
   0.64734    2.96382   19.21229     1.84239e+01
   0.65348    2.90010   19.46196     1.80046e+01
   0.65961    2.88807   19.57335     1.77406e+01
   0.66575    2.81880   19.72999     1.74265e+01
   0.67188    2.85009   19.87721     1.71153e+01
   0.67802    2.89415   20.10359     1.68694e+01
   0.68416    2.94891   20.15902     1.65650e+01
   0.69029    2.92775   20.33391     1.62610e+01
   0.69643    2.95815   20.46400     1.60164e+01
   0.70256    2.95215   20.65721     1.57458e+01
   0.70870    2.97275   20.84595     1.54809e+01
   0.71484    2.94338   20.93802     1.52251e+01
   0.72097    2.91914   20.99439     1.50993e+01
   0.72711    3.03020   21.19706     1.48248e+01
   0.73324    2.91252   21.41015     1.44983e+01
   0.73938    2.99204   21.50901     1.43149e+01
   0.74551    2.96484   21.69576     1.41564e+01
   0.75165    3.04323   21.69456     1.39836e+01
   0.75779    2.93330   21.94910     1.37086e+01
   0.76392    3.00286   22.11999     1.34637e+01
   0.77006    3.03701   22.30301     1.32955e+01
   0.77619    2.94982   22.41254     1.31218e+01
   0.78233    2.94671   22.42948     1.30227e+01
   0.78847    3.08688   22.65985     1.27875e+01
   0.79460    2.96828   22.86011     1.25209e+01
   0.80074    2.98992   22.96934     1.24099e+01
   0.80687    2.98208   23.08780     1.21910e+01
   0.81301    2.98976   23.24385     1.20660e+01
   0.81915    3.05968   23.30416     1.18811e+01
   0.82528    2.99321   23.43004     1.17405e+01
   0.83142    2.90462   23.70617     1.15417e+01
   0.83755    3.05682   23.79498     1.14075e+01
   0.84369    2.98391   23.90114     1.12472e+01
   0.84983    3.06368   24.12292     1.10874e+01
   0.85596    3.10764   24.24549     1.09247e+01
   0.86210    3.06629   24.33152     1.08306e+01
   0.86823    3.09025   24.43210     1.06968e+01
   0.87437    3.06672   24.68095     1.05351e+01
   0.88050    3.06756   24.69250     1.04269e+01
   0.88664    3.03747   24.86296     1.02587e+01
   0.89278    3.08463   25.02733     1.01558e+01
   0.89891    2.94985   25.14426     1.00086e+01
   0.90505    2.96071   25.33714     9.86715e+00
   0.91118    3.00639   25.37191     9.79822e+00
   0.91732    3.02548   25.47284     9.67340e+00
   0.92346    2.98617   25.65702     9.51660e+00
   0.92959    3.02309   25.74934     9.42666e+00
   0.93573    3.04394   25.87705     9.30162e+00
   0.94186    3.01162   26.06563     9.22204e+00
   0.94800    2.95393   26.17810     9.08667e+00
   0.95414    2.99975   26.24048     8.99028e+00
   0.96027    3.10197   26.43253     8.87707e+00
   0.96641    2.99068   26.47493     8.81553e+00
   0.97254    2.97097   26.61526     8.68581e+00
   0.97868    3.06182   26.75043     8.59452e+00
   0.98482    3.06609   26.86127     8.49708e+00
   0.99095    3.05001   26.94840     8.43110e+00
   0.99709    3.06796   27.18744     8.28632e+00
   1.00322    3.04813   27.27853     8.19018e+00
   1.00936    3.13656   27.39115     8.12449e+00
   1.01550    3.00417   27.63077     7.99828e+00
   1.02163    3.03656   27.62947     7.93059e+00
   1.02777    3.08501   27.72429     7.87577e+00
   1.03390    3.12518   27.84802     7.79132e+00
   1.04004    3.05608   27.85699     7.71983e+00
   1.04617    3.02371   28.08517     7.62085e+00
   1.05231    3.13844   28.20750     7.54994e+00
   1.05845    3.11521   28.35399     7.46971e+00
   1.06458    3.12332   28.42210     7.38004e+00
   1.07072    3.02454   28.56734     7.27468e+00
   1.07685    3.01786   28.66963     7.21981e+00
   1.08299    3.09138   28.79740     7.16129e+00
   1.08913    3.10734   28.92531     7.06094e+00
   1.09526    3.05073   28.93205     7.03068e+00
   1.10140    3.03001   29.03970     6.95844e+00
   1.10753    3.10991   29.20682     6.87987e+00
   1.11367    3.12394   29.30894     6.82560e+00
   1.11981    2.95160   29.36777     6.75858e+00
   1.12594    3.12391   29.57484     6.67819e+00
   1.13208    3.01113   29.61121     6.61515e+00
   1.13821    3.03705   29.75916     6.55119e+00
   1.14435    2.99112   29.89662     6.46707e+00
   1.15049    3.06584   29.98807     6.41770e+00
   1.15662    3.16990   29.98978     6.38004e+00
   1.16276    3.06474   30.16662     6.30213e+00
   1.16889    3.01285   30.19789     6.25913e+00
   1.17503    3.07814   30.30722     6.19033e+00
   1.18117    3.09143   30.44359     6.13667e+00
   1.18730    3.06190   30.63897     6.06368e+00
   1.19344    2.98108   30.69409     6.01706e+00
   1.19957    3.03070   30.73204     5.96642e+00
   1.20571    3.03555   30.82920     5.93684e+00
   1.21184    3.01047   31.02619     5.84036e+00
   1.21798    3.08578   31.02154     5.82695e+00
   1.22412    3.08166   31.16806     5.76868e+00
   1.23025    3.09247   31.31261     5.70834e+00
   1.23639    2.94992   31.40242     5.64890e+00
   1.24252    3.07407   31.46692     5.62741e+00
   1.24866    3.14316   31.48863     5.57511e+00
   1.25480    3.12066   31.62351     5.51612e+00
   1.26093    3.10416   31.75211     5.46380e+00
   1.26707    3.06023   31.83257     5.40294e+00
   1.27320    3.07544   31.83033     5.39376e+00
   1.27934    3.17807   32.02821     5.33527e+00
   1.28548    3.10518   32.03170     5.30157e+00
   1.29161    3.06716   32.10908     5.25909e+00
   1.29775    3.04464   32.25516     5.20064e+00
   1.30388    3.11546   32.30181     5.16971e+00
   1.31002    3.12682   32.50376     5.11376e+00
   1.31616    3.10456   32.54103     5.07390e+00
   1.32229    3.14457   32.58312     5.04258e+00
   1.32843    3.05381   32.66247     5.00612e+00
   1.33456    3.04549   32.83513     4.95495e+00
   1.34070    3.12647   32.82320     4.94045e+00
   1.34684    3.07769   32.89860     4.88982e+00
   1.35297    3.07900   33.07437     4.84264e+00
   1.35911    3.08273   33.11548     4.80263e+00
   1.36524    3.00876   33.14247     4.78201e+00
   1.37138    3.11675   33.25978     4.73504e+00
   1.37751    3.09688   33.40973     4.68360e+00
   1.38365    3.09613   33.45244     4.66119e+00
   1.38979    3.19223   33.55472     4.63251e+00
   1.39592    3.09901   33.56551     4.60190e+00
   1.40206    3.08300   33.64167     4.56500e+00
   1.40819    3.08669   33.76335     4.51181e+00
   1.41433    3.06375   33.84457     4.48446e+00
   1.42047    3.11385   33.90468     4.45954e+00
   1.42660    3.09536   33.94400     4.44168e+00
   1.43274    3.17439   33.99689     4.39938e+00
   1.43887    3.16419   34.00538     4.36704e+00
   1.44501    3.07215   34.14506     4.33350e+00
   1.45115    3.00605   34.24301     4.29851e+00
   1.45728    3.14354   34.35811     4.26624e+00
   1.46342    3.08575   34.41814     4.23084e+00
   1.46955    3.07586   34.49139     4.21026e+00
   1.47569    3.10005   34.55897     4.17436e+00
   1.48183    3.15245   34.66052     4.14236e+00
   1.48796    3.05509   34.63071     4.13035e+00
   1.49410    3.05194   34.79011     4.08311e+00
   1.50023    3.03395   34.72670     4.06989e+00
   1.50637    3.13667   34.78954     4.04418e+00
   1.51251    3.09001   34.89864     4.01506e+00
   1.51864    2.99545   34.94479     3.98111e+00
   1.52478    3.06695   35.04422     3.95438e+00
   1.53091    3.09837   35.07806     3.93550e+00
   1.53705    2.99599   35.13464     3.90903e+00
   1.54318    3.02041   35.20158     3.87889e+00
   1.54932    3.07138   35.25725     3.85874e+00
   1.55546    3.11961   35.42188     3.81784e+00
   1.56159    3.05327   35.40109     3.80435e+00
   1.56773    3.10483   35.49038     3.77666e+00
   1.57386    3.01352   35.54853     3.75084e+00
   1.58000    3.02352   35.52399     3.73731e+00
   1.58614    3.08152   35.62822     3.70067e+00
   1.59227    3.03156   35.71979     3.67294e+00
   1.59841    3.01780   35.76032     3.65568e+00
   1.60454    3.08572   35.76632     3.63494e+00
   1.61068    2.98764   35.90707     3.60489e+00
   1.61682    2.98337   35.90511     3.58951e+00
   1.62295    3.05183   36.01289     3.55202e+00
   1.62909    3.08019   36.00858     3.54555e+00
   1.63522    2.94722   36.05791     3.51025e+00
   1.64136    3.10118   36.06182     3.50167e+00
   1.64750    3.10801   36.13500     3.48108e+00
   1.65363    2.99421   36.22201     3.45685e+00
   1.65977    3.08654   36.25333     3.43303e+00
   1.66590    3.06240   36.32695     3.41604e+00
   1.67204    3.04936   36.34775     3.39278e+00
   1.67817    3.06237   36.40010     3.37872e+00
   1.68431    3.04568   36.44686     3.35303e+00
   1.69045    3.06536   36.46567     3.33723e+00
   1.69658    2.99267   36.56690     3.31327e+00
   1.70272    3.05652   36.63892     3.28896e+00
   1.70885    3.04103   36.60652     3.27923e+00
   1.71499    2.98865   36.71074     3.25744e+00
   1.72113    3.02114   36.68756     3.23474e+00
   1.72726    3.03183   36.79560     3.21807e+00
   1.73340    3.00694   36.81417     3.19884e+00
   1.73953    3.04406   36.88543     3.17682e+00
