#        k       b1_x       b1_a            Pkmm
   0.00920    1.22409    1.79808     1.66233e+03
   0.01534    0.73319    0.96088     1.97689e+03
   0.02148    0.59124    0.73865     1.91637e+03
   0.02761    0.50482    0.62195     1.70883e+03
   0.03375    0.38743    0.48878     1.45970e+03
   0.03988    0.32640    0.44577     1.24091e+03
   0.04602    0.26793    0.38703     1.08138e+03
   0.05216    0.24461    0.35749     9.68953e+02
   0.05829    0.23005    0.32987     9.05765e+02
   0.06443    0.20349    0.31071     8.33585e+02
   0.07056    0.19180    0.28718     7.84152e+02
   0.07670    0.17174    0.27043     7.06591e+02
   0.08283    0.15650    0.25721     6.30540e+02
   0.08897    0.14818    0.24785     5.51972e+02
   0.09511    0.14097    0.24498     4.86923e+02
   0.10124    0.13476    0.23981     4.38877e+02
   0.10738    0.12511    0.22945     4.00048e+02
   0.11351    0.11718    0.22476     3.75337e+02
   0.11965    0.10963    0.21716     3.56556e+02
   0.12579    0.11116    0.21523     3.44555e+02
   0.13192    0.09981    0.20407     3.26990e+02
   0.13806    0.10097    0.20298     3.02775e+02
   0.14419    0.08893    0.19643     2.82153e+02
   0.15033    0.08901    0.19605     2.55991e+02
   0.15647    0.08838    0.19841     2.34525e+02
   0.16260    0.08302    0.19356     2.16251e+02
   0.16874    0.08138    0.19207     2.05087e+02
   0.17487    0.07935    0.18953     1.93333e+02
   0.18101    0.07374    0.18577     1.84251e+02
   0.18715    0.07292    0.18241     1.78613e+02
   0.19328    0.06757    0.17940     1.73453e+02
   0.19942    0.06493    0.17667     1.62937e+02
   0.20555    0.06791    0.17798     1.53331e+02
   0.21169    0.06205    0.17577     1.45098e+02
   0.21783    0.06461    0.17659     1.36415e+02
   0.22396    0.06093    0.17433     1.26383e+02
   0.23010    0.05989    0.17434     1.22364e+02
   0.23623    0.05733    0.17269     1.16543e+02
   0.24237    0.05814    0.17244     1.11171e+02
   0.24850    0.05533    0.17119     1.08776e+02
   0.25464    0.05335    0.16668     1.04837e+02
   0.26078    0.05251    0.16624     1.00258e+02
   0.26691    0.04976    0.16511     9.59210e+01
   0.27305    0.04962    0.16380     9.19566e+01
   0.27918    0.04804    0.16399     8.83718e+01
   0.28532    0.04840    0.16487     8.49314e+01
   0.29146    0.04857    0.16372     8.06006e+01
   0.29759    0.04474    0.16205     7.72716e+01
   0.30373    0.04565    0.16303     7.47731e+01
   0.30986    0.04224    0.16005     7.25743e+01
   0.31600    0.04262    0.15874     7.00677e+01
   0.32214    0.04285    0.15753     6.81895e+01
   0.32827    0.04218    0.15737     6.55668e+01
   0.33441    0.04103    0.15639     6.32609e+01
   0.34054    0.04013    0.15642     6.09556e+01
   0.34668    0.04009    0.15574     5.91969e+01
   0.35282    0.03808    0.15576     5.67687e+01
   0.35895    0.03676    0.15480     5.51379e+01
   0.36509    0.03707    0.15327     5.33568e+01
   0.37122    0.03714    0.15246     5.26447e+01
