#        k       b1_x       b1_a            Pkmm
   0.00920    3.82556    3.88812     9.39010e+02
   0.01534    3.24443    3.30828     1.11625e+03
   0.02148    2.65655    2.72017     1.08551e+03
   0.02761    2.27488    2.33952     9.66807e+02
   0.03375    1.95656    2.02001     8.24689e+02
   0.03988    1.76670    1.82329     7.01905e+02
   0.04602    1.54059    1.60625     6.11826e+02
   0.05216    1.38266    1.44629     5.48666e+02
   0.05829    1.28423    1.34479     5.11632e+02
   0.06443    1.13732    1.19565     4.72421e+02
   0.07056    1.06830    1.12963     4.42941e+02
   0.07670    1.00037    1.05839     3.99648e+02
   0.08283    0.93114    0.99588     3.56110e+02
   0.08897    0.86945    0.93868     3.12478e+02
   0.09511    0.81245    0.88081     2.75447e+02
   0.10124    0.78150    0.85641     2.47748e+02
   0.10738    0.72568    0.79838     2.26111e+02
   0.11351    0.69852    0.76906     2.12286e+02
   0.11965    0.66606    0.73650     2.01776e+02
   0.12579    0.63503    0.70467     1.94517e+02
   0.13192    0.62015    0.68855     1.84477e+02
   0.13806    0.58509    0.65600     1.71064e+02
   0.14419    0.56512    0.63925     1.58745e+02
   0.15033    0.54085    0.61668     1.44233e+02
   0.15647    0.52306    0.60014     1.31868e+02
   0.16260    0.50380    0.58508     1.21522e+02
   0.16874    0.48743    0.57019     1.14794e+02
   0.17487    0.46976    0.55331     1.08428e+02
   0.18101    0.44799    0.52962     1.03516e+02
   0.18715    0.44005    0.52132     1.00283e+02
   0.19328    0.42798    0.50833     9.71092e+01
   0.19942    0.41505    0.49778     9.14698e+01
   0.20555    0.40559    0.48821     8.60457e+01
   0.21169    0.39294    0.47656     8.11761e+01
   0.21783    0.38537    0.47189     7.61321e+01
   0.22396    0.37249    0.45881     7.06956e+01
   0.23010    0.36753    0.45520     6.80269e+01
   0.23623    0.35533    0.44456     6.47919e+01
   0.24237    0.34612    0.43560     6.20319e+01
   0.24850    0.33956    0.42823     6.04557e+01
   0.25464    0.32804    0.41776     5.82194e+01
   0.26078    0.32520    0.41499     5.57764e+01
   0.26691    0.31647    0.40597     5.33442e+01
   0.27305    0.30946    0.40020     5.10701e+01
   0.27918    0.30501    0.39467     4.88594e+01
   0.28532    0.29873    0.38786     4.68494e+01
   0.29146    0.29307    0.38568     4.44908e+01
   0.29759    0.28842    0.38081     4.26221e+01
   0.30373    0.28163    0.37430     4.12003e+01
   0.30986    0.27588    0.36888     3.99105e+01
   0.31600    0.27070    0.36309     3.85855e+01
   0.32214    0.26770    0.35829     3.74830e+01
   0.32827    0.25846    0.35163     3.60424e+01
   0.33441    0.25649    0.34849     3.47624e+01
   0.34054    0.25092    0.34460     3.34409e+01
   0.34668    0.24901    0.34327     3.23915e+01
   0.35282    0.24468    0.33850     3.10780e+01
   0.35895    0.24102    0.33483     3.00924e+01
   0.36509    0.23695    0.33134     2.91453e+01
   0.37122    0.23331    0.32679     2.85838e+01
   0.37736    0.23188    0.32517     2.75463e+01
   0.38350    0.22739    0.32285     2.64536e+01
   0.38963    0.22226    0.31680     2.58584e+01
   0.39577    0.21862    0.31236     2.52377e+01
   0.40190    0.21702    0.31126     2.44137e+01
   0.40804    0.21454    0.30869     2.37835e+01
   0.41417    0.20762    0.30358     2.28408e+01
   0.42031    0.20675    0.30175     2.23605e+01
   0.42645    0.20389    0.29918     2.15887e+01
   0.43258    0.20068    0.29753     2.07574e+01
   0.43872    0.19854    0.29353     2.05192e+01
   0.44485    0.19527    0.29083     1.99129e+01
   0.45099    0.19278    0.28757     1.94352e+01
   0.45713    0.18946    0.28588     1.88566e+01
   0.46326    0.18778    0.28251     1.84810e+01
   0.46940    0.18593    0.27975     1.81073e+01
   0.47553    0.18226    0.27725     1.75208e+01
   0.48167    0.18108    0.27591     1.70396e+01
   0.48781    0.17738    0.27152     1.66931e+01
   0.49394    0.17540    0.27040     1.62493e+01
   0.50008    0.17319    0.26844     1.57473e+01
   0.50621    0.17109    0.26598     1.54896e+01
   0.51235    0.16773    0.26369     1.49968e+01
   0.51849    0.16684    0.26174     1.47213e+01
   0.52462    0.16438    0.25889     1.44334e+01
   0.53076    0.16298    0.25682     1.41144e+01
   0.53689    0.16188    0.25539     1.37340e+01
   0.54303    0.15832    0.25217     1.34878e+01
   0.54917    0.15771    0.25060     1.31892e+01
   0.55530    0.15553    0.24905     1.28696e+01
   0.56144    0.15437    0.24708     1.26183e+01
   0.56757    0.15121    0.24500     1.22607e+01
   0.57371    0.15103    0.24346     1.20737e+01
   0.57984    0.14690    0.24011     1.17966e+01
   0.58598    0.14673    0.23962     1.15457e+01
   0.59212    0.14447    0.23646     1.13508e+01
   0.59825    0.14416    0.23539     1.11281e+01
   0.60439    0.14214    0.23249     1.09811e+01
   0.61052    0.13937    0.23090     1.06660e+01
   0.61666    0.13830    0.22919     1.05240e+01
   0.62280    0.13702    0.22801     1.02241e+01
   0.62893    0.13488    0.22577     1.00293e+01
   0.63507    0.13413    0.22407     9.89203e+00
   0.64120    0.13222    0.22170     9.71265e+00
   0.64734    0.13145    0.22074     9.52428e+00
   0.65348    0.12935    0.21914     9.31847e+00
   0.65961    0.12690    0.21621     9.16631e+00
   0.66575    0.12642    0.21486     8.99377e+00
   0.67188    0.12504    0.21338     8.81515e+00
   0.67802    0.12394    0.21252     8.68446e+00
   0.68416    0.12258    0.21064     8.51747e+00
   0.69029    0.12137    0.20884     8.35641e+00
   0.69643    0.11953    0.20645     8.21353e+00
   0.70256    0.11839    0.20551     8.07257e+00
   0.70870    0.11726    0.20454     7.91759e+00
   0.71484    0.11636    0.20299     7.77227e+00
   0.72097    0.11460    0.20063     7.69892e+00
   0.72711    0.11362    0.19968     7.54159e+00
   0.73324    0.11232    0.19772     7.39563e+00
   0.73938    0.11138    0.19642     7.29150e+00
   0.74551    0.10986    0.19437     7.19000e+00
   0.75165    0.10889    0.19288     7.10131e+00
   0.75779    0.10756    0.19146     6.95956e+00
   0.76392    0.10644    0.19010     6.81370e+00
   0.77006    0.10541    0.18881     6.71142e+00
