#        k       b1_x       b1_a            Pkmm
   0.00920    2.46486    3.57473     9.39010e+02
   0.01534    2.09752    2.79721     1.11625e+03
   0.02148    2.13039    2.69157     1.08551e+03
   0.02761    1.57042    2.12924     9.66807e+02
   0.03375    1.42526    1.99234     8.24689e+02
   0.03988    1.26297    1.87561     7.01905e+02
   0.04602    1.22799    1.80221     6.11826e+02
   0.05216    1.06363    1.66242     5.48666e+02
   0.05829    0.95106    1.50530     5.11632e+02
   0.06443    0.85524    1.38705     4.72421e+02
   0.07056    0.86373    1.37313     4.42941e+02
   0.07670    0.77753    1.27696     3.99648e+02
   0.08283    0.74041    1.26512     3.56110e+02
   0.08897    0.65206    1.20789     3.12478e+02
   0.09511    0.63402    1.21727     2.75447e+02
   0.10124    0.58201    1.17380     2.47748e+02
   0.10738    0.56380    1.14434     2.26111e+02
   0.11351    0.53392    1.11658     2.12286e+02
   0.11965    0.49770    1.08984     2.01776e+02
   0.12579    0.47835    1.05258     1.94517e+02
   0.13192    0.47128    1.02611     1.84477e+02
   0.13806    0.45123    1.03057     1.71064e+02
   0.14419    0.42008    1.00661     1.58745e+02
   0.15033    0.39275    1.01055     1.44233e+02
   0.15647    0.40300    1.00233     1.31868e+02
   0.16260    0.37173    0.99994     1.21522e+02
   0.16874    0.36700    0.99077     1.14794e+02
   0.17487    0.35763    0.98437     1.08428e+02
   0.18101    0.33716    0.96951     1.03516e+02
   0.18715    0.34669    0.96180     1.00283e+02
   0.19328    0.31838    0.94156     9.71092e+01
   0.19942    0.30836    0.93246     9.14698e+01
   0.20555    0.31366    0.94094     8.60457e+01
   0.21169    0.30127    0.93645     8.11761e+01
   0.21783    0.29688    0.94278     7.61321e+01
   0.22396    0.29045    0.93453     7.06956e+01
   0.23010    0.28238    0.93487     6.80269e+01
   0.23623    0.27652    0.93451     6.47919e+01
   0.24237    0.26050    0.92690     6.20319e+01
   0.24850    0.26107    0.92057     6.04557e+01
   0.25464    0.25129    0.90549     5.82194e+01
   0.26078    0.25901    0.91043     5.57764e+01
   0.26691    0.24746    0.90517     5.33442e+01
   0.27305    0.24320    0.89730     5.10701e+01
   0.27918    0.24054    0.89837     4.88594e+01
   0.28532    0.22432    0.88736     4.68494e+01
   0.29146    0.21781    0.89549     4.44908e+01
   0.29759    0.22976    0.90036     4.26221e+01
   0.30373    0.21881    0.89621     4.12003e+01
   0.30986    0.20973    0.88985     3.99105e+01
   0.31600    0.20470    0.88489     3.85855e+01
   0.32214    0.20265    0.88198     3.74830e+01
   0.32827    0.20353    0.88915     3.60424e+01
   0.33441    0.19785    0.87510     3.47624e+01
   0.34054    0.19264    0.88461     3.34409e+01
   0.34668    0.19179    0.88025     3.23915e+01
   0.35282    0.18752    0.88123     3.10780e+01
   0.35895    0.19214    0.87508     3.00924e+01
   0.36509    0.19351    0.87804     2.91453e+01
   0.37122    0.17851    0.87283     2.85838e+01
   0.37736    0.18053    0.87676     2.75463e+01
   0.38350    0.17653    0.87972     2.64536e+01
   0.38963    0.17232    0.87340     2.58584e+01
   0.39577    0.16769    0.86453     2.52377e+01
   0.40190    0.16841    0.86919     2.44137e+01
   0.40804    0.17144    0.86605     2.37835e+01
   0.41417    0.16442    0.87197     2.28408e+01
   0.42031    0.16567    0.86805     2.23605e+01
   0.42645    0.16200    0.87083     2.15887e+01
   0.43258    0.15845    0.87519     2.07574e+01
   0.43872    0.16108    0.86443     2.05192e+01
   0.44485    0.15510    0.86817     1.99129e+01
   0.45099    0.15722    0.86237     1.94352e+01
   0.45713    0.15123    0.86843     1.88566e+01
   0.46326    0.14983    0.86012     1.84810e+01
   0.46940    0.15197    0.86413     1.81073e+01
   0.47553    0.14554    0.85912     1.75208e+01
   0.48167    0.13934    0.85920     1.70396e+01
   0.48781    0.14410    0.85902     1.66931e+01
   0.49394    0.13854    0.86026     1.62493e+01
   0.50008    0.14057    0.86107     1.57473e+01
   0.50621    0.14007    0.85854     1.54896e+01
   0.51235    0.14060    0.86073     1.49968e+01
   0.51849    0.13613    0.85834     1.47213e+01
   0.52462    0.14047    0.85650     1.44334e+01
   0.53076    0.13017    0.85324     1.41144e+01
   0.53689    0.13252    0.85574     1.37340e+01
   0.54303    0.12848    0.85248     1.34878e+01
   0.54917    0.12645    0.84921     1.31892e+01
   0.55530    0.12903    0.85620     1.28696e+01
   0.56144    0.13083    0.85443     1.26183e+01
   0.56757    0.12419    0.85264     1.22607e+01
   0.57371    0.12722    0.85158     1.20737e+01
