#        k       b1_x       b1_a            Pkmm
   0.00920    0.28170    0.46595     1.34926e+03
   0.01534    0.34289    0.41904     1.60437e+03
   0.02148    0.21847    0.30055     1.55714e+03
   0.02761    0.15850    0.23811     1.38789e+03
   0.03375    0.14514    0.21441     1.18488e+03
   0.03988    0.11792    0.19171     1.00773e+03
   0.04602    0.11072    0.17810     8.78286e+02
   0.05216    0.09798    0.16207     7.87235e+02
   0.05829    0.08971    0.15055     7.35170e+02
   0.06443    0.07641    0.13908     6.77480e+02
   0.07056    0.06698    0.12725     6.36474e+02
   0.07670    0.06824    0.12705     5.73816e+02
   0.08283    0.06306    0.12317     5.11752e+02
   0.08897    0.05922    0.12065     4.48399e+02
   0.09511    0.05591    0.11823     3.95433e+02
   0.10124    0.05029    0.11638     3.56106e+02
   0.10738    0.04884    0.11493     3.24755e+02
   0.11351    0.04702    0.11167     3.04785e+02
   0.11965    0.04317    0.10815     2.89596e+02
   0.12579    0.04221    0.10539     2.79586e+02
   0.13192    0.03984    0.10142     2.65263e+02
   0.13806    0.03789    0.09944     2.45762e+02
   0.14419    0.03659    0.09924     2.28628e+02
   0.15033    0.03522    0.09991     2.07555e+02
   0.15647    0.03499    0.09951     1.89978e+02
   0.16260    0.03286    0.09950     1.75135e+02
   0.16874    0.03348    0.09834     1.65829e+02
   0.17487    0.02994    0.09674     1.56436e+02
   0.18101    0.02792    0.09563     1.49188e+02
   0.18715    0.02664    0.09385     1.44593e+02
   0.19328    0.02687    0.09134     1.40262e+02
   0.19942    0.02602    0.09179     1.31895e+02
   0.20555    0.02599    0.09195     1.24096e+02
   0.21169    0.02648    0.09204     1.17295e+02
   0.21783    0.02452    0.09135     1.10158e+02
   0.22396    0.02486    0.09222     1.02143e+02
   0.23010    0.02514    0.09114     9.86533e+01
   0.23623    0.02256    0.09039     9.39543e+01
   0.24237    0.02326    0.09154     8.97614e+01
   0.24850    0.02266    0.08977     8.76871e+01
   0.25464    0.02137    0.08827     8.44756e+01
   0.26078    0.02180    0.08967     8.08452e+01
   0.26691    0.02123    0.08831     7.73367e+01
   0.27305    0.02098    0.08811     7.41049e+01
   0.27918    0.01968    0.08760     7.10785e+01
   0.28532    0.01973    0.08691     6.82509e+01
   0.29146    0.01920    0.08830     6.47874e+01
   0.29759    0.01937    0.08761     6.20863e+01
   0.30373    0.01896    0.08760     6.00561e+01
   0.30986    0.01860    0.08731     5.82403e+01
   0.31600    0.01819    0.08731     5.62605e+01
   0.32214    0.01769    0.08619     5.47169e+01
   0.32827    0.01668    0.08592     5.26054e+01
   0.33441    0.01712    0.08624     5.07509e+01
   0.34054    0.01649    0.08581     4.88613e+01
   0.34668    0.01596    0.08527     4.74052e+01
   0.35282    0.01610    0.08586     4.54684e+01
   0.35895    0.01593    0.08602     4.41059e+01
   0.36509    0.01670    0.08577     4.26993e+01
   0.37122    0.01586    0.08494     4.20282e+01
   0.37736    0.01492    0.08523     4.04736e+01
   0.38350    0.01499    0.08529     3.88023e+01
   0.38963    0.01508    0.08532     3.79404e+01
   0.39577    0.01474    0.08459     3.71356e+01
   0.40190    0.01460    0.08423     3.59365e+01
   0.40804    0.01411    0.08398     3.50685e+01
   0.41417    0.01454    0.08427     3.36444e+01
   0.42031    0.01396    0.08436     3.29890e+01
   0.42645    0.01364    0.08470     3.18497e+01
   0.43258    0.01347    0.08498     3.05727e+01
   0.43872    0.01310    0.08364     3.03142e+01
   0.44485    0.01341    0.08418     2.94166e+01
   0.45099    0.01325    0.08388     2.87494e+01
   0.45713    0.01279    0.08346     2.79027e+01
   0.46326    0.01291    0.08337     2.73889e+01
   0.46940    0.01298    0.08284     2.68471e+01
   0.47553    0.01296    0.08381     2.60074e+01
   0.48167    0.01207    0.08323     2.53247e+01
   0.48781    0.01207    0.08326     2.48018e+01
   0.49394    0.01254    0.08318     2.41916e+01
   0.50008    0.01195    0.08350     2.34104e+01
   0.50621    0.01149    0.08290     2.30503e+01
   0.51235    0.01190    0.08327     2.22873e+01
   0.51849    0.01175    0.08267     2.19228e+01
   0.52462    0.01167    0.08271     2.15273e+01
   0.53076    0.01153    0.08221     2.10543e+01
   0.53689    0.01125    0.08235     2.05231e+01
   0.54303    0.01122    0.08236     2.01540e+01
   0.54917    0.01116    0.08233     1.97287e+01
   0.55530    0.01061    0.08197     1.92319e+01
   0.56144    0.01108    0.08215     1.88994e+01
   0.56757    0.01097    0.08208     1.83629e+01
   0.57371    0.01091    0.08201     1.80765e+01
   0.57984    0.01053    0.08214     1.76927e+01
   0.58598    0.01055    0.08174     1.73499e+01
   0.59212    0.01037    0.08189     1.70444e+01
   0.59825    0.01031    0.08153     1.67237e+01
   0.60439    0.01041    0.08121     1.65269e+01
   0.61052    0.01033    0.08157     1.60551e+01
   0.61666    0.01039    0.08125     1.58600e+01
   0.62280    0.01008    0.08155     1.54271e+01
   0.62893    0.00993    0.08126     1.51329e+01
   0.63507    0.00984    0.08092     1.49360e+01
   0.64120    0.01020    0.08070     1.46777e+01
   0.64734    0.00997    0.08095     1.44112e+01
   0.65348    0.00924    0.08088     1.40887e+01
   0.65961    0.00951    0.08067     1.38723e+01
   0.66575    0.00931    0.08072     1.36206e+01
   0.67188    0.00983    0.08054     1.33625e+01
   0.67802    0.00939    0.08026     1.31701e+01
   0.68416    0.00911    0.08035     1.29275e+01
   0.69029    0.00915    0.08042     1.26859e+01
   0.69643    0.00921    0.08007     1.24845e+01
   0.70256    0.00897    0.07979     1.22720e+01
   0.70870    0.00889    0.07989     1.20554e+01
   0.71484    0.00912    0.07991     1.18437e+01
   0.72097    0.00876    0.07934     1.17436e+01
   0.72711    0.00867    0.07950     1.15191e+01
   0.73324    0.00867    0.07956     1.12760e+01
   0.73938    0.00881    0.07954     1.11267e+01
   0.74551    0.00851    0.07929     1.09920e+01
   0.75165    0.00875    0.07921     1.08597e+01
   0.75779    0.00880    0.07936     1.06437e+01
   0.76392    0.00858    0.07952     1.04368e+01
   0.77006    0.00838    0.07906     1.02983e+01
   0.77619    0.00862    0.07906     1.01611e+01
   0.78233    0.00835    0.07887     1.00764e+01
   0.78847    0.00831    0.07848     9.89852e+00
   0.79460    0.00808    0.07878     9.68802e+00
   0.80074    0.00861    0.07861     9.58247e+00
   0.80687    0.00808    0.07841     9.42075e+00
   0.81301    0.00813    0.07824     9.32381e+00
   0.81915    0.00802    0.07827     9.17667e+00
   0.82528    0.00799    0.07822     9.06002e+00
   0.83142    0.00829    0.07807     8.90531e+00
   0.83755    0.00802    0.07813     8.78804e+00
   0.84369    0.00774    0.07793     8.66704e+00
   0.84983    0.00766    0.07790     8.53684e+00
   0.85596    0.00789    0.07784     8.41288e+00
   0.86210    0.00745    0.07756     8.33616e+00
   0.86823    0.00800    0.07744     8.22493e+00
   0.87437    0.00763    0.07737     8.10125e+00
   0.88050    0.00747    0.07711     8.00903e+00
   0.88664    0.00767    0.07744     7.87525e+00
   0.89278    0.00738    0.07710     7.79360e+00
   0.89891    0.00739    0.07693     7.68345e+00
   0.90505    0.00766    0.07691     7.56468e+00
   0.91118    0.00731    0.07675     7.51218e+00
   0.91732    0.00749    0.07647     7.41359e+00
   0.92346    0.00724    0.07662     7.28759e+00
   0.92959    0.00716    0.07666     7.22030e+00
   0.93573    0.00751    0.07639     7.11964e+00
   0.94186    0.00733    0.07631     7.04796e+00
   0.94800    0.00705    0.07627     6.94920e+00
   0.95414    0.00705    0.07605     6.87310e+00
   0.96027    0.00717    0.07591     6.77977e+00
   0.96641    0.00701    0.07598     6.72741e+00
   0.97254    0.00686    0.07572     6.63599e+00
   0.97868    0.00708    0.07567     6.55468e+00
   0.98482    0.00692    0.07547     6.47299e+00
   0.99095    0.00669    0.07503     6.42007e+00
   0.99709    0.00693    0.07530     6.31722e+00
   1.00322    0.00686    0.07527     6.23387e+00
   1.00936    0.00676    0.07508     6.17983e+00
   1.01550    0.00680    0.07505     6.09304e+00
   1.02163    0.00653    0.07486     6.03563e+00
   1.02777    0.00670    0.07463     5.98877e+00
   1.03390    0.00663    0.07472     5.91994e+00
   1.04004    0.00670    0.07439     5.86200e+00
   1.04617    0.00674    0.07427     5.78783e+00
   1.05231    0.00660    0.07437     5.72922e+00
   1.05845    0.00646    0.07411     5.66134e+00
   1.06458    0.00664    0.07416     5.59244e+00
   1.07072    0.00663    0.07426     5.51111e+00
   1.07685    0.00629    0.07409     5.47049e+00
   1.08299    0.00626    0.07384     5.41884e+00
   1.08913    0.00636    0.07385     5.34598e+00
   1.09526    0.00623    0.07340     5.32076e+00
   1.10140    0.00626    0.07335     5.26148e+00
   1.10753    0.00616    0.07337     5.20314e+00
   1.11367    0.00615    0.07322     5.15859e+00
   1.11981    0.00617    0.07292     5.10717e+00
   1.12594    0.00626    0.07304     5.03727e+00
   1.13208    0.00631    0.07286     4.99089e+00
   1.13821    0.00601    0.07275     4.94258e+00
   1.14435    0.00599    0.07261     4.87473e+00
   1.15049    0.00593    0.07266     4.83280e+00
   1.15662    0.00610    0.07219     4.80542e+00
   1.16276    0.00612    0.07229     4.74406e+00
   1.16889    0.00584    0.07206     4.71204e+00
   1.17503    0.00576    0.07195     4.65622e+00
   1.18117    0.00598    0.07197     4.61492e+00
   1.18730    0.00603    0.07184     4.55249e+00
   1.19344    0.00586    0.07169     4.51778e+00
   1.19957    0.00600    0.07164     4.48441e+00
   1.20571    0.00581    0.07143     4.45651e+00
   1.21184    0.00571    0.07149     4.38247e+00
   1.21798    0.00570    0.07113     4.37356e+00
   1.22412    0.00584    0.07113     4.32366e+00
   1.23025    0.00587    0.07103     4.27733e+00
   1.23639    0.00560    0.07089     4.23315e+00
   1.24252    0.00590    0.07068     4.21427e+00
   1.24866    0.00559    0.07059     4.17425e+00
   1.25480    0.00570    0.07042     4.12525e+00
   1.26093    0.00553    0.07039     4.08731e+00
   1.26707    0.00549    0.07024     4.04165e+00
   1.27320    0.00533    0.06997     4.03397e+00
   1.27934    0.00562    0.06997     3.98864e+00
   1.28548    0.00554    0.06979     3.96266e+00
   1.29161    0.00537    0.06954     3.92891e+00
   1.29775    0.00556    0.06973     3.87817e+00
   1.30388    0.00532    0.06943     3.85715e+00
   1.31002    0.00530    0.06938     3.81141e+00
   1.31616    0.00540    0.06939     3.78320e+00
   1.32229    0.00546    0.06916     3.75769e+00
   1.32843    0.00539    0.06899     3.73317e+00
   1.33456    0.00534    0.06890     3.68755e+00
   1.34070    0.00520    0.06861     3.67731e+00
   1.34684    0.00536    0.06875     3.63606e+00
   1.35297    0.00530    0.06854     3.60366e+00
   1.35911    0.00514    0.06848     3.56662e+00
   1.36524    0.00512    0.06821     3.55027e+00
   1.37138    0.00521    0.06816     3.52135e+00
   1.37751    0.00502    0.06811     3.47772e+00
   1.38365    0.00521    0.06796     3.45719e+00
   1.38979    0.00524    0.06778     3.43587e+00
   1.39592    0.00503    0.06765     3.41013e+00
   1.40206    0.00492    0.06740     3.38597e+00
   1.40819    0.00509    0.06757     3.34495e+00
   1.41433    0.00505    0.06732     3.32369e+00
   1.42047    0.00506    0.06711     3.30422e+00
   1.42660    0.00482    0.06673     3.28697e+00
