#        k       b1_x       b1_a            Pkmm
   0.00920    2.36674    2.44028     1.34926e+03
   0.01534    1.75314    1.79003     1.60437e+03
   0.02148    1.28671    1.33045     1.55714e+03
   0.02761    1.04901    1.09080     1.38789e+03
   0.03375    0.87864    0.91162     1.18488e+03
   0.03988    0.76334    0.79668     1.00773e+03
   0.04602    0.66062    0.69609     8.78286e+02
   0.05216    0.58182    0.61910     7.87235e+02
   0.05829    0.53021    0.56350     7.35170e+02
   0.06443    0.46795    0.50094     6.77480e+02
   0.07056    0.43718    0.46968     6.36474e+02
   0.07670    0.40695    0.44101     5.73816e+02
   0.08283    0.37446    0.40938     5.11752e+02
   0.08897    0.35328    0.38802     4.48399e+02
   0.09511    0.32985    0.36798     3.95433e+02
   0.10124    0.31191    0.35141     3.56106e+02
   0.10738    0.29058    0.33155     3.24755e+02
   0.11351    0.28223    0.32075     3.04785e+02
   0.11965    0.26659    0.30575     2.89596e+02
   0.12579    0.25391    0.29333     2.79586e+02
   0.13192    0.25103    0.28907     2.65263e+02
   0.13806    0.23355    0.27215     2.45762e+02
   0.14419    0.22516    0.26587     2.28628e+02
   0.15033    0.21754    0.25906     2.07555e+02
   0.15647    0.20893    0.25219     1.89978e+02
   0.16260    0.20280    0.24760     1.75135e+02
   0.16874    0.19556    0.24068     1.65829e+02
   0.17487    0.18798    0.23454     1.56436e+02
   0.18101    0.17913    0.22570     1.49188e+02
   0.18715    0.17751    0.22284     1.44593e+02
   0.19328    0.17223    0.21738     1.40262e+02
   0.19942    0.16694    0.21278     1.31895e+02
   0.20555    0.16366    0.21009     1.24096e+02
   0.21169    0.15773    0.20568     1.17295e+02
   0.21783    0.15417    0.20214     1.10158e+02
   0.22396    0.15127    0.20064     1.02143e+02
   0.23010    0.14733    0.19675     9.86533e+01
   0.23623    0.14309    0.19290     9.39543e+01
   0.24237    0.13958    0.19040     8.97614e+01
   0.24850    0.13810    0.18820     8.76871e+01
   0.25464    0.13354    0.18391     8.44756e+01
   0.26078    0.13115    0.18231     8.08452e+01
   0.26691    0.12864    0.17981     7.73367e+01
   0.27305    0.12695    0.17827     7.41049e+01
   0.27918    0.12429    0.17620     7.10785e+01
   0.28532    0.12140    0.17424     6.82509e+01
   0.29146    0.12012    0.17367     6.47874e+01
   0.29759    0.11728    0.17148     6.20863e+01
   0.30373    0.11718    0.17088     6.00561e+01
   0.30986    0.11395    0.16765     5.82403e+01
   0.31600    0.11157    0.16537     5.62605e+01
   0.32214    0.11119    0.16485     5.47169e+01
   0.32827    0.10766    0.16270     5.26054e+01
   0.33441    0.10646    0.16191     5.07509e+01
   0.34054    0.10393    0.16055     4.88613e+01
   0.34668    0.10337    0.15948     4.74052e+01
   0.35282    0.10152    0.15788     4.54684e+01
   0.35895    0.10051    0.15715     4.41059e+01
