# ix, iy, iz, dm, h1fid, h1new, lum, uv
0 0 0 2.17184e+06 6.89134e+12 6.88095e+12 4.12135e+13 3.60608e+13
0 0 1 2.09910e+06 6.34541e+12 6.33739e+12 3.53055e+13 3.57907e+13
0 0 2 2.09378e+06 6.33253e+12 6.32464e+12 3.71471e+13 3.55851e+13
0 0 3 2.12835e+06 6.60025e+12 6.59466e+12 3.54108e+13 3.51049e+13
0 0 4 2.06887e+06 6.12465e+12 6.12168e+12 3.39827e+13 3.44915e+13
0 0 5 2.07097e+06 6.13645e+12 6.13343e+12 3.17718e+13 3.44457e+13
0 0 6 2.06071e+06 6.07491e+12 6.07378e+12 3.20523e+13 3.39863e+13
0 0 7 2.02345e+06 5.82099e+12 5.81993e+12 3.08100e+13 3.40664e+13
0 1 0 2.15685e+06 6.80725e+12 6.80073e+12 3.69038e+13 3.50017e+13
0 1 1 2.05587e+06 6.04201e+12 6.03839e+12 3.11566e+13 3.47378e+13
0 1 2 2.14364e+06 6.64696e+12 6.63905e+12 3.65713e+13 3.56209e+13
0 1 3 2.10779e+06 6.42046e+12 6.41313e+12 3.74448e+13 3.54308e+13
0 1 4 2.08758e+06 6.29110e+12 6.28664e+12 3.31454e+13 3.48058e+13
0 1 5 2.14361e+06 6.69401e+12 6.68815e+12 3.61414e+13 3.50161e+13
0 1 6 2.13954e+06 6.68000e+12 6.67204e+12 3.76858e+13 3.53255e+13
0 1 7 2.11778e+06 6.48155e+12 6.47669e+12 3.65811e+13 3.48629e+13
0 2 0 2.12396e+06 6.54606e+12 6.54059e+12 3.50152e+13 3.49265e+13
0 2 1 2.07271e+06 6.20269e+12 6.19957e+12 3.15518e+13 3.44818e+13
0 2 2 2.08672e+06 6.27984e+12 6.27578e+12 3.34697e+13 3.47744e+13
0 2 3 2.07004e+06 6.13277e+12 6.12778e+12 3.47191e+13 3.49055e+13
0 2 4 2.00671e+06 5.69275e+12 5.69045e+12 3.23263e+13 3.43458e+13
0 2 5 2.08478e+06 6.27944e+12 6.27165e+12 4.01566e+13 3.58219e+13
0 2 6 2.20726e+06 7.13022e+12 7.11883e+12 4.18314e+13 3.63146e+13
0 2 7 2.02659e+06 5.86375e+12 5.86158e+12 3.09108e+13 3.42430e+13
0 3 0 2.07354e+06 6.16404e+12 6.15839e+12 3.56109e+13 3.52827e+13
0 3 1 2.09295e+06 6.31368e+12 6.30795e+12 3.67185e+13 3.51584e+13
0 3 2 2.02009e+06 5.77562e+12 5.77329e+12 3.42771e+13 3.44462e+13
0 3 3 2.11553e+06 6.48070e+12 6.47428e+12 3.83115e+13 3.52545e+13
0 3 4 2.07870e+06 6.23041e+12 6.22756e+12 3.23814e+13 3.43762e+13
0 3 5 2.16032e+06 6.83743e+12 6.83136e+12 3.37951e+13 3.51406e+13
0 3 6 2.06249e+06 6.11008e+12 6.10622e+12 3.20216e+13 3.46452e+13
0 3 7 2.02946e+06 5.88705e+12 5.88602e+12 3.09303e+13 3.39213e+13
0 4 0 2.18319e+06 6.99237e+12 6.98313e+12 3.95626e+13 3.57472e+13
0 4 1 2.12801e+06 6.57205e+12 6.56285e+12 3.84091e+13 3.59090e+13
0 4 2 2.04936e+06 6.04031e+12 6.03575e+12 3.19653e+13 3.48837e+13
0 4 3 2.17891e+06 6.93667e+12 6.93094e+12 3.71748e+13 3.50960e+13
0 4 4 2.10318e+06 6.38846e+12 6.38513e+12 3.26542e+13 3.45393e+13
0 4 5 2.11658e+06 6.48950e+12 6.48112e+12 4.03567e+13 3.56161e+13
0 4 6 2.05583e+06 6.05457e+12 6.05280e+12 3.08131e+13 3.41837e+13
0 4 7 2.08911e+06 6.28009e+12 6.27947e+12 3.15002e+13 3.39246e+13
0 5 0 2.07126e+06 6.17807e+12 6.17566e+12 3.21848e+13 3.42905e+13
0 5 1 2.10405e+06 6.40795e+12 6.40048e+12 3.55861e+13 3.55404e+13
0 5 2 2.18359e+06 7.00030e+12 6.98877e+12 4.01455e+13 3.62932e+13
0 5 3 2.16190e+06 6.83404e+12 6.82307e+12 4.03818e+13 3.61672e+13
0 5 4 2.09423e+06 6.33372e+12 6.32891e+12 3.51218e+13 3.48625e+13
0 5 5 2.13439e+06 6.64647e+12 6.63983e+12 3.80821e+13 3.50531e+13
0 5 6 1.98974e+06 5.59421e+12 5.59247e+12 3.19343e+13 3.42286e+13
0 5 7 2.07202e+06 6.18620e+12 6.18355e+12 3.37846e+13 3.42409e+13
0 6 0 2.09558e+06 6.37432e+12 6.37005e+12 3.40963e+13 3.47568e+13
0 6 1 2.12397e+06 6.49353e+12 6.48584e+12 3.53720e+13 3.57414e+13
0 6 2 2.15955e+06 6.77951e+12 6.77068e+12 3.61145e+13 3.58239e+13
0 6 3 2.09393e+06 6.34612e+12 6.33964e+12 3.64278e+13 3.53239e+13
0 6 4 2.11069e+06 6.42873e+12 6.42515e+12 3.38933e+13 3.46705e+13
0 6 5 2.07839e+06 6.20598e+12 6.20432e+12 3.04552e+13 3.41326e+13
0 6 6 2.06077e+06 6.11231e+12 6.10620e+12 3.77999e+13 3.50342e+13
0 6 7 2.08424e+06 6.24419e+12 6.23875e+12 3.56837e+13 3.51360e+13
0 7 0 2.22903e+06 7.32231e+12 7.30948e+12 4.12754e+13 3.62965e+13
0 7 1 2.08302e+06 6.21296e+12 6.20849e+12 3.18753e+13 3.49948e+13
0 7 2 2.18430e+06 6.94289e+12 6.93166e+12 4.16889e+13 3.62764e+13
0 7 3 2.09230e+06 6.28763e+12 6.28260e+12 3.40457e+13 3.49301e+13
0 7 4 2.14622e+06 6.70057e+12 6.69563e+12 3.36049e+13 3.48597e+13
0 7 5 2.13509e+06 6.64270e+12 6.63544e+12 3.75382e+13 3.54146e+13
0 7 6 2.15726e+06 6.77995e+12 6.77231e+12 3.83492e+13 3.54559e+13
0 7 7 2.08528e+06 6.24160e+12 6.23746e+12 3.35202e+13 3.47670e+13
1 0 0 2.03825e+06 5.93496e+12 5.93111e+12 3.22283e+13 3.46817e+13
1 0 1 2.23069e+06 7.31853e+12 7.30784e+12 3.99142e+13 3.59866e+13
1 0 2 2.12208e+06 6.54860e+12 6.54050e+12 3.42745e+13 3.56473e+13
1 0 3 2.17586e+06 6.89874e+12 6.88853e+12 3.88824e+13 3.61791e+13
1 0 4 2.13256e+06 6.61070e+12 6.60196e+12 3.70159e+13 3.57947e+13
1 0 5 2.06316e+06 6.11579e+12 6.11227e+12 3.44786e+13 3.44796e+13
1 0 6 1.98501e+06 5.57354e+12 5.57321e+12 2.96070e+13 3.38108e+13
1 0 7 2.06299e+06 6.10014e+12 6.09632e+12 3.40610e+13 3.45886e+13
1 1 0 2.10666e+06 6.40634e+12 6.40172e+12 3.35456e+13 3.48635e+13
1 1 1 2.06818e+06 6.13996e+12 6.13361e+12 3.52128e+13 3.53402e+13
1 1 2 2.20055e+06 7.10867e+12 7.09573e+12 4.29245e+13 3.65135e+13
1 1 3 2.13934e+06 6.63062e+12 6.62467e+12 3.32776e+13 3.52072e+13
1 1 4 2.08507e+06 6.25229e+12 6.24763e+12 3.58432e+13 3.48501e+13
1 1 5 2.12018e+06 6.52703e+12 6.52240e+12 3.54494e+13 3.47715e+13
1 1 6 2.09943e+06 6.37573e+12 6.37116e+12 3.56406e+13 3.46630e+13
1 1 7 2.07970e+06 6.26496e+12 6.25954e+12 3.52394e+13 3.49208e+13
1 2 0 1.99928e+06 5.66707e+12 5.66487e+12 3.09745e+13 3.43483e+13
1 2 1 2.15777e+06 6.79752e+12 6.79071e+12 3.63210e+13 3.52893e+13
1 2 2 2.10964e+06 6.45539e+12 6.44855e+12 3.41722e+13 3.53977e+13
1 2 3 2.03692e+06 5.93126e+12 5.92662e+12 3.48315e+13 3.48515e+13
1 2 4 2.15832e+06 6.78924e+12 6.78267e+12 3.67914e+13 3.50469e+13
1 2 5 2.04750e+06 6.02212e+12 6.01979e+12 3.21024e+13 3.41936e+13
1 2 6 2.08675e+06 6.25926e+12 6.25662e+12 3.17979e+13 3.43866e+13
1 2 7 2.03568e+06 5.93588e+12 5.93238e+12 3.28609e+13 3.45304e+13
1 3 0 2.09679e+06 6.34635e+12 6.34063e+12 3.40037e+13 3.51764e+13
1 3 1 2.08930e+06 6.28471e+12 6.28047e+12 3.31663e+13 3.47861e+13
1 3 2 2.02737e+06 5.84934e+12 5.84671e+12 3.29211e+13 3.44061e+13
1 3 3 2.08542e+06 6.25130e+12 6.24517e+12 3.42125e+13 3.52449e+13
1 3 4 2.15527e+06 6.76433e+12 6.75500e+12 3.87037e+13 3.58693e+13
1 3 5 2.12247e+06 6.53674e+12 6.53065e+12 3.52047e+13 3.51120e+13
1 3 6 2.06645e+06 6.14340e+12 6.14114e+12 3.28676e+13 3.43258e+13
1 3 7 2.08609e+06 6.27981e+12 6.27671e+12 3.35629e+13 3.44575e+13
1 4 0 2.09351e+06 6.30859e+12 6.30110e+12 3.62637e+13 3.56139e+13
1 4 1 2.08110e+06 6.25443e+12 6.24702e+12 3.66800e+13 3.56853e+13
1 4 2 2.08547e+06 6.25901e+12 6.25210e+12 3.69408e+13 3.56055e+13
1 4 3 2.13459e+06 6.63022e+12 6.62562e+12 3.36323e+13 3.48778e+13
1 4 4 2.16121e+06 6.82625e+12 6.81780e+12 3.90037e+13 3.54631e+13
1 4 5 2.05613e+06 6.04420e+12 6.03852e+12 3.62962e+13 3.51331e+13
1 4 6 2.18284e+06 6.96722e+12 6.96045e+12 3.68054e+13 3.51514e+13
1 4 7 2.08132e+06 6.20778e+12 6.20502e+12 3.25047e+13 3.44640e+13
1 5 0 2.17605e+06 6.91661e+12 6.90787e+12 3.97284e+13 3.56628e+13
1 5 1 2.20525e+06 7.14574e+12 7.13199e+12 4.11523e+13 3.67749e+13
1 5 2 2.12766e+06 6.55856e+12 6.54957e+12 3.62667e+13 3.58683e+13
1 5 3 2.11650e+06 6.48836e+12 6.48283e+12 3.44009e+13 3.50792e+13
1 5 4 2.00299e+06 5.67494e+12 5.67439e+12 2.93249e+13 3.39009e+13
1 5 5 2.15820e+06 6.77136e+12 6.76512e+12 3.73230e+13 3.51465e+13
1 5 6 2.04453e+06 5.97736e+12 5.97680e+12 3.04169e+13 3.38507e+13
1 5 7 2.05717e+06 6.06447e+12 6.06226e+12 3.31833e+13 3.43037e+13
1 6 0 2.08537e+06 6.25578e+12 6.25094e+12 3.37453e+13 3.49530e+13
1 6 1 2.18726e+06 7.01833e+12 7.00707e+12 4.10954e+13 3.61232e+13
1 6 2 2.05441e+06 6.04024e+12 6.03542e+12 3.11839e+13 3.50488e+13
1 6 3 2.15178e+06 6.72386e+12 6.71306e+12 4.27335e+13 3.61764e+13
1 6 4 2.05503e+06 6.05389e+12 6.05185e+12 3.25743e+13 3.42622e+13
1 6 5 2.08520e+06 6.24060e+12 6.23833e+12 3.27687e+13 3.42686e+13
1 6 6 2.13318e+06 6.61126e+12 6.60576e+12 3.78361e+13 3.49127e+13
1 6 7 2.06981e+06 6.16184e+12 6.15668e+12 3.61467e+13 3.49040e+13
1 7 0 1.98213e+06 5.53642e+12 5.53478e+12 3.25372e+13 3.41635e+13
1 7 1 2.00845e+06 5.71336e+12 5.71163e+12 2.95135e+13 3.43148e+13
1 7 2 2.18507e+06 7.00660e+12 6.99764e+12 3.68778e+13 3.56489e+13
1 7 3 2.16829e+06 6.84733e+12 6.83522e+12 4.01757e+13 3.65679e+13
1 7 4 2.14910e+06 6.73004e+12 6.72163e+12 3.68393e+13 3.56879e+13
1 7 5 2.19446e+06 7.05628e+12 7.04874e+12 3.64363e+13 3.52290e+13
1 7 6 2.09778e+06 6.35922e+12 6.35143e+12 3.80594e+13 3.54981e+13
1 7 7 2.03019e+06 5.90584e+12 5.90414e+12 3.05762e+13 3.41492e+13
2 0 0 2.10223e+06 6.36971e+12 6.36365e+12 3.75285e+13 3.51457e+13
2 0 1 2.06469e+06 6.11057e+12 6.10666e+12 3.23124e+13 3.46874e+13
2 0 2 2.12446e+06 6.55113e+12 6.54465e+12 3.65353e+13 3.51983e+13
