# ix, iy, iz, dm, h1fid, h1new, lum, uv
0 0 0 2.14559e+06 1.73458e+12 1.73446e+12 2.78212e+12 3.00851e+14
0 0 1 2.09933e+06 1.59501e+12 1.59489e+12 2.75843e+12 3.00907e+14
0 0 2 2.09585e+06 1.59637e+12 1.59605e+12 3.83084e+12 3.01772e+14
0 0 3 2.11695e+06 1.66656e+12 1.66627e+12 3.97159e+12 3.01398e+14
0 0 4 2.07861e+06 1.52809e+12 1.52799e+12 2.57880e+12 3.00752e+14
0 0 5 2.08042e+06 1.53837e+12 1.53825e+12 2.75810e+12 3.00857e+14
0 0 6 2.07452e+06 1.51910e+12 1.51903e+12 2.50055e+12 3.00600e+14
0 0 7 2.04896e+06 1.45477e+12 1.45469e+12 2.26195e+12 3.00655e+14
0 1 0 2.13512e+06 1.71819e+12 1.71806e+12 2.86547e+12 3.00870e+14
0 1 1 2.07083e+06 1.50739e+12 1.50732e+12 2.33179e+12 3.00761e+14
0 1 2 2.12799e+06 1.66201e+12 1.66183e+12 3.19736e+12 3.01320e+14
0 1 3 2.10391e+06 1.61008e+12 1.60998e+12 2.65169e+12 3.00833e+14
0 1 4 2.09121e+06 1.58259e+12 1.58243e+12 2.96876e+12 3.00996e+14
0 1 5 2.12783e+06 1.69112e+12 1.69099e+12 2.73954e+12 3.00964e+14
0 1 6 2.12393e+06 1.69046e+12 1.69031e+12 2.84613e+12 3.01015e+14
0 1 7 2.11021e+06 1.62305e+12 1.62282e+12 2.76633e+12 3.01598e+14
0 2 0 2.11483e+06 1.66332e+12 1.66317e+12 2.73956e+12 3.00752e+14
0 2 1 2.08162e+06 1.56776e+12 1.56760e+12 3.01087e+12 3.01088e+14
0 2 2 2.08968e+06 1.57365e+12 1.57342e+12 3.51446e+12 3.01200e+14
0 2 3 2.08008e+06 1.52954e+12 1.52943e+12 2.74553e+12 3.00822e+14
0 2 4 2.03976e+06 1.42174e+12 1.42161e+12 3.35015e+12 3.00957e+14
0 2 5 2.08948e+06 1.59004e+12 1.58986e+12 2.91996e+12 3.01267e+14
0 2 6 2.16720e+06 1.79441e+12 1.79414e+12 3.44847e+12 3.01459e+14
0 2 7 2.05229e+06 1.48033e+12 1.48029e+12 2.14492e+12 3.00406e+14
0 3 0 2.08190e+06 1.54069e+12 1.54063e+12 2.31457e+12 3.00542e+14
0 3 1 2.09291e+06 1.58323e+12 1.58304e+12 3.22811e+12 3.01110e+14
0 3 2 2.04774e+06 1.43946e+12 1.43933e+12 2.58114e+12 3.00983e+14
0 3 3 2.10888e+06 1.63418e+12 1.63392e+12 3.70309e+12 3.01572e+14
0 3 4 2.08492e+06 1.56315e+12 1.56300e+12 2.74958e+12 3.00939e+14
0 3 5 2.13730e+06 1.73172e+12 1.73136e+12 4.22570e+12 3.01785e+14
0 3 6 2.07511e+06 1.54226e+12 1.54212e+12 2.82501e+12 3.01023e+14
0 3 7 2.05302e+06 1.47799e+12 1.47790e+12 2.74876e+12 3.00659e+14
0 4 0 2.15205e+06 1.76186e+12 1.76167e+12 3.32761e+12 3.01190e+14
0 4 1 2.11758e+06 1.65973e+12 1.65960e+12 2.71732e+12 3.00962e+14
0 4 2 2.06479e+06 1.51800e+12 1.51775e+12 2.96265e+12 3.01406e+14
