#        k       b1_x       b1_a            Pkmm
   0.00920    3.98158    4.00190     9.39010e+02
   0.01534    3.89179    3.91595     1.11625e+03
   0.02148    3.91280    3.94001     1.08551e+03
   0.02761    3.95251    3.98654     9.66807e+02
   0.03375    3.97352    4.00307     8.24689e+02
   0.03988    3.98424    4.02379     7.01905e+02
   0.04602    3.93500    3.98049     6.11826e+02
   0.05216    3.98329    4.03425     5.48666e+02
   0.05829    3.99375    4.04753     5.11632e+02
   0.06443    3.94302    3.99456     4.72421e+02
   0.07056    3.94447    4.00838     4.42941e+02
   0.07670    3.98914    4.05699     3.99648e+02
   0.08283    3.96144    4.03949     3.56110e+02
   0.08897    3.97836    4.06635     3.12478e+02
   0.09511    3.95307    4.04350     2.75447e+02
   0.10124    4.00745    4.11313     2.47748e+02
   0.10738    3.96284    4.07020     2.26111e+02
   0.11351    3.99654    4.10655     2.12286e+02
   0.11965    4.00292    4.11902     2.01776e+02
   0.12579    4.00812    4.12681     1.94517e+02
   0.13192    4.05748    4.18021     1.84477e+02
   0.13806    4.02387    4.15552     1.71064e+02
   0.14419    4.05148    4.19308     1.58745e+02
   0.15033    4.04796    4.19657     1.44233e+02
   0.15647    4.03827    4.20021     1.31868e+02
   0.16260    4.05680    4.22976     1.21522e+02
   0.16874    4.06839    4.24650     1.14794e+02
   0.17487    4.06542    4.25462     1.08428e+02
   0.18101    4.03438    4.22510     1.03516e+02
   0.18715    4.05991    4.25080     1.00283e+02
   0.19328    4.08054    4.27932     9.71092e+01
   0.19942    4.08153    4.29103     9.14698e+01
   0.20555    4.10186    4.31758     8.60457e+01
   0.21169    4.09673    4.31648     8.11761e+01
   0.21783    4.11958    4.34934     7.61321e+01
   0.22396    4.11358    4.34903     7.06956e+01
   0.23010    4.14108    4.38506     6.80269e+01
   0.23623    4.13922    4.39581     6.47919e+01
   0.24237    4.12653    4.38812     6.20319e+01
   0.24850    4.15108    4.41060     6.04557e+01
   0.25464    4.14951    4.41691     5.82194e+01
   0.26078    4.16526    4.44359     5.57764e+01
   0.26691    4.14280    4.42145     5.33442e+01
   0.27305    4.17752    4.46122     5.10701e+01
